fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.CANDO_P.sizing_parameter[default],fs.costing.CANDO_P.sizing_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[nitrogen],fs.unit.properties_in[0.0].flow_mass_comp[phosphates],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[nitrogen],fs.unit.properties_treated[0.0].flow_mass_comp[phosphates],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[nitrogen],fs.unit.properties_byproduct[0.0].flow_mass_comp[phosphates],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,nitrogen]","fs.unit.removal_frac_mass_comp[0.0,phosphates]","fs.unit.reaction_conversion[0.0,n_reaction]","fs.unit.reaction_conversion[0.0,p_reaction]","fs.unit.extent_of_reaction[0.0,n_reaction]","fs.unit.extent_of_reaction[0.0,p_reaction]","fs.unit.generation_ratio[n_reaction,H2O]","fs.unit.generation_ratio[n_reaction,nitrogen]","fs.unit.generation_ratio[n_reaction,phosphates]","fs.unit.generation_ratio[p_reaction,H2O]","fs.unit.generation_ratio[p_reaction,nitrogen]","fs.unit.generation_ratio[p_reaction,phosphates]",fs.unit.electricity[0.0],fs.unit.electricity_intensity_N,fs.unit.O2_demand[0.0],fs.unit.oxygen_nitrogen_ratio,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CANDOPZO],fs.costing.LCOW_aggregate_indirect_capex[CANDOPZO],fs.costing.LCOW_aggregate_fixed_opex[CANDOPZO],fs.costing.LCOW_aggregate_variable_opex[CANDOPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,n_reaction,H2O]","fs.unit.generation_rxn_comp[0.0,n_reaction,nitrogen]","fs.unit.generation_rxn_comp[0.0,n_reaction,phosphates]","fs.unit.generation_rxn_comp[0.0,p_reaction,H2O]","fs.unit.generation_rxn_comp[0.0,p_reaction,nitrogen]","fs.unit.generation_rxn_comp[0.0,p_reaction,phosphates]",fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3344262.8839107994,0.0,0.0,4.731764729999999,3241.4830696180265,3516492.422432206,53071.000039888946,24.0,4000.0,4.381263638888887,0.0004381263638888888,0.0004381263638888888,4.381263638888887,0.00010953159097223227,0.00010953159097223227,5.218206108610341e-17,1.0026600955907231e-17,1.0026600955401742e-17,1.0,0,0,0.75,0.75,0.00032859477291666663,0.00032859477291666663,0,-1,0,0,0,-1,4.731764729999999,4.0,0.001150081705208334,3.5,3344262.8839108,1.0515,0.0149,2026825.9902489698,49829.51697027091,49829.51697027091,3241.4830696180265,281823.8785680221,5016.394325866199,167213.14419554,3344.2628839107992,3009.8365955197196,26754.103071286394,10032.788651732399,6688.5257678215985,2.0379221186521903,0.9534175500378078,0.7007380638390381,0.3603267235957779,0.023439781179566552,0.9534175500378078,0.7007380638390381,0.3603267235957779,0.023439781179566552,0.023439781179566552,0.2999400119976005,0.2999400119976005,0.0,-0.00032859477291666663,0.0,0.0,0.0,-0.00032859477291666663,1.65,2026825.9902489698,0.1,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,31073775.96300452,0.0,0.0,43.965980616249986,30118.780188534158,32674075.425099257,493118.0420373015,24.0,4000.0,40.70924131134258,0.004070924131134258,0.004070924131134258,40.70924131134258,0.0010177310327836493,0.001017731032783649,3.5328604360350295e-22,8.484732039033855e-17,8.484732039045511e-17,1.0,0,0,0.75,0.75,0.0030531930983506935,0.0030531930983506935,0,-1,0,0,0,-1,43.965980616249986,4.0,0.010686175844227427,3.5,31073775.963004522,1.0515,0.0149,18832591.492730014,462999.26184876735,462999.26184876735,30118.780188534158,2618613.538361206,46610.66394450678,1553688.798150226,31073.77596300452,27966.39836670407,248590.20770403615,93221.32788901356,62147.55192600904,2.0379221186521908,0.953417550037808,0.700738063839038,0.36032672359577794,0.02343978117956655,0.953417550037808,0.700738063839038,0.36032672359577794,0.02343978117956655,0.023439781179566545,0.29994001199760045,0.29994001199760045,0.0,-0.0030531930983506935,0.0,0.0,0.0,-0.0030531930983506935,1.65,18832591.492730014,0.9291666666666666,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,58803289.042098224,0.0,0.0,83.20019650249999,56996.0773074503,61831658.427766286,933165.0840347139,24.0,4000.0,77.03721898379627,0.007703721898379629,0.007703721898379629,77.03721898379627,0.0019259304745950661,0.0019259304745950655,6.68550268145918e-22,1.605630906425998e-16,1.605630906425998e-16,1.0,0,0,0.75,0.75,0.005777791423784722,0.005777791423784722,0,-1,0,0,0,-1,83.20019650249999,4.0,0.020222269983246527,3.5,58803289.04209823,1.0515,0.0149,35638356.99521105,876169.0067272636,876169.0067272636,56996.0773074503,4955403.198154388,88204.93356314734,2940164.452104911,58803.28904209822,52922.9601378884,470426.3123367858,176409.86712629467,117606.57808419644,2.0379221186521903,0.953417550037808,0.7007380638390378,0.36032672359577794,0.023439781179566556,0.953417550037808,0.7007380638390378,0.36032672359577794,0.023439781179566556,0.023439781179566556,0.2999400119976005,0.2999400119976005,0.0,-0.005777791423784722,0.0,0.0,0.0,-0.005777791423784722,1.65,35638356.99521105,1.7583333333333333,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,86532802.12119193,0.0,0.0,122.43441238874998,83873.37442636644,90989241.43043333,1373212.1260321266,24.0,4000.0,113.36519665624996,0.011336519665624998,0.011336519665624998,113.36519665624996,0.0028341299164062485,0.0028341299164062494,9.83814494119941e-22,2.147989655107073e-25,2.147989655107073e-25,1.0,0,0,0.75,0.75,0.008502389749218749,0.008502389749218749,0,-1,0,0,0,-1,122.43441238874998,4.0,0.02975836412226562,3.5,86532802.12119193,1.0515,0.0149,52444122.497692086,1289338.7516057598,1289338.7516057598,83873.37442636644,7292192.857947571,129799.2031817879,4326640.106059597,86532.80212119194,77879.52190907275,692262.4169695355,259598.4063635758,173065.60424238388,2.0379221186521903,0.9534175500378078,0.700738063839038,0.3603267235957779,0.023439781179566556,0.9534175500378078,0.700738063839038,0.3603267235957779,0.023439781179566556,0.023439781179566556,0.2999400119976005,0.2999400119976005,0.0,-0.008502389749218749,0.0,0.0,0.0,-0.008502389749218749,1.65,52444122.497692086,2.5875,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,114262315.20028567,0.0,0.0,161.66862827499992,110750.67154528253,120146824.4331004,1813259.1680295393,24.0,4000.0,149.69317432870363,0.014969317432870366,0.014969317432870366,149.69317432870363,0.00374232935821759,0.003742329358217591,1.299078720093964e-21,2.8363148832889637e-25,2.8363148832889637e-25,1.0,0,0,0.75,0.75,0.011226988074652772,0.011226988074652772,0,-1,0,0,0,-1,161.66862827499992,4.0,0.0392944582612847,3.5,114262315.20028567,1.0515,0.0149,69249888.00017314,1702508.4964842566,1702508.4964842566,110750.67154528253,9628982.517740756,171393.4728004285,5713115.760014284,114262.31520028568,102836.08368025711,914098.5216022854,342786.945600857,228524.63040057136,2.0379221186521908,0.953417550037808,0.7007380638390381,0.360326723595778,0.02343978117956655,0.953417550037808,0.7007380638390381,0.360326723595778,0.02343978117956655,0.023439781179566545,0.29994001199760045,0.29994001199760045,0.0,-0.011226988074652772,0.0,0.0,0.0,-0.011226988074652772,1.65,69249888.00017314,3.4166666666666665,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,141991828.2793794,0.0,0.0,200.90284416124987,137627.96866419868,149304407.43576744,2253306.210026952,24.0,4000.0,186.02115200115733,0.018602115200115732,0.018602115200115732,186.02115200115733,0.00465052880002932,0.004650528800029319,1.6143429395262446e-21,3.8771039736736474e-16,3.8771039736736474e-16,1.0,0,0,0.75,0.75,0.013951586400086799,0.013951586400086799,0,-1,0,0,0,-1,200.9028441612499,4.0,0.048830552400303796,3.5,141991828.2793794,1.0515,0.0149,86055653.50265418,2115678.241362753,2115678.241362753,137627.96866419868,11965772.17753394,212987.7424190691,7099591.41396897,141991.8282793794,127792.64545144147,1135934.6262350352,425975.4848381382,283983.6565587588,2.037922118652191,0.9534175500378083,0.7007380638390381,0.36032672359577805,0.023439781179566552,0.9534175500378083,0.7007380638390381,0.36032672359577805,0.023439781179566552,0.023439781179566552,0.2999400119976004,0.29994001199760045,0.0,-0.013951586400086799,0.0,0.0,0.0,-0.013951586400086799,1.65,86055653.50265418,4.245833333333333,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,169721341.35847303,0.0,0.0,240.13706004749992,164505.26578311482,178461990.43843442,2693353.2520243633,24.0,4000.0,222.349129673611,0.022234912967361103,0.022234912967361103,222.349129673611,0.005558728241840277,0.005558728241840275,1.929607218957663e-21,1.1613013309995984e-24,1.1613013309995984e-24,1.0,0,0,0.75,0.75,0.016676184725520828,0.016676184725520828,0,-1,0,0,0,-1,240.13706004749992,4.0,0.0583666465393229,3.5,169721341.35847303,1.0515,0.0149,102861419.00513518,2528847.986241248,2528847.986241248,164505.26578311482,14302561.837327119,254582.01203770956,8486067.067923652,169721.34135847303,152749.20722262573,1357770.7308677842,509164.0240754191,339442.68271694606,2.0379221186521903,0.9534175500378078,0.700738063839038,0.36032672359577783,0.023439781179566556,0.9534175500378078,0.700738063839038,0.36032672359577783,0.023439781179566556,0.023439781179566556,0.2999400119976005,0.2999400119976005,0.0,-0.016676184725520828,0.0,0.0,0.0,-0.016676184725520828,1.65,102861419.00513518,5.074999999999999,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,197450854.4375668,0.0,0.0,279.37127593374987,191382.56290203094,207619573.4411015,3133400.2940217764,24.0,4000.0,258.6771073460647,0.025867710734606475,0.025867710734606475,258.6771073460647,0.00646692768365162,0.006466927683651619,2.2448713980160325e-21,1.351037730147237e-24,1.351037730147237e-24,1.0,0,0,0.75,0.75,0.019400783050954853,0.019400783050954853,0,-1,0,0,0,-1,279.37127593374987,4.0,0.06790274067834198,3.5,197450854.4375668,1.0515,0.0149,119667184.50761624,2942017.731119745,2942017.731119745,191382.56290203094,16639351.497120302,296176.2816563502,9872542.72187834,197450.8544375668,177705.76899381014,1579606.8355005344,592352.5633127004,394901.7088751336,2.0379221186521903,0.9534175500378079,0.7007380638390378,0.3603267235957779,0.023439781179566552,0.9534175500378079,0.7007380638390378,0.3603267235957779,0.023439781179566552,0.02343978117956655,0.29994001199760045,0.29994001199760045,0.0,-0.019400783050954853,0.0,0.0,0.0,-0.019400783050954853,1.65,119667184.50761624,5.904166666666666,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,225180367.51666042,0.0,0.0,318.6054918199998,218259.86002094706,236777156.44376847,3573447.3360191877,24.0,4000.0,295.00508501851834,0.029500508501851843,0.029500508501851843,295.00508501851834,0.007375127125462968,0.007375127125462966,2.560135634364398e-21,0.0,0.0,1.0,0,0,0.75,0.75,0.022125381376388878,0.022125381376388878,0,-1,0,0,0,-1,318.6054918199998,4.0,0.07743883481736108,3.5,225180367.51666042,1.0515,0.0149,136472950.01009724,3355187.4759982405,3355187.4759982405,218259.86002094706,18976141.15691348,337770.55127499066,11259018.375833021,225180.36751666042,202662.3307649944,1801442.9401332834,675541.1025499813,450360.73503332085,2.0379221186521903,0.9534175500378078,0.700738063839038,0.36032672359577794,0.023439781179566556,0.9534175500378078,0.700738063839038,0.36032672359577794,0.023439781179566556,0.023439781179566556,0.2999400119976005,0.2999400119976005,0.0,-0.022125381376388878,0.0,0.0,0.0,-0.022125381376388878,1.65,136472950.01009724,6.7333333333333325,default,CANDOPZO,CANDO_P
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,252909880.5957543,0.0,0.0,357.83970770624984,245137.1571398632,265934739.44643566,4013494.3780166027,24.0,4000.0,331.3330626909721,0.03313330626909721,0.03313330626909721,331.3330626909721,0.008283326567274306,0.008283326567274301,2.8753998383122024e-21,1.7305105727477434e-24,1.7305105727477434e-24,1.0,0,0,0.75,0.75,0.024849979701822907,0.024849979701822907,0,-1,0,0,0,-1,357.83970770624984,4.0,0.08697492895638018,3.5,252909880.5957543,1.0515,0.0149,153278715.51257837,3768357.220876739,3768357.220876739,245137.1571398632,21312930.816706676,379364.82089363143,12645494.029787716,252909.8805957543,227618.8925361789,2023279.0447660345,758729.6417872629,505819.7611915086,2.0379221186521908,0.9534175500378081,0.7007380638390381,0.360326723595778,0.02343978117956655,0.9534175500378081,0.7007380638390381,0.360326723595778,0.02343978117956655,0.02343978117956655,0.29994001199760045,0.29994001199760045,0.0,-0.024849979701822907,0.0,0.0,0.0,-0.024849979701822907,1.65,153278715.51257837,7.562499999999999,default,CANDOPZO,CANDO_P
