fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.aeration_basin.capital_a_parameter[default],fs.costing.aeration_basin.capital_b_parameter[default],fs.costing.aeration_basin.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[AerationBasinZO],fs.costing.LCOW_aggregate_indirect_capex[AerationBasinZO],fs.costing.LCOW_aggregate_fixed_opex[AerationBasinZO],fs.costing.LCOW_aggregate_variable_opex[AerationBasinZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295964,0.0,0.0,6.503157270903901,4454.970903149356,274008.88260939706,8337.740613924454,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.381263638888887,0.000394313727500011,3.76948361321601e-21,4.381263638889997e-05,1.0,0.1,6.503157270903902,0.41226735,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.769710775099,3882.769710775099,4454.970903149356,26162.411652408773,390.8828567894395,13029.428559647982,260.58857119295965,234.5297140736637,2084.708569543677,781.765713578879,521.1771423859193,0.18920429602092673,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.03221796387591357,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.03221796387591357,0.032217963875913566,0.4122673499999999,0.41226735,1.0,260588.57119295967,0.1,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,962613.2726084038,0.0,0.0,60.42516964214877,41394.10464176279,1012187.8561477368,55737.042403628,725570.0,0.5862,1.0,40.70924131134258,0.004070924131134258,40.70924131134258,0.003663831718020935,3.502478523946542e-20,0.0004070924131135288,1.0,0.1,60.425169642148774,0.41226735,962613.2726084039,1.0515,0.014900000000000002,962613.2726084039,14342.937761865218,14342.937761865218,41394.10464176279,121581.31501686682,1443.9199089126057,48130.6636304202,962.6132726084038,866.3519453475635,7700.90618086723,2887.8398178252114,1925.2265452168076,0.09462947560043354,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.03221796387591358,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.03221796387591358,0.03221796387591358,0.4122673499999999,0.41226735,1.0,962613.2726084039,0.9291666666666666,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1399051.4744335846,0.0,0.0,114.3471820133936,78333.23838037619,1471102.6253669146,99179.1053494366,725570.0,0.5862,1.0,77.03721898379627,0.007703721898379629,77.03721898379627,0.00693334970854186,6.628008686571483e-20,0.0007703721898381579,1.0,0.1,114.34718201339362,0.41226735,1399051.4744335848,1.0515,0.014900000000000002,1399051.4744335848,20845.866969060415,20845.866969060415,78333.23838037619,194876.44227991687,2098.5772116503767,69952.57372167923,1399.0514744335846,1259.1463269902263,11192.411795468677,4197.1544233007535,2798.1029488671693,0.0801514441054156,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.03221796387591358,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.03221796387591358,0.03221796387591357,0.4122673499999999,0.41226735,1.0,1399051.4744335848,1.7583333333333333,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1754631.1324416068,0.0,0.0,168.26919438463847,115272.37211898963,1844994.6357623497,141416.37599236958,725570.0,0.5862,1.0,113.36519665624996,0.011336519665624998,113.36519665624996,0.010202867699062784,9.753538849196426e-20,0.0011336519665627867,1.0,0.1,168.2691943846385,0.41226735,1754631.132441607,1.0515,0.014900000000000002,1754631.132441607,26144.003873379945,26144.003873379945,115272.37211898963,261435.92476412258,2631.94669866241,87731.55662208034,1754.631132441607,1579.1680191974463,14037.049059532856,5263.89339732482,3509.262264883214,0.07306983473214212,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.03221796387591358,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.03221796387591358,0.03221796387591357,0.4122673499999999,0.41226735,1.0,1754631.132441607,2.5875,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2065157.671864143,0.0,0.0,222.19120675588326,152211.50585760298,2171513.291965147,182982.35516837874,725570.0,0.5862,1.0,149.69317432870363,0.014969317432870366,149.69317432870363,0.013472385689583708,1.2879068904431515e-19,0.0014969317432874155,1.0,0.1,222.1912067558833,0.41226735,2065157.6718641433,1.0515,0.014900000000000002,2065157.6718641433,30770.849310775735,30770.849310775735,152211.50585760298,324242.4111066072,3097.736507796215,103257.88359320717,2065.157671864143,1858.641904677729,16521.261374913145,6195.47301559243,4130.315343728286,0.06863101596172788,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.03221796387591357,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.03221796387591357,0.032217963875913566,0.4122673499999999,0.41226735,1.0,2065157.6718641433,3.4166666666666665,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2345671.7713383376,0.0,0.0,276.11321912712816,189150.63959621647,2466473.8675622623,224101.1489891577,725570.0,0.5862,1.0,186.02115200115733,0.018602115200115732,186.02115200115733,0.016741903680104628,1.6004599174446308e-19,0.0018602115200120443,1.0,0.1,276.1132191271282,0.41226735,2345671.771338338,1.0515,0.014900000000000002,2345671.771338338,34950.50939294123,34950.50939294123,189150.63959621647,384548.8136620829,3518.5076570075066,117283.58856691688,2345.6717713383377,2111.104594204504,18765.374170706702,7037.015314015013,4691.3435426766755,0.06550006816544875,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.03221796387591358,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.03221796387591358,0.03221796387591358,0.4122673499999999,0.41226735000000003,1.0,2345671.771338338,4.245833333333333,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2604245.8163948026,0.0,0.0,330.0352314983729,226089.7733348298,2738364.4759391355,264893.0359991124,725570.0,0.5862,1.0,222.349129673611,0.022234912967361103,222.349129673611,0.020011421670625557,1.9130128620825603e-19,0.0022234912967366727,1.0,0.1,330.035231498373,0.41226735,2604245.816394803,1.0515,0.014900000000000002,2604245.816394803,38803.26266428256,38803.26266428256,226089.7733348298,443027.5749318027,3906.368724592204,130212.29081974014,2604.2458163948027,2343.8212347553226,20833.96653115842,7812.737449184408,5208.491632789605,0.0631317648500979,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.03221796387591357,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.03221796387591357,0.032217963875913566,0.41226734999999987,0.41226735,1.0,2604245.816394803,5.074999999999999,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2845827.2982670357,0.0,0.0,383.9572438696178,263028.90707344323,2992387.4041277883,305431.73381762207,725570.0,0.5862,1.0,258.6771073460647,0.025867710734606475,258.6771073460647,0.02328093966114642,3.0809158566220893e-15,0.0025867710734612396,1.0,0.1,383.95724386961786,0.41226735,2845827.298267036,1.0515,0.014900000000000002,2845827.298267036,42402.82674417884,42402.82674417884,263028.90707344323,500090.8287722782,4268.7409474005535,142291.3649133518,2845.827298267036,2561.2445684403324,22766.618386136288,8537.481894801107,5691.654596534072,0.06125527583765594,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.03221796387591357,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.03221796387591357,0.03221796387591357,0.4122673499999999,0.41226735,1.0,2845827.298267036,5.904166666666666,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3073716.8499491513,0.0,0.0,437.8792562408626,299968.0408120566,3232013.267721533,345766.42187629896,725570.0,0.5862,1.0,295.00508501851834,0.029500508501851843,295.00508501851834,0.026550457651667327,3.5135921132160837e-15,0.0029500508501858593,1.0,0.1,437.8792562408627,0.41226735,3073716.8499491517,1.0515,0.014900000000000002,3073716.8499491517,45798.381064242356,45798.381064242356,299968.0408120566,556013.5231400788,4610.575274923727,153685.84249745758,3073.7168499491513,2766.345164954236,24589.73479959321,9221.150549847454,6147.433699898303,0.05971844051970249,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.03221796387591358,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.03221796387591358,0.03221796387591357,0.4122673499999999,0.41226735,1.0,3073716.8499491517,6.7333333333333325,default,AerationBasinZO,aeration_basin
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3290250.8871666435,0.0,0.0,491.80126861210755,336907.1745506701,3459698.807855726,385931.91276945313,725570.0,0.5862,1.0,331.3330626909721,0.03313330626909721,331.3330626909721,0.029819975642188242,3.94626836974054e-15,0.003313330626910479,1.0,0.1,491.8012686121076,0.41226735,3290250.887166644,1.0515,0.014900000000000002,3290250.887166644,49024.73821878299,49024.73821878299,336907.1745506701,610990.2851659901,4935.376330749966,164512.54435833218,3290.2508871666437,2961.2257984499793,26322.00709733315,9870.752661499931,6580.501774333287,0.058428150015699475,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.03221796387591357,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.03221796387591357,0.032217963875913566,0.4122673499999999,0.41226735,1.0,3290250.887166644,7.562499999999999,default,AerationBasinZO,aeration_basin
