fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.air_flotation.capital_a_parameter[default],fs.costing.air_flotation.capital_b_parameter[default],fs.costing.air_flotation.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[AirFlotationZO],fs.costing.LCOW_aggregate_indirect_capex[AirFlotationZO],fs.costing.LCOW_aggregate_fixed_opex[AirFlotationZO],fs.costing.LCOW_aggregate_variable_opex[AirFlotationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17074.117371486678,0.0,0.0,4.732237906472998,3241.8072179249875,17953.43441611824,3496.2115667601392,24348.0,0.8671,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,4.732237906472998,0.3,17074.117371486678,1.0515,0.014900000000000002,5021.799226907847,254.40434883515152,254.40434883515152,3241.8072179249875,4664.108240148258,25.61117605723002,853.705868574334,17.07411737148668,15.366705634338011,136.59293897189343,51.22235211446004,34.14823474297336,0.03373042699071688,0.0023624870995411365,0.006083640530028382,0.001839830225344894,0.023444469135802466,0.0023624870995411365,0.006083640530028382,0.001839830225344894,0.023444469135802466,0.023444469135802466,0.3,0.3,3.4,5021.799226907847,0.1,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,117970.17987263619,0.0,0.0,43.97037721431162,30121.792066553022,124045.64413607697,31879.5477466553,24348.0,0.8671,1.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,43.97037721431162,0.3,117970.17987263619,1.0515,0.014900000000000002,34697.11172724594,1757.7556801022795,1757.7556801022795,30121.792066553022,39948.8949131644,176.95526980895428,5898.50899363181,117.9701798726362,106.17316188537258,943.7614389810896,353.91053961790857,235.9403597452724,0.031093124596695894,0.0017567493577238602,0.004523805271074713,0.0013681008320948543,0.02344446913580247,0.0017567493577238602,0.004523805271074713,0.0013681008320948543,0.02344446913580247,0.02344446913580247,0.3,0.3,3.4,34697.11172724594,0.9291666666666666,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,205099.9342190728,0.0,0.0,83.20851652215022,57001.776915181035,215662.5808313551,60057.76593504522,24348.0,0.8671,1.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,83.20851652215022,0.3,205099.9342190728,1.0515,0.014900000000000002,60323.51006443318,3055.989019864185,3055.989019864185,57001.776915181035,74086.92631124101,307.6499013286092,10254.996710953641,205.09993421907282,184.58994079716555,1640.7994737525826,615.2998026572184,410.19986843814564,0.03047148266719687,0.0016139701377726888,0.004156134501778451,0.0012569088918432635,0.023444469135802466,0.0016139701377726888,0.004156134501778451,0.0012569088918432635,0.023444469135802466,0.023444469135802466,0.3,0.3,3.4,60323.51006443318,1.7583333333333333,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,286712.62792418565,0.0,0.0,122.44665582998884,83881.76176380907,301478.32826228125,88153.77991987944,24348.0,0.8671,1.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,122.44665582998884,0.3,286712.62792418565,1.0515,0.014900000000000002,84327.24350711342,4272.018156070367,4272.018156070367,83881.76176380907,107765.37781894354,430.0689418862785,14335.631396209283,286.71262792418565,258.0413651317671,2293.7010233934852,860.137883772557,573.4252558483713,0.03011980221991924,0.0015331958888817798,0.003948132733459472,0.0011940044617755228,0.023444469135802466,0.0015331958888817798,0.003948132733459472,0.0011940044617755228,0.023444469135802466,0.023444469135802466,0.3,0.3,3.4,84327.24350711342,2.5875,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,364859.01912243426,0.0,0.0,161.68479513782742,110761.74661243708,383649.25860723964,116198.14599736135,24348.0,0.8671,1.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,161.68479513782742,0.3,364859.01912243426,1.0515,0.014900000000000002,107311.47621248067,5436.399384924271,5436.399384924271,110761.74661243708,141155.08083724644,547.2885286836514,18242.950956121713,364.8590191224343,328.37311721019086,2918.8721529794743,1094.5770573673028,729.7180382448686,0.029877697285056494,0.001477589032095446,0.0038049395165489826,0.0011506996006095957,0.02344446913580247,0.001477589032095446,0.0038049395165489826,0.0011506996006095957,0.02344446913580247,0.02344446913580247,0.3,0.3,3.4,107311.47621248067,3.4166666666666665,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,440499.0030098701,0.0,0.0,200.92293444566604,137641.73146106512,463184.70166487846,144205.1666059122,24348.0,0.8671,1.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,200.92293444566604,0.3,440499.0030098701,1.0515,0.014900000000000002,129558.53029702062,6563.435144847065,6563.435144847065,137641.73146106512,174335.99615644233,660.7485045148052,22024.950150493507,440.49900300987014,396.4491027088832,3523.992024078961,1321.4970090296104,880.9980060197403,0.02969459071579062,0.0014355329675233757,0.003696640944669444,0.0011179476677953255,0.023444469135802466,0.0014355329675233757,0.003696640944669444,0.0011179476677953255,0.023444469135802466,0.02344446913580247,0.3,0.3,3.4,129558.53029702062,4.245833333333333,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,514187.9071426517,0.0,0.0,240.1610737535046,164521.71630969312,540668.5843604982,172183.1161261186,24348.0,0.8671,1.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,240.1610737535046,0.3,514187.9071426517,1.0515,0.014900000000000002,151231.73739489756,7661.399816425511,7661.399816425511,164521.71630969312,207354.3834415906,771.2818607139775,25709.395357132584,514.1879071426517,462.76911642838655,4113.503257141214,1542.563721427955,1028.3758142853035,0.029548156631303675,0.0014018998688452382,0.003610032352263373,0.0010917552743926005,0.023444469135802466,0.0014018998688452382,0.003610032352263373,0.0010917552743926005,0.023444469135802466,0.023444469135802466,0.3,0.3,3.4,151231.73739489756,5.074999999999999,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,586286.4971488813,0.0,0.0,279.39921306134323,191401.7011583211,616480.2517520487,200137.36996583946,24348.0,0.8671,1.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,279.39921306134323,0.3,586286.4971488813,1.0515,0.014900000000000002,172437.20504378862,8735.668807518332,8735.668807518332,191401.7011583211,240240.29504096042,879.429745723322,29314.324857444066,586.2864971488814,527.6578474339932,4690.291977191051,1758.859491446644,1172.5729942977628,0.029426625511572744,0.001373986503205698,0.003538152644404994,0.0010700172281595843,0.023444469135802462,0.001373986503205698,0.003538152644404994,0.0010700172281595843,0.023444469135802462,0.023444469135802462,0.3,0.3,3.4,172437.20504378862,5.904166666666666,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,657047.2395213054,0.0,0.0,318.63735236918177,218281.68600694908,690885.1723566528,228071.68987581652,24348.0,0.8671,1.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,318.63735236918177,0.3,657047.2395213054,1.0515,0.014900000000000002,193249.1880945016,9790.003868867452,9790.003868867452,218281.68600694908,273014.761813301,985.5708592819582,32852.36197606527,657.0472395213054,591.3425155691749,5256.377916170443,1971.1417185639164,1314.0944790426108,0.02932305624919274,0.0013501986314553946,0.0034768964958607866,0.0010514919860740986,0.023444469135802466,0.0013501986314553946,0.0034768964958607866,0.0010514919860740986,0.023444469135802466,0.023444469135802462,0.3,0.3,3.4,193249.1880945016,6.7333333333333325,default,AirFlotationZO,air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,726656.2615278957,0.0,0.0,357.8754916770205,245161.6708555772,764079.0589965824,255988.84915234282,24348.0,0.8671,1.0,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,357.8754916770205,0.3,726656.2615278957,1.0515,0.014900000000000002,213722.4298611458,10827.178296765647,10827.178296765647,245161.6708555772,305693.28845485783,1089.9843922918435,36332.813076394785,726.6562615278957,653.9906353751062,5813.250092223166,2179.968784583687,1453.3125230557914,0.029233023421608956,0.001329519818971219,0.003423646485832787,0.0010353879810024878,0.023444469135802466,0.001329519818971219,0.003423646485832787,0.0010353879810024878,0.023444469135802466,0.023444469135802466,0.3,0.3,3.4,213722.4298611458,7.562499999999999,default,AirFlotationZO,air_flotation
