fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.anaerobic_digestion_reactive.capital_a_parameter[default],fs.costing.anaerobic_digestion_reactive.capital_b_parameter[default],fs.costing.anaerobic_digestion_reactive.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tss],fs.unit.properties_in[0.0].flow_mass_comp[cod],fs.unit.properties_in[0.0].flow_mass_comp[tkn],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tss],fs.unit.properties_treated[0.0].flow_mass_comp[cod],fs.unit.properties_treated[0.0].flow_mass_comp[tkn],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tss],fs.unit.properties_byproduct[0.0].flow_mass_comp[cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[tkn],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tss]","fs.unit.removal_frac_mass_comp[0.0,cod]","fs.unit.removal_frac_mass_comp[0.0,tkn]","fs.unit.reaction_conversion[0.0,tss_reaction]","fs.unit.reaction_conversion[0.0,cod_reaction]","fs.unit.reaction_conversion[0.0,tkn_reaction]","fs.unit.extent_of_reaction[0.0,tss_reaction]","fs.unit.extent_of_reaction[0.0,cod_reaction]","fs.unit.extent_of_reaction[0.0,tkn_reaction]","fs.unit.generation_ratio[tss_reaction,H2O]","fs.unit.generation_ratio[tss_reaction,tss]","fs.unit.generation_ratio[tss_reaction,cod]","fs.unit.generation_ratio[tss_reaction,tkn]","fs.unit.generation_ratio[cod_reaction,H2O]","fs.unit.generation_ratio[cod_reaction,tss]","fs.unit.generation_ratio[cod_reaction,cod]","fs.unit.generation_ratio[cod_reaction,tkn]","fs.unit.generation_ratio[tkn_reaction,H2O]","fs.unit.generation_ratio[tkn_reaction,tss]","fs.unit.generation_ratio[tkn_reaction,cod]","fs.unit.generation_ratio[tkn_reaction,tkn]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.biogas_tss_ratio,fs.unit.biogas_production[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[AnaerobicDigestionReactiveZO],fs.costing.LCOW_aggregate_indirect_capex[AnaerobicDigestionReactiveZO],fs.costing.LCOW_aggregate_fixed_opex[AnaerobicDigestionReactiveZO],fs.costing.LCOW_aggregate_variable_opex[AnaerobicDigestionReactiveZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,tss_reaction,H2O]","fs.unit.generation_rxn_comp[0.0,tss_reaction,tss]","fs.unit.generation_rxn_comp[0.0,tss_reaction,cod]","fs.unit.generation_rxn_comp[0.0,tss_reaction,tkn]","fs.unit.generation_rxn_comp[0.0,cod_reaction,H2O]","fs.unit.generation_rxn_comp[0.0,cod_reaction,tss]","fs.unit.generation_rxn_comp[0.0,cod_reaction,cod]","fs.unit.generation_rxn_comp[0.0,cod_reaction,tkn]","fs.unit.generation_rxn_comp[0.0,tkn_reaction,H2O]","fs.unit.generation_rxn_comp[0.0,tkn_reaction,tss]","fs.unit.generation_rxn_comp[0.0,tkn_reaction,cod]","fs.unit.generation_rxn_comp[0.0,tkn_reaction,tkn]",fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.anaerobic_digestion_reactive.capital_a_parameter[GLSD_anaerobic_digester],fs.costing.anaerobic_digestion_reactive.capital_b_parameter[GLSD_anaerobic_digester],fs.costing.anaerobic_digestion_reactive.reference_state[GLSD_anaerobic_digester],fs.unit.HRT,fs.unit.reactor_volume[0.0]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3823532.483801725,0.0,0.0,3.155456172945999,2161.6370096926075,4020444.406717514,59132.27101833831,19355231.2,0.6,911.054,4.381263638888887,0.0004381263638888888,0.0004381263638888888,0.0004381263638888888,4.381263638888887,1.0934248302962528e-17,1.0934248302962528e-17,1.0021500090480811e-17,5.2182061087478214e-17,0.00021906318194445557,0.00021906318194445557,0.0002190631819444544,1.0,1,1.0,1.0,0.5,0.5,0.5,0.0002190631819444444,0.0002190631819444444,0.0002190631819444444,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,3.1554561729459993,0.2,0.4,0.00017525054555555652,3823532.4838017253,1.0515,0.0149,2317292.4144252883,56970.6340086457,56970.6340086457,2161.6370096926075,320667.9493357837,5735.298725702587,191176.62419008627,3823.532483801725,3441.1792354215527,30588.2598704138,11470.597451405174,7647.06496760345,2.31857917782811,1.0899437833565988,0.8010814321725163,0.4119243162084604,0.01562964609053498,1.0899437833565988,0.8010814321725163,0.4119243162084604,0.01562964609053498,0.01562964609053498,0.20000000000000004,0.20000000000000007,0.0,-0.0002190631819444444,0.0,0.0,0.0,0.0,-0.0002190631819444444,0.0,0.0,0.0,0.0,-0.0002190631819444444,1.65,2317292.4144252883,0.1,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,14565351.072449012,0.0,0.0,29.31944694028991,20085.210548393818,15315466.652680138,237108.94152788413,19355231.2,0.6,911.054,40.70924131134258,0.004070924131134258,0.004070924131134258,0.004070924131134258,40.70924131134258,1.0224023638950287e-16,1.0224023638950287e-16,9.302671135176637e-17,4.848583176044851e-16,0.0020354620655672123,0.0020354620655672123,0.002035462065567222,1.0,1,1.0,1.0,0.5,0.5,0.5,0.002035462065567129,0.002035462065567129,0.002035462065567129,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,29.319446940289914,0.2,0.4,0.001628369652453704,14565351.072449014,1.0515,0.0149,8827485.498453949,217023.73097949027,217023.73097949027,20085.210548393818,1233402.0262088468,21848.026608673517,728267.5536224507,14565.351072449012,13108.815965204112,116522.80857959209,43696.053217347035,29130.702144898023,0.9597926350109696,0.44685502919934533,0.3284272750857889,0.1688806846353004,0.01562964609053498,0.44685502919934533,0.3284272750857889,0.1688806846353004,0.01562964609053498,0.015629646090534976,0.19999999999999998,0.2,0.0,-0.002035462065567129,0.0,0.0,0.0,0.0,-0.002035462065567129,0.0,0.0,0.0,0.0,-0.002035462065567129,1.65,8827485.498453949,0.9291666666666666,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21356275.25647804,0.0,0.0,55.48343770763381,38008.78408709502,22456123.43218666,356217.2854086179,19355231.2,0.6,911.054,77.03721898379627,0.007703721898379629,0.007703721898379629,0.007703721898379629,77.03721898358269,1.2223509824433348e-15,1.2223509824433348e-15,1.2223509787323485e-15,1.222350960254053e-14,0.0038517328157203555,0.0038517328157203555,0.003851732815720274,1.0,1,1.0,1.0,0.5,0.5,0.5,0.003851946371502454,0.003851946371502454,0.003851946371502454,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,55.48343770763381,0.2,0.4,0.0030814887558981026,21356275.25647804,1.0515,0.0149,12943197.125138208,318208.5013215228,318208.5013215228,38008.78408709502,1817020.341012186,32034.41288471706,1067813.762823902,21356.275256478042,19220.64773083024,170850.20205182434,64068.82576943412,42712.550512956084,0.7471795152470027,0.34622913837839336,0.25446976097965973,0.13085096979841465,0.015629646090534976,0.34622913837839336,0.25446976097965973,0.13085096979841465,0.015629646090534976,0.015629646090534976,0.2,0.2,0.0,-0.003851946371502454,0.0,0.0,0.0,0.0,-0.003851946371502454,0.0,0.0,0.0,0.0,-0.003851946371502454,1.65,12943197.125138208,1.7583333333333333,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,26927311.80445347,0.0,0.0,81.64742847497772,55932.35762579622,28314068.36238283,457149.3035121529,19355231.2,0.6,911.054,113.36519665624996,0.011336519665624998,0.011336519665624998,0.011336519665624998,113.36519665593569,1.798816337030468e-15,1.798816337030468e-15,1.7988159342744462e-15,1.798815914098873e-14,0.005668071276214607,0.005668071276214607,0.005668071276213353,1.0,1,1.0,1.0,0.5,0.5,0.5,0.005668385537210528,0.005668385537210528,0.005668385537211632,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,81.64742847497772,0.2,0.4,0.004534607863903008,26927311.80445347,1.0515,0.0149,16319582.911789984,401216.9458863567,401216.9458863567,55932.35762579622,2299020.083446212,40390.9677066802,1346365.5902226735,26927.31180445347,24234.580624008126,215418.49443562777,80781.9354133604,53854.62360890694,0.6424343936956468,0.29665519309714655,0.2180341505465753,0.11211540396139004,0.01562964609053498,0.29665519309714655,0.2180341505465753,0.11211540396139004,0.01562964609053498,0.015629646090534976,0.19999999999999998,0.19999999999999998,0.0,-0.005668385537210528,0.0,0.0,0.0,0.0,-0.005668385537210528,0.0,0.0,0.0,0.0,-0.005668385537211632,1.65,16319582.911789984,2.5875,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,31814591.45209474,0.0,0.0,107.81141924232162,73855.93116449742,33453042.911877625,547893.3438007092,19355231.2,0.6,911.054,149.69317432870363,0.014969317432870366,0.014969317432870366,0.014969317432870366,149.69317432828865,2.3752860640380396e-15,2.3752860640380396e-15,2.3752855708142725e-15,2.3752855440726326e-14,0.007484409736707034,0.007484409736707034,0.00748440973670753,1.0,1,1.0,1.0,0.5,0.5,0.5,0.007484824702919389,0.007484824702919389,0.007484824702919389,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,107.81141924232162,0.2,0.4,0.00598772697137073,31814591.45209474,1.0515,0.0149,19281570.577027116,474037.41263621167,474037.41263621167,73855.93116449742,2724061.7930204226,47721.88717814211,1590729.5726047372,31814.59145209474,28633.13230688527,254516.73161675793,95443.77435628422,63629.18290418948,0.57647532273107,0.2654379743248467,0.1950902751794043,0.10031742713628407,0.015629646090534976,0.2654379743248467,0.1950902751794043,0.10031742713628407,0.015629646090534976,0.015629646090534976,0.2,0.2,0.0,-0.007484824702919389,0.0,0.0,0.0,0.0,-0.007484824702919389,0.0,0.0,0.0,0.0,-0.007484824702919389,1.65,19281570.577027116,3.4166666666666665,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,36244536.4390904,0.0,0.0,133.97541000966552,91779.50470319863,38111130.06570356,631823.0976456457,19355231.2,0.6,911.054,186.02115200115733,0.018602115200115732,0.018602115200115732,0.018602115200115732,186.02115200064165,2.9517587493453566e-15,2.9517587493453566e-15,2.9517581676749118e-15,2.951758125108854e-14,0.00930074819720043,0.00930074819720043,0.009300748197202308,1.0,1,1.0,1.0,0.5,0.5,0.5,0.009301263868628906,0.009301263868628906,0.00930126386862742,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,133.97541000966552,0.2,0.4,0.007440846078615987,36244536.4390904,1.0515,0.0149,21966385.72066085,540043.5929424469,540043.5929424469,91779.50470319863,3111006.8009507377,54366.8046586356,1812226.8219545202,36244.5364390904,32620.082795181363,289956.2915127232,108733.6093172712,72489.0728781808,0.5297907789037438,0.24334303580266325,0.17885104773906246,0.09196704927148304,0.015629646090534972,0.24334303580266325,0.17885104773906246,0.09196704927148304,0.015629646090534972,0.015629646090534976,0.19999999999999998,0.19999999999999998,0.0,-0.009301263868628906,0.0,0.0,0.0,0.0,-0.009301263868628906,0.0,0.0,0.0,0.0,-0.00930126386862742,1.65,21966385.72066085,4.245833333333333,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,40339119.28745183,0.0,0.0,160.13940077700943,109703.07824189983,42416583.93075561,710755.9556249322,19355231.2,0.6,911.054,222.349129673611,0.022234912967361103,0.022234912967361103,0.022234912967361103,222.3491296729946,3.5282334881339877e-15,3.5282334881339877e-15,3.528232819464033e-15,3.5282327759734475e-14,0.011117086657694989,0.011117086657694989,0.011117086657694812,1.0,1,1.0,1.0,0.5,0.5,0.5,0.01111770303433692,0.01111770303433692,0.01111770303433692,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,160.13940077700943,0.2,0.4,0.008893965185747822,40339119.28745183,1.0515,0.0149,24447951.083304144,601052.8773830323,601052.8773830323,109703.07824189983,3470015.6115235826,60508.678931177754,2016955.9643725918,40339.11928745183,36305.207358706655,322712.95429961465,121017.35786235551,80678.23857490366,0.4943809855285394,0.22658422992031033,0.1665337443856801,0.08563336513201403,0.01562964609053498,0.22658422992031033,0.1665337443856801,0.08563336513201403,0.01562964609053498,0.01562964609053498,0.2,0.2,0.0,-0.01111770303433692,0.0,0.0,0.0,0.0,-0.01111770303433692,0.0,0.0,0.0,0.0,-0.01111770303433692,1.65,24447951.083304144,5.074999999999999,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,44173310.63429711,0.0,0.0,186.3033915443533,127626.65178060101,46448236.13196342,785808.9802316279,19355231.2,0.6,911.054,258.6771073460647,0.025867710734606475,0.025867710734606475,0.025867710734606475,258.67710734534757,4.104709037322897e-15,4.104709037322897e-15,4.104709035613061e-15,4.104708976858764e-14,0.012933425118190846,0.012933425118190846,0.012933425118191327,1.0,1,1.0,1.0,0.5,0.5,0.5,0.012934142200043217,0.012934142200043217,0.012934142200043217,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,186.3033915443533,0.2,0.4,0.010347084292814022,44173310.63429711,1.0515,0.0149,26771703.414725523,658182.3284510269,658182.3284510269,127626.65178060101,3807333.3975634025,66259.96595144567,2208665.5317148557,44173.31063429711,39755.97957086741,353386.48507437686,132519.93190289135,88346.62126859422,0.46626055547462897,0.21327534603024584,0.15675204744857996,0.0806035159052682,0.015629646090534972,0.21327534603024584,0.15675204744857996,0.0806035159052682,0.015629646090534972,0.015629646090534972,0.19999999999999996,0.19999999999999996,0.0,-0.012934142200043217,0.0,0.0,0.0,0.0,-0.012934142200043217,0.0,0.0,0.0,0.0,-0.012934142200043217,1.65,26771703.414725523,5.904166666666666,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,47797243.69425868,0.0,0.0,212.46738231169718,145550.2253193022,50258801.74451301,857729.1563637566,19355231.2,0.6,911.054,295.00508501851834,0.029500508501851843,0.029500508501851843,0.029500508501851843,295.0050850177005,4.681186466414537e-15,4.681186466414537e-15,4.681186462972513e-15,4.681186391716747e-14,0.014749763578682086,0.014749763578682086,0.014749763578682493,1.0,1,1.0,1.0,0.5,0.5,0.5,0.014750581365753518,0.014750581365753518,0.014750581365753518,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,212.46738231169718,0.2,0.4,0.011800203399838831,47797243.69425868,1.0515,0.0149,28968026.4813689,712178.9310444543,712178.9310444543,145550.2253193022,4127136.3352594357,71695.86554138802,2389862.1847129343,47797.24369425869,43017.51932483282,382377.9495540695,143391.73108277604,95594.48738851737,0.4431850252789546,0.20235412073293924,0.14872521988569204,0.07647603856978831,0.015629646090534976,0.20235412073293924,0.14872521988569204,0.07647603856978831,0.015629646090534976,0.015629646090534976,0.19999999999999998,0.19999999999999998,0.0,-0.014750581365753518,0.0,0.0,0.0,0.0,-0.014750581365753518,0.0,0.0,0.0,0.0,-0.014750581365753518,1.65,28968026.4813689,6.7333333333333325,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,51246477.251786105,0.0,0.0,238.63137307904123,163473.7988580035,53885670.830253094,927046.3099096165,19355231.2,0.6,911.054,331.3330626909721,0.03313330626909721,0.03313330626909721,0.03313330626909721,331.33306269005357,5.257664854428627e-15,5.257664854428627e-15,5.257664849705254e-15,5.2576647889443927e-14,0.016566102039177123,0.016566102039177123,0.01656610203917468,1.0,1,1.0,1.0,0.5,0.5,0.5,0.016567020531461744,0.016567020531461744,0.016567020531461744,0,-1,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,238.63137307904123,0.2,0.4,0.013253322506835865,51246477.251786105,1.0515,0.0149,31058471.06168855,763572.511051613,763572.511051613,163473.7988580035,4432386.527680978,76869.71587767916,2562323.8625893053,51246.477251786106,46121.8295266075,409971.81801428885,153739.43175535832,102492.95450357221,0.4237782032843314,0.19316922775276693,0.1419745531675899,0.07300477627343965,0.01562964609053498,0.19316922775276693,0.1419745531675899,0.07300477627343965,0.01562964609053498,0.01562964609053498,0.2,0.2,0.0,-0.016567020531461744,0.0,0.0,0.0,0.0,-0.016567020531461744,0.0,0.0,0.0,0.0,-0.016567020531461744,1.65,31058471.06168855,7.562499999999999,default,AnaerobicDigestionReactiveZO,anaerobic_digestion_reactive,,,,,
