fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.anaerobic_mbr_mec.unit_capex[default],fs.costing.anaerobic_mbr_mec.unit_opex[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[cod],fs.unit.properties_in[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[cod],fs.unit.properties_treated[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,cod]","fs.unit.removal_frac_mass_comp[0.0,nonbiodegradable_cod]","fs.unit.reaction_conversion[0.0,cod_to_nonbiodegradable_cod]","fs.unit.extent_of_reaction[0.0,cod_to_nonbiodegradable_cod]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,H2O]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,cod]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,nonbiodegradable_cod]",fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.unit.costing.fixed_operating_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[AnaerobicMBRMECZO],fs.costing.LCOW_aggregate_indirect_capex[AnaerobicMBRMECZO],fs.costing.LCOW_aggregate_fixed_opex[AnaerobicMBRMECZO],fs.costing.LCOW_aggregate_variable_opex[AnaerobicMBRMECZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,H2O]","fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,cod]","fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,nonbiodegradable_cod]",fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6002951.876619884,1041969.7065608489,0.0,1.6147608881090283,1106.187728882874,6312103.898265809,1132519.8772513678,7.18,5.63,4.381263638888887,0.0004381263638888888,0.0004381263638888888,1.7384854119111104,0.0002190631819444496,5.220988870078987e-18,2.642778226977777,5.2182061127237304e-18,0.0006571895458333384,0.3968,0,1,0.5,0.0002190631819444444,0,-1,1,1.6147608881090283,6002951.876619884,1041969.7065608489,1.0515,0.0149,3638152.6524968995,89443.98296163627,1131413.6895224852,1106.187728882874,1543131.2942093667,9004.427814929826,300147.5938309942,6002.951876619884,5402.656688957896,48023.615012959075,18008.855629859652,12005.903753239769,11.158676164818349,1.7113845023178647,1.257824824591073,8.181467783849387,0.007999054060026814,1.7113845023178647,1.257824824591073,8.181467783849387,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.0,-0.0002190631819444444,0.0002190631819444444,0.004382139891616665,1.65,3638152.6524968995,100,0.9,0.9,0.1,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55777427.85359309,9681635.190127889,0.0,15.003819918679719,10278.327647536702,58649965.38805314,10522997.192793963,7.18,5.63,40.70924131134258,0.004070924131134258,0.004070924131134258,16.153426952340734,0.0020354620655671295,3.5024783378655954e-23,24.555814359001847,1.999409837444738e-19,0.006106386196701388,0.3968,0,1,0.5,0.002035462065567129,0,-1,1,15.003819918679719,55777427.85359309,9681635.190127889,1.0515,0.0149,33804501.72945036,831083.675018537,10512718.865146426,10278.327647536702,14338261.60869537,83666.14178038963,2788871.3926796545,55777.42785359309,50199.68506823378,446219.42282874475,167332.28356077927,111554.85570718619,11.15867616481835,1.7113845023178647,1.2578248245910726,8.181467783849387,0.007999054060026812,1.7113845023178647,1.2578248245910726,8.181467783849387,0.007999054060026812,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.0,-0.002035462065567129,0.002035462065567129,0.04071738315960485,1.65,33804501.72945036,100,0.9,0.9,0.9291666666666666,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,105551903.83056629,18321300.673694927,0.0,28.392878949250413,19450.46756619053,110987826.87784046,19913474.50833656,7.18,5.63,77.03721898379627,0.007703721898379629,0.007703721898379629,30.568368492770357,0.003851860948017329,1.3580112589151175e-16,46.46885049102591,-2.4390461219479626e-16,0.011555582847920878,0.3968,0,1,0.5,0.0038518609496587617,0,-1,1,28.392878949250413,105551903.83056629,18321300.673694927,1.0515,0.0149,63970850.806403816,1572723.3670754377,19894024.040770367,19450.46756619053,27133391.923181374,158327.85574584943,5277595.191528315,105551.90383056628,94996.71344750967,844415.2306445303,316655.71149169886,211103.80766113257,11.158676164818354,1.7113845023178647,1.2578248245910728,8.181467783849389,0.007999054060026814,1.7113845023178647,1.2578248245910728,8.181467783849389,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.0,-0.0038518609496587617,0.0038518609496587617,0.07705262642759303,1.65,63970850.806403816,100,0.9,0.9,1.7583333333333333,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,155326379.8075395,26960966.157261968,0.0,41.781937979821095,28622.607484844353,163325688.3676278,29303951.82387915,7.18,5.63,113.36519665624996,0.011336519665624998,0.011336519665624998,44.983310033199984,0.005668259832812497,4.772007499206682e-19,68.38188662304998,9.753538417857225e-23,0.017004779498437497,0.3968,0,1,0.5,0.005668259832812499,0,-1,1,41.781937979821095,155326379.8075395,26960966.157261968,1.0515,0.0149,94137199.88335727,2314363.0591323385,29275329.216394305,28622.607484844353,39928522.23766737,232989.56971130925,7766318.990376975,155326.3798075395,139793.74182678555,1242611.038460316,465979.1394226185,310652.759615079,11.15867616481835,1.7113845023178649,1.2578248245910728,8.181467783849387,0.007999054060026812,1.7113845023178649,1.2578248245910728,8.181467783849387,0.007999054060026812,0.007999054060026812,0.10235745599986285,0.10235745599986285,0.0,-0.005668259832812499,0.005668259832812499,0.11338786969558122,1.65,94137199.88335727,100,0.9,0.9,2.5875,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,205100855.7845127,35600631.640829,0.0,55.17099701039179,37794.74740349818,215663549.8574151,38694429.13942173,7.18,5.63,149.69317432870363,0.014969317432870366,0.014969317432870366,59.3982515736296,0.007484658716435184,1.2879410152224546e-22,90.29492275507404,1.685280673193414e-18,0.02245397614930555,0.3968,0,1,0.5,0.007484658716435183,0,-1,1,55.17099701039179,205100855.7845127,35600631.640829,1.0515,0.0149,124303548.96031073,3056002.7511892393,38656634.392018236,37794.74740349818,52723652.55215336,307651.28367676906,10255042.789225636,205100.8557845127,184590.77020606145,1640806.8462761017,615302.5673535381,410201.7115690254,11.158676164818349,1.7113845023178647,1.2578248245910726,8.181467783849385,0.007999054060026812,1.7113845023178647,1.2578248245910726,8.181467783849385,0.007999054060026812,0.007999054060026812,0.10235745599986287,0.10235745599986287,0.0,-0.007484658716435183,0.007484658716435183,0.14972311296356938,1.65,124303548.96031073,100,0.9,0.9,3.4166666666666665,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,254875331.76148587,44240297.12439604,0.0,68.56005604096248,46966.88732215201,268001411.34720242,48084906.45496433,7.18,5.63,186.02115200115733,0.018602115200115732,0.018602115200115732,73.81319311405923,0.009301057600057866,1.6005023364192985e-22,112.2079588870981,2.094105625450671e-18,0.0279031728001736,0.3968,0,1,0.5,0.009301057600057866,0,-1,1,68.56005604096248,254875331.76148587,44240297.12439604,1.0515,0.0149,154469898.03726417,3797642.4432461397,48037939.56764218,46966.88732215201,65518782.86663937,382312.99764222885,12743766.588074295,254875.33176148587,229387.7985853373,2039002.654091887,764625.9952844577,509750.66352297174,11.158676164818353,1.7113845023178649,1.2578248245910733,8.181467783849389,0.007999054060026815,1.7113845023178649,1.2578248245910733,8.181467783849389,0.007999054060026815,0.007999054060026815,0.10235745599986287,0.10235745599986287,0.0,-0.009301057600057866,0.009301057600057866,0.18605835623155756,1.65,154469898.03726417,100,0.9,0.9,4.245833333333333,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,304649807.73845905,52879962.60796307,0.0,81.94911507153317,56139.02724080584,320339272.8369897,57475383.77050691,7.18,5.63,222.349129673611,0.022234912967361103,0.022234912967361103,88.22813465448884,0.011117456483680555,2.6482433308731518e-18,134.12099501912215,3.4790029736068825e-18,0.03335236945104166,0.3968,0,1,0.5,0.011117456483680552,0,-1,1,81.94911507153317,304649807.73845905,52879962.60796307,1.0515,0.0149,184636247.1142176,4539282.13530304,57419244.74326611,56139.02724080584,78313913.18112534,456974.7116076886,15232490.386922954,304649.807738459,274184.82696461317,2437198.461907672,913949.4232153771,609299.615476918,11.158676164818349,1.7113845023178644,1.2578248245910728,8.181467783849387,0.007999054060026814,1.7113845023178644,1.2578248245910728,8.181467783849387,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.0,-0.011117456483680552,0.011117456483680552,0.22239359949954574,1.65,184636247.1142176,100,0.9,0.9,5.074999999999999,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,354424283.7154322,61519628.09153011,0.0,95.33817410210385,65311.167159459656,372677134.32677704,66865861.086049505,7.18,5.63,258.6771073460647,0.025867710734606475,0.025867710734606475,102.64307619491846,0.012933855367303241,3.762696711572513e-18,156.03403115114625,3.0809188774996534e-18,0.03880156610190971,0.3968,0,1,0.5,0.012933855367303237,0,-1,1,95.33817410210385,354424283.7154322,61519628.09153011,1.0515,0.0149,214802596.19117105,5280921.82735994,66800549.918890044,65311.167159459656,91109043.49561135,531636.4255731483,17721214.18577161,354424.2837154322,318981.85534388904,2835394.2697234577,1063272.8511462966,708848.5674308644,11.158676164818349,1.7113845023178644,1.2578248245910726,8.181467783849385,0.007999054060026814,1.7113845023178644,1.2578248245910726,8.181467783849385,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.0,-0.012933855367303237,0.012933855367303237,0.25872884276753394,1.65,214802596.19117105,100,0.9,0.9,5.904166666666666,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,404198759.69240534,70159293.57509713,0.0,108.72723313267451,74483.30707811347,425014995.81656426,76256338.40159208,7.18,5.63,295.00508501851834,0.029500508501851843,0.029500508501851843,117.05801773534806,0.014750254250925923,3.90106889340464e-27,177.94706728317024,2.0908086540129307e-19,0.04425076275277777,0.3968,0,1,0.5,0.014750254250925923,0,-1,1,108.72723313267451,404198759.69240534,70159293.57509713,1.0515,0.0149,244968945.26812446,6022561.51941684,76181855.09451397,74483.30707811347,103904173.81009732,606298.139538608,20209937.98462027,404198.75969240535,363778.88372316485,3233590.077539243,1212596.279077216,808397.5193848107,11.158676164818349,1.7113845023178644,1.2578248245910726,8.181467783849387,0.007999054060026814,1.7113845023178644,1.2578248245910726,8.181467783849387,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.0,-0.014750254250925923,0.014750254250925923,0.29506408603552203,1.65,244968945.26812446,100,0.9,0.9,6.7333333333333325,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,453973235.66937876,78798959.0586642,0.0,122.11629216324528,83655.44699676735,477352857.3063518,85646815.71713471,7.18,5.63,331.3330626909721,0.03313330626909721,0.03313330626909721,131.4729592757583,0.016566645634390885,4.220025562139195e-16,199.86010341517652,4.220026783128586e-16,0.04969996165366814,0.3968,0,1,0.5,0.016566656134598123,0,-1,1,122.11629216324528,453973235.66937876,78798959.0586642,1.0515,0.0149,275135294.34507805,6764201.211473743,85563160.27013795,83655.44699676735,116699304.12458338,680959.8535040681,22698661.78346894,453973.2356693788,408575.9121024409,3631785.88535503,1361919.7070081362,907946.4713387575,11.158676164818353,1.7113845023178649,1.257824824591073,8.181467783849389,0.007999054060026815,1.7113845023178649,1.257824824591073,8.181467783849389,0.007999054060026815,0.007999054060026815,0.1023574559998629,0.1023574559998629,0.0,-0.016566656134598123,0.016566656134598123,0.3313993293035103,1.65,275135294.34507805,100,0.9,0.9,7.562499999999999,default,AnaerobicMBRMECZO,anaerobic_mbr_mec
