fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.bio_active_filtration.capital_a_parameter[default],fs.costing.bio_active_filtration.capital_b_parameter[default],fs.costing.bio_active_filtration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BioActiveFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[BioActiveFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[BioActiveFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[BioActiveFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295967,0.0,0.0,0.0,0.0,274008.8826093971,3882.7697107750996,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.337451002499998,0.00039431372749999994,0.04381263638888952,4.3812636388888886e-05,0.99,0.1,3.7694835252461893e-23,0.0,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.7697107750996,3882.7697107750996,0.0,21707.440749259422,390.88285678943953,13029.428559647984,260.5885711929597,234.52971407366374,2084.7085695436776,781.7657135788791,521.1771423859194,0.15698633214501317,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.8674788104940434e-25,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.8674788104940434e-25,0.0,0.0,2.3896623118356515e-24,1.0,260588.57119295967,0.1,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,962613.2726084039,0.0,0.0,0.0,0.0,1012187.8561477369,14342.93776186522,725570.0,0.5862,1.0,40.70924131134258,0.004070924131134258,40.302148898229156,0.0036638317180208322,0.4070924131134253,0.0004070924131134258,0.99,0.1,3.7694835252461893e-23,0.0,962613.2726084039,1.0515,0.014900000000000002,962613.2726084039,14342.93776186522,14342.93776186522,0.0,80187.21037510404,1443.919908912606,48130.6636304202,962.6132726084039,866.3519453475636,7700.906180867231,2887.839817825212,1925.2265452168078,0.06241151172451996,0.04873806966080587,0.0025100105875315083,0.011163431476182586,2.0098426660025575e-26,0.04873806966080587,0.0025100105875315083,0.011163431476182586,2.0098426660025575e-26,0.0,0.0,2.5718338782087724e-25,1.0,962613.2726084039,0.9291666666666666,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1399051.4744335848,0.0,0.0,0.0,0.0,1471102.6253669148,20845.86696906042,725570.0,0.5862,1.0,77.03721898379627,0.007703721898379629,76.26684679395831,0.0069333497085416656,0.7703721898379619,0.0007703721898379629,0.99,0.1,3.7694835252461893e-23,0.0,1399051.4744335848,1.0515,0.014900000000000002,1399051.4744335848,20845.86696906042,20845.86696906042,0.0,116543.20389954069,2098.577211650377,69952.57372167925,1399.0514744335849,1259.1463269902265,11192.411795468679,4197.154423300754,2798.1029488671697,0.04793348022950203,0.037431961411575614,0.0019277460126961492,0.008573772805230258,1.0620732571530105e-26,0.037431961411575614,0.0019277460126961492,0.008573772805230258,1.0620732571530105e-26,0.0,0.0,1.3590496560202756e-25,1.0,1399051.4744335848,1.7583333333333333,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1754631.132441607,0.0,0.0,0.0,0.0,1844994.6357623502,26144.00387337995,725570.0,0.5862,1.0,113.36519665624996,0.011336519665624998,112.23154468968747,0.010202867699062498,1.1336519665624984,0.0011336519665624998,0.99,0.1,3.7694835252461893e-23,0.0,1754631.132441607,1.0515,0.014900000000000002,1754631.132441607,26144.00387337995,26144.00387337995,0.0,146163.552645133,2631.9466986624107,87731.55662208036,1754.6311324416072,1579.1680191974465,14037.049059532857,5263.893397324821,3509.2622648832144,0.040851870856228566,0.03190182824529919,0.0016429441546329101,0.007307098456296455,7.217309412537365e-27,0.03190182824529919,0.0016429441546329101,0.007307098456296455,7.217309412537365e-27,0.0,0.0,9.23540990081411e-26,1.0,1754631.132441607,2.5875,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2065157.6718641433,0.0,0.0,0.0,0.0,2171513.291965147,30770.84931077574,725570.0,0.5862,1.0,149.69317432870363,0.014969317432870366,148.1962425854166,0.01347238568958333,1.4969317432870408,0.0014969317432870367,0.99,0.1,3.7694835252461893e-23,0.0,2065157.6718641433,1.0515,0.014900000000000002,2065157.6718641433,30770.84931077574,30770.84931077574,0.0,172030.90524900414,3097.736507796215,103257.88359320717,2065.1576718641436,1858.6419046777291,16521.26137491315,6195.47301559243,4130.315343728287,0.036413052085814294,0.028435489224397884,0.0014644276950564947,0.006513135166359918,5.465791640470372e-27,0.028435489224397884,0.0014644276950564947,0.006513135166359918,5.465791640470372e-27,0.0,0.0,6.994133595616542e-26,1.0,2065157.6718641433,3.4166666666666665,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2345671.771338338,0.0,0.0,0.0,0.0,2466473.867562263,34950.50939294124,725570.0,0.5862,1.0,186.02115200115733,0.018602115200115732,184.16094048114576,0.01674190368010416,1.8602115200115712,0.0018602115200115736,0.99,0.1,3.7694835252461893e-23,0.0,2345671.771338338,1.0515,0.014900000000000002,2345671.771338338,34950.50939294124,34950.50939294124,0.0,195398.17406586645,3518.507657007507,117283.58856691691,2345.671771338338,2111.1045942045043,18765.374170706706,7037.015314015014,4691.343542676676,0.03328210428953518,0.025990485929605924,0.0013385100253747052,0.005953108334554544,4.398379926580671e-27,0.025990485929605924,0.0013385100253747052,0.005953108334554544,4.398379926580671e-27,0.0,0.0,5.628252746227246e-26,1.0,2345671.771338338,4.245833333333333,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2604245.816394803,0.0,0.0,-4.8603846081816915e-31,-3.329593781231254e-28,2738364.4759391355,38803.26266428257,725570.0,0.5862,1.0,222.349129673611,0.022234912967361103,220.1256383768749,0.020011421670624994,2.2234912967361073,0.0022234912967361103,0.99,0.1,3.7694835252461893e-23,0.0,2604245.816394803,1.0515,0.014900000000000002,2604245.816394803,38803.26266428257,38803.26266428257,-3.329593781231254e-28,216937.80159697283,3906.3687245922047,130212.29081974016,2604.245816394803,2343.821234755323,20833.966531158425,7812.737449184409,5208.491632789606,0.030913800974184325,0.02414104295390984,0.001243263712126358,0.005529494308148126,3.679761202943928e-27,0.02414104295390984,0.001243263712126358,0.005529494308148126,3.679761202943928e-27,-4.7446963470704364e-35,-6.071405992925735e-34,4.7086942105135994e-26,1.0,2604245.816394803,5.074999999999999,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2845827.298267036,0.0,0.0,0.0,0.0,2992387.4041277887,42402.82674417884,725570.0,0.5862,1.0,258.6771073460647,0.025867710734606475,256.0903362726041,0.02328093966114614,2.586771073460614,0.002586771073460956,0.99,0.1,5.218206108668607e-19,0.0,2845827.298267036,1.0515,0.014900000000000002,2845827.298267036,42402.82674417884,42402.82674417884,0.0,237061.921698835,4268.740947400554,142291.3649133518,2845.8272982670364,2561.244568440333,22766.61838613629,8537.481894801109,5691.654596534073,0.02903731196174238,0.022675665018348612,0.0011677967484449562,0.00519385019494881,4.3786119051121746e-23,0.022675665018348612,0.0011677967484449562,0.00519385019494881,4.3786119051121746e-23,0.0,0.0,5.602957200372925e-22,1.0,2845827.298267036,5.904166666666666,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3073716.8499491517,0.0,0.0,0.0,0.0,3232013.2677215333,45798.38106424236,725570.0,0.5862,1.0,295.00508501851834,0.029500508501851843,292.0550341683332,0.026550457651667008,2.9500508501851463,0.0029500508501855358,0.99,0.1,5.218206108668607e-19,0.0,3073716.8499491517,1.0515,0.014900000000000002,3073716.8499491517,45798.38106424236,45798.38106424236,0.0,256045.48232802222,4610.575274923728,153685.8424974576,3073.7168499491518,2766.3451649542367,24589.734799593214,9221.150549847456,6147.4336998983035,0.027500476643788928,0.021475527660448742,0.0011059896745131128,0.004918959308827071,3.839414028183139e-23,0.021475527660448742,0.0011059896745131128,0.004918959308827071,3.839414028183139e-23,0.0,0.0,4.912989079782448e-22,1.0,3073716.8499491517,6.7333333333333325,default,BioActiveFiltrationZO,bio_active_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3290250.887166644,0.0,0.0,0.0,0.0,3459698.807855726,49024.738218783,725570.0,0.5862,1.0,331.3330626909721,0.03313330626909721,328.0197320640624,0.029819975642187885,3.3133306269097305,0.0033133306269101156,0.99,0.1,5.218206108668607e-19,0.0,3290250.887166644,1.0515,0.014900000000000002,3290250.887166644,49024.738218783,49024.738218783,0.0,274083.11061532004,4935.376330749966,164512.5443583322,3290.250887166644,2961.2257984499797,26322.007097333153,9870.752661499931,6580.501774333288,0.026210186139785905,0.020467920782660697,0.0010540979203070302,0.00468816743681818,3.418453481842397e-23,0.020467920782660697,0.0010540979203070302,0.00468816743681818,3.418453481842397e-23,0.0,0.0,4.374319753679578e-22,1.0,3290250.887166644,7.562499999999999,default,BioActiveFiltrationZO,bio_active_filtration
