fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.bioreactor.capital_a_parameter[default],fs.costing.bioreactor.capital_b_parameter[default],fs.costing.bioreactor.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BioreactorZO],fs.costing.LCOW_aggregate_indirect_capex[BioreactorZO],fs.costing.LCOW_aggregate_fixed_opex[BioreactorZO],fs.costing.LCOW_aggregate_variable_opex[BioreactorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,580699.917542051,0.0,0.0,0.0,0.0,610605.9632954666,8652.42877137656,1252160.0,1.0,45.0,4.381263638888887,0.0004381263638888888,4.249825729722221,0.00039431372749999994,0.97,0.1,3.7694835252461893e-23,0.0,580699.917542051,1.0515,0.014900000000000002,580699.917542051,8652.42877137656,8652.42877137656,0.0,48373.22295232134,871.0498763130764,29034.99587710255,580.6999175420509,522.6299257878459,4645.599340336407,1742.0997526261528,1161.3998350841018,0.34983096040821715,0.2731881546651232,0.014069189965253857,0.06257361577784012,1.8674788104940434e-25,0.2731881546651232,0.014069189965253857,0.06257361577784012,1.8674788104940434e-25,0.0,0.0,2.3896623118356515e-24,1.0,580699.917542051,0.1,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5395670.067161557,0.0,0.0,5.958345765448011e-36,4.08174920432953e-33,5673547.075620377,80395.4840007072,1252160.0,1.0,45.0,40.70924131134258,0.004070924131134258,39.4879640720023,0.003663831718020881,0.97,0.1,5.218206108668607e-19,0.0,5395670.067161557,1.0515,0.014900000000000002,5395670.067161557,80395.48400070722,80395.48400070722,4.08174920432953e-33,449467.86326531915,8093.505100742336,269783.5033580779,5395.670067161557,4856.103060445402,43165.36053729246,16187.010201484673,10791.340134323114,0.34983096040821715,0.2731881546651232,0.01406918996525391,0.06257361577784012,2.78228388768787e-22,0.2731881546651232,0.01406918996525391,0.06257361577784012,2.78228388768787e-22,3.1769173304681374e-39,4.0652453830953284e-38,3.560264732254902e-21,1.0,5395670.067161557,0.9291666666666666,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10210640.216781061,0.0,0.0,0.0,0.0,10736488.187945288,152138.5392300378,1252160.0,1.0,45.0,77.03721898379627,0.007703721898379629,74.72610241428238,0.006933349708541757,0.97,0.1,5.218206108668607e-19,0.0,10210640.216781061,1.0515,0.014900000000000002,10210640.216781061,152138.53923003783,152138.53923003783,0.0,850562.5035783169,15315.960325171593,510532.0108390531,10210.640216781061,9189.576195102956,81685.12173424849,30631.920650343185,20421.280433562122,0.34983096040821715,0.27318815466512314,0.014069189965253893,0.06257361577784011,1.4702590212189457e-22,0.27318815466512314,0.014069189965253893,0.06257361577784011,1.4702590212189457e-22,0.0,0.0,1.8813721215470222e-21,1.0,10210640.216781061,1.7583333333333333,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,15025610.36640057,0.0,0.0,0.0,0.0,15799429.3002702,223881.5944593685,1252160.0,1.0,45.0,113.36519665624996,0.011336519665624998,109.96424075656245,0.010202867699062633,0.97,0.1,5.218206108668607e-19,0.0,15025610.36640057,1.0515,0.014900000000000002,15025610.36640057,223881.59445936853,223881.59445936853,0.0,1251657.143891315,22538.415549600853,751280.5183200286,15025.61036640057,13523.049329760514,120204.88293120456,45076.83109920171,30051.22073280114,0.3498309604082172,0.2731881546651232,0.01406918996525387,0.06257361577784012,9.991132157075604e-23,0.2731881546651232,0.01406918996525387,0.06257361577784012,9.991132157075604e-23,0.0,0.0,1.2784847589256736e-21,1.0,15025610.36640057,2.5875,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,19840580.51602007,0.0,0.0,0.0,0.0,20862370.41259511,295624.64968869905,1252160.0,1.0,45.0,149.69317432870363,0.014969317432870366,145.20237909884253,0.013472385689583508,0.97,0.1,5.218206108668607e-19,0.0,19840580.51602007,1.0515,0.014900000000000002,19840580.51602007,295624.6496886991,295624.6496886991,0.0,1652751.7842043124,29760.870774030107,992029.0258010036,19840.580516020073,17856.522464418067,158724.64412816058,59521.741548060214,39681.161032040145,0.3498309604082172,0.2731881546651232,0.01406918996525391,0.06257361577784012,7.566454962858478e-23,0.2731881546651232,0.01406918996525391,0.06257361577784012,7.566454962858478e-23,0.0,0.0,9.682183357229798e-22,1.0,19840580.51602007,3.4166666666666665,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,24655550.66563958,0.0,0.0,-9.461711739369039e-33,-6.481720914461126e-30,25925311.52492002,367367.7049180298,1252160.0,1.0,45.0,186.02115200115733,0.018602115200115732,180.4405174411226,0.01674190368010416,0.97,0.1,3.769483525246234e-25,0.0,24655550.66563958,1.0515,0.014900000000000002,24655550.66563958,367367.7049180298,367367.7049180298,-6.481720914461126e-30,2053846.4245173102,36983.32599845937,1232777.533281979,24655.55066563958,22189.995599075624,197244.40532511665,73966.65199691874,49311.10133127916,0.3498309604082172,0.2731881546651232,0.014069189965253873,0.06257361577784012,4.398379926580723e-29,0.2731881546651232,0.014069189965253873,0.06257361577784012,4.398379926580723e-29,-1.1040293108268147e-36,-1.4127374406719647e-35,5.628252746227312e-28,1.0,24655550.66563958,4.245833333333333,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,29470520.81525908,0.0,0.0,-9.46320132581354e-33,-6.482741351762813e-30,30988252.637244925,439110.7601473603,1252160.0,1.0,45.0,222.349129673611,0.022234912967361103,215.67865578340266,0.020011421670624994,0.97,0.1,3.769483525246234e-25,0.0,29470520.81525908,1.0515,0.014900000000000002,29470520.81525908,439110.7601473603,439110.7601473603,-6.482741351762813e-30,2454941.064830308,44205.781222888625,1473526.0407629542,29470.520815259082,26523.468733733174,235764.16652207266,88411.56244577725,58941.041630518164,0.3498309604082172,0.2731881546651232,0.014069189965253883,0.06257361577784011,3.6797612029439713e-29,0.2731881546651232,0.014069189965253883,0.06257361577784011,3.6797612029439713e-29,-9.237955507995096e-37,-1.1821068058089633e-35,4.708694210513655e-28,1.0,29470520.81525908,5.074999999999999,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,34285490.96487858,0.0,0.0,0.0,0.0,36051193.74956983,510853.81537669094,1252160.0,1.0,45.0,258.6771073460647,0.025867710734606475,250.9167941256827,0.02328093966114583,0.97,0.1,3.769483525246234e-25,0.0,34285490.96487858,1.0515,0.014900000000000002,34285490.96487858,510853.81537669094,510853.81537669094,0.0,2856035.7051433055,51428.236447317875,1714274.5482439292,34285.49096487858,30856.941868390728,274283.92771902867,102856.47289463575,68570.98192975717,0.3498309604082172,0.2731881546651232,0.01406918996525386,0.06257361577784011,3.162984576701311e-29,0.2731881546651232,0.01406918996525386,0.06257361577784011,3.162984576701311e-29,0.0,0.0,4.047416759637002e-28,1.0,34285490.96487858,5.904166666666666,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,39100461.11449808,0.0,0.0,-9.46320132581354e-33,-6.482741351762813e-30,41114134.861894734,582596.8706060214,1252160.0,1.0,45.0,295.00508501851834,0.029500508501851843,286.1549324679628,0.026550457651666654,0.97,0.1,3.769483525246234e-25,0.0,39100461.11449808,1.0515,0.014900000000000002,39100461.11449808,582596.8706060215,582596.8706060215,-6.482741351762813e-30,3257130.3454563026,58650.69167174712,1955023.055724904,39100.46111449808,35190.41500304827,312803.68891598465,117301.38334349424,78200.92222899616,0.34983096040821715,0.27318815466512314,0.014069189965253921,0.06257361577784011,2.77348338192188e-29,0.27318815466512314,0.014069189965253921,0.06257361577784011,2.77348338192188e-29,-6.962765970753731e-37,-8.909691147743301e-36,3.549003433419327e-28,1.0,39100461.11449808,6.7333333333333325,default,BioreactorZO,bioreactor
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,43915431.2641176,0.0,0.0,0.0,0.0,46177075.974219665,654339.9258353523,1252160.0,1.0,45.0,331.3330626909721,0.03313330626909721,321.39307081024293,0.02981997564218749,0.97,0.1,3.769483525246234e-25,0.0,43915431.2641176,1.0515,0.014900000000000002,43915431.2641176,654339.9258353523,654339.9258353523,0.0,3658224.9857693017,65873.1468961764,2195771.56320588,43915.4312641176,39523.88813770584,351323.4501129408,131746.2937923528,87830.8625282352,0.3498309604082172,0.2731881546651232,0.01406918996525383,0.06257361577784011,2.4693934684219045e-29,0.2731881546651232,0.01406918996525383,0.06257361577784011,2.4693934684219045e-29,0.0,0.0,3.159884048708337e-28,1.0,43915431.2641176,7.562499999999999,default,BioreactorZO,bioreactor
