fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.blending_reservoir.capital_a_parameter[default],fs.costing.blending_reservoir.capital_b_parameter[default],fs.costing.blending_reservoir.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BlendingReservoirZO],fs.costing.LCOW_aggregate_indirect_capex[BlendingReservoirZO],fs.costing.LCOW_aggregate_fixed_opex[BlendingReservoirZO],fs.costing.LCOW_aggregate_variable_opex[BlendingReservoirZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9481.328780986158,0.0,0.0,7.752254526115636e-29,5.3106617153735e-26,9969.617213206946,141.27179883669376,2000000.0,0.7,50000.0,4.381263638888887,0.0004381263638888888,3.769483525243404e-21,0.0,9481.328780986158,1.0515,0.014900000000000002,9481.328780986158,141.27179883669376,141.27179883669376,5.3106617153735e-26,789.8097057568332,14.221993171479237,474.0664390493079,9.481328780986157,8.533195902887543,75.85063024788926,28.443986342958475,18.962657561972314,0.005711835413095733,0.004460456485708669,0.0002297135090139967,0.0010216654183730673,1.8674788104926634e-23,0.004460456485708669,0.0002297135090139967,0.0010216654183730673,1.8674788104926634e-23,3.840624574722714e-31,4.914538118748238e-30,2.3896623118338856e-22,1.0,9481.328780986158,0.1,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,45137.21316970781,0.0,0.0,0.0,0.0,47461.77964794776,672.5444762286463,2000000.0,0.7,50000.0,40.70924131134258,0.004070924131134258,5.218206108982621e-17,0.0,45137.21316970804,1.0515,0.014900000000000002,45137.21316970804,672.5444762286464,672.5444762286464,0.0,3760.001353791512,67.70581975456172,2256.8606584853906,45.137213169707806,40.62349185273703,361.09770535766245,135.41163950912343,90.27442633941561,0.002926493732337492,0.0022853421019209297,0.00011769511824892827,0.0005234565121676495,2.782283887855299e-20,0.0022853421019209297,0.00011769511824892827,0.0005234565121676495,2.782283887855299e-20,0.0,0.0,3.560264732469147e-19,1.0,45137.21316970804,0.9291666666666666,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,70540.74681015116,0.0,0.0,0.0,0.0,74173.59527087395,1051.0571274712524,2000000.0,0.7,50000.0,77.03721898379627,0.007703721898379629,5.218206108982621e-17,0.0,70540.74681015153,1.0515,0.014900000000000002,70540.74681015153,1051.0571274712524,1051.0571274712524,0.0,5876.155944905218,105.81112021522675,3527.0373405075584,70.54074681015116,63.48667212913605,564.3259744812093,211.6222404304535,141.08149362030233,0.002416825652514047,0.0018873347841689193,9.719774138469932e-05,0.00043229312696044123,1.470259021307421e-20,0.0018873347841689193,9.719774138469932e-05,0.00043229312696044123,1.470259021307421e-20,0.0,0.0,1.8813721216602368e-19,1.0,70540.74681015153,1.7583333333333333,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,92445.43229626991,0.0,0.0,0.0,0.0,97206.37205952781,1377.4369412144217,2000000.0,0.7,50000.0,113.36519665624996,0.011336519665624998,5.218206108982621e-17,0.0,92445.43229627039,1.0515,0.014900000000000002,92445.43229627039,1377.4369412144217,1377.4369412144217,0.0,7700.850942634005,138.66814844440486,4622.271614813496,92.44543229626991,83.20088906664293,739.5634583701593,277.3362968888097,184.89086459253983,0.0021523434707101437,0.0016807967490433202,8.656103257573116e-05,0.00038498568909110375,9.991132157676837e-21,0.0016807967490433202,8.656103257573116e-05,0.00038498568909110375,9.991132157676837e-21,0.0,0.0,1.2784847590026084e-19,1.0,92445.43229627039,2.5875,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,112302.91629008645,0.0,0.0,0.0,0.0,118086.51647902592,1673.3134527222883,2000000.0,0.7,50000.0,149.69317432870363,0.014969317432870366,5.218206108982621e-17,0.0,112302.91629008703,1.0515,0.014900000000000002,112302.91629008703,1673.3134527222883,1673.3134527222883,0.0,9355.010813313653,168.45437443512967,5615.1458145043225,112.30291629008644,101.07262466107781,898.4233303206915,336.90874887025933,224.6058325801729,0.001980135461796728,0.0015463169759588724,7.963532426188224e-05,0.0003541831615759836,7.566454963313802e-21,0.0015463169759588724,7.963532426188224e-05,0.0003541831615759836,7.566454963313802e-21,0.0,0.0,9.68218335781244e-20,1.0,112302.91629008703,3.4166666666666665,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,130750.47230678807,0.0,0.0,0.0,0.0,137484.12163058764,1948.1820373711425,2000000.0,0.7,50000.0,186.02115200115733,0.018602115200115732,5.218206108982621e-17,0.0,130750.47230678875,1.0515,0.014900000000000002,130750.47230678875,1948.1820373711425,1948.1820373711425,0.0,10891.721450192163,196.1257084601821,6537.5236153394035,130.75047230678808,117.67542507610928,1046.0037784543047,392.2514169203642,261.50094461357617,0.001855183196725618,0.0014487399099491307,7.461010536238051e-05,0.00033183318141411677,6.0888057604684174e-21,0.0014487399099491307,7.461010536238051e-05,0.00033183318141411677,6.0888057604684174e-21,0.0,0.0,7.791354615707752e-20,1.0,130750.47230678875,4.245833333333333,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,148140.71598832766,0.0,0.0,8.077920766362812e-28,5.533758522664532e-25,155769.96286172656,2207.2966682260826,2000000.0,0.7,50000.0,222.349129673611,0.022234912967361103,5.218206108982621e-17,0.0,148140.71598832845,1.0515,0.014900000000000002,148140.71598832845,2207.2966682260826,2207.2966682260826,5.533758522664532e-25,12340.35629478278,222.21107398249148,7407.035799416383,148.14071598832766,133.3266443894949,1185.1257279066213,444.42214796498297,296.2814319766553,0.0017585101150612973,0.0013732464751918154,7.07221934723785e-05,0.0003145414463971124,5.0940008784214426e-21,0.0013732464751918154,7.07221934723785e-05,0.0003145414463971124,5.0940008784214426e-21,7.885647791649546e-32,1.0090628726935728e-30,6.518382884569951e-20,1.0,148140.71598832845,5.074999999999999,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,164694.93103553003,0.0,0.0,2.9791728827240054e-36,2.0408746074212055e-33,173176.71998385983,2453.954472429398,2000000.0,0.7,50000.0,258.6771073460647,0.025867710734606475,5.218206108982621e-17,0.0,164694.9310355309,1.0515,0.014900000000000002,164694.9310355309,2453.954472429398,2453.954472429398,2.0408746074212055e-33,13719.348629874688,247.04239655329505,8234.746551776501,164.69493103553003,148.22543793197704,1317.5594482842403,494.0847931065901,329.38986207106007,0.0016804597010888565,0.0013122957561957067,6.758323144407921e-05,0.00030058071344907987,4.378611905375665e-21,0.0013122957561957067,6.758323144407921e-05,0.00030058071344907987,4.378611905375665e-21,2.4998326270962343e-40,3.198834581617003e-39,5.602957200710092e-20,1.0,164694.9310355309,5.904166666666666,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,180563.63413502096,0.0,0.0,0.0,0.0,189862.66129297455,2690.3981486118128,2000000.0,0.7,50000.0,295.00508501851834,0.029500508501851843,5.218206108982621e-17,0.0,180563.6341350219,1.0515,0.014900000000000002,180563.6341350219,2690.3981486118128,2690.3981486118128,0.0,15041.236733880287,270.8454512025314,9028.181706751047,180.56363413502095,162.50727072151886,1444.5090730801676,541.6909024050628,361.1272682700419,0.0016154988392408165,0.0012615668614374671,6.497069336402973e-05,0.0002889612844393278,3.839414028414182e-21,0.0012615668614374671,6.497069336402973e-05,0.0002889612844393278,3.839414028414182e-21,0.0,0.0,4.9129890800780946e-20,1.0,180563.6341350219,6.7333333333333325,default,BlendingReservoirZO,blending_reservoir
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,195855.1420209292,0.0,0.0,0.0,0.0,205941.68183500707,2918.2416161118454,2000000.0,0.7,50000.0,331.3330626909721,0.03313330626909721,5.218206108982621e-17,0.0,195855.14202093022,1.0515,0.014900000000000002,195855.14202093022,2918.2416161118454,2918.2416161118454,0.0,16315.04356232478,293.7827130313938,9792.75710104646,195.8551420209292,176.26962781883628,1566.8411361674337,587.5654260627877,391.7102840418584,0.0015601848931414825,0.001218371385415305,6.274612634888831e-05,0.0002790673813772974,3.4184534820481084e-21,0.001218371385415305,6.274612634888831e-05,0.0002790673813772974,3.4184534820481084e-21,0.0,0.0,4.3743197539428096e-20,1.0,195855.14202093022,7.562499999999999,default,BlendingReservoirZO,blending_reservoir
