fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.brine_concentrator.capital_a_parameter[default],fs.costing.brine_concentrator.capital_b_parameter[default],fs.costing.brine_concentrator.capital_c_parameter[default],fs.costing.brine_concentrator.capital_d_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.elec_coeff_1,fs.unit.elec_coeff_2,fs.unit.elec_coeff_3,fs.unit.elec_coeff_4,fs.unit.electricity[0.0],fs.unit.electricity_intensity,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BrineConcentratorZO],fs.costing.LCOW_aggregate_indirect_capex[BrineConcentratorZO],fs.costing.LCOW_aggregate_fixed_opex[BrineConcentratorZO],fs.costing.LCOW_aggregate_variable_opex[BrineConcentratorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.properties_in[0.0].conc_mass_comp[H2O],fs.unit.properties_in[0.0].conc_mass_comp[tds],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,tds,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1041312.8098302623,0.0,0.0,165.70204853117178,113513.75555707692,1094940.419536521,129029.31642354783,15100000.0,302.0,-18800000.0,80800.0,2.1906318194444436,0.02190631819444444,2.103006546666666,0.00043812636388888907,0.0876252727777776,0.021468191830555552,0.96,0.98,9.73,0.00011,10.4,3.83e-05,165.70204853117178,20.80341397564951,1041312.8098302623,1.0515,0.014900000000000002,1041312.8098302623,15515.56086647091,15515.56086647091,113513.75555707692,200256.76204179862,1561.9692147453936,52065.64049151312,1041.3128098302623,937.1815288472362,8330.502478642098,3123.9384294907873,2082.6256196605245,2.868087900037506,0.9701599905128734,0.04996323951141317,0.22221468044176404,1.6257499895714556,0.9701599905128734,0.04996323951141317,0.22221468044176404,1.6257499895714556,1.6257499895714553,20.80341397564951,20.80341397564951,0.002212538137638888,990.09900990099,9.900990099009903,1.0,1041312.8098302623,1000.0,0.05,10000.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6604657.4994353205,0.0,0.0,178.48911176120467,122273.49982489616,6944797.36065624,220682.89656648246,15100000.0,302.0,-18800000.0,80800.0,2.1906318194444436,0.04928921593749999,2.103006546666666,0.0009857843187500008,0.0876252727777776,0.04830343161874999,0.96,0.98,9.73,0.00011,10.4,3.83e-05,178.48911176120467,22.134846737622873,6604657.4994353205,1.0515,0.014900000000000002,6604657.4994353205,98409.39674158629,98409.39674158629,122273.49982489616,672451.9312188879,9906.98624915298,330232.874971766,6604.6574994353205,5944.191749491789,52837.259995482564,19813.97249830596,13209.314998870641,9.513154932956816,6.0781373197060065,0.31302407196486043,1.392194437399558,1.729799103886391,6.0781373197060065,0.31302407196486043,1.392194437399558,1.729799103886391,1.729799103886391,22.134846737622873,22.134846737622873,0.0022399210353819432,977.9951100244499,22.00488997555013,1.0,6604657.4994353205,1000.0,0.05,22500.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12033914.063091228,0.0,0.0,191.27617573561403,131033.24460264858,12653660.637340426,310338.5641427079,15100000.0,302.0,-18800000.0,80800.0,2.1906318194444436,0.07667211368055554,2.103006546666666,0.0015334422736111122,0.08762527277777776,0.07513867140694443,0.96,0.98,9.73,0.00011,10.4,3.83e-05,191.27617573561403,23.434119379151326,12033914.063091228,1.0515,0.014900000000000002,12033914.063091228,179305.3195400593,179305.3195400593,131033.24460264858,1133477.3476205096,18050.87109463684,601695.7031545615,12033.914063091228,10830.522656782106,96271.31250472982,36101.74218927368,24067.828126182456,15.841603413577781,10.940825192447113,0.5634524974110263,2.5059907620222313,1.831334961697412,10.940825192447113,0.5634524974110263,2.5059907620222313,1.831334961697412,1.8313349616974122,23.434119379151326,23.434119379151326,0.002267303933124999,966.1835748792271,33.81642512077295,1.0,12033914.063091228,1000.0,0.05,35000.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17333882.791703094,0.0,0.0,204.06324045439973,139792.98989033408,18226577.755475804,398067.8434867102,15100000.0,302.0,-18800000.0,80800.0,2.1906318194444436,0.1040550114236111,2.103006546666666,0.0020811002284722236,0.0876252727777776,0.10197391119513886,0.96,0.98,9.73,0.00011,10.4,3.83e-05,204.06324045439973,24.7023832171959,17333882.791703094,1.0515,0.014900000000000002,17333882.791703094,258274.85359637614,258274.85359637614,139792.98989033408,1583732.8830826576,26000.82418755464,866694.1395851547,17333.882791703094,15600.494512532787,138671.06233362475,52001.64837510928,34667.76558340619,21.870290097103965,15.57131703585834,0.801922827346706,3.566602697511203,1.9304475363877138,15.57131703585834,0.801922827346706,3.566602697511203,1.9304475363877138,1.930447536387714,24.7023832171959,24.7023832171959,0.0022946868308680547,954.653937947494,45.34606205250597,1.0,17333882.791703094,1000.0,0.05,47500.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,22509137.54735973,0.0,0.0,216.8503059175618,148552.7356879526,23668358.131048758,483938.8851436127,15100000.0,302.0,-18800000.0,80800.0,2.1906318194444436,0.13143790916666664,2.103006546666666,0.002628758183333335,0.0876252727777776,0.12880915098333331,0.96,0.98,9.73,0.00011,10.4,3.83e-05,216.8503059175618,25.940735261313808,22509137.54735973,1.0515,0.014900000000000002,22509137.54735973,335386.14945566,335386.14945566,148552.7356879526,2023599.547562267,33763.7063210396,1125456.8773679866,22509.137547359733,20258.22379262376,180073.10037887786,67527.4126420792,45018.275094719465,27.615019210442306,19.98188765642088,1.0290672143056778,4.576841782402771,2.0272225573129807,19.98188765642088,1.0290672143056778,4.576841782402771,2.0272225573129807,2.0272225573129807,25.940735261313808,25.940735261313808,0.00232206972861111,943.3962264150945,56.603773584905674,1.0,22509137.54735973,1000.0,0.05,60000.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1420296.5211876563,0.0,0.0,229.9551708097847,157530.1891544043,1493441.7920288206,178692.6073201004,15100000.0,302.0,-18800000.0,80800.0,3.040060484126983,0.030400604841269836,2.9184580647619036,0.0006080120968253973,0.12160241936507958,0.02979259274444444,0.96,0.98,9.73,0.00011,10.4,3.83e-05,229.9551708097847,20.80353226606604,1420296.5211876563,1.0515,0.014900000000000002,1420296.5211876563,21162.418165696083,21162.418165696083,157530.1891544043,275843.13910043513,2130.4447817814844,71014.82605938282,1420.2965211876563,1278.2668690688909,11362.37216950125,4260.889563562969,2840.5930423753125,2.846784688500694,0.9535167796212394,0.049106114150493985,0.2184025609707743,1.6257592337581868,0.9535167796212394,0.049106114150493985,0.2184025609707743,1.6257592337581868,1.6257592337581868,20.80353226606604,20.80353226606604,0.0030704610889682525,990.09900990099,9.900990099009903,1.0,1420296.5211876563,1000.0,0.06938775510204082,10000.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6988331.60326001,0.0,0.0,247.7005156125612,169686.59126333465,7348230.680827901,273812.7321519088,15100000.0,302.0,-18800000.0,80800.0,3.040060484126983,0.06840136089285713,2.9184580647619036,0.0013680272178571437,0.12160241936507958,0.06703333367499999,0.96,0.98,9.73,0.00011,10.4,3.83e-05,247.7005156125612,22.134966492029708,6988331.60326001,1.0515,0.014900000000000002,6988331.60326001,104126.14088857415,104126.14088857415,169686.59126333465,751825.6832406814,10482.497404890015,349416.5801630005,6988.33160326001,6289.498442934009,55906.65282608008,20964.99480978003,13976.66320652002,7.66421447621821,4.63426514918688,0.2386646551831251,1.0614762093668317,1.7298084624813743,4.63426514918688,0.2386646551831251,1.0614762093668317,1.7298084624813743,1.7298084624813743,22.134966492029708,22.134966492029708,0.00310846184501984,977.9951100244498,22.004889975550128,1.0,6988331.60326001,1000.0,0.06938775510204082,22500.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12422278.55938321,0.0,0.0,265.4458618489055,181842.9943543269,13062025.905191448,366934.9448891367,15100000.0,302.0,-18800000.0,80800.0,3.040060484126983,0.10640211694444442,2.9184580647619036,0.00212804233888889,0.12160241936507958,0.10427407460555553,0.96,0.98,9.73,0.00011,10.4,3.83e-05,265.4458618489055,23.434240597548463,12422278.55938321,1.0515,0.014900000000000002,12422278.55938321,185091.95053480985,185091.95053480985,181842.9943543269,1216638.475077589,18633.417839074817,621113.9279691605,12422.27855938321,11180.05070344489,99378.22847506568,37266.83567814963,24844.55711876642,12.25279042663877,8.1382608221915,0.41912043234286284,1.8640647374037582,1.831344434700647,8.1382608221915,0.41912043234286284,1.8640647374037582,1.831344434700647,1.831344434700647,23.434240597548463,23.434240597548463,0.0031464626010714275,966.183574879227,33.81642512077295,1.0,12422278.55938321,1000.0,0.06938775510204082,35000.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17726937.68046237,0.0,0.0,283.19120951881763,193999.398427381,18639874.97100619,458130.7698662704,15100000.0,302.0,-18800000.0,80800.0,3.040060484126983,0.14440287299603172,2.9184580647619036,0.002888057459920637,0.1216024193650796,0.1415148155361111,0.96,0.98,9.73,0.00011,10.4,3.83e-05,283.19120951881763,24.70250589958334,17726937.68046237,1.0515,0.014900000000000002,17726937.68046237,264131.37143888936,264131.37143888936,193999.398427381,1670681.3864471517,26590.40652069356,886346.8840231186,17726.93768046237,15954.243912416136,141815.50144369897,53180.81304138712,35453.87536092474,16.62468445886906,11.474938768179001,0.59095934656122,2.6283292203296345,1.9304571237991996,11.474938768179001,0.59095934656122,2.6283292203296345,1.9304571237991996,1.9304571237991996,24.70250589958334,24.70250589958334,0.0031844633571230145,954.653937947494,45.34606205250597,1.0,17726937.68046237,1000.0,0.06938775510204082,47500.0,default,BrineConcentratorZO,brine_concentrator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,22906882.828586303,0.0,0.0,300.9365586222976,206155.80348249702,24086587.2942585,547468.3576284329,15100000.0,302.0,-18800000.0,80800.0,3.040060484126983,0.182403629047619,2.9184580647619036,0.0036480725809523835,0.12160241936507958,0.17875555646666663,0.96,0.98,9.73,0.00011,10.4,3.83e-05,300.9365586222976,25.940859407691548,22906882.828586303,1.0515,0.014900000000000002,22906882.828586303,341312.5541459359,341312.5541459359,206155.80348249702,2114335.427306304,34360.324242879455,1145344.141429315,22906.882828586302,20616.194545727674,183255.06262869042,68720.64848575891,45813.765657172604,20.791308866676705,14.653144068290242,0.7546369195169519,3.3562956197367932,2.0272322591327185,14.653144068290242,0.7546369195169519,3.3562956197367932,2.0272322591327185,2.0272322591327185,25.940859407691548,25.940859407691548,0.003222464113174602,943.3962264150942,56.60377358490566,1.0,22906882.828586303,1000.0,0.06938775510204082,60000.0,default,BrineConcentratorZO,brine_concentrator
