fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.buffer_tank.capital_a_parameter[default],fs.costing.buffer_tank.capital_b_parameter[default],fs.costing.buffer_tank.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BufferTankZO],fs.costing.LCOW_aggregate_indirect_capex[BufferTankZO],fs.costing.LCOW_aggregate_fixed_opex[BufferTankZO],fs.costing.LCOW_aggregate_variable_opex[BufferTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6726.955001601446,0.0,0.0,0.0,0.0,7073.393184183921,100.23162952386157,1000000.0,0.7,29526.20883,4.381263638888887,0.0004381263638888888,3.769483525243404e-21,0.0,6726.955001601446,1.0515,0.014900000000000002,6726.955001601446,100.23162952386156,100.23162952386156,0.0,560.3660070420727,10.09043250240217,336.34775008007233,6.726955001601446,6.054259501441302,53.81564001281157,20.18086500480434,13.453910003202893,0.004052518448416488,0.0031646714040901216,0.00016298057731064164,0.0007248664670157241,1.8674788104926634e-23,0.0031646714040901216,0.00016298057731064164,0.0007248664670157241,1.8674788104926634e-23,0.0,0.0,2.3896623118338856e-22,1.0,6726.955001601446,0.1,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,32024.62533513528,0.0,0.0,0.0,0.0,33673.89353989475,477.1669174935157,1000000.0,0.7,29526.20883,40.70924131134258,0.004070924131134258,5.218206108982621e-17,0.0,32024.625335135446,1.0515,0.014900000000000002,32024.625335135446,477.1669174935157,477.1669174935157,0.0,2667.7020170041233,48.03693800270292,1601.231266756764,32.024625335135276,28.822162801621754,256.1970026810822,96.07387600540584,64.04925067027055,0.002076332558932249,0.001621438707380039,8.350409343007229e-05,0.00037138975812214895,2.782283887855299e-20,0.001621438707380039,8.350409343007229e-05,0.00037138975812214895,2.782283887855299e-20,0.0,0.0,3.560264732469147e-19,1.0,32024.625335135446,0.9291666666666666,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,50048.30446581056,0.0,0.0,0.0,0.0,52625.79214579981,745.7197365405774,1000000.0,0.7,29526.20883,77.03721898379627,0.007703721898379629,5.218206108982621e-17,0.0,50048.30446581082,1.0515,0.014900000000000002,50048.30446581082,745.7197365405774,745.7197365405774,0.0,4169.103037861202,75.07245669871584,2502.415223290528,50.04830446581056,45.04347401922951,400.3864357264845,150.14491339743168,100.09660893162112,0.0017147256240899035,0.0013390545206619212,6.896130781408906e-05,0.00030670979561390186,1.470259021307421e-20,0.0013390545206619212,6.896130781408906e-05,0.00030670979561390186,1.470259021307421e-20,0.0,0.0,1.8813721216602368e-19,1.0,50048.30446581082,1.7583333333333333,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,65589.56845877031,0.0,0.0,0.0,0.0,68967.43123439701,977.2845700356779,1000000.0,0.7,29526.20883,113.36519665624996,0.011336519665624998,5.218206108982621e-17,0.0,65589.56845877066,1.0515,0.014900000000000002,65589.56845877066,977.2845700356778,977.2845700356778,0.0,5463.714945633494,98.38435268815547,3279.478422938516,65.58956845877032,59.03061161289329,524.7165476701625,196.76870537631095,131.17913691754063,0.0015270768486051686,0.001192516825313214,6.141461650363054e-05,0.00027314540678833167,9.991132157676837e-21,0.001192516825313214,6.141461650363054e-05,0.00027314540678833167,9.991132157676837e-21,0.0,0.0,1.2784847590026084e-19,1.0,65589.56845877066,2.5875,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,79678.35330708258,0.0,0.0,0.0,0.0,83781.78850239735,1187.2074642755306,1000000.0,0.7,29526.20883,149.69317432870363,0.014969317432870366,5.218206108982621e-17,0.0,79678.353307083,1.0515,0.014900000000000002,79678.353307083,1187.2074642755306,1187.2074642755306,0.0,6637.333039948694,119.51752996062388,3983.917665354129,79.67835330708259,71.71051797637433,637.4268264566607,239.03505992124775,159.35670661416518,0.0014048961338936337,0.0010971041038412175,5.650086134782293e-05,0.0002512911687046005,7.566454963313802e-21,0.0010971041038412175,5.650086134782293e-05,0.0002512911687046005,7.566454963313802e-21,0.0,0.0,9.68218335781244e-20,1.0,79678.353307083,3.4166666666666665,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,92766.80135908304,0.0,0.0,8.077920766362816e-28,5.533758522664534e-25,97544.29162907581,1382.2253402503372,1000000.0,0.7,29526.20883,186.02115200115733,0.018602115200115732,5.218206108982621e-17,0.0,92766.80135908352,1.0515,0.014900000000000002,92766.80135908352,1382.2253402503375,1382.2253402503375,5.533758522664534e-25,7727.6214946107275,139.15020203862457,4638.340067954152,92.76680135908303,83.49012122317474,742.1344108726643,278.30040407724914,185.53360271816607,0.001316243131355934,0.0010278736671167617,5.293549385651338e-05,0.00023543397038266597,6.0888057604684174e-21,0.0010278736671167617,5.293549385651338e-05,0.00023543397038266597,6.0888057604684174e-21,9.425632002187587e-32,1.2061222560753404e-30,7.791354615707752e-20,1.0,92766.80135908352,4.245833333333333,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,105105.09163620103,0.0,0.0,0.0,0.0,110518.00385546539,1566.0658653793955,1000000.0,0.7,29526.20883,222.349129673611,0.022234912967361103,5.218206108982621e-17,0.0,105105.09163620159,1.0515,0.014900000000000002,105105.09163620159,1566.0658653793955,1566.0658653793955,0.0,8755.420618384958,157.65763745430155,5255.254581810052,105.10509163620104,94.59458247258094,840.8407330896083,315.3152749086031,210.21018327240208,0.0012476540669701306,0.000974311455504902,5.01770399585026e-05,0.0002231655715067327,5.0940008784214426e-21,0.000974311455504902,5.01770399585026e-05,0.0002231655715067327,5.0940008784214426e-21,0.0,0.0,6.518382884569951e-20,1.0,105105.09163620159,5.074999999999999,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,116850.22380930782,0.0,0.0,0.0,0.0,122868.01033548718,1741.068334758687,1000000.0,0.7,29526.20883,258.6771073460647,0.025867710734606475,5.218206108982621e-17,0.0,116850.22380930843,1.0515,0.014900000000000002,116850.22380930843,1741.0683347586867,1741.0683347586867,0.0,9733.808732540381,175.27533571396174,5842.511190465391,116.85022380930782,105.16520142837705,934.8017904744626,350.5506714279235,233.70044761861564,0.0011922776914876255,0.0009310672274570025,4.794996221403568e-05,0.00021326050181659354,4.378611905375665e-21,0.0009310672274570025,4.794996221403568e-05,0.00021326050181659354,4.378611905375665e-21,0.0,0.0,5.602957200710092e-20,1.0,116850.22380930843,5.904166666666666,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,128108.9887092363,0.0,0.0,8.07792076636282e-28,5.533758522664537e-25,134706.601627762,1908.8239317676214,1000000.0,0.7,29526.20883,295.00508501851834,0.029500508501851843,5.218206108982621e-17,0.0,128108.98870923698,1.0515,0.014900000000000002,128108.98870923698,1908.8239317676212,1908.8239317676212,5.533758522664537e-25,10671.68168244066,192.16348306385447,6405.4494354618155,128.1089887092363,115.29808983831269,1024.8719096738905,384.32696612770894,256.2179774184726,0.0011461882872900457,0.0008950753322066239,4.609637960864106e-05,0.00020501657547478653,3.839414028414182e-21,0.0008950753322066239,4.609637960864106e-05,0.00020501657547478653,3.839414028414182e-21,5.943514239003192e-32,7.605436750871119e-31,4.9129890800780946e-20,1.0,128108.98870923698,6.7333333333333325,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,138958.23651313322,0.0,0.0,0.0,0.0,146114.5856935596,2070.4777240456856,1000000.0,0.7,29526.20883,331.3330626909721,0.03313330626909721,5.218206108982621e-17,0.0,138958.23651313395,1.0515,0.014900000000000002,138958.23651313395,2070.477724045685,2070.477724045685,0.0,11575.441209571787,208.43735476969982,6947.911825656662,138.95823651313322,125.06241286181991,1111.6658921050657,416.87470953939965,277.91647302626643,0.001106943321213411,0.0008644283595948782,4.451806051913642e-05,0.00019799690109940197,3.4184534820481084e-21,0.0008644283595948782,4.451806051913642e-05,0.00019799690109940197,3.4184534820481084e-21,0.0,0.0,4.3743197539428096e-20,1.0,138958.23651313395,7.562499999999999,default,BufferTankZO,buffer_tank
