fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.cartridge_filtration.capital_a_parameter[default],fs.costing.cartridge_filtration.capital_b_parameter[default],fs.costing.cartridge_filtration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CartridgeFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[CartridgeFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[CartridgeFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[CartridgeFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295967,0.0,0.0,0.003154825270981999,2.1612048119499923,274008.8826093971,3884.9309155870496,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,0.003154825270981999,0.0002,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.7697107750996,3882.7697107750996,2.1612048119499923,21709.60195407137,390.88285678943953,13029.428559647984,260.5885711929597,234.52971407366374,2084.7085695436776,781.7657135788791,521.1771423859194,0.1570019617911037,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.562964609053498e-05,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.562964609053498e-05,1.562964609053498e-05,0.0002,0.0002,1.0,260588.57119295967,0.1,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,962613.2726084039,0.0,0.0,0.02931358480954108,20.081194711035344,1012187.8561477369,14363.018956576256,725570.0,0.5862,1.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,0.02931358480954108,0.0002,962613.2726084039,1.0515,0.014900000000000002,962613.2726084039,14342.93776186522,14342.93776186522,20.081194711035344,80207.29156981508,1443.919908912606,48130.6636304202,962.6132726084039,866.3519453475636,7700.906180867231,2887.839817825212,1925.2265452168078,0.0624271413706105,0.04873806966080587,0.0025100105875315083,0.011163431476182586,1.562964609053498e-05,0.04873806966080587,0.0025100105875315083,0.011163431476182586,1.562964609053498e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,962613.2726084039,0.9291666666666666,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1399051.4744335848,0.0,0.0,0.05547234434810015,38.001184610120696,1471102.6253669146,20883.868153670537,725570.0,0.5862,1.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,0.05547234434810015,0.0002,1399051.4744335848,1.0515,0.014900000000000002,1399051.4744335848,20845.86696906042,20845.86696906042,38.001184610120696,116581.2050841508,2098.577211650377,69952.57372167925,1399.0514744335849,1259.1463269902265,11192.411795468679,4197.154423300754,2798.1029488671697,0.04794910987559256,0.037431961411575614,0.0019277460126961492,0.008573772805230258,1.562964609053498e-05,0.037431961411575614,0.0019277460126961492,0.008573772805230258,1.562964609053498e-05,1.562964609053498e-05,0.0002,0.0002,1.0,1399051.4744335848,1.7583333333333333,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1754631.132441607,0.0,0.0,0.08163110388665923,55.92117450920605,1844994.6357623502,26199.925047889155,725570.0,0.5862,1.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,0.08163110388665923,0.0002,1754631.132441607,1.0515,0.014900000000000002,1754631.132441607,26144.00387337995,26144.00387337995,55.92117450920605,146219.47381964218,2631.9466986624107,87731.55662208036,1754.6311324416072,1579.1680191974465,14037.049059532857,5263.893397324821,3509.2622648832144,0.04086750050231909,0.03190182824529919,0.0016429441546329101,0.007307098456296455,1.5629646090534977e-05,0.03190182824529919,0.0016429441546329101,0.007307098456296455,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,1754631.132441607,2.5875,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2065157.6718641433,0.0,0.0,0.10778986342521828,73.84116440829138,2171513.291965147,30844.69047518403,725570.0,0.5862,1.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,0.10778986342521828,0.0002,2065157.6718641433,1.0515,0.014900000000000002,2065157.6718641433,30770.84931077574,30770.84931077574,73.84116440829138,172104.74641341245,3097.736507796215,103257.88359320717,2065.1576718641436,1858.6419046777291,16521.26137491315,6195.47301559243,4130.315343728287,0.03642868173190483,0.028435489224397884,0.0014644276950564947,0.006513135166359918,1.5629646090534977e-05,0.028435489224397884,0.0014644276950564947,0.006513135166359918,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,2065157.6718641433,3.4166666666666665,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2345671.771338338,0.0,0.0,0.13394862296377738,91.76115430737676,2466473.867562263,35042.27054724861,725570.0,0.5862,1.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,0.13394862296377738,0.0002,2345671.771338338,1.0515,0.014900000000000002,2345671.771338338,34950.50939294124,34950.50939294124,91.76115430737676,195489.9352201738,3518.507657007507,117283.58856691691,2345.671771338338,2111.1045942045043,18765.374170706706,7037.015314015014,4691.343542676676,0.033297733935625705,0.025990485929605924,0.0013385100253747052,0.005953108334554544,1.5629646090534977e-05,0.025990485929605924,0.0013385100253747052,0.005953108334554544,1.5629646090534977e-05,1.562964609053498e-05,0.0002,0.0002,1.0,2345671.771338338,4.245833333333333,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2604245.816394803,0.0,0.0,0.16010738250233641,109.68114420646208,2738364.475939136,38912.943808489035,725570.0,0.5862,1.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,0.16010738250233641,0.0002,2604245.816394803,1.0515,0.014900000000000002,2604245.816394803,38803.26266428257,38803.26266428257,109.68114420646208,217047.48274117932,3906.3687245922047,130212.29081974016,2604.245816394803,2343.821234755323,20833.966531158425,7812.737449184409,5208.491632789606,0.030929430620274867,0.02414104295390984,0.001243263712126358,0.005529494308148126,1.5629646090534977e-05,0.02414104295390984,0.001243263712126358,0.005529494308148126,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,2604245.816394803,5.074999999999999,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2845827.298267036,0.0,0.0,0.1862661420408955,127.60113410554743,2992387.4041277887,42530.42787828439,725570.0,0.5862,1.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,0.1862661420408955,0.0002,2845827.298267036,1.0515,0.014900000000000002,2845827.298267036,42402.82674417884,42402.82674417884,127.60113410554743,237189.52283294057,4268.740947400554,142291.3649133518,2845.8272982670364,2561.244568440333,22766.61838613629,8537.481894801109,5691.654596534073,0.029052941607832915,0.022675665018348612,0.0011677967484449562,0.00519385019494881,1.5629646090534977e-05,0.022675665018348612,0.0011677967484449562,0.00519385019494881,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,2845827.298267036,5.904166666666666,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3073716.8499491517,0.0,0.0,0.21242490157945454,145.52112400463275,3232013.2677215333,45943.902188247004,725570.0,0.5862,1.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,0.21242490157945454,0.0002,3073716.8499491517,1.0515,0.014900000000000002,3073716.8499491517,45798.38106424236,45798.38106424236,145.52112400463275,256191.00345202687,4610.575274923728,153685.8424974576,3073.7168499491518,2766.3451649542367,24589.734799593214,9221.150549847456,6147.4336998983035,0.027516106289879463,0.021475527660448742,0.0011059896745131128,0.004918959308827071,1.5629646090534977e-05,0.021475527660448742,0.0011059896745131128,0.004918959308827071,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,3073716.8499491517,6.7333333333333325,default,CartridgeFiltrationZO,cartridge_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3290250.887166644,0.0,0.0,0.23858366111801366,163.44111390371813,3459698.8078557267,49188.17933268672,725570.0,0.5862,1.0,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,0.23858366111801366,0.0002,3290250.887166644,1.0515,0.014900000000000002,3290250.887166644,49024.738218783,49024.738218783,163.44111390371813,274246.55172922375,4935.376330749966,164512.5443583322,3290.250887166644,2961.2257984499797,26322.007097333153,9870.752661499931,6580.501774333288,0.02622581578587644,0.020467920782660697,0.0010540979203070302,0.00468816743681818,1.5629646090534977e-05,0.020467920782660697,0.0010540979203070302,0.00468816743681818,1.5629646090534977e-05,1.5629646090534977e-05,0.0002,0.0002,1.0,3290250.887166644,7.562499999999999,default,CartridgeFiltrationZO,cartridge_filtration
