fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_polymer,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[polymer],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.centrifuge.HRT[default],fs.costing.centrifuge.sizing_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.polymer_dose[0.0],fs.unit.polymer_demand[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CentrifugeZO],fs.costing.LCOW_aggregate_indirect_capex[CentrifugeZO],fs.costing.LCOW_aggregate_fixed_opex[CentrifugeZO],fs.costing.LCOW_aggregate_variable_opex[CentrifugeZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[polymer],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17.416294398407633,0.0,0.0,0.0,7.587354776711646,0.0,73875.68970783237,18.313233559925628,73875.9492106189,0.5,1.0,4.381263638888887,0.0004381263638888888,4.381263638888887,0.00039431372750079065,7.849441023746869e-15,4.3812636389682366e-05,1.0,0.1,7.938354335012814e-17,0.0,481.0,7.587354776711706,17.41629439840777,1.0515,0.0149,10.555329938428953,0.25950278653627373,0.25950278653627373,73875.68970783237,73877.14051274293,0.026124441597611448,0.8708147199203817,0.017416294398407632,0.01567466495856687,0.13933035518726106,0.052248883195222896,0.034832588796815264,0.5342730841659877,4.965716406446917e-06,3.6496774158283236e-06,1.876701685394677e-06,0.5342625920704844,4.965716406446917e-06,3.6496774158283236e-06,1.876701685394677e-06,0.5342625920704844,0.0,0.5342625920704801,0.0,5.0325160052631705e-18,1.65,10.555329938428953,0.1,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,161.82640211853442,0.0,0.0,0.0,70.4991714669443,0.0,686428.283535262,170.16046182763895,686430.6947486536,0.5,1.0,40.70924131134258,0.004070924131134258,40.70924131134258,0.003663831718046593,2.578620001153519e-13,0.00040709241313927703,1.0,0.1,2.783415023941487e-16,0.0,481.0,70.49917146694627,161.8264021185389,1.0515,0.0149,98.07660734456904,2.4112133915661627,2.4112133915661627,686428.283535262,686441.7639308894,0.24273960317780163,8.091320105926721,0.1618264021185344,0.145643761906681,1.2946112169482753,0.48547920635560327,0.3236528042370688,0.5342730841659771,4.965716406446917e-06,3.6496774158283227e-06,1.8767016853946772e-06,0.5342625920704843,4.965716406446917e-06,3.6496774158283227e-06,1.8767016853946772e-06,0.5342625920704843,0.0,0.5342625920704693,0.0,1.899061504777493e-18,1.65,98.07660734456904,0.9291666666666666,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,306.2365098385102,0.0,0.0,0.0,133.4109881571112,0.0,1298980.8773620515,322.0076900951935,1298985.440286048,0.5,1.0,77.03721898379627,0.007703721898379629,77.03721898379627,0.006933349709455582,9.175853972558892e-12,0.0007703721907550955,1.0,0.1,5.218206110531992e-15,0.0,481.0,133.4109881571808,306.23650983867,1.0515,0.0149,185.59788475070908,4.562923996593802,4.562923996593802,1298980.8773620515,1299006.3873483955,0.45935476475776527,15.31182549192551,0.3062365098385102,0.2756128588546592,2.4498920787080816,0.9187095295155305,0.6124730196770204,0.5342730841657132,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704844,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704844,0.0,0.5342625920702055,0.0,1.881372122218847e-17,1.65,185.59788475070908,1.7583333333333333,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,450.646617558566,0.0,0.0,4.688678202857039e-38,196.32280484731297,3.2119696887457165e-35,1911533.4711891804,473.8549183628322,1911540.185823782,0.5,1.0,113.36519665624996,0.011336519665624998,113.36519665624996,0.010202867700407384,1.3502856201324816e-11,0.001133651967912119,1.0,0.1,5.218206110531992e-15,0.0,481.0,196.3228048474154,450.64661755880115,1.0515,0.0149,273.1191621568492,6.714634601622634,6.714634601622634,1911533.4711891804,1911571.0107662415,0.675969926337849,22.532330877928302,0.450646617558566,0.40558195580270945,3.605172940468528,1.351939852675698,0.901293235117132,0.5342730841657133,4.965716406446917e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,4.965716406446917e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,8.977270225316318e-42,0.5342625920702055,1.148747959936212e-40,1.2784847593822115e-17,1.65,273.1191621568492,2.5875,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,595.0567252786216,0.0,0.0,0.0,259.23462153751456,0.0,2524086.065016308,625.7021466304706,2524094.931361514,0.5,1.0,149.69317432870363,0.014969317432870366,149.69317432870363,0.013472385691359189,1.7829858191276802e-11,0.0014969317450691426,1.0,0.1,5.2182061105301815e-15,0.0,481.0,259.23462153764984,595.056725278932,1.0515,0.0149,360.6404395629891,8.866345206651461,8.866345206651461,2524086.065016308,2524135.6341840853,0.8925850879179323,29.75283626393108,0.5950567252786216,0.5355510527507594,4.760453802228973,1.7851701758358647,1.1901134505572433,0.5342730841657131,4.965716406446916e-06,3.6496774158283236e-06,1.8767016853946767e-06,0.5342625920704842,4.965716406446916e-06,3.6496774158283236e-06,1.8767016853946767e-06,0.5342625920704842,0.0,0.5342625920702054,0.0,9.68218336068388e-18,1.65,360.6404395629891,3.4166666666666665,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,739.4668329986774,0.0,0.0,1.0339738580944406e-25,322.1464382277164,7.083210909010605e-23,3136638.6588434367,777.5493748981094,3136649.6768992487,0.5,1.0,186.02115200115733,0.018602115200115732,186.02115200115733,0.016741903682310988,2.215686065885666e-11,0.001860211522226166,1.0,0.1,5.218206110531992e-15,0.0,481.0,322.14643822788446,739.4668329990633,1.0515,0.0149,448.1617169691293,11.018055811680293,11.018055811680293,3136638.6588434367,3136700.2576019317,1.1092002494980162,36.97334164993387,0.7394668329986774,0.6655201496988098,5.9157346639894195,2.2184004989960324,1.4789336659973549,0.5342730841657132,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,1.2064808962800113e-29,0.5342625920702054,1.543836487776436e-28,7.791354618021133e-18,1.65,448.1617169691293,4.245833333333333,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,883.8769407187332,0.0,0.0,0.0,385.058254917918,0.0,3749191.252670565,929.3966031657479,3749204.422436982,0.5,1.0,222.349129673611,0.022234912967361103,222.349129673611,0.020011421673262794,2.6483862826752426e-11,0.0022234912993831894,1.0,0.1,5.218206110548262e-15,0.0,481.0,385.05825491811896,883.8769407191944,1.0515,0.0149,535.6829943752693,13.169766416709125,13.169766416709125,3749191.252670565,3749264.8810197767,1.3258154110780997,44.19384703593666,0.8838769407187332,0.7954892466468599,7.071015525749866,2.6516308221561995,1.7677538814374665,0.5342730841657132,4.965716406446917e-06,3.649677415828324e-06,1.8767016853946772e-06,0.5342625920704843,4.965716406446917e-06,3.649677415828324e-06,1.8767016853946772e-06,0.5342625920704843,0.0,0.5342625920702055,0.0,6.5183828865256904e-18,1.65,535.6829943752693,5.074999999999999,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1028.2870484387888,0.0,0.0,0.0,447.9700716081198,0.0,4361743.846497694,1081.2438314333865,4361759.167974716,0.5,1.0,258.6771073460647,0.025867710734606475,258.6771073460647,0.023280939664214597,3.081086524639742e-11,0.0025867710765402137,1.0,0.1,5.218206110202113e-15,0.0,481.0,447.9700716083535,1028.2870484393254,1.0515,0.0149,623.2042717814094,15.321477021737953,15.321477021737953,4361743.846497694,4361829.504437623,1.5424305726581833,51.41435242193944,1.028287048438789,0.92545834359491,8.226296387510311,3.0848611453163666,2.056574096877578,0.5342730841657133,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,4.965716406446918e-06,3.649677415828323e-06,1.8767016853946772e-06,0.5342625920704843,0.0,0.5342625920702055,0.0,5.6029572020195005e-18,1.65,623.2042717814094,5.904166666666666,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1172.6971561588443,0.0,0.0,0.0,510.8818882983214,0.0,4974296.4403248215,1233.091059701025,4974313.913512449,0.5,1.0,295.00508501851834,0.029500508501851843,295.00508501851834,0.026550457655166393,3.513786725670995e-11,0.002950050853697237,1.0,0.1,5.218206110183998e-15,0.0,481.0,510.881888298588,1172.6971561594562,1.0515,0.0149,710.7255491875493,17.47318762676678,17.47318762676678,4974296.4403248215,4974394.127855467,1.7590457342382666,58.63485780794222,1.1726971561588444,1.05542744054296,9.381577249270755,3.518091468476533,2.345394312317689,0.5342730841657132,4.965716406446917e-06,3.649677415828322e-06,1.8767016853946767e-06,0.5342625920704843,4.965716406446917e-06,3.649677415828322e-06,1.8767016853946767e-06,0.5342625920704843,0.0,0.5342625920702055,0.0,4.912989081209203e-18,1.65,710.7255491875493,6.7333333333333325,default,CentrifugeZO,centrifuge
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1317.1072638789005,0.0,0.0,0.0,573.7937049885232,0.0,5586849.034151952,1384.938287968664,5586868.659050183,0.5,1.0,331.3330626909721,0.03313330626909721,331.3330626909721,0.0298199756461182,3.946486957392035e-11,0.0033133306308542605,1.0,0.1,5.218206110531992e-15,0.0,481.0,573.7937049888227,1317.107263879588,1.0515,0.0149,798.2468265936897,19.62489823179562,19.62489823179562,5586849.034151952,5586958.751273314,1.9756608958183508,65.85536319394502,1.3171072638789005,1.1853965374910107,10.536858111031204,3.9513217916367016,2.634214527757801,0.5342730841657133,4.965716406446918e-06,3.6496774158283236e-06,1.8767016853946772e-06,0.5342625920704844,4.965716406446918e-06,3.6496774158283236e-06,1.8767016853946772e-06,0.5342625920704844,0.0,0.5342625920702055,0.0,4.374319755241617e-18,1.65,798.2468265936897,7.562499999999999,default,CentrifugeZO,centrifuge
