fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.cloth_media_filtration.sizing_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ClothMediaFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[ClothMediaFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[ClothMediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[ClothMediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,22084.311531365314,0.0,0.0,3.154825270981999,2161.204811949992,23221.65357523063,2490.261053767335,0.1,4.381263638888887,0.0004381263638888888,3.9431372749999984,0.00039431372749999994,0.43812636388888876,4.3812636388888886e-05,0.9,0.1,3.154825270981999,0.2,22084.311531365314,1.0515,0.0149,13384.431231130495,329.05624181734316,329.05624181734316,2161.204811949992,4000.8629437731224,33.126467297047974,1104.2155765682658,22.084311531365316,19.875880378228786,176.67449225092253,66.25293459409595,44.16862306273063,0.028933894428769563,0.0062966567736941394,0.004627885312245849,0.0023797062522945994,0.015629646090534976,0.0062966567736941394,0.004627885312245849,0.0023797062522945994,0.015629646090534976,0.015629646090534976,0.2,0.2,1.65,13384.431231130495,0.1,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,205200.0613122694,0.0,0.0,29.31358480954108,20081.194711035347,215767.86446985128,23138.675624588162,0.1,40.70924131134258,0.004070924131134258,36.638317180208325,0.0036638317180208305,4.07092413113426,0.00040709241311342586,0.9,0.1,29.31358480954108,0.2,205200.0613122694,1.0515,0.0149,124363.67352258752,3057.480913552814,3057.480913552814,20081.194711035347,37174.68485255861,307.8000919684041,10260.00306561347,205.20006131226938,184.68005518104246,1641.600490498155,615.6001839368082,410.40012262453877,0.02893389442876957,0.006296656773694139,0.00462788531224585,0.0023797062522945994,0.01562964609053498,0.006296656773694139,0.00462788531224585,0.0023797062522945994,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,124363.67352258752,0.9291666666666666,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,388315.8110931734,0.0,0.0,55.47234434810015,38001.18461012069,408314.0753644719,43787.09019540897,0.1,77.03721898379627,0.007703721898379629,69.33349708541664,0.006933349708541666,7.703721898379628,0.0007703721898379629,0.9,0.1,55.47234434810015,0.2,388315.8110931734,1.0515,0.0149,235342.9158140445,5785.905585288284,5785.905585288284,38001.18461012069,70348.50676134406,582.4737166397601,19415.79055465867,388.3158110931734,349.4842299838561,3106.5264887453873,1164.9474332795203,776.6316221863468,0.02893389442876956,0.006296656773694139,0.004627885312245849,0.0023797062522945994,0.01562964609053498,0.006296656773694139,0.004627885312245849,0.0023797062522945994,0.01562964609053498,0.015629646090534976,0.2,0.2,1.65,235342.9158140445,1.7583333333333333,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,571431.5608740776,0.0,0.0,81.63110388665923,55921.17450920605,600860.2862590927,64435.5047662298,0.1,113.36519665624996,0.011336519665624998,102.02867699062499,0.010202867699062496,11.336519665624984,0.0011336519665625,0.9,0.1,81.63110388665923,0.2,571431.5608740776,1.0515,0.0149,346322.1581055016,8514.330257023756,8514.330257023756,55921.17450920605,103522.32867012956,857.1473413111164,28571.57804370388,571.4315608740776,514.2884047866698,4571.452486992621,1714.2946826222328,1142.8631217481552,0.028933894428769563,0.0062966567736941394,0.004627885312245848,0.0023797062522945994,0.01562964609053498,0.0062966567736941394,0.004627885312245848,0.0023797062522945994,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,346322.1581055016,2.5875,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,754547.3106549815,0.0,0.0,107.78986342521829,73841.16440829138,793406.4971537131,85083.9193370506,0.1,149.69317432870363,0.014969317432870366,134.72385689583328,0.013472385689583335,14.96931743287035,0.0014969317432870367,0.9,0.1,107.78986342521829,0.2,754547.3106549815,1.0515,0.0149,457301.4003969585,11242.754928759225,11242.754928759225,73841.16440829138,136696.150578915,1131.8209659824722,37727.36553274908,754.5473106549815,679.0925795894834,6036.378485239852,2263.6419319649444,1509.094621309963,0.028933894428769563,0.0062966567736941394,0.004627885312245851,0.0023797062522946,0.01562964609053498,0.0062966567736941394,0.004627885312245851,0.0023797062522946,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,457301.4003969585,3.4166666666666665,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,937663.0604358854,0.0,0.0,133.94862296377738,91761.15430737674,985952.7080483336,105732.33390787143,0.1,186.02115200115733,0.018602115200115732,167.4190368010416,0.016741903680104163,18.60211520011571,0.0018602115200115736,0.9,0.1,133.94862296377738,0.2,937663.0604358854,1.0515,0.0149,568280.6426884155,13971.179600494694,13971.179600494694,91761.15430737674,169869.9724877005,1406.4945906538283,46883.15302179428,937.6630604358854,843.896754392297,7501.304483487083,2812.9891813076565,1875.3261208717709,0.028933894428769567,0.006296656773694138,0.004627885312245849,0.0023797062522945994,0.01562964609053498,0.006296656773694138,0.004627885312245849,0.0023797062522945994,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,568280.6426884155,4.245833333333333,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1120778.8102167896,0.0,0.0,160.10738250233643,109681.14420646208,1178498.9189429544,126380.74847869224,0.1,222.349129673611,0.022234912967361103,200.11421670624992,0.020011421670624994,22.23491296736107,0.0022234912967361176,0.9,0.1,160.10738250233643,0.2,1120778.8102167896,1.0515,0.0149,679259.8849798725,16699.604272230164,16699.604272230164,109681.14420646208,203043.79439648596,1681.1682153251845,56038.940510839486,1120.7788102167897,1008.7009291951107,8966.230481734317,3362.336430650369,2241.5576204335794,0.028933894428769567,0.0062966567736941394,0.00462788531224585,0.0023797062522945994,0.01562964609053498,0.0062966567736941394,0.00462788531224585,0.0023797062522945994,0.01562964609053498,0.015629646090534976,0.2,0.2,1.65,679259.8849798725,5.074999999999999,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1303894.5599976936,0.0,0.0,186.2661420408955,127601.13410554743,1371045.1298375751,147029.16304951307,0.1,258.6771073460647,0.025867710734606475,232.80939661145823,0.02328093966114583,25.867710734606476,0.002586771073460648,0.9,0.1,186.2661420408955,0.2,1303894.5599976936,1.0515,0.0149,790239.1272713295,19428.028943965634,19428.028943965634,127601.13410554743,236217.61630527145,1955.8418399965406,65194.727999884686,1303.8945599976937,1173.5051039979244,10431.15647998155,3911.683679993081,2607.7891199953874,0.02893389442876957,0.0062966567736941394,0.004627885312245849,0.0023797062522945994,0.015629646090534976,0.0062966567736941394,0.004627885312245849,0.0023797062522945994,0.015629646090534976,0.01562964609053498,0.2,0.2,1.65,790239.1272713295,5.904166666666666,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1487010.3097785974,0.0,0.0,212.42490157945454,145521.12400463276,1563591.3407321954,167677.57762033388,0.1,295.00508501851834,0.029500508501851843,265.50457651666653,0.02655045765166665,29.500508501851797,0.0029500508501851754,0.9,0.1,212.42490157945454,0.2,1487010.3097785974,1.0515,0.0149,901218.3695627864,22156.453615701103,22156.453615701103,145521.12400463276,269391.4382140569,2230.515464667896,74350.51548892987,1487.0103097785975,1338.3092788007377,11896.08247822878,4461.030929335792,2974.020619557195,0.02893389442876957,0.0062966567736941394,0.004627885312245849,0.0023797062522946,0.01562964609053498,0.0062966567736941394,0.004627885312245849,0.0023797062522946,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,901218.3695627864,6.7333333333333325,default,ClothMediaFiltrationZO,cloth_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1670126.059559502,0.0,0.0,238.58366111801365,163441.11390371813,1756137.5516268164,188325.9921911547,0.1,331.3330626909721,0.03313330626909721,298.1997564218749,0.029819975642187486,33.13330626909722,0.0033133306269097318,0.9,0.1,238.58366111801365,0.2,1670126.059559502,1.0515,0.0149,1012197.6118542437,24884.87828743658,24884.87828743658,163441.11390371813,302565.2601228424,2505.189089339253,83506.30297797511,1670.126059559502,1503.113453603552,13361.008476476016,5010.378178678506,3340.252119119004,0.028933894428769563,0.006296656773694139,0.004627885312245851,0.0023797062522946,0.015629646090534976,0.006296656773694139,0.004627885312245851,0.0023797062522946,0.015629646090534976,0.015629646090534976,0.2,0.2,1.65,1012197.6118542437,7.562499999999999,default,ClothMediaFiltrationZO,cloth_media_filtration
