fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.co2_addition.capital_a_parameter[default],fs.costing.co2_addition.capital_b_parameter[default],fs.costing.co2_addition.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CO2AdditionZO],fs.costing.LCOW_aggregate_indirect_capex[CO2AdditionZO],fs.costing.LCOW_aggregate_fixed_opex[CO2AdditionZO],fs.costing.LCOW_aggregate_variable_opex[CO2AdditionZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,121604.7565011161,0.0,0.0,0.0,0.0,127867.4014609236,1811.9108718666303,464000.0,0.7,1.0,4.381263638888887,0.0004381263638888888,5.218206108982621e-17,0.0,121604.75650111675,1.0515,0.014900000000000002,121604.75650111675,1811.9108718666303,1811.9108718666303,0.0,10129.868836885564,182.40713475167416,6080.237825055806,121.60475650111611,109.4442808510045,972.8380520089289,364.8142695033483,243.20951300223223,0.07325833442005314,0.057208513422315165,0.0029462384412492423,0.013103582556489114,2.5852054457988823e-19,0.057208513422315165,0.0029462384412492423,0.013103582556489114,2.5852054457988823e-19,0.0,0.0,3.3080793139192497e-18,1.0,121604.75650111675,0.1,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,578916.7260657364,0.0,0.0,0.0,0.0,608730.9374581218,8625.859218379474,464000.0,0.7,1.0,40.70924131134258,0.004070924131134258,3.7694835252461893e-23,0.0,578916.7260657364,1.0515,0.014900000000000002,578916.7260657364,8625.859218379474,8625.859218379474,0.0,48224.68027779238,868.3750890986046,28945.836303286822,578.9167260657364,521.0250534591628,4631.333808525891,1736.7501781972092,1157.8334521314728,0.03753435472426809,0.0293111309865303,0.0015095232458063163,0.00671370049193148,2.0098426660025575e-26,0.0293111309865303,0.0015095232458063163,0.00671370049193148,2.0098426660025575e-26,0.0,0.0,2.5718338782087724e-25,1.0,578916.7260657364,0.9291666666666666,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,904735.0363440507,0.0,0.0,5.818697036570323e-39,3.9860832073286133e-36,951328.8907157694,13480.552041526358,464000.0,0.7,1.0,77.03721898379627,0.007703721898379629,3.7694835252461893e-23,0.0,904735.0363440507,1.0515,0.014900000000000002,904735.0363440507,13480.552041526356,13480.552041526356,3.9860832073286133e-36,75365.86161591475,1357.102554516076,45236.75181720254,904.7350363440506,814.2615327096456,7237.880290752405,2714.205109032152,1809.4700726881013,0.030997500642421183,0.024206405258849997,0.001246629870830778,0.0055444655127404084,1.0620732571530105e-26,0.024206405258849997,0.001246629870830778,0.0055444655127404084,1.0620732571530105e-26,1.6394507291590698e-42,2.0978731311793227e-41,1.3590496560202756e-25,1.0,904735.0363440507,1.7583333333333333,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1185678.1410821588,0.0,0.0,-4.8603846081816915e-31,-3.329593781231254e-28,1246740.56534789,17666.60430212417,464000.0,0.7,1.0,113.36519665624996,0.011336519665624998,3.7694835252461893e-23,0.0,1185678.1410821588,1.0515,0.014900000000000002,1185678.1410821588,17666.604302124168,17666.604302124168,-3.329593781231254e-28,98768.86725079973,1778.5172116232382,59283.90705410794,1185.6781410821588,1067.110326973943,9485.42512865727,3557.0344232464763,2371.3562821643177,0.027605329348704827,0.021557408683598317,0.001110206547205317,0.004937714117901199,7.217309412537365e-27,0.021557408683598317,0.001110206547205317,0.004937714117901199,7.217309412537365e-27,-9.306022787007715e-35,-1.1908168275979942e-33,9.23540990081411e-26,1.0,1185678.1410821588,2.5875,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1440364.4368084983,0.0,0.0,0.0,0.0,1514543.205304136,21461.430108446628,464000.0,0.7,1.0,149.69317432870363,0.014969317432870366,3.7694835252461893e-23,0.0,1440364.4368084983,1.0515,0.014900000000000002,1440364.4368084983,21461.430108446628,21461.430108446628,0.0,119984.63910456262,2160.5466552127477,72018.22184042491,1440.3644368084983,1296.3279931276486,11522.915494467987,4321.0933104254955,2880.7288736169967,0.025396639672901802,0.019832610352265818,0.0010213794331416946,0.004542649887494294,5.465791640470372e-27,0.019832610352265818,0.0010213794331416946,0.004542649887494294,5.465791640470372e-27,0.0,0.0,6.994133595616542e-26,1.0,1440364.4368084983,3.4166666666666665,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1676967.4076864258,0.0,0.0,-4.860384608196041e-31,-3.329593781238601e-28,1763331.2291822769,24986.81437452775,464000.0,0.7,1.0,186.02115200115733,0.018602115200115732,3.7694835252461893e-23,0.0,1676967.4076864258,1.0515,0.014900000000000002,1676967.4076864258,24986.81437452775,24986.81437452775,-3.329593781238601e-28,139694.0413547029,2515.4511115296386,83848.3703843213,1676.967407686426,1509.2706669177835,13415.739261491408,5030.902223059277,3353.934815372852,0.02379403837943047,0.018581115374472854,0.0009569274417853544,0.004255995563172263,4.398379926580671e-27,0.018581115374472854,0.0009569274417853544,0.004255995563172263,4.398379926580671e-27,-5.671285722026049e-35,-7.257087830623529e-34,5.628252746227246e-26,1.0,1676967.4076864258,4.245833333333333,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1900009.5990541175,0.0,0.0,0.0,0.0,1997860.0934054046,28310.143025906353,464000.0,0.7,1.0,222.349129673611,0.022234912967361103,3.7694835252461893e-23,0.0,1900009.5990541175,1.0515,0.014900000000000002,1900009.5990541175,28310.143025906353,28310.143025906353,0.0,158273.80919154332,2850.0143985811765,95000.47995270588,1900.0095990541174,1710.008639148706,15200.07679243294,5700.028797162353,3800.019198108235,0.022554137641089062,0.01761285860760421,0.0009070622182916175,0.004034216815193234,3.679761202943928e-27,0.01761285860760421,0.0009070622182916175,0.004034216815193234,3.679761202943928e-27,0.0,0.0,4.7086942105135994e-26,1.0,1900009.5990541175,5.074999999999999,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2112329.1310926215,0.0,0.0,2.4651903226380976e-32,1.6887721918113192e-29,2221114.0813438916,31473.704053280064,464000.0,0.7,1.0,258.6771073460647,0.025867710734606475,3.7694835252461893e-23,0.0,2112329.1310926215,1.0515,0.014900000000000002,2112329.1310926215,31473.704053280064,31473.704053280064,1.6887721918113192e-29,175960.36252171034,3168.4936966389323,105616.45655463108,2112.3291310926215,1901.0962179833596,16898.633048740972,6336.987393277865,4224.658262185243,0.02155308580487768,0.01683112246984327,0.0008668028071969272,0.0038551605278374828,3.1629845767012737e-27,0.01683112246984327,0.0008668028071969272,0.0038551605278374828,3.1629845767012737e-27,2.0685483613111914e-36,2.6469548310039677e-35,4.0474167596369543e-26,1.0,2112329.1310926215,5.904166666666666,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2315856.4869071306,0.0,0.0,2.4651903226381238e-32,1.6887721918113374e-29,2435123.0959828477,34506.26165491625,464000.0,0.7,1.0,295.00508501851834,0.029500508501851843,3.7694835252461893e-23,0.0,2315856.4869071306,1.0515,0.014900000000000002,2315856.4869071306,34506.26165491625,34506.26165491625,1.6887721918113374e-29,192914.51364572655,3473.784730360696,115792.82434535654,2315.8564869071306,2084.270838216418,18526.851895257045,6947.569460721392,4631.712973814261,0.02071991674496959,0.016180488467253087,0.0008332951560635375,0.0037061331216529715,2.7734833819218474e-27,0.016180488467253087,0.0008332951560635375,0.0037061331216529715,2.7734833819218474e-27,1.813819943055687e-36,2.3209993784236772e-35,3.549003433419285e-26,1.0,2315856.4869071306,6.7333333333333325,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2511980.905325134,0.0,0.0,2.4651903226380976e-32,1.6887721918113192e-29,2641347.9219493787,37428.51548934449,464000.0,0.7,1.0,331.3330626909721,0.03313330626909721,3.7694835252461893e-23,0.0,2511980.905325134,1.0515,0.014900000000000002,2511980.905325134,37428.5154893445,37428.5154893445,1.6887721918113192e-29,209251.98835845792,3767.9713579877007,125599.0452662567,2511.980905325134,2260.7828147926207,20095.84724260107,7535.942715975401,5023.961810650268,0.020010476211695966,0.015626475895285454,0.0008047635086072036,0.003579236807803309,2.4693934684218756e-27,0.015626475895285454,0.0008047635086072036,0.003579236807803309,2.4693934684218756e-27,1.6149493267096186e-36,2.066520658695659e-35,3.1598840487082994e-26,1.0,2511980.905325134,7.562499999999999,default,CO2AdditionZO,co2_addition
