fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_alum,fs.costing.aggregate_flow_polymer,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[alum],fs.costing.aggregate_flow_costs[polymer],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.coag_and_floc.capital_mix_a_parameter[default],fs.costing.coag_and_floc.capital_mix_b_parameter[default],fs.costing.coag_and_floc.capital_floc_a_parameter[default],fs.costing.coag_and_floc.capital_floc_b_parameter[default],fs.costing.coag_and_floc.capital_coag_inj_a_parameter[default],fs.costing.coag_and_floc.capital_coag_inj_b_parameter[default],fs.costing.coag_and_floc.capital_floc_inj_a_parameter[default],fs.costing.coag_and_floc.capital_floc_inj_b_parameter[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tss],fs.unit.alum_dose,fs.unit.alum_ratio_in_solution,fs.unit.alum_solution_density,fs.unit.alum_flow_mass,fs.unit.alum_flow_vol,fs.unit.polymer_dose,fs.unit.polymer_ratio_in_solution,fs.unit.polymer_solution_density,fs.unit.polymer_flow_mass,fs.unit.polymer_flow_vol,fs.unit.chem_pump_head,fs.unit.eta_chem_pump,fs.unit.rapid_mix_retention_time,fs.unit.floc_retention_time,fs.unit.rapid_mix_basin_vol,fs.unit.floc_basin_vol,fs.unit.num_rapid_mixers,fs.unit.num_floc_mixers,fs.unit.num_rapid_mix_processes,fs.unit.num_floc_processes,fs.unit.num_coag_processes,fs.unit.num_floc_injection_processes,fs.unit.velocity_gradient_rapid_mix,fs.unit.velocity_gradient_floc,fs.unit.power_alum_addition,fs.unit.power_polymer_addition,fs.unit.power_rapid_mix,fs.unit.power_floc,fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CoagulationFlocculationZO],fs.costing.LCOW_aggregate_indirect_capex[CoagulationFlocculationZO],fs.costing.LCOW_aggregate_fixed_opex[CoagulationFlocculationZO],fs.costing.LCOW_aggregate_variable_opex[CoagulationFlocculationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[alum],fs.costing.LCOW_aggregate_variable_opex[polymer],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.cost_rapid_mix,fs.unit.costing.cost_floc,fs.unit.costing.cost_coag_inj,fs.unit.costing.cost_floc_inj,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties[0.0].dens_mass,fs.unit.properties[0.0].visc_d,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2639738.1292629316,0.0,0.0,0.8013073424076642,0.0008763403530505551,4.381701765252776e-06,548.9335020203042,18528.982878036895,153.58771249029724,2775684.6429199725,58563.602218565175,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,43.812636388888876,0.004381263638888888,10.0,0.5,1450.0,0.0008763403530505551,6.043726572762449e-07,0.1,1.0,1040.0,4.381701765252776e-06,4.213174774281516e-09,100.0,0.7,5.5,12.0,0.24099359708890272,31.54825270981999,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.00037420570856636217,1.8710285428318113e-06,0.19520481364201123,0.6057264520285438,0.8013073424076642,2639738.1292629316,1.0515,0.0149,776393.567430274,39332.098126017685,39332.098126017685,19231.504092547497,239125.87157079444,3959.6071938943974,131986.9064631466,2639.7381292629316,2375.764316336639,21117.905034103453,7919.214387788795,5279.476258525863,0.17293376005257186,0.03652515173033226,0.09405591822077863,0.02844463284130773,0.013908057260153256,0.03652515173033226,0.09405591822077863,0.02844463284130773,0.013908057260153256,0.0003969839561885005,0.013399999999999997,0.00011107330396475767,0.00507988413671,0.00507988413671,0.04381701765252777,33719.8286431713,370553.28817,74701.72788573339,32263.63171150504,3.4,776393.567430274,1000.0,0.001,1.0,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2713619.6313547823,0.0,0.0,1.1937844080767244,0.001305568281075317,6.527841405376585e-06,817.7988907649429,27604.40306319783,228.8143471794224,2853371.042369554,69083.94880832847,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,65.27188686507935,0.006527188686507935,10.0,0.5,1450.0,0.001305568281075317,9.003919179829773e-07,0.1,1.0,1040.0,6.527841405376585e-06,6.27677058209287e-09,100.0,0.7,5.5,12.0,0.3590312772957122,47.00045811871142,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0005574901372519275,2.7874506862596372e-06,0.2908153346095269,0.9024087958792593,1.1937844080767244,2713619.6313547823,1.0515,0.0149,798123.4209867007,40432.932507186255,40432.932507186255,28651.016301142197,254699.8299309726,4070.4294470321734,135680.98156773913,2713.6196313547825,2442.2576682193044,21708.95705083826,8140.858894064347,5427.239262709565,0.12363888881282176,0.02520306592946446,0.06490041507496394,0.01962735054824007,0.013908057260153258,0.02520306592946446,0.06490041507496394,0.01962735054824007,0.013908057260153258,0.00039698395618850045,0.0134,0.00011107330396475766,0.00507988413671,0.00507988413671,0.06527841405376586,33940.642672479684,378332.85788591835,75425.02317670485,37848.594182446286,3.4,798123.4209867007,1000.0,0.001,1.489795918367347,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2787501.133446633,0.0,0.0,1.5862614737457839,0.0017347962091000784,8.673981045500392e-06,1086.6642795095813,36679.82324835875,304.04098186854753,2931057.441819135,79604.29539809172,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,86.7311373412698,0.008673113734126983,10.0,0.5,1450.0,0.0017347962091000784,1.196411178689709e-06,0.1,1.0,1040.0,8.673981045500392e-06,8.340366389904224e-09,100.0,0.7,5.5,12.0,0.47706895750252165,62.45266352760283,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0007407745659374925,3.7038728296874623e-06,0.38642585557704257,1.1990911397299742,1.5862614737457839,2787501.133446633,1.0515,0.0149,819853.2745431274,41533.76688835483,41533.76688835483,38070.528509736876,270273.7882911507,4181.25170016995,139375.05667233164,2787.501133446633,2508.75102010197,22300.009067573064,8362.5034003399,5575.002266893266,0.098737355918515,0.019483661762015783,0.050172377403366844,0.015173259492979093,0.013908057260153255,0.019483661762015783,0.050172377403366844,0.015173259492979093,0.013908057260153255,0.00039698395618850034,0.013399999999999997,0.00011107330396475766,0.005079884136709999,0.005079884136709999,0.08673981045500394,34161.456701788076,386112.42760183674,76148.3184676763,43433.556653387524,3.4,819853.2745431274,1000.0,0.001,1.9795918367346939,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2861382.635538484,0.0,0.0,1.9787385394148438,0.0021640241371248398,1.08201206856242e-05,1355.52966825422,45755.243433519674,379.2676165576727,3008743.841268716,90124.641987855,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,108.19038781746026,0.010819038781746029,10.0,0.5,1450.0,0.0021640241371248398,1.492430439396441e-06,0.1,1.0,1040.0,1.08201206856242e-05,1.0403962197715608e-08,100.0,0.7,5.5,12.0,0.595106637709331,77.90486893649425,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0009240589946230576,4.620294973115289e-06,0.48203637654455816,1.4957734835806895,1.9787385394148438,2861382.635538484,1.0515,0.0149,841583.1280995541,42634.60126952341,42634.60126952341,47490.04071833157,285847.7466513288,4292.073953307726,143069.13177692422,2861.382635538484,2575.244371984636,22891.061084307872,8584.147906615452,5722.765271076968,0.08371411706492496,0.01603311214033187,0.04128686707256861,0.012486080591871231,0.013908057260153255,0.01603311214033187,0.04128686707256861,0.012486080591871231,0.013908057260153255,0.0003969839561885004,0.013399999999999997,0.00011107330396475766,0.005079884136709999,0.005079884136709999,0.10820120685624202,34382.27073109647,393891.9973177551,76871.61375864776,49018.51912432877,3.4,841583.1280995541,1000.0,0.001,2.4693877551020407,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2935264.137630334,0.0,0.0,2.3712156050839046,0.002593252065149602,1.2966260325748011e-05,1624.3950569988594,54830.66361868062,454.49425124679794,3086430.2407182967,100644.98857761826,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,129.64963829365075,0.012964963829365078,10.0,0.5,1450.0,0.002593252065149602,1.7884497001031739e-06,0.1,1.0,1040.0,1.2966260325748011e-05,1.2467558005526825e-08,100.0,0.7,5.5,12.0,0.7131443179161407,93.3570743453857,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.001107343423308623,5.5367171165431155e-06,0.5776468975120741,1.7924558274314053,2.3712156050839046,2935264.137630334,1.0515,0.0149,863312.9816559807,43735.43565069198,43735.43565069198,56909.55292692628,301421.7050115069,4402.896206445501,146763.2068815167,2935.264137630334,2641.737723867301,23482.113101042672,8805.792412891002,5870.528275260668,0.0736640883145923,0.01372481342789504,0.03534276705817252,0.010688450568371482,0.013908057260153255,0.01372481342789504,0.03534276705817252,0.010688450568371482,0.013908057260153255,0.00039698395618850045,0.013399999999999999,0.00011107330396475766,0.00507988413671,0.00507988413671,0.12966260325748014,34603.084760404854,401671.56703367346,77594.90904961922,54603.48159527002,3.4,863312.9816559807,1000.0,0.001,2.9591836734693877,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3009145.6397221847,0.0,0.0,2.763692670752964,0.003022479993174364,1.511239996587182e-05,1893.260445743498,63906.083803841546,529.7208859359231,3164116.6401678775,111165.33516738153,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,151.10888876984123,0.015110888876984125,10.0,0.5,1450.0,0.003022479993174364,2.084468960809906e-06,0.1,1.0,1040.0,1.511239996587182e-05,1.4531153813338465e-08,100.0,0.7,5.5,12.0,0.8311819981229502,108.80927975427711,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0012906278519941882,6.4531392599709415e-06,0.6732574184795898,2.08913817128212,2.763692670752964,3009145.6397221847,1.0515,0.0149,885042.8352124073,44836.27003186055,44836.27003186055,66329.06513552097,316995.663371685,4513.718459583277,150457.28198610924,3009.145639722185,2708.2310757499667,24073.16511777748,9027.436919166554,6018.29127944437,0.06646850559985709,0.012072126184079324,0.03108693213662267,0.009401390019001844,0.013908057260153258,0.012072126184079324,0.03108693213662267,0.009401390019001844,0.013908057260153258,0.00039698395618850045,0.013399999999999999,0.00011107330396475766,0.005079884136709999,0.005079884136709999,0.15112399965871823,34823.89878971325,409451.13674959185,78318.20434059067,60188.44406621127,3.4,885042.8352124073,1000.0,0.001,3.4489795918367347,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3083027.1418140354,0.0,0.0,3.156169736422024,0.0034517079211991253,1.7258539605995625e-05,2162.1258344881367,72981.50398900246,604.9475206250482,3241803.0396174584,121685.68175714478,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,172.56813924603168,0.017256813924603168,10.0,0.5,1450.0,0.0034517079211991253,2.3804882215166374e-06,0.1,1.0,1040.0,1.7258539605995625e-05,1.6594749621149682e-08,100.0,0.7,5.5,12.0,0.9492196783297596,124.26148516316854,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.001473912280679753,7.369561403398765e-06,0.7688679394471053,2.3858205151328358,3.156169736422024,3083027.1418140354,1.0515,0.0149,906772.688768834,45937.10441302913,45937.10441302913,75748.57734411565,332569.6217318631,4624.540712721053,154151.3570907018,3083.0271418140355,2774.724427632632,24664.217134512284,9249.081425442106,6166.054283628071,0.061062497860807335,0.010830469964632286,0.027889543205924603,0.008434427430097194,0.013908057260153258,0.010830469964632286,0.027889543205924603,0.008434427430097194,0.013908057260153258,0.00039698395618850045,0.013399999999999997,0.00011107330396475767,0.00507988413671,0.00507988413671,0.1725853960599563,35044.71281902164,417230.7064655102,79041.49963156212,65773.4065371525,3.4,906772.688768834,1000.0,0.001,3.9387755102040813,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3156908.6439058864,0.0,0.0,3.548646802091084,0.003880935849223887,1.9404679246119436e-05,2430.991223232775,82056.9241741634,680.1741553141734,3319489.43906704,132206.02834690805,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,194.02738972222215,0.01940273897222222,10.0,0.5,1450.0,0.003880935849223887,2.67650748222337e-06,0.1,1.0,1040.0,1.9404679246119436e-05,1.86583454289609e-08,100.0,0.7,5.5,12.0,1.067257358536569,139.71369057205996,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.001657196709365318,8.285983546826592e-06,0.864478460414621,2.682502858983551,3.548646802091084,3156908.6439058864,1.0515,0.0149,928502.5423252607,47037.93879419771,47037.93879419771,85168.08955271036,348143.5800920413,4735.36296585883,157845.43219529433,3156.9086439058865,2841.217779515298,25255.269151247092,9470.72593171766,6313.817287811773,0.05685228906864416,0.009863465812159706,0.02539941081289247,0.007681355183438735,0.013908057260153255,0.009863465812159706,0.02539941081289247,0.007681355183438735,0.013908057260153255,0.0003969839561885004,0.013399999999999999,0.00011107330396475766,0.00507988413671,0.00507988413671,0.19404679246119438,35265.526848330024,425010.2761814286,79764.79492253359,71358.36900809375,3.4,928502.5423252607,1000.0,0.001,4.428571428571429,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3230790.145997737,0.0,0.0,3.941123867760143,0.004310163777248648,2.155081888624324e-05,2699.856611977413,91132.34435932431,755.4007900032985,3397175.838516621,142726.37493667132,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,215.4866401984126,0.021548664019841263,10.0,0.5,1450.0,0.004310163777248648,2.9725267429301016e-06,0.1,1.0,1040.0,2.155081888624324e-05,2.0721941236772327e-08,100.0,0.7,5.5,12.0,1.1852950387433783,155.16589598095135,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0018404811380508832,9.202405690254417e-06,0.9600889813821365,2.9791852028342656,3.941123867760143,3230790.145997737,1.0515,0.0149,950232.3958816874,48138.77317536628,48138.77317536628,94587.60176130502,363717.5384522194,4846.185218996606,161539.50729988687,3230.790145997737,2907.7111313979635,25846.321167981896,9692.370437993211,6461.580291995474,0.05348062808570851,0.009089059997109053,0.023405238398555524,0.0070782724298906734,0.013908057260153256,0.009089059997109053,0.023405238398555524,0.0070782724298906734,0.013908057260153256,0.0003969839561885004,0.013399999999999999,0.00011107330396475769,0.00507988413671,0.00507988413671,0.21550818886243242,35486.34087763842,432789.8458973469,80488.09021350504,76943.331479035,3.4,950232.3958816874,1000.0,0.001,4.918367346938775,default,CoagulationFlocculationZO,coag_and_floc
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3304671.648089587,0.0,0.0,4.333600933429204,0.00473939170527341,2.369695852636705e-05,2968.7220007220526,100207.76454448524,830.6274246924237,3474862.2379662013,153246.7215264346,7.0814,33269.0,952902.0,177335.0,212.32,73225.0,13662.0,20861.0,236.9458906746031,0.02369458906746031,10.0,0.5,1450.0,0.00473939170527341,3.2685460036368343e-06,0.1,1.0,1040.0,2.369695852636705e-05,2.2785537044583544e-08,100.0,0.7,5.5,12.0,1.303332718950188,170.6181013898428,1.0,3.0,1.0,2.0,1.0,1.0,900.0,80.0,0.0020237655667364484,1.0118827833682244e-05,1.0556995023496523,3.275867546684981,4.333600933429204,3304671.648089587,1.0515,0.0149,971962.2494381139,49239.60755653485,49239.60755653485,104007.11396989971,379291.4968123975,4957.007472134381,165233.58240447938,3304.6716480895875,2974.2044832806287,26437.3731847167,9914.014944268762,6609.343296179175,0.050719683054398924,0.008454923914595873,0.021772274572475832,0.006584427307173958,0.013908057260153258,0.008454923914595873,0.021772274572475832,0.006584427307173958,0.013908057260153258,0.00039698395618850045,0.013399999999999997,0.00011107330396475767,0.00507988413671,0.00507988413671,0.23696958526367054,35707.15490694681,440569.4156132653,81211.3855044765,82528.29394997624,3.4,971962.2494381139,1000.0,0.001,5.408163265306122,default,CoagulationFlocculationZO,coag_and_floc
