fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.cofermentation.unit_capex[default],fs.costing.cofermentation.unit_opex[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[cod],fs.unit.properties_in[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[cod],fs.unit.properties_treated[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,cod]","fs.unit.removal_frac_mass_comp[0.0,nonbiodegradable_cod]","fs.unit.reaction_conversion[0.0,cod_to_nonbiodegradable_cod]","fs.unit.extent_of_reaction[0.0,cod_to_nonbiodegradable_cod]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,H2O]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,cod]","fs.unit.generation_ratio[cod_to_nonbiodegradable_cod,nonbiodegradable_cod]",fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.unit.costing.fixed_operating_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CofermentationZO],fs.costing.LCOW_aggregate_indirect_capex[CofermentationZO],fs.costing.LCOW_aggregate_fixed_opex[CofermentationZO],fs.costing.LCOW_aggregate_variable_opex[CofermentationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,H2O]","fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,cod]","fs.unit.generation_rxn_comp[0.0,cod_to_nonbiodegradable_cod,nonbiodegradable_cod]",fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5969509.247780775,1041969.7065608487,0.0,1.614760888109028,1106.1877288828737,6276938.974041485,1132021.582081665,7.14,5.63,4.381263638888887,0.0004381263638888888,0.0004381263638888888,4.381263638888887,0.00021906318194445446,1.0051989968364385e-17,5.2182061087478214e-17,1.002660086213972e-17,0.0006571895458333431,1.0,0,1,0.5,0.0002190631819444444,0,-1,1,1.6147608881090283,5969509.247780776,1041969.7065608489,1.0515,0.0149,3617884.3925944096,88945.68779193354,1130915.3943527823,1106.1877288828737,1540345.4702543826,8954.263871671163,298475.46238903876,5969.509247780775,5372.558323002698,47756.0739822462,17908.527743342325,11939.01849556155,11.138531341443622,1.7018503268174865,1.2508174439526822,8.177864516613429,0.007999054060026814,1.7018503268174865,1.2508174439526822,8.177864516613429,0.007999054060026814,0.007999054060026812,0.10235745599986287,0.10235745599986289,0.0,-0.0002190631819444444,0.0002190631819444444,0.004382139891616665,1.65,3617884.3925944096,100,0.9,0.9,0.1,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55466690.09396304,9681635.190127889,0.0,15.003819918679717,10278.3276475367,58323224.633802146,10518367.200175473,7.14,5.63,40.70924131134258,0.004070924131134258,0.004070924131134258,40.70924131134258,0.0020354620655672136,8.447814550893194e-17,3.5328604217189504e-22,8.484732041065967e-17,0.006106386196701471,1.0,0,1,0.5,0.002035462065567129,0,-1,1,15.003819918679719,55466690.09396305,9681635.190127889,1.0515,0.0149,33616175.81452306,826453.6824000493,10508088.872527938,10278.3276475367,14312376.66111364,83200.03514094456,2773334.504698152,55466.69009396304,49920.02108456674,443733.52075170435,166400.07028188911,110933.38018792609,11.138531341443622,1.7018503268174865,1.2508174439526825,8.177864516613429,0.007999054060026812,1.7018503268174865,1.2508174439526825,8.177864516613429,0.007999054060026812,0.00799905406002681,0.10235745599986285,0.10235745599986286,0.0,-0.002035462065567129,0.002035462065567129,0.04071738315960485,1.65,33616175.81452306,100,0.9,0.9,0.9291666666666666,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,104963870.94014531,18321300.673694927,0.0,28.392878949250413,19450.46756619053,110369510.29356281,19904712.818269283,7.14,5.63,77.03721898379627,0.007703721898379629,0.007703721898379629,77.03721898379627,0.0038518609491898148,1.9356574880838002e-19,6.685594765177239e-22,1.4563996394650086e-25,0.011555582847569443,1.0,0,1,0.5,0.0038518609491898143,0,-1,1,28.392878949250413,104963870.94014531,18321300.673694927,1.0515,0.0149,63614467.23645171,1563961.6770081653,19885262.350703094,19450.46756619053,27084407.8519729,157445.80641021798,5248193.547007266,104963.87094014531,94467.4838461308,839710.9675211625,314891.61282043596,209927.74188029062,11.138531341443626,1.7018503268174867,1.2508174439526827,8.17786451661343,0.007999054060026814,1.7018503268174867,1.2508174439526827,8.17786451661343,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.0,-0.0038518609491898143,0.0038518609491898143,0.07705262642759303,1.65,63614467.23645171,100,0.9,0.9,1.7583333333333333,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,154461051.78632757,26960966.157261964,0.0,41.78193797982109,28622.60748484435,162415795.95332345,29291058.43636309,7.14,5.63,113.36519665624996,0.011336519665624998,0.011336519665624998,113.36519665624996,0.005668259832812734,2.369711882086509e-16,9.83828479375788e-22,2.3573320764261028e-16,0.01700477949843773,1.0,0,1,0.5,0.005668259832812499,0,-1,1,41.781937979821095,154461051.78632757,26960966.157261968,1.0515,0.0149,93612758.65838034,2301469.671616281,29262435.828878246,28622.60748484435,39856439.04283216,231691.57767949137,7723052.589316379,154461.05178632756,139014.94660769482,1235688.4142906205,463383.15535898274,308922.1035726551,11.138531341443626,1.7018503268174865,1.2508174439526827,8.17786451661343,0.007999054060026812,1.7018503268174865,1.2508174439526827,8.17786451661343,0.007999054060026812,0.007999054060026812,0.10235745599986283,0.10235745599986285,0.0,-0.005668259832812499,0.005668259832812499,0.11338786969558122,1.65,93612758.65838034,100,0.9,0.9,2.5875,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,203958232.6325098,35600631.640829,0.0,55.17099701039179,37794.747403498186,214462081.61308408,38677404.05445689,7.14,5.63,149.69317432870363,0.014969317432870366,0.014969317432870366,149.69317432870363,0.007484658716435184,1.6967701251672786e-18,1.299078720093964e-21,7.818284791867436e-25,0.022453976149305548,1.0,0,1,0.5,0.007484658716435183,0,-1,1,55.17099701039179,203958232.6325098,35600631.640829,1.0515,0.0149,123611050.08030897,3038977.666224396,38639609.307053395,37794.747403498186,52628470.2336914,305937.34894876473,10197911.63162549,203958.2326325098,183562.40936925882,1631665.8610600785,611874.6978975295,407916.4652650196,11.138531341443622,1.7018503268174863,1.2508174439526822,8.177864516613429,0.007999054060026812,1.7018503268174863,1.2508174439526822,8.177864516613429,0.007999054060026812,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.0,-0.007484658716435183,0.007484658716435183,0.14972311296356938,1.65,123611050.08030897,100,0.9,0.9,3.4166666666666665,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,253455413.47869205,44240297.12439604,0.0,68.56005604096248,46966.88732215201,266508367.27284473,48063749.6725507,7.14,5.63,186.02115200115733,0.018602115200115732,0.018602115200115732,186.02115200115733,0.009301057600057868,1.7025298164049321e-18,1.6143429460679867e-21,9.715648888196566e-25,0.027903172800173598,1.0,0,1,0.5,0.009301057600057866,0,-1,1,68.56005604096248,253455413.47869205,44240297.12439604,1.0515,0.0149,153609341.50223762,3776485.6608325117,48016782.78522855,46966.88732215201,65400501.42455067,380183.1202180381,12672770.673934603,253455.41347869206,228109.87213082286,2027643.3078295365,760366.2404360762,506910.8269573841,11.138531341443626,1.7018503268174867,1.2508174439526822,8.17786451661343,0.007999054060026815,1.7018503268174867,1.2508174439526822,8.17786451661343,0.007999054060026815,0.007999054060026815,0.10235745599986287,0.10235745599986287,0.0,-0.009301057600057866,0.009301057600057866,0.18605835623155756,1.65,153609341.50223762,100,0.9,0.9,4.245833333333333,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,302952594.32487434,52879962.60796307,0.0,81.94911507153317,56139.02724080584,318554652.9326054,57450095.290644504,7.14,5.63,222.349129673611,0.022234912967361103,0.022234912967361103,222.34912967360347,0.011117451450486305,2.8319544898202083e-16,2.8309950246197242e-15,2.831954119930902e-16,0.03335237096101982,1.0,0,1,0.5,0.01111745849696748,0,-1,1,81.94911507153317,302952594.32487434,52879962.60796307,1.0515,0.0149,183607632.9241663,4513993.655440628,57393956.2634037,56139.02724080584,78172532.61540991,454428.8914873115,15147629.716243718,302952.59432487434,272657.3348923869,2423620.7545989947,908857.782974623,605905.1886497487,11.138531341443624,1.701850326817487,1.2508174439526825,8.177864516613429,0.007999054060026814,1.701850326817487,1.2508174439526825,8.177864516613429,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.0,-0.01111745849696748,0.01111745849696748,0.22239359949954574,1.65,183607632.9241663,100,0.9,0.9,5.074999999999999,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,352449775.17105657,61519628.09153011,0.0,95.33817410210385,65311.167159459656,370600938.59236604,66836440.90873831,7.14,5.63,258.6771073460647,0.025867710734606475,0.025867710734606475,258.6771073460647,0.01293385536730324,1.9821049475621073e-24,3.082336310544564e-17,1.1878661524688174e-18,0.03880156610190971,1.0,0,1,0.5,0.012933855367303237,0,-1,1,95.33817410210385,352449775.17105657,61519628.09153011,1.0515,0.0149,213605924.3460949,5251501.650048743,66771129.74157885,65311.167159459656,90944563.80626917,528674.6627565848,17622488.75855283,352449.77517105656,317204.7976539509,2819598.2013684525,1057349.3255131696,704899.5503421131,11.138531341443622,1.7018503268174865,1.250817443952682,8.177864516613427,0.007999054060026814,1.7018503268174865,1.250817443952682,8.177864516613427,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.0,-0.012933855367303237,0.012933855367303237,0.25872884276753394,1.65,213605924.3460949,100,0.9,0.9,5.904166666666666,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,401946956.0172387,70159293.57509713,0.0,108.72723313267451,74483.30707811347,422647224.2521265,76222786.52683209,7.14,5.63,295.00508501851834,0.029500508501851843,0.029500508501851843,295.00508501851834,0.014750254250925927,2.2731224727060326e-24,3.515211150052585e-17,8.632329141532078e-19,0.04425076275277777,1.0,0,1,0.5,0.014750254250925923,0,-1,1,108.72723313267451,401946956.0172387,70159293.57509713,1.0515,0.0149,243604215.76802346,5989009.644656857,76148303.21975398,74483.30707811347,103716594.9971284,602920.4340258581,20097347.800861936,401946.95601723867,361752.2604155148,3215575.6481379094,1205840.8680517161,803893.9120344773,11.138531341443624,1.7018503268174863,1.2508174439526822,8.177864516613427,0.007999054060026814,1.7018503268174863,1.2508174439526822,8.177864516613427,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.0,-0.014750254250925923,0.014750254250925923,0.29506408603552203,1.65,243604215.76802346,100,0.9,0.9,6.7333333333333325,default,CofermentationZO,cofermentation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,451444136.8634213,78798959.0586642,0.0,122.11629216324528,83655.44699676735,474693509.9118876,85609132.14492594,7.14,5.63,331.3330626909721,0.03313330626909721,0.03313330626909721,331.3330626909721,0.016566653134548606,1.2367489926883956e-18,3.948084031005042e-17,2.5473943060861622e-24,0.04969995940364581,1.0,0,1,0.5,0.016566653134548606,0,-1,1,122.11629216324528,451444136.8634213,78798959.0586642,1.0515,0.0149,273602507.1899523,6726517.639264978,85525476.69792917,83655.44699676735,116488626.18798772,677166.205295132,22572206.843171068,451444.13686342136,406299.7231770792,3611553.094907371,1354332.410590264,902888.2737268427,11.138531341443626,1.701850326817487,1.2508174439526833,8.177864516613429,0.007999054060026815,1.701850326817487,1.2508174439526833,8.177864516613429,0.007999054060026815,0.007999054060026815,0.1023574559998629,0.1023574559998629,0.0,-0.016566653134548606,0.016566653134548606,0.3313993293035103,1.65,273602507.1899523,100,0.9,0.9,7.562499999999999,default,CofermentationZO,cofermentation
