fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.constructed_wetlands.unit_capex[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_indirect_capex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_fixed_opex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_variable_opex[ConstructedWetlandsZO],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5091131.178542558,0.0,0.0,5353324.4342375,75857.85456028413,6.09,4.381263638888887,0.0004381263638888888,3.7240740930555543,0.00039431372749999994,0.85,0.1,5091131.178542558,1.0515,0.0149,3085534.0476015504,75857.85456028412,75857.85456028412,0.0,424099.2914577431,7636.696767813837,254556.55892712792,5091.131178542558,4582.018060688302,40729.04942834046,15273.393535627674,10182.262357085116,3.067049358802069,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,3085534.0476015504,0.1,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,47305093.86729127,0.0,0.0,49741306.20145678,704845.8986226401,6.09,40.70924131134258,0.004070924131134258,34.602855114641194,0.0036638317180208322,0.85,0.1,47305093.86729127,1.0515,0.0149,28669753.85896441,704845.89862264,704845.89862264,0.0,3940589.2497948636,70957.6408009369,2365254.693364564,47305.093867291274,42574.584480562145,378440.7509383302,141915.2816018738,94610.18773458255,3.067049358802069,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,28669753.85896441,0.9291666666666666,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,89519056.55603997,0.0,0.0,94129287.96867605,1333833.9426849957,6.09,77.03721898379627,0.007703721898379629,65.48163613622683,0.0069333497085416656,0.85,0.1,89519056.55603997,1.0515,0.0149,54253973.67032726,1333833.9426849957,1333833.9426849957,0.0,7457079.208131984,134278.58483405996,4475952.827801999,89519.05655603997,80567.15090043598,716152.4524483198,268557.1696681199,179038.11311207994,3.0670493588020693,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,54253973.67032726,1.7583333333333333,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,131733019.24478869,0.0,0.0,138517269.73589534,1962821.9867473517,6.09,113.36519665624996,0.011336519665624998,96.36041715781248,0.010202867699062498,0.85,0.1,131733019.24478869,1.0515,0.0149,79838193.48169012,1962821.9867473515,1962821.9867473515,0.0,10973569.166469106,197599.52886718305,6586650.962239435,131733.01924478868,118559.71732030984,1053864.1539583094,395199.0577343661,263466.03848957736,3.0670493588020693,1.4515782199325622,1.0668737021949353,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949353,0.5485974366745717,0.0,1.65,79838193.48169012,2.5875,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,173946981.93353736,0.0,0.0,182905251.50311455,2591810.030809707,6.09,149.69317432870363,0.014969317432870366,127.23919817939809,0.013472385689583335,0.85,0.1,173946981.93353736,1.0515,0.0149,105422413.29305296,2591810.0308097065,2591810.0308097065,0.0,14490059.124806222,260920.47290030605,8697349.09667687,173946.98193353738,156552.28374018363,1391575.855468299,521840.9458006121,347893.96386707475,3.0670493588020693,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,105422413.29305296,3.4166666666666665,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,216160944.6222861,0.0,0.0,227293233.27033386,3220798.0748720635,6.09,186.02115200115733,0.018602115200115732,158.11797920098374,0.01674190368010416,0.85,0.1,216160944.6222861,1.0515,0.0149,131006633.10441583,3220798.074872063,3220798.074872063,0.0,18006549.083143346,324241.4169334292,10808047.231114306,216160.94462228613,194544.8501600575,1729287.556978289,648482.8338668584,432321.88924457226,3.0670493588020697,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,131006633.10441583,4.245833333333333,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,258374907.3110348,0.0,0.0,271681215.03755313,3849786.118934419,6.09,222.349129673611,0.022234912967361103,188.99676022256935,0.020011421670624998,0.85,0.1,258374907.3110348,1.0515,0.0149,156590852.91577867,3849786.1189344185,3849786.1189344185,0.0,21523039.041480463,387562.3609665522,12918745.36555174,258374.9073110348,232537.41657993133,2066999.2584882784,775124.7219331044,516749.8146220696,3.0670493588020693,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,156590852.91577867,5.074999999999999,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,300588869.99978346,0.0,0.0,316069196.8047723,4478774.162996774,6.09,258.6771073460647,0.025867710734606475,219.875541244155,0.02328093966114583,0.85,0.1,300588869.99978346,1.0515,0.0149,182175072.7271415,4478774.162996774,4478774.162996774,0.0,25039528.999817576,450883.3049996752,15029443.499989174,300588.86999978346,270529.9829998051,2404710.9599982677,901766.6099993504,601177.7399995669,3.0670493588020684,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,182175072.7271415,5.904166666666666,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,342802832.6885321,0.0,0.0,360457178.57199156,5107762.207059129,6.09,295.00508501851834,0.029500508501851843,250.75432226574057,0.026550457651666647,0.85,0.1,342802832.6885321,1.0515,0.0149,207759292.53850433,5107762.207059128,5107762.207059128,0.0,28556018.958154697,514204.24903279816,17140141.634426605,342802.83268853213,308522.5494196789,2742422.661508257,1028408.4980655963,685605.6653770643,3.067049358802069,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,207759292.53850433,6.7333333333333325,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,385016795.377281,0.0,0.0,404845160.33921105,5736750.2511214875,6.09,331.3330626909721,0.03313330626909721,281.63310328732626,0.02981997564218749,0.85,0.1,385016795.377281,1.0515,0.0149,233343512.34986728,5736750.2511214875,5736750.2511214875,0.0,32072508.916491833,577525.1930659215,19250839.76886405,385016.795377281,346515.11583955295,3080134.363018248,1155050.386131843,770033.590754562,3.0670493588020697,1.4515782199325624,1.0668737021949355,0.548597436674572,0.0,1.4515782199325624,1.0668737021949355,0.548597436674572,0.0,1.65,233343512.34986728,7.562499999999999,default,ConstructedWetlandsZO,constructed_wetlands
