fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.conventional_activated_sludge.capital_a_parameter[default],fs.costing.conventional_activated_sludge.capital_b_parameter[default],fs.costing.conventional_activated_sludge.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CASZO],fs.costing.LCOW_aggregate_indirect_capex[CASZO],fs.costing.LCOW_aggregate_fixed_opex[CASZO],fs.costing.LCOW_aggregate_variable_opex[CASZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.conventional_activated_sludge.capital_a_parameter[cas_nitrification],fs.costing.conventional_activated_sludge.capital_b_parameter[cas_nitrification],fs.costing.conventional_activated_sludge.reference_state[cas_nitrification],fs.costing.conventional_activated_sludge.capital_a_parameter[cas_denitrification],fs.costing.conventional_activated_sludge.capital_b_parameter[cas_denitrification],fs.costing.conventional_activated_sludge.reference_state[cas_denitrification]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295967,0.0,0.0,2.2083776896873992,1512.8433683649944,274008.8826093971,5395.613079140094,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,2.2083776896873992,0.14,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.7697107750996,3882.7697107750996,1512.8433683649944,23220.284117624415,390.88285678943953,13029.428559647984,260.5885711929597,234.52971407366374,2084.7085695436776,781.7657135788791,521.1771423859194,0.16792708440838766,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.010940752263374487,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.010940752263374487,0.010940752263374485,0.14,0.14,1.0,260588.57119295967,0.1,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,962613.2726084039,0.0,0.0,20.519509366678758,14056.836297724743,1012187.8561477369,28399.774059589967,725570.0,0.5862,1.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,20.519509366678758,0.14,962613.2726084039,1.0515,0.014900000000000002,962613.2726084039,14342.93776186522,14342.93776186522,14056.836297724743,94244.04667282879,1443.919908912606,48130.6636304202,962.6132726084039,866.3519453475636,7700.906180867231,2887.839817825212,1925.2265452168078,0.07335226398789445,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.010940752263374485,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,962613.2726084039,0.9291666666666666,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1399051.4744335848,0.0,0.0,38.830641043670106,26600.829227084487,1471102.6253669146,47446.6961961449,725570.0,0.5862,1.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,38.830641043670106,0.14,1399051.4744335848,1.0515,0.014900000000000002,1399051.4744335848,20845.86696906042,20845.86696906042,26600.829227084487,143144.03312662517,2098.577211650377,69952.57372167925,1399.0514744335849,1259.1463269902265,11192.411795468679,4197.154423300754,2798.1029488671697,0.05887423249287651,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.010940752263374483,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.010940752263374483,0.010940752263374485,0.14,0.14,1.0,1399051.4744335848,1.7583333333333333,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1754631.132441607,0.0,0.0,57.141772720661464,39144.822156444236,1844994.6357623502,65288.82602982419,725570.0,0.5862,1.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,57.141772720661464,0.14,1754631.132441607,1.0515,0.014900000000000002,1754631.132441607,26144.00387337995,26144.00387337995,39144.822156444236,185308.3748015772,2631.9466986624107,87731.55662208036,1754.6311324416072,1579.1680191974465,14037.049059532857,5263.893397324821,3509.2622648832144,0.051792623119603046,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.010940752263374485,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,1754631.132441607,2.5875,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2065157.6718641433,0.0,0.0,75.4529043976528,51688.81508580397,2171513.291965147,82459.66439657971,725570.0,0.5862,1.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,75.4529043976528,0.14,2065157.6718641433,1.0515,0.014900000000000002,2065157.6718641433,30770.84931077574,30770.84931077574,51688.81508580397,223719.7203348081,3097.736507796215,103257.88359320717,2065.1576718641436,1858.6419046777291,16521.26137491315,6195.47301559243,4130.315343728287,0.04735380434918878,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.010940752263374485,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,2065157.6718641433,3.4166666666666665,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2345671.771338338,0.0,0.0,93.76403607464417,64232.808015163726,2466473.867562263,99183.31740810498,725570.0,0.5862,1.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,93.76403607464417,0.14,2345671.771338338,1.0515,0.014900000000000002,2345671.771338338,34950.50939294124,34950.50939294124,64232.808015163726,259630.98208103018,3518.507657007507,117283.58856691691,2345.671771338338,2111.1045942045043,18765.374170706706,7037.015314015014,4691.343542676676,0.04422285655290966,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.010940752263374487,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.010940752263374487,0.010940752263374485,0.14,0.14,1.0,2345671.771338338,4.245833333333333,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2604245.816394803,0.0,0.0,112.0751677516355,76776.80094452346,2738364.475939136,115580.06360880603,725570.0,0.5862,1.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,112.0751677516355,0.14,2604245.816394803,1.0515,0.014900000000000002,2604245.816394803,38803.26266428257,38803.26266428257,76776.80094452346,293714.6025414963,3906.3687245922047,130212.29081974016,2604.245816394803,2343.821234755323,20833.966531158425,7812.737449184409,5208.491632789606,0.04185455323755881,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.010940752263374485,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,2604245.816394803,5.074999999999999,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2845827.298267036,0.0,0.0,130.38629942862684,89320.79387388319,2992387.4041277887,131723.62061806204,725570.0,0.5862,1.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,130.38629942862684,0.14,2845827.298267036,1.0515,0.014900000000000002,2845827.298267036,42402.82674417884,42402.82674417884,89320.79387388319,326382.7155727182,4268.740947400554,142291.3649133518,2845.8272982670364,2561.244568440333,22766.61838613629,8537.481894801109,5691.654596534073,0.039978064225116856,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.010940752263374483,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.010940752263374483,0.010940752263374483,0.14,0.14,1.0,2845827.298267036,5.904166666666666,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3073716.8499491517,0.0,0.0,148.6974311056182,101864.78680324294,3232013.2677215333,147663.16786748532,725570.0,0.5862,1.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,148.6974311056182,0.14,3073716.8499491517,1.0515,0.014900000000000002,3073716.8499491517,45798.38106424236,45798.38106424236,101864.78680324294,357910.2691312652,4610.575274923728,153685.8424974576,3073.7168499491518,2766.3451649542367,24589.734799593214,9221.150549847456,6147.4336998983035,0.038441228907163415,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.010940752263374485,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,3073716.8499491517,6.7333333333333325,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3290250.887166644,0.0,0.0,167.00856278260957,114408.7797326027,3459698.8078557267,163433.5179513857,725570.0,0.5862,1.0,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,167.00856278260957,0.14,3290250.887166644,1.0515,0.014900000000000002,3290250.887166644,49024.738218783,49024.738218783,114408.7797326027,388491.89034792274,4935.376330749966,164512.5443583322,3290.250887166644,2961.2257984499797,26322.007097333153,9870.752661499931,6580.501774333288,0.03715093840316039,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.010940752263374485,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.010940752263374485,0.010940752263374485,0.14,0.14,1.0,3290250.887166644,7.562499999999999,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3497157.515865457,0.0,0.0,185.31969445960092,126952.77266196244,3677261.127932528,179060.41964835775,725570.0,0.5862,1.0,367.6610403634258,0.036766104036342576,367.62427425938944,0.033089493632708335,0.03676610403638979,0.0036766104036342583,0.9999,0.1,185.31969445960092,0.14,3497157.515865457,1.0515,0.014900000000000002,3497157.515865457,52107.64698639531,52107.64698639531,126952.77266196244,418271.53318528517,5245.736273798186,174857.87579327286,3497.157515865457,3147.4417642789113,27977.260126923655,10491.472547596371,6994.315031730914,0.03604651657027689,0.019605461490477854,0.0010096812667596121,0.004490621549664944,0.010940752263374485,0.019605461490477854,0.0010096812667596121,0.004490621549664944,0.010940752263374485,0.010940752263374483,0.14,0.14,1.0,3497157.515865457,8.391666666666666,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3695758.969563698,0.0,0.0,203.63082613659228,139496.76559132218,3886090.5564962286,194563.57423782127,725570.0,0.5862,1.0,403.9890180358795,0.040398901803587954,403.9486191340759,0.03635901162322915,0.040398901803619325,0.0040398901803587964,0.9999,0.1,203.63082613659228,0.14,3695758.969563698,1.0515,0.014900000000000002,3695758.969563698,55066.80864649911,55066.80864649911,139496.76559132218,447359.3417898115,5543.638454345547,184787.9484781849,3695.758969563698,3326.1830726073285,29566.071756509584,11087.276908691094,7391.517939127396,0.035086460323873435,0.018855739413210497,0.0009710705797803407,0.0043188980675081205,0.010940752263374485,0.018855739413210497,0.0009710705797803407,0.0043188980675081205,0.010940752263374485,0.010940752263374483,0.14,0.14,1.0,3695758.969563698,9.220833333333333,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3887094.5990399215,0.0,0.0,221.9419578135836,152040.75852068193,4087279.9708904778,209958.46804637677,725570.0,0.5862,1.0,440.3169957083331,0.04403169957083332,440.2729640087623,0.03962852961374999,0.04403169957077339,0.004403169957083332,0.9999,0.1,221.9419578135836,0.14,3887094.5990399215,1.0515,0.014900000000000002,3887094.5990399215,57917.70952569484,57917.70952569484,152040.75852068193,475841.89572767337,5830.641898559882,194354.7299519961,3887.094599039922,3498.38513913593,31096.756792319375,11661.283797119764,7774.189198079844,0.03424126759393122,0.01819571594942141,0.0009370793713952031,0.004167720009740121,0.010940752263374487,0.01819571594942141,0.0009370793713952031,0.004167720009740121,0.010940752263374487,0.010940752263374487,0.14,0.14,1.0,3887094.5990399215,10.049999999999999,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4071999.5658253357,0.0,0.0,240.25308949057498,164584.7514500417,4281707.543465341,225257.54498083921,725570.0,0.5862,1.0,476.6449733807868,0.04766449733807868,476.5973088834487,0.04289804760427081,0.04766449733801381,0.004766449733807869,0.9999,0.1,240.25308949057498,0.14,4071999.5658253357,1.0515,0.014900000000000002,4071999.5658253357,60672.793530797506,60672.793530797506,164584.7514500417,503788.7652773054,6107.999348738003,203599.9782912668,4071.9995658253356,3664.7996092428025,32575.996526602685,12215.998697476007,8143.999131650671,0.033489299740160836,0.017608493165882432,0.0009068373980429476,0.0040332169128609605,0.010940752263374487,0.017608493165882432,0.0009068373980429476,0.0040332169128609605,0.010940752263374487,0.010940752263374487,0.14,0.14,1.0,4071999.5658253357,10.879166666666665,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4251157.344971933,0.0,0.0,258.5642211675663,177128.7443794014,4470091.948237988,240470.98881948323,725570.0,0.5862,1.0,512.9729510532405,0.05129729510532406,512.9216537581352,0.04616756559479163,0.05129729510525409,0.005129729510532407,0.9999,0.1,258.5642211675663,0.14,4251157.344971933,1.0515,0.014900000000000002,4251157.344971933,63342.24444008181,63342.24444008181,177128.7443794014,531256.8849931537,6376.7360174579,212557.86724859668,4251.1573449719335,3826.0416104747405,34009.25875977547,12753.4720349158,8502.314689943867,0.032814267313228083,0.01708135039144736,0.0008796895451595388,0.003912475113246703,0.010940752263374483,0.01708135039144736,0.0008796895451595388,0.003912475113246703,0.010940752263374483,0.010940752263374483,0.14,0.14,1.0,4251157.344971933,11.708333333333332,default,CASZO,conventional_activated_sludge,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4425135.98549448,0.0,0.0,276.8753528445577,189672.7373087612,4653030.488747445,255607.26349262893,725570.0,0.5862,1.0,549.3009287256942,0.05493009287256943,549.2459986328216,0.04943708358531248,0.054930092872612094,0.005493009287256944,0.9999,0.1,276.8753528445577,0.14,4425135.98549448,1.0515,0.014900000000000002,4425135.98549448,65934.52618386775,65934.52618386775,189672.7373087612,558293.574257931,6637.70397824172,221256.79927472398,4425.135985494479,3982.622386945032,35401.087883955835,13275.40795648344,8850.271970988959,0.03220363544522825,0.016604498962963343,0.000855131696592616,0.0038032525222978066,0.010940752263374483,0.016604498962963343,0.000855131696592616,0.0038032525222978066,0.010940752263374483,0.010940752263374483,0.14,0.14,1.0,4425135.98549448,12.5375,default,CASZO,conventional_activated_sludge,,,,,,
