fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.cooling_tower.capital_a_parameter[default],fs.costing.cooling_tower.capital_b_parameter[default],fs.costing.cooling_tower.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.cycles,fs.unit.blowdown[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CoolingTowerZO],fs.costing.LCOW_aggregate_indirect_capex[CoolingTowerZO],fs.costing.LCOW_aggregate_fixed_opex[CoolingTowerZO],fs.costing.LCOW_aggregate_variable_opex[CoolingTowerZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.021110659876799318,0.0,0.0,0.0,0.0,0.022197858860454483,0.0003145488321643099,0.001,1.0,1.0,4.381263638888887,0.0004381263638888888,1.0953159097222218,0.0003943137277764253,3.2859477291666654,4.381263666628694e-05,0.25,0.1,2.77519641371665e-14,0.0,5.0,78.87063177454996,0.021110659876857903,1.0515,0.014900000000000002,0.021110659876857903,0.00031454883216430984,0.00031454883216430984,0.0,0.0017585514067463067,3.166598981519898e-05,0.001055532993839966,2.1110659876799317e-05,1.8999593889119386e-05,0.00016888527901439454,6.333197963039795e-05,4.2221319753598634e-05,1.271769152441309e-08,9.931432812893834e-09,5.114687898640329e-10,2.2747899216905175e-09,1.3748887514335062e-16,9.931432812893834e-09,5.114687898640329e-10,2.2747899216905175e-09,1.3748887514335062e-16,0.0,0.0,1.7593344640939928e-15,1.0,0.021110659876857903,0.1,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.19615321468859367,0.0,0.0,0.0,0.0,0.20625510524505627,0.0029226828988600465,0.001,1.0,1.0,40.70924131134258,0.004070924131134258,10.177310327835645,0.003663831720589284,30.53193098350694,0.00040709241569091605,0.25,0.1,2.77519641371665e-14,0.0,5.0,732.839620238527,0.19615321468913804,1.0515,0.014900000000000002,0.19615321468913804,0.002922682898860046,0.002922682898860046,0.0,0.016339873487684436,0.0002942298220328905,0.009807660734429685,0.0001961532146885937,0.00017653789321973434,0.0015692257175087495,0.000588459644065781,0.0003923064293771874,1.271769152441309e-08,9.931432812893832e-09,5.114687898640342e-10,2.2747899216905175e-09,1.4797008984037732e-17,9.931432812893832e-09,5.114687898640342e-10,2.2747899216905175e-09,1.4797008984037732e-17,0.0,0.0,1.8934541317603506e-16,1.0,0.19615321468913804,0.9291666666666666,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.371195769500388,0.0,0.0,0.0,0.0,0.39031235162965805,0.005530816965555781,0.001,1.0,1.0,77.03721898379627,0.007703721898379629,19.259304745949066,0.006933349713402144,57.7779142378472,0.0007703721947155454,0.25,0.1,2.77519641371665e-14,0.0,5.0,1386.8086087025038,0.37119576950141814,1.0515,0.014900000000000002,0.37119576950141814,0.005530816965555782,0.005530816965555782,0.0,0.030921195568622564,0.0005567936542505821,0.018559788475019403,0.00037119576950038805,0.00033407619255034925,0.0029695661560031044,0.0011135873085011642,0.0007423915390007761,1.2717691524413092e-08,9.931432812893834e-09,5.114687898640321e-10,2.2747899216905175e-09,7.819272520000983e-18,9.931432812893834e-09,5.114687898640321e-10,2.2747899216905175e-09,7.819272520000983e-18,0.0,0.0,1.0005693634657778e-16,1.0,0.37119576950141814,1.7583333333333333,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.5462383243121824,0.0,0.0,0.0,0.0,0.5743695980142599,0.00813895103225152,0.001,1.0,1.0,113.36519665624996,0.011336519665624998,28.34129916406249,0.010202867706215004,85.02389749218747,0.0011336519737401745,0.25,0.1,2.77519641371665e-14,0.0,5.0,2040.7775971664807,0.5462383243136983,1.0515,0.014900000000000002,0.5462383243136983,0.00813895103225152,0.00813895103225152,0.0,0.045502517649560696,0.0008193574864682737,0.027311916215609123,0.0005462383243121825,0.0004916144918809643,0.00436990659449746,0.0016387149729365474,0.001092476648624365,1.271769152441309e-08,9.931432812893834e-09,5.114687898640331e-10,2.2747899216905175e-09,5.313579715685047e-18,9.931432812893834e-09,5.114687898640331e-10,2.2747899216905175e-09,5.313579715685047e-18,0.0,0.0,6.799360247706251e-17,1.0,0.5462383243136983,2.5875,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.7212808791239765,0.0,0.0,0.0,0.0,0.7584268443988614,0.010747085098947253,0.001,1.0,1.0,149.69317432870363,0.014969317432870366,37.42329358217591,0.013472385699027863,112.26988074652772,0.0014969317527648036,0.25,0.1,2.77519641371665e-14,0.0,5.0,2694.746585630457,0.7212808791259783,1.0515,0.014900000000000002,0.7212808791259783,0.010747085098947251,0.010747085098947251,0.0,0.0600838397304988,0.0010819213186859648,0.036064043956198825,0.0007212808791239766,0.000649152791211579,0.0057702470329918125,0.0021638426373719296,0.0014425617582479531,1.2717691524413089e-08,9.931432812893834e-09,5.114687898640324e-10,2.274789921690518e-09,4.0240646383419696e-18,9.931432812893834e-09,5.114687898640324e-10,2.274789921690518e-09,4.0240646383419696e-18,0.0,0.0,5.1492716022263206e-17,1.0,0.7212808791259783,3.4166666666666665,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.896323433935771,0.0,0.0,0.0,0.0,0.9424840907834633,0.013355219165642989,0.001,1.0,1.0,186.02115200115733,0.018602115200115732,46.50528800028933,0.01674190369184072,139.515864000868,0.0018602115317894327,0.25,0.1,2.77519641371665e-14,0.0,5.0,3348.7155740944345,0.8963234339382584,1.0515,0.014900000000000002,0.8963234339382584,0.013355219165642989,0.013355219165642989,0.0,0.07466516181143694,0.0013444851509036564,0.04481617169678855,0.000896323433935771,0.000806691090542194,0.007170587471486168,0.002688970301807313,0.001792646867871542,1.271769152441309e-08,9.931432812893834e-09,5.114687898640329e-10,2.274789921690518e-09,3.2382070691270016e-18,9.931432812893834e-09,5.114687898640329e-10,2.274789921690518e-09,3.2382070691270016e-18,0.0,0.0,4.143672928189973e-17,1.0,0.8963234339382584,4.245833333333333,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1.0713659841922654,0.0,0.0,0.0,0.0,1.1265413323781672,0.015963353164464757,0.001,1.0,1.0,222.349129673611,0.022234912967361103,55.58728241840275,0.020011443177765008,166.76184725520824,0.002223512879557304,0.25,0.1,4.2546367175591904e-11,0.0,5.0,4002.6845625584106,1.0713659887505385,1.0515,0.014900000000000002,1.0713659887505385,0.015963353164464757,0.015963353164464757,0.0,0.08924648351291137,0.001607048976288398,0.05356829920961327,0.0010713659841922653,0.0009642293857730389,0.008570927873538123,0.003214097952576796,0.0021427319683845307,1.2717691470339227e-08,9.931432812893834e-09,5.114687898640314e-10,2.2747899216905175e-09,4.153366640559199e-15,9.931432812893834e-09,5.114687898640314e-10,2.2747899216905175e-09,4.153366640559199e-15,0.0,0.0,5.314728966351196e-14,1.0,1.0713659887505385,5.074999999999999,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1.246408538259803,0.0,0.0,0.0,0.0,1.310598577980183,0.018571487220071067,0.001,1.0,1.0,258.6771073460647,0.025867710734606475,64.66927683651618,0.023280964682178176,194.0078305095485,0.002586796182539163,0.25,0.1,4.2546367175591904e-11,0.0,5.0,4656.653551022388,1.2464085435628185,1.0515,0.014900000000000002,1.2464085435628185,0.018571487220071067,0.018571487220071067,0.0,0.10382780553185172,0.0018696128073897045,0.06232042691299015,0.001246408538259803,0.0011217676844338226,0.009971268306078423,0.003739225614779409,0.002492817076519606,1.2717691470339227e-08,9.931432812893832e-09,5.114687898640355e-10,2.2747899216905175e-09,3.570078029782007e-15,9.931432812893832e-09,5.114687898640355e-10,2.2747899216905175e-09,3.570078029782007e-15,0.0,0.0,4.568341482721071e-14,1.0,1.2464085435628185,5.904166666666666,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1.4214510923273405,0.0,0.0,0.0,0.0,1.4946558235821985,0.021179621275677376,0.001,1.0,1.0,295.00508501851834,0.029500508501851843,73.75127125462959,0.026550486186591334,221.25381376388876,0.0029500794855210214,0.25,0.1,4.2546367175591904e-11,0.0,5.0,5310.622539486363,1.4214510983750985,1.0515,0.014900000000000002,1.4214510983750985,0.021179621275677376,0.021179621275677376,0.0,0.11840912755079207,0.002132176638491011,0.07107255461636702,0.0014214510923273404,0.0012793059830946065,0.011371608738618724,0.004264353276982022,0.002842902184654681,1.2717691470339227e-08,9.931432812893834e-09,5.11468789864034e-10,2.274789921690518e-09,3.1304458961640504e-15,9.931432812893834e-09,5.11468789864034e-10,2.274789921690518e-09,3.1304458961640504e-15,0.0,0.0,4.005779629341435e-14,1.0,1.4214510983750985,6.7333333333333325,default,CoolingTowerZO,cooling_tower
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1.5964936463948782,0.0,0.0,0.0,0.0,1.6787130691842147,0.02378775533128369,0.001,1.0,1.0,331.3330626909721,0.03313330626909721,82.83326567274302,0.029820007691004503,248.49979701822906,0.0033133627885028796,0.25,0.1,4.2546367175591904e-11,0.0,5.0,5964.5915279503415,1.5964936531873788,1.0515,0.014900000000000002,1.5964936531873788,0.02378775533128369,0.02378775533128369,0.0,0.13299044956973244,0.0023947404695923175,0.07982468231974392,0.0015964936463948782,0.0014368442817553906,0.012771949171159026,0.004789480939184635,0.0031929872927897564,1.2717691470339223e-08,9.931432812893832e-09,5.11468789864034e-10,2.2747899216905175e-09,2.787217943912454e-15,9.931432812893832e-09,5.11468789864034e-10,2.2747899216905175e-09,2.787217943912454e-15,0.0,0.0,3.566578446840637e-14,1.0,1.5964936531873788,7.562499999999999,default,CoolingTowerZO,cooling_tower
