fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.crystallizer.capital_a_parameter[default],fs.costing.crystallizer.capital_b_parameter[default],fs.costing.crystallizer.capital_c_parameter[default],fs.costing.crystallizer.capital_d_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.elec_coeff_1,fs.unit.elec_coeff_2,fs.unit.elec_coeff_3,fs.unit.elec_coeff_4,fs.unit.electricity[0.0],fs.unit.electricity_intensity,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CrystallizerZO],fs.costing.LCOW_aggregate_indirect_capex[CrystallizerZO],fs.costing.LCOW_aggregate_fixed_opex[CrystallizerZO],fs.costing.LCOW_aggregate_variable_opex[CrystallizerZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.purge_fraction,fs.unit.properties_in[0.0].flow_vol,fs.unit.properties_in[0.0].conc_mass_comp[H2O],fs.unit.properties_in[0.0].conc_mass_comp[tds],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,tds,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9637354.841154218,0.0,0.0,531.9895157015628,364438.02825355384,10133678.615473662,508034.6153867517,1410000.0,-0.711,1450000.0,555000.0,2.1906318194444436,0.3176416138194444,2.168725501249999,0.006352832276388894,0.021906318194444645,0.3112887815430555,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,531.9895157015628,58.91497454500583,9637354.841154218,1.0515,0.014900000000000002,9637354.841154218,143596.58713319787,143596.58713319787,364438.02825355384,1167244.9519656235,14456.032261731327,481867.7420577109,9637.354841154218,8673.619357038797,77098.83872923374,28912.064523462654,19274.709682308436,14.746303193204259,7.920195216634198,0.4078900536566623,1.8141169150568084,4.604101007856591,7.920195216634198,0.4078900536566623,1.8141169150568084,4.604101007856591,4.604101007856591,58.91497454500583,58.91497454500583,0.010000000000000009,0.002508273433263888,873.3624454148472,126.63755458515286,1.0,9637354.841154218,1000.0,0.05,145000.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9949397.846851183,0.0,0.0,563.4388587844253,385982.3185914438,10461791.835964018,534228.3465095264,1410000.0,-0.711,1450000.0,555000.0,2.1906318194444436,0.434292758204861,2.168725501249999,0.008685855164097228,0.021906318194444645,0.4256069030407638,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,563.4388587844253,59.624872820896336,9949397.846851183,1.0515,0.014900000000000002,9949397.846851183,148246.02791808263,148246.02791808263,385982.3185914438,1214782.918950107,14924.096770276776,497469.8923425592,9949.397846851183,8954.458062166066,79595.18277480947,29848.19354055355,19898.795693702366,14.664858616679195,7.813270909204705,0.4023834518240435,1.7896259537316135,4.659578301918838,7.813270909204705,0.4023834518240435,1.7896259537316135,4.659578301918838,4.659578301918838,59.624872820896336,59.624872820896336,0.010000000000000009,0.0026249245776493045,834.5503859795535,165.44961402044652,1.0,9949397.846851183,1000.0,0.05,198250.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10265007.116132526,0.0,0.0,594.8878974818998,407526.4004109188,10793654.982613353,560475.0064412934,1410000.0,-0.711,1450000.0,555000.0,2.1906318194444436,0.5509439025902777,2.168725501249999,0.011018878051805564,0.021906318194444645,0.5399250245384721,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,594.8878974818998,60.274329416214385,10265007.116132526,1.0515,0.014900000000000002,10265007.116132526,152948.60603037465,152948.60603037465,407526.4004109188,1262617.7528216697,15397.51067419879,513250.3558066263,10265.007116132527,9238.506404519274,82120.05692906021,30795.02134839758,20530.014232265054,14.593776092119278,7.718127061732681,0.39748354367923433,1.7678333011085978,4.710332185598763,7.718127061732681,0.39748354367923433,1.7678333011085978,4.710332185598763,4.710332185598763,60.274329416214385,60.274329416214385,0.010000000000000009,0.0027415757220347215,799.0411506192569,200.95884938074312,1.0,10265007.116132526,1000.0,0.05,251500.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10583746.005497497,0.0,0.0,626.336631793986,429070.2737119785,11128808.92478062,586768.0891938912,1410000.0,-0.711,1450000.0,555000.0,2.1906318194444436,0.6675950469756943,2.168725501249999,0.013351900939513897,0.021906318194444645,0.6542431460361804,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,626.336631793986,60.8707446440249,10583746.005497497,1.0515,0.014900000000000002,10583746.005497497,157697.81548191272,157697.81548191272,429070.2737119785,1310713.08048506,15875.619008246245,529187.3002748749,10583.746005497496,9525.371404947748,84669.96804397997,31751.23801649249,21167.492010994993,14.531383663546388,7.633006399459718,0.39309982957217576,1.74833645424731,4.756940980267183,7.633006399459718,0.39309982957217576,1.74833645424731,4.756940980267183,4.756940980267183,60.8707446440249,60.8707446440249,0.010000000000000009,0.002858226866420138,766.4303506418854,233.5696493581146,1.0,10583746.005497497,1000.0,0.05,304750.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10905246.358238906,0.0,0.0,657.7850617206844,450613.93849462335,11466866.545688212,613102.1092323831,1410000.0,-0.711,1450000.0,555000.0,2.1906318194444436,0.784246191361111,2.168725501249999,0.01568492382722223,0.021906318194444645,0.7685612675338888,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,657.7850617206844,61.42035809082225,10905246.358238906,1.0515,0.014900000000000002,10905246.358238906,162488.1707377597,162488.1707377597,450613.93849462335,1359038.233903415,16357.86953735836,545262.3179119453,10905.246358238906,9814.721722415015,87241.97086591125,32715.73907471672,21810.492716477813,14.476332388127993,7.556474729137744,0.3891584485505944,1.7308069118722615,4.799892298567391,7.556474729137744,0.3891584485505944,1.7308069118722615,4.799892298567391,4.799892298567392,61.42035809082224,61.42035809082224,0.010000000000000009,0.0029748780108055546,736.3770250368187,263.62297496318115,1.0,10905246.358238906,1000.0,0.05,358000.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12588470.83437596,0.0,0.0,738.2332998261264,505724.79388987663,13236777.082346324,693293.0093220784,1410000.0,-0.711,1450000.0,555000.0,3.040060484126983,0.44080877019841264,3.009659879285713,0.00881617540396826,0.030400604841269573,0.43199259479444435,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,738.2332998261264,58.91195288430896,12588470.83437596,1.0515,0.014900000000000002,12588470.83437596,187568.21543220183,187568.21543220183,505724.79388987663,1554364.354366423,18882.70625156394,629423.5417187981,12588.470834375961,11329.623750938366,100707.76667500769,37765.41250312788,25176.941668751922,14.150153469554944,7.454837511394529,0.3839241318368184,1.7075269559034951,4.603864870420101,7.454837511394529,0.3839241318368184,1.7075269559034951,4.603864870420101,4.603864870420101,58.91195288430896,58.91195288430896,0.010000000000000009,0.0034808692543253955,873.3624454148471,126.63755458515286,1.0,12588470.83437596,1000.0,0.06938775510204082,145000.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13037760.064211842,0.0,0.0,781.8736823245309,535620.5239381947,13709204.707518753,729883.1488949512,1410000.0,-0.711,1450000.0,555000.0,3.040060484126983,0.6026919909781745,3.009659879285713,0.0120538398195635,0.030400604841269645,0.590638151158611,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,781.8736823245309,59.62171063318451,13037760.064211842,1.0515,0.014900000000000002,13037760.064211842,194262.62495675645,194262.62495675645,535620.5239381947,1621686.5889283293,19556.640096317762,651888.0032105921,13037.760064211841,11733.984057790658,104302.08051369473,39113.280192635524,26075.520128423683,14.106955492579964,7.377789113393863,0.37995613933978534,1.6898790573015166,4.6593311825448005,7.377789113393863,0.37995613933978534,1.6898790573015166,4.6593311825448005,4.6593311825448,59.62171063318451,59.62171063318451,0.010000000000000009,0.0036427524751051574,834.5503859795534,165.4496140204465,1.0,13037760.064211842,1000.0,0.06938775510204082,198250.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13490615.557632098,0.0,0.0,825.5134786180066,565515.8524083575,14185382.258850152,766526.0242170758,1410000.0,-0.711,1450000.0,555000.0,3.040060484126983,0.7645752117579363,3.009659879285713,0.015291504235158739,0.030400604841269645,0.7492837075227775,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,825.5134786180066,60.27102670148763,13490615.557632098,1.0515,0.014900000000000002,13490615.557632098,201010.1718087183,201010.1718087183,565515.8524083575,1689305.4973175735,20235.923336448148,674530.777881605,13490.615557632098,12141.55400186889,107924.92446105678,40471.846672896296,26981.231115264196,14.069904511914217,7.309229576244906,0.37642532317661315,1.6741755282055202,4.710074084287177,7.309229576244906,0.37642532317661315,1.6741755282055202,4.710074084287177,4.710074084287177,60.27102670148763,60.27102670148763,0.010000000000000009,0.0038046356958849194,799.0411506192569,200.95884938074312,1.0,13490615.557632098,1000.0,0.06938775510204082,251500.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13946600.671135982,0.0,0.0,869.1526887065531,595410.7793003647,14664850.605699487,803215.1293002907,1410000.0,-0.711,1450000.0,555000.0,3.040060484126983,0.9264584325376981,3.009659879285713,0.018529168650753977,0.030400604841269645,0.9079292638869442,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,869.1526887065531,60.86730140228321,13946600.671135982,1.0515,0.014900000000000002,13946600.671135982,207804.34999992617,207804.34999992617,595410.7793003647,1757184.7064389056,20919.901006703974,697330.0335567992,13946.600671135982,12551.940604022386,111572.80536908786,41839.80201340795,27893.201342271965,14.037957325544735,7.247892628430566,0.3732664703641749,1.660126329731945,4.75667189701805,7.247892628430566,0.3732664703641749,1.660126329731945,4.75667189701805,4.75667189701805,60.86730140228321,60.86730140228321,0.010000000000000009,0.00396651891666468,766.4303506418855,233.56964935811462,1.0,13946600.671135982,1000.0,0.06938775510204082,304750.0,default,CrystallizerZO,crystallizer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,14405347.248016309,0.0,0.0,912.791312590171,625305.3046142164,15147222.631289149,839944.9786096595,1410000.0,-0.711,1450000.0,555000.0,3.040060484126983,1.08834165331746,3.009659879285713,0.021766833066349217,0.030400604841269645,1.0665748202511107,0.99,0.98,56.7,1.83e-05,-9.47,-0.000863,912.791312590171,61.416774322065606,14405347.248016309,1.0515,0.014900000000000002,14405347.248016309,214639.67399544304,214639.67399544304,625305.3046142164,1825293.5482554615,21608.020872024463,720267.3624008155,14405.34724801631,12964.81252321468,115242.77798413047,43216.041744048925,28810.69449603262,14.010278145845456,7.192744807169142,0.3704263575692109,1.6474947477263955,4.799612233380707,7.192744807169142,0.3704263575692109,1.6474947477263955,4.799612233380707,4.799612233380707,61.416774322065606,61.416774322065606,0.010000000000000009,0.004128402137444443,736.3770250368188,263.62297496318115,1.0,14405347.248016309,1000.0,0.06938775510204082,358000.0,default,CrystallizerZO,crystallizer
