fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.decarbonator.capital_a_parameter[default],fs.costing.decarbonator.capital_b_parameter[default],fs.costing.decarbonator.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[DecarbonatorZO],fs.costing.LCOW_aggregate_indirect_capex[DecarbonatorZO],fs.costing.LCOW_aggregate_fixed_opex[DecarbonatorZO],fs.costing.LCOW_aggregate_variable_opex[DecarbonatorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2278.5747354461855,0.0,0.0,0.0,0.0,2395.9213343216643,33.95076355814817,150000.0,1.0,1577.0,4.381263638888887,0.0004381263638888888,4.381263638888887,0.0003943137275,1,0.1,3.769483525243404e-21,0.0,2278.5747354461855,1.0515,0.014900000000000002,2278.5747354461855,33.95076355814817,33.95076355814817,0.0,189.80888469522353,3.4178621031692784,113.92873677230928,2.2785747354461856,2.0507172619015672,18.228597883569485,6.835724206338557,4.557149470892371,0.0013726814211323115,0.0010719471596929205,5.520527872418558e-05,0.00024552898271520523,1.8674788104926634e-23,0.0010719471596929205,5.520527872418558e-05,0.00024552898271520523,1.8674788104926634e-23,0.0,0.0,2.3896623118338856e-22,1.0,2278.5747354461855,0.1,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21171.75691685415,0.0,0.0,0.0,0.0,22262.10239807214,315.45917806112686,150000.0,1.0,1577.0,40.70924131134258,0.004070924131134258,40.70924131134258,0.0036638317180208327,1,0.1,3.769483525243404e-21,0.0,21171.75691685415,1.0515,0.014900000000000002,21171.75691685415,315.45917806112686,315.45917806112686,0.0,1763.6408869597858,31.757635375281225,1058.5878458427076,21.17175691685415,19.054581225168736,169.3740553348332,63.51527075056245,42.3435138337083,0.0013726814211323117,0.001071947159692921,5.520527872418554e-05,0.0002455289827152053,2.0098426660010725e-24,0.001071947159692921,5.520527872418554e-05,0.0002455289827152053,2.0098426660010725e-24,0.0,0.0,2.5718338782068718e-23,1.0,21171.75691685415,0.9291666666666666,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,40064.939098261886,0.0,0.0,0.0,0.0,42128.28346182238,596.9675925641022,150000.0,1.0,1577.0,77.03721898379627,0.007703721898379629,77.03721898379627,0.006933349708550804,1,0.1,5.218206108982621e-17,0.0,40064.9390982621,1.0515,0.014900000000000002,40064.9390982621,596.9675925641021,596.9675925641021,0.0,3337.4728892243297,60.09740864739283,2003.2469549130944,40.06493909826189,36.0584451884357,320.5195127860951,120.19481729478566,80.12987819652378,0.0013726814211323043,0.0010719471596929207,5.520527872418537e-05,0.00024552898271520523,1.470259021307421e-20,0.0010719471596929207,5.520527872418537e-05,0.00024552898271520523,1.470259021307421e-20,0.0,0.0,1.8813721216602368e-19,1.0,40064.9390982621,1.7583333333333333,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,58958.12127966975,0.0,0.0,0.0,0.0,61994.46452557275,878.4760070670793,150000.0,1.0,1577.0,113.36519665624996,0.011336519665624998,113.36519665624996,0.010202867699075946,1,0.1,5.218206108982621e-17,0.0,58958.12127967006,1.0515,0.014900000000000002,58958.12127967006,878.4760070670794,878.4760070670794,0.0,4911.304891488884,88.43718191950462,2947.906063983488,58.958121279669754,53.06230915170278,471.66497023735803,176.87436383900925,117.91624255933951,0.0013726814211323043,0.0010719471596929205,5.5205278724185555e-05,0.00024552898271520523,9.991132157676837e-21,0.0010719471596929205,5.5205278724185555e-05,0.00024552898271520523,9.991132157676837e-21,0.0,0.0,1.2784847590026084e-19,1.0,58958.12127967006,2.5875,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,77851.30346107761,0.0,0.0,0.0,0.0,81860.64558932312,1159.9844215700566,150000.0,1.0,1577.0,149.69317432870363,0.014969317432870366,149.69317432870363,0.013472385689601088,1,0.1,5.218206108982621e-17,0.0,77851.30346107802,1.0515,0.014900000000000002,77851.30346107802,1159.9844215700566,1159.9844215700566,0.0,6485.136893753438,116.77695519161641,3892.5651730538807,77.8513034610776,70.06617311496986,622.8104276886208,233.55391038323282,155.7026069221552,0.0013726814211323048,0.001071947159692921,5.5205278724185575e-05,0.0002455289827152053,7.566454963313802e-21,0.001071947159692921,5.5205278724185575e-05,0.0002455289827152053,7.566454963313802e-21,0.0,0.0,9.68218335781244e-20,1.0,77851.30346107802,3.4166666666666665,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,96744.48564248545,0.0,0.0,0.0,0.0,101726.82665307347,1441.4928360730335,150000.0,1.0,1577.0,186.02115200115733,0.018602115200115732,186.02115200115733,0.016741903680126225,1,0.1,5.218206108982621e-17,0.0,96744.48564248596,1.0515,0.014900000000000002,96744.48564248596,1441.4928360730335,1441.4928360730335,0.0,8058.96889601799,145.11672846372818,4837.224282124273,96.74448564248546,87.07003707823691,773.9558851398837,290.23345692745636,193.48897128497092,0.0013726814211323043,0.0010719471596929207,5.5205278724185494e-05,0.00024552898271520523,6.0888057604684174e-21,0.0010719471596929207,5.5205278724185494e-05,0.00024552898271520523,6.0888057604684174e-21,0.0,0.0,7.791354615707752e-20,1.0,96744.48564248596,4.245833333333333,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,115637.6678238933,0.0,0.0,8.077920766362809e-28,5.53375852266453e-25,121593.0077168238,1723.0012505760103,150000.0,1.0,1577.0,222.349129673611,0.022234912967361103,222.349129673611,0.020011421670651373,1,0.1,5.218206108982621e-17,0.0,115637.66782389389,1.0515,0.014900000000000002,115637.66782389389,1723.0012505760103,1723.0012505760103,5.53375852266453e-25,9632.800898282541,173.45650173583994,5781.883391194665,115.6376678238933,104.07390104150397,925.1013425911464,346.9130034716799,231.2753356477866,0.001372681421132304,0.0010719471596929205,5.5205278724185446e-05,0.0002455289827152052,5.0940008784214426e-21,0.0010719471596929205,5.5205278724185446e-05,0.0002455289827152052,5.0940008784214426e-21,7.885647791649543e-32,1.0090628726935723e-30,6.518382884569951e-20,1.0,115637.66782389389,5.074999999999999,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,134530.85000530118,0.0,0.0,0.0,0.0,141459.1887805742,2004.5096650789878,150000.0,1.0,1577.0,258.6771073460647,0.025867710734606475,258.6771073460647,0.023280939661176517,1,0.1,5.218206108982621e-17,0.0,134530.85000530188,1.0515,0.014900000000000002,134530.85000530188,2004.5096650789878,2004.5096650789878,0.0,11206.632900547096,201.79627500795178,6726.542500265059,134.53085000530118,121.07776500477108,1076.2468000424094,403.59255001590356,269.06170001060235,0.0013726814211323043,0.0010719471596929207,5.520527872418552e-05,0.0002455289827152053,4.378611905375665e-21,0.0010719471596929207,5.520527872418552e-05,0.0002455289827152053,4.378611905375665e-21,0.0,0.0,5.602957200710092e-20,1.0,134530.85000530188,5.904166666666666,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,153424.03218670897,0.0,0.0,0.0,0.0,161325.3698443245,2286.0180795819642,150000.0,1.0,1577.0,295.00508501851834,0.029500508501851843,295.00508501851834,0.02655045765170165,1,0.1,5.218206108982621e-17,0.0,153424.03218670978,1.0515,0.014900000000000002,153424.03218670978,2286.018079581964,2286.018079581964,0.0,12780.464902811647,230.13604828006345,7671.201609335449,153.42403218670896,138.08162896803807,1227.3922574936717,460.2720965601269,306.8480643734179,0.001372681421132304,0.0010719471596929207,5.520527872418558e-05,0.00024552898271520523,3.839414028414182e-21,0.0010719471596929207,5.520527872418558e-05,0.00024552898271520523,3.839414028414182e-21,0.0,0.0,4.9129890800780946e-20,1.0,153424.03218670978,6.7333333333333325,default,DecarbonatorZO,decarbonator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,172317.2143681169,0.0,0.0,0.0,0.0,181191.55090807492,2567.526494084942,150000.0,1.0,1577.0,331.3330626909721,0.03313330626909721,331.3330626909721,0.029819975642226795,1,0.1,5.218206108982621e-17,0.0,172317.2143681178,1.0515,0.014900000000000002,172317.2143681178,2567.526494084942,2567.526494084942,0.0,14354.296905076204,258.4758215521754,8615.860718405846,172.3172143681169,155.08549293130523,1378.5377149449353,516.9516431043508,344.6344287362338,0.001372681421132304,0.0010719471596929207,5.520527872418544e-05,0.00024552898271520523,3.4184534820481084e-21,0.0010719471596929207,5.520527872418544e-05,0.00024552898271520523,3.4184534820481084e-21,0.0,0.0,4.3743197539428096e-20,1.0,172317.2143681178,7.562499999999999,default,DecarbonatorZO,decarbonator
