fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.deep_well_injection.well_pump_cost[default],fs.costing.deep_well_injection.pipe_cost_basis[default],fs.costing.deep_well_injection.flow_exponent[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.pipe_distance[0.0],fs.unit.pipe_diameter[0.0],fs.unit.flow_basis[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[DeepWellInjectionZO],fs.costing.LCOW_aggregate_indirect_capex[DeepWellInjectionZO],fs.costing.LCOW_aggregate_fixed_opex[DeepWellInjectionZO],fs.costing.LCOW_aggregate_variable_opex[DeepWellInjectionZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.well_cost,fs.unit.costing.pipe_cost,fs.unit.costing.base_cost,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,pipe_distance,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1331929.1821541537,0.0,0.0,0.8072997221544886,553.0385661146581,1400523.5350350928,20398.78338021155,16900000.0,35000.0,0.7,2.1906318194444436,0.0002190631819444444,0.8072997221544886,1.0,8.0,473.2,1331929.1821541537,1.0515,0.014900000000000002,1331929.1821541537,19845.74481409689,19845.74481409689,553.0385661146581,111504.84919794634,1997.8937732312306,66596.45910770769,1331.9291821541538,1198.7362639387384,10655.43345723323,3995.7875464624613,2663.8583643083075,1.612786831406241,1.2532024352869686,0.06453992541727907,0.28704541664196664,0.007999054060026815,1.2532024352869686,0.06453992541727907,0.28704541664196664,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.002190850882626388,23022895.68038244,374726.60181147256,23397622.282193914,1.0,1331929.1821541537,100,0.9,0.9,0.05,1,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1843888.1738115165,0.0,0.0,0.8072997221544886,553.0385661146581,1938848.4147628099,28026.972355906255,16900000.0,35000.0,0.7,2.1906318194444436,0.0002190631819444444,0.8072997221544886,25.0,8.0,473.2,1843888.1738115165,1.0515,0.014900000000000002,1843888.1738115165,27473.933789791598,27473.933789791598,553.0385661146581,154151.84413934633,2765.832260717275,92194.40869057583,1843.8881738115165,1659.499356430365,14751.105390492132,5531.66452143455,3687.776347623033,2.2296255817859443,1.7349009097316948,0.08934739685118247,0.39737822114304006,0.007999054060026815,1.7349009097316948,0.08934739685118247,0.39737822114304006,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.002190850882626388,23022895.68038244,9368165.045286814,32391060.725669257,1.0,1843888.1738115165,100,0.9,0.9,0.05,25,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2377178.790121269,0.0,0.0,0.8072997221544886,553.0385661146581,2499603.4978125147,35973.002538921566,16900000.0,35000.0,0.7,2.1906318194444436,0.0002190631819444444,0.8072997221544886,50.0,8.0,473.2,2377178.790121269,1.0515,0.014900000000000002,2377178.790121269,35419.96397280691,35419.96397280691,553.0385661146581,198575.7972033046,3565.7681851819034,118858.93950606346,2377.178790121269,2139.460911109142,19017.43032097015,7131.536370363807,4754.357580242538,2.872165946764801,2.236670153944951,0.11518851292816513,0.512308225831658,0.007999054060026815,2.236670153944951,0.11518851292816513,0.512308225831658,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.002190850882626388,23022895.68038244,18736330.090573628,41759225.77095607,1.0,2377178.790121269,100,0.9,0.9,0.05,50,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3443760.0227407743,0.0,0.0,0.8072997221544886,553.0385661146581,3621113.6639119247,51865.0629049522,16900000.0,35000.0,0.7,2.1906318194444436,0.0002190631819444444,0.8072997221544886,100.0,8.0,473.2,3443760.0227407743,1.0515,0.014900000000000002,3443760.0227407743,51312.024338837546,51312.024338837546,553.0385661146581,287423.7033312212,5165.640034111161,172188.00113703872,3443.7600227407743,3099.384020466697,27550.080181926194,10331.280068222322,6887.520045481549,4.157246676722515,3.240208642371464,0.16687074508213087,0.7421682352088943,0.007999054060026815,3.240208642371464,0.16687074508213087,0.7421682352088943,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.002190850882626388,23022895.68038244,37472660.181147255,60495555.86152969,1.0,3443760.0227407743,100,0.9,0.9,0.05,100,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2163725.3399630245,0.0,0.0,1.6145994443089773,1106.0771322293162,2275157.1949711205,33345.58469767839,16900000.0,35000.0,0.7,4.381263638888887,0.0004381263638888888,1.6145994443089773,1.0,8.0,473.2,2163725.3399630245,1.0515,0.014900000000000002,2163725.3399630245,32239.50756544907,32239.50756544907,1106.0771322293162,181347.82526376637,3245.5880099445367,108186.26699815123,2163.7253399630245,1947.3528059667221,17309.802719704196,6491.176019889073,4327.450679926049,1.3114917718526862,1.0179166811813103,0.05242270908083756,0.23315332753051143,0.007999054060026815,1.0179166811813103,0.05242270908083756,0.23315332753051143,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,23022895.68038244,374726.60181147256,23397622.282193914,1.0,2163725.3399630245,100,0.9,0.9,0.1,1,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2995405.1755826543,0.0,0.0,1.6145994443089773,1106.0771322293162,3149668.5421251613,45737.61424841087,16900000.0,35000.0,0.7,4.381263638888887,0.0004381263638888888,1.6145994443089773,25.0,8.0,473.2,2995405.1755826543,1.0515,0.014900000000000002,2995405.1755826543,44631.53711618156,44631.53711618156,1106.0771322293162,250628.07294085517,4493.1077633739815,149770.2587791327,2995.4051755826545,2695.864658024389,23963.241404661236,8986.215526747963,5990.810351165309,1.812520525013986,1.4091774213701822,0.07257263720056459,0.3227714123832124,0.007999054060026815,1.4091774213701822,0.07257263720056459,0.3227714123832124,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,23022895.68038244,9368165.045286814,32391060.725669257,1.0,2995405.1755826543,100,0.9,0.9,0.1,25,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3861738.3376864353,0.0,0.0,1.6145994443089773,1106.0771322293162,4060617.862077287,58645.97836375721,16900000.0,35000.0,0.7,4.381263638888887,0.0004381263638888888,1.6145994443089773,50.0,8.0,473.2,3861738.3376864353,1.0515,0.014900000000000002,3861738.3376864353,57539.901231527896,57539.901231527896,1106.0771322293162,322794.99760448927,5792.607506529653,193086.91688432178,3861.7383376864354,3475.564503917792,30893.906701491484,11585.215013059305,7723.476675372871,2.334425476223673,1.816740692400257,0.09356214565861345,0.41612358410477585,0.007999054060026815,1.816740692400257,0.09356214565861345,0.41612358410477585,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,23022895.68038244,18736330.090573628,41759225.77095607,1.0,3861738.3376864353,100,0.9,0.9,0.1,50,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5594404.661893996,0.0,0.0,1.6145994443089773,1106.0771322293162,5882516.501981538,84462.70659444988,16900000.0,35000.0,0.7,4.381263638888887,0.0004381263638888888,1.6145994443089773,100.0,8.0,473.2,5594404.661893996,1.0515,0.014900000000000002,5594404.661893996,83356.62946222056,83356.62946222056,1106.0771322293162,467128.84693175746,8391.606992840994,279720.23309469986,5594.4046618939965,5034.964195704597,44755.23729515197,16783.21398568199,11188.809323787993,3.3782353786430463,2.631867234460406,0.135541162574711,0.6028279275479027,0.007999054060026815,2.631867234460406,0.135541162574711,0.6028279275479027,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,23022895.68038244,37472660.181147255,60495555.86152969,1.0,5594404.661893996,100,0.9,0.9,0.1,100,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2873862.679435701,0.0,0.0,2.421899166463466,1659.1156983439744,3021866.60742664,44479.66962193592,16900000.0,35000.0,0.7,6.571895458333331,0.0006571895458333331,2.421899166463466,1.0,8.0,473.2,2873862.679435701,1.0515,0.014900000000000002,2873862.679435701,42820.55392359195,42820.55392359195,1659.1156983439744,241056.4290562056,4310.794019153552,143693.13397178505,2873.862679435701,2586.4764114921313,22990.901435485608,8621.588038307103,5747.725358871402,1.1621994834129046,0.9013321320693466,0.046418604801571436,0.2064496924819597,0.007999054060026815,0.9013321320693466,0.046418604801571436,0.2064496924819597,0.007999054060026815,0.007999054060026815,0.1023574559998629,0.1023574559998629,0.006572552647879164,23022895.68038244,374726.60181147256,23397622.282193914,1.0,2873862.679435701,100,0.9,0.9,0.15,1,default,DeepWellInjectionZO,deep_well_injection
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3978500.868341562,0.0,0.0,2.421899166463466,1659.1156983439744,4183393.6630611527,60938.77863663325,16900000.0,35000.0,0.7,6.571895458333331,0.0006571895458333331,2.421899166463466,25.0,8.0,473.2,3978500.868341562,1.0515,0.014900000000000002,3978500.868341562,59279.66293828928,59279.66293828928,1659.1156983439744,333074.5399244962,5967.751302512343,198925.0434170781,3978.500868341562,3580.650781507406,31828.006946732497,11935.502605024685,7957.001736683124,1.6058441575436384,1.2477807989093508,0.06426071114383165,0.28580359343042927,0.007999054060026815,1.2477807989093508,0.06426071114383165,0.28580359343042927,0.007999054060026815,0.007999054060026815,0.1023574559998629,0.1023574559998629,0.006572552647879164,23022895.68038244,9368165.045286814,32391060.725669257,1.0,3978500.868341562,100,0.9,0.9,0.15,25,default,DeepWellInjectionZO,deep_well_injection
