fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.dissolved_air_flotation.capital_a_parameter[default],fs.costing.dissolved_air_flotation.capital_b_parameter[default],fs.costing.dissolved_air_flotation.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[DissolvedAirFlotationZO],fs.costing.LCOW_aggregate_indirect_capex[DissolvedAirFlotationZO],fs.costing.LCOW_aggregate_fixed_opex[DissolvedAirFlotationZO],fs.costing.LCOW_aggregate_variable_opex[DissolvedAirFlotationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,140729.23413310153,0.0,0.0,0.7887063177454997,540.301202987498,147976.78969095627,2637.1667915707108,336873.359,0.3182,911.054,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,0.7887063177454997,0.05,140729.23413310153,1.0515,0.014900000000000002,140729.23413310153,2096.865588583213,2096.865588583213,540.301202987498,12263.269319539691,211.0938511996523,7036.461706655077,140.72923413310153,126.65631071979139,1125.8338730648122,422.1877023993046,281.45846826620306,0.08868690200832115,0.06620555405447266,0.0034095860338053483,0.015164350397409388,0.003907411522633744,0.06620555405447266,0.0034095860338053483,0.015164350397409388,0.003907411522633744,0.003907411522633744,0.05,0.05,1.0,140729.23413310153,0.1,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,286043.25703422463,0.0,0.0,7.32839620238527,5020.298677758837,300774.48477148724,9282.343207568783,336873.359,0.3182,911.054,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,7.32839620238527,0.05,286043.25703422463,1.0515,0.014900000000000002,286043.25703422463,4262.044529809948,4262.044529809948,5020.298677758837,28848.155077484822,429.06488555133694,14302.162851711233,286.04325703422467,257.4389313308022,2288.3460562737973,858.1297711026739,572.0865140684493,0.022453168783736703,0.014482655271894624,0.0007458567465025762,0.003317245242705758,0.003907411522633745,0.014482655271894624,0.0007458567465025762,0.003317245242705758,0.003907411522633745,0.003907411522633745,0.05,0.05,1.0,286043.25703422463,0.9291666666666666,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,350409.2233290928,0.0,0.0,13.868086087025038,9500.296152530173,368455.29833054106,14721.393580133656,336873.359,0.3182,911.054,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,13.868086087025038,0.05,350409.2233290928,1.0515,0.014900000000000002,350409.2233290928,5221.097427603483,5221.097427603483,9500.296152530173,38689.93949946678,525.6138349936392,17520.46116645464,350.4092233290928,315.3683009961835,2803.2737866327425,1051.2276699872784,700.8184466581856,0.015912926605972856,0.009375283730160885,0.0004828271121032861,0.0021474042410749425,0.003907411522633745,0.009375283730160885,0.0004828271121032861,0.0021474042410749425,0.003907411522633745,0.003907411522633744,0.05,0.05,1.0,350409.2233290928,1.7583333333333333,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,396244.1415486824,0.0,0.0,20.407775971664808,13980.293627301511,416650.7148384396,19884.33133637688,336873.359,0.3182,911.054,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,20.407775971664808,0.05,396244.1415486824,1.0515,0.014900000000000002,396244.1415486824,5904.037709075369,5904.037709075369,13980.293627301511,46988.05826384046,594.3662123230237,19812.207077434123,396.2441415486824,356.61972739381423,3169.9531323894594,1188.7324246460473,792.4882830973648,0.013132891567296422,0.007204313381412528,0.0003710221391427468,0.0016501445241074043,0.003907411522633745,0.007204313381412528,0.0003710221391427468,0.0016501445241074043,0.003907411522633745,0.003907411522633744,0.05,0.05,1.0,396244.1415486824,2.5875,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,432889.1242591957,0.0,0.0,26.94746585630457,18460.291102072846,455182.9141585443,24910.339053534863,336873.359,0.3182,911.054,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,26.94746585630457,0.05,432889.1242591957,1.0515,0.014900000000000002,432889.1242591957,6450.0479514620165,6450.0479514620165,18460.291102072846,54520.64084357051,649.3336863887936,21644.456212959787,432.8891242591957,389.60021183327615,3463.1129940735655,1298.6673727775872,865.7782485183914,0.011540152811004286,0.0059605202043096946,0.00030696679052195046,0.0013652542935388978,0.003907411522633745,0.0059605202043096946,0.00030696679052195046,0.0013652542935388978,0.003907411522633745,0.003907411522633745,0.05,0.05,1.0,432889.1242591957,3.4166666666666665,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,463876.24442358495,0.0,0.0,33.487155740944345,22940.28857684419,487765.8710113996,29852.044618755608,336873.359,0.3182,911.054,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,33.487155740944345,0.05,463876.24442358495,1.0515,0.014900000000000002,463876.24442358495,6911.756041911417,6911.756041911417,22940.28857684419,61581.91451122823,695.8143666353775,23193.81222117925,463.876244423585,417.4886199812265,3711.00995538868,1391.628733270755,927.75248884717,0.010489226477730797,0.0051398363364754925,0.0002647015713284882,0.0011772770472930703,0.003907411522633745,0.0051398363364754925,0.0002647015713284882,0.0011772770472930703,0.003907411522633745,0.003907411522633745,0.05,0.05,1.0,463876.24442358495,4.245833333333333,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,490969.0031275318,0.0,0.0,40.02684562558411,27420.286051615523,516253.90678859974,34735.72419821574,336873.359,0.3182,911.054,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,40.02684562558411,0.05,490969.0031275318,1.0515,0.014900000000000002,490969.0031275318,7315.438146600224,7315.438146600224,27420.286051615523,68318.78170061349,736.4535046912977,24548.45015637659,490.9690031275318,441.87210281477866,3927.752025020254,1472.9070093825953,981.9380062550636,0.00973547811743374,0.0045512231291392055,0.000234387991150669,0.001042455474510123,0.003907411522633745,0.0045512231291392055,0.000234387991150669,0.001042455474510123,0.003907411522633745,0.003907411522633745,0.05,0.05,1.0,490969.0031275318,5.074999999999999,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,515189.4884585564,0.0,0.0,46.56653551022387,31900.28352638686,541721.7471141721,39576.60690441935,336873.359,0.3182,911.054,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,46.56653551022387,0.05,515189.4884585564,1.0515,0.014900000000000002,515189.4884585564,7676.323378032492,7676.323378032492,31900.28352638686,74816.38396839092,772.7842326878347,25759.474422927822,515.1894884585564,463.6705396127008,4121.515907668451,1545.5684653756693,1030.3789769171128,0.009164131740649534,0.0041050503199454545,0.00021141009147719112,0.0009402598065931434,0.003907411522633744,0.0041050503199454545,0.00021141009147719112,0.0009402598065931434,0.003907411522633744,0.003907411522633745,0.05,0.05,1.0,515189.4884585564,5.904166666666666,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,537189.0440801068,0.0,0.0,53.106225394863635,36380.28100115819,564854.2798502323,44384.39775795178,336873.359,0.3182,911.054,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,53.106225394863635,0.05,537189.0440801068,1.0515,0.014900000000000002,537189.0440801068,8004.116756793592,8004.116756793592,36380.28100115819,81128.97927344554,805.7835661201602,26859.45220400534,537.1890440801068,483.47013967209614,4297.512352640854,1611.5671322403205,1074.3780881602136,0.00871363001353627,0.0037532468793354205,0.00019329221428577434,0.0008596793972813307,0.003907411522633745,0.0037532468793354205,0.00019329221428577434,0.0008596793972813307,0.003907411522633745,0.003907411522633745,0.05,0.05,1.0,537189.0440801068,6.7333333333333325,default,DissolvedAirFlotationZO,dissolved_air_flotation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,557411.1484612753,0.0,0.0,59.64591527950341,40860.27847592953,586117.822607031,49165.70458800253,336873.359,0.3182,911.054,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,59.64591527950341,0.05,557411.1484612753,1.0515,0.014900000000000002,557411.1484612753,8305.426112073003,8305.426112073003,40860.27847592953,87293.51007471688,836.116722691913,27870.557423063765,557.4111484612753,501.6700336151478,4459.289187690202,1672.233445383826,1114.8222969225505,0.008347756790694121,0.0034675310854188545,0.00017857785089907187,0.0007942363317424493,0.003907411522633744,0.0034675310854188545,0.00017857785089907187,0.0007942363317424493,0.003907411522633744,0.003907411522633744,0.05,0.05,1.0,557411.1484612753,7.562499999999999,default,DissolvedAirFlotationZO,dissolved_air_flotation
