fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.dmbr.water_flux[default],fs.costing.dmbr.reactor_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[nitrate],fs.unit.properties_in[0.0].flow_mass_comp[bod],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[nitrate],fs.unit.properties_treated[0.0].flow_mass_comp[bod],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[nitrate],fs.unit.properties_byproduct[0.0].flow_mass_comp[bod],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,nitrate]","fs.unit.removal_frac_mass_comp[0.0,bod]","fs.unit.reaction_conversion[0.0,nitrate_to_nitrogen]","fs.unit.reaction_conversion[0.0,BOD_usage]","fs.unit.extent_of_reaction[0.0,nitrate_to_nitrogen]","fs.unit.extent_of_reaction[0.0,BOD_usage]","fs.unit.generation_ratio[nitrate_to_nitrogen,H2O]","fs.unit.generation_ratio[nitrate_to_nitrogen,nitrate]","fs.unit.generation_ratio[nitrate_to_nitrogen,bod]","fs.unit.generation_ratio[BOD_usage,H2O]","fs.unit.generation_ratio[BOD_usage,nitrate]","fs.unit.generation_ratio[BOD_usage,bod]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[DMBRZO],fs.costing.LCOW_aggregate_indirect_capex[DMBRZO],fs.costing.LCOW_aggregate_fixed_opex[DMBRZO],fs.costing.LCOW_aggregate_variable_opex[DMBRZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,nitrate_to_nitrogen,H2O]","fs.unit.generation_rxn_comp[0.0,nitrate_to_nitrogen,nitrate]","fs.unit.generation_rxn_comp[0.0,nitrate_to_nitrogen,bod]","fs.unit.generation_rxn_comp[0.0,BOD_usage,H2O]","fs.unit.generation_rxn_comp[0.0,BOD_usage,nitrate]","fs.unit.generation_rxn_comp[0.0,BOD_usage,bod]",fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,78749.8518078388,0.0,0.0,1.5775703609819913,1080.7104554106443,82805.4691759425,2254.0832473474425,30.0,71.4,4.381263638888887,0.0004381263638888888,0.0004381263638888888,4.162200456944443,2.1906318194966252e-05,4.381263638941046e-05,0.2190631819444489,5.218206108677525e-16,5.218206109000641e-16,0.95,0,0,0.95,0.9,0.0004162200456944443,0.00039431372749999994,0,-1,0,0,0,-1,1.5775703609819995,0.1,78749.85180783921,1.0515,0.0149,47727.18291384195,1173.3727919367982,1173.3727919367982,1080.7104554106443,7640.697849738108,118.1247777117582,3937.49259039194,78.74985180783881,70.87486662705493,629.9988144627105,236.2495554235164,157.49970361567762,0.05525134076302625,0.022450833975309312,0.01650080170100297,0.008484882041446776,0.007814823045267488,0.022450833975309312,0.01650080170100297,0.008484882041446776,0.007814823045267488,0.007814823045267446,0.09999999999999948,0.1,0.0,-0.0004162200456944443,0.0,0.0,0.0,-0.00039431372749999994,1.65,47727.18291384195,0.1,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,731717.3730478394,0.0,0.0,14.658257937457748,10041.601314857291,769400.8177598031,20944.1901732701,30.0,71.4,40.70924131134258,0.004070924131134258,0.004070924131134258,38.67377924577545,0.00020354620655671298,0.000407092413113426,2.0354620655671307,3.5024784422105224e-21,3.5024784422105796e-21,0.95,0,0,0.95,0.9,0.003867377924577545,0.0036638317180208322,0,-1,0,0,0,-1,14.658257937457748,0.1,731717.3730478394,1.0515,0.0149,443465.0745744481,10902.588858412806,10902.588858412806,10041.601314857291,70994.81752048363,1097.576059571759,36585.86865239197,731.7173730478394,658.5456357430555,5853.738984382715,2195.152119143518,1463.4347460956787,0.055251340763026534,0.022450833975309312,0.016500801701002963,0.008484882041446776,0.007814823045267488,0.022450833975309312,0.016500801701002963,0.008484882041446776,0.007814823045267488,0.007814823045267488,0.1,0.1,0.0,-0.003867377924577545,0.0,0.0,0.0,-0.0036638317180208322,1.65,443465.0745744481,0.9291666666666666,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1384684.8942878395,0.0,0.0,27.738945513933494,19002.49217430393,1455996.1663436634,39634.29709919274,30.0,71.4,77.03721898379627,0.007703721898379629,0.007703721898379629,73.18535803460645,0.00038518609491898146,0.0007703721898379632,3.8518609491898035,6.628008531891216e-21,6.628008531891216e-21,0.95,0,0,0.95,0.9,0.007318535803460647,0.0069333497085416656,0,-1,0,0,0,-1,27.738945513933494,0.1,1384684.8942878395,1.0515,0.0149,839202.9662350543,20631.80492488881,20631.80492488881,19002.49217430393,134348.93719122914,2077.0273414317594,69234.24471439199,1384.6848942878396,1246.2164048590557,11077.479154302717,4154.054682863519,2769.369788575679,0.05525134076302656,0.02245083397530932,0.016500801701002966,0.008484882041446777,0.00781482304526749,0.02245083397530932,0.016500801701002966,0.008484882041446777,0.00781482304526749,0.00781482304526749,0.1,0.1,0.0,-0.007318535803460647,0.0,0.0,0.0,-0.0069333497085416656,1.65,839202.9662350543,1.7583333333333333,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2037652.4155278394,0.0,0.0,40.81963309040924,27963.38303375057,2142591.514927523,58324.40402511538,30.0,71.4,113.36519665624996,0.011336519665624998,0.011336519665624998,107.69693682343745,0.0005668259832812502,0.0011336519665625002,5.6682598328125176,9.753538621574515e-21,9.753538621574515e-21,0.95,0,0,0.95,0.9,0.010769693682343748,0.010202867699062498,0,-1,0,0,0,-1,40.81963309040924,0.1,2037652.4155278394,1.0515,0.0149,1234940.8578956604,30361.020991364807,30361.020991364807,27963.38303375057,197703.0568619746,3056.478623291759,101882.62077639198,2037.6524155278396,1833.8871739750557,16301.219324222717,6112.957246583518,4075.304831055679,0.05525134076302655,0.022450833975309316,0.016500801701002963,0.008484882041446776,0.007814823045267488,0.022450833975309316,0.016500801701002963,0.008484882041446776,0.007814823045267488,0.00781482304526749,0.1,0.1,0.0,-0.010769693682343748,0.0,0.0,0.0,-0.010202867699062498,1.65,1234940.8578956604,2.5875,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2690619.93676784,0.0,0.0,53.90032066688498,36924.273893197205,2829186.8635113835,77014.51095103803,30.0,71.4,149.69317432870363,0.014969317432870366,0.014969317432870366,142.20851561226846,0.0007484658716435187,0.001496931743287035,7.484658716435166,1.2879068711265756e-20,1.2879068711265756e-20,0.95,0,0,0.95,0.9,0.014220851561226846,0.013472385689583331,0,-1,0,0,0,-1,53.90032066688498,0.1,2690619.93676784,1.0515,0.0149,1630678.7495562667,40090.237057840815,40090.237057840815,36924.273893197205,261057.1765327201,4035.9299051517596,134530.996838392,2690.61993676784,2421.557943091056,21524.95949414272,8071.859810303519,5381.23987353568,0.055251340763026555,0.02245083397530932,0.01650080170100297,0.008484882041446777,0.007814823045267488,0.02245083397530932,0.01650080170100297,0.008484882041446777,0.007814823045267488,0.007814823045267488,0.1,0.1,0.0,-0.014220851561226846,0.0,0.0,0.0,-0.013472385689583331,1.65,1630678.7495562667,3.4166666666666665,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3343587.4580078395,0.0,0.0,66.98100824336073,45885.16475264385,3515782.2120952434,95704.61787696066,30.0,71.4,186.02115200115733,0.018602115200115732,0.018602115200115732,176.72009440109946,0.0009301057600060115,0.0018602115200117948,9.301057600057888,2.215563343638879e-16,2.215563343638879e-16,0.95,0,0,0.95,0.9,0.017672009440109944,0.01674190368010416,0,-1,0,0,0,-1,66.98100824336073,0.1,3343587.4580078395,1.0515,0.0149,2026416.6412168725,49819.45312431681,49819.45312431681,45885.16475264385,324411.29620346555,5015.38118701176,167179.372900392,3343.5874580078394,3009.2287122070557,26748.699664062715,10030.76237402352,6687.174916015679,0.055251340763026555,0.022450833975309316,0.016500801701002966,0.008484882041446777,0.007814823045267491,0.022450833975309316,0.016500801701002966,0.008484882041446777,0.007814823045267491,0.00781482304526749,0.10000000000000002,0.10000000000000002,0.0,-0.017672009440109944,0.0,0.0,0.0,-0.01674190368010416,1.65,2026416.6412168725,4.245833333333333,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3996554.979247839,0.0,0.0,80.06169581983646,54846.05561209047,4202377.560679103,114394.72480288328,30.0,71.4,222.349129673611,0.022234912967361103,0.022234912967361103,211.23167318993043,0.0011117456483683205,0.0022234912967363718,11.117456483680579,2.6482396001492866e-16,2.6482396001492866e-16,0.95,0,0,0.95,0.9,0.02112316731899305,0.020011421670624994,0,-1,0,0,0,-1,80.06169581983646,0.1,3996554.979247839,1.0515,0.0149,2422154.5328774783,59548.6691907928,59548.6691907928,54846.05561209047,387765.41587421094,5994.8324688717585,199827.74896239198,3996.554979247839,3596.8994813230556,31972.439833982713,11989.664937743517,7993.109958495678,0.05525134076302654,0.022450833975309316,0.016500801701002963,0.008484882041446776,0.00781482304526749,0.022450833975309316,0.016500801701002963,0.008484882041446776,0.00781482304526749,0.007814823045267488,0.09999999999999999,0.09999999999999999,0.0,-0.02112316731899305,0.0,0.0,0.0,-0.020011421670624994,1.65,2422154.5328774783,5.074999999999999,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4649522.50048784,0.0,0.0,93.1423833963122,63806.94647153711,4888972.909262964,133084.83172880593,30.0,71.4,258.6771073460647,0.025867710734606475,0.025867710734606475,245.7432519787615,0.0012933855367306326,0.0025867710734609507,12.933855367303229,3.0809158566597566e-16,3.0809158566597566e-16,0.95,0,0,0.95,0.9,0.02457432519787615,0.02328093966114583,0,-1,0,0,0,-1,93.1423833963122,0.1,4649522.500487841,1.0515,0.0149,2817892.4245380852,69277.88525726882,69277.88525726882,63806.94647153711,451119.53554495645,6974.28375073176,232476.125024392,4649.52250048784,4184.5702504390565,37196.18000390272,13948.56750146352,9299.04500097568,0.05525134076302654,0.02245083397530932,0.016500801701002973,0.00848488204144678,0.007814823045267486,0.02245083397530932,0.016500801701002973,0.00848488204144678,0.007814823045267486,0.007814823045267486,0.09999999999999998,0.09999999999999998,0.0,-0.02457432519787615,0.0,0.0,0.0,-0.02328093966114583,1.65,2817892.4245380852,5.904166666666666,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5302490.021727839,0.0,0.0,106.22307097278792,72767.83733098372,5575568.257846822,151774.93865472852,30.0,71.4,295.00508501851834,0.029500508501851843,0.029500508501851843,280.2548307675924,0.001475025425092949,0.002950050850185539,14.750254250925911,3.513592113510141e-16,3.5135921131703547e-16,0.95,0,0,0.95,0.9,0.02802548307675925,0.026550457651666654,0,-1,0,0,0,-1,106.22307097278792,0.1,5302490.021727839,1.0515,0.0149,3213630.3161986903,79007.10132374479,79007.10132374479,72767.83733098372,514473.6552157018,7953.735032591758,265124.5010863919,5302.490021727838,4772.241019555056,42419.920173822706,15907.470065183516,10604.980043455676,0.05525134076302654,0.02245083397530932,0.016500801701002966,0.008484882041446777,0.007814823045267488,0.02245083397530932,0.016500801701002966,0.008484882041446777,0.007814823045267488,0.007814823045267486,0.1,0.1,0.0,-0.02802548307675925,0.0,0.0,0.0,-0.026550457651666654,1.65,3213630.3161986903,6.7333333333333325,default,DMBRZO,dmbr
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5955457.54296784,0.0,0.0,119.30375854926372,81728.7281904304,6262163.606430684,170465.0455806512,30.0,71.4,331.3330626909721,0.03313330626909721,0.03313330626909721,314.76640955642347,0.0016566653134552555,0.003313330626910119,16.56665313454865,3.946268369825154e-16,3.946268369825039e-16,0.95,0,0,0.95,0.9,0.03147664095564235,0.02981997564218749,0,-1,0,0,0,-1,119.30375854926372,0.1,5955457.54296784,1.0515,0.0149,3609368.2078592973,88736.31739022082,88736.31739022082,81728.7281904304,577827.7748864475,8933.186314451761,297772.877148392,5955.45754296784,5359.9117886710565,47643.66034374272,17866.372628903522,11910.91508593568,0.05525134076302655,0.022450833975309316,0.016500801701002966,0.008484882041446777,0.00781482304526749,0.022450833975309316,0.016500801701002966,0.008484882041446777,0.00781482304526749,0.007814823045267488,0.1,0.1,0.0,-0.03147664095564235,0.0,0.0,0.0,-0.02981997564218749,1.65,3609368.2078592973,7.562499999999999,default,DMBRZO,dmbr
