fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.dual_media_filtration.capital_a_parameter[default],fs.costing.dual_media_filtration.capital_b_parameter[default],fs.costing.dual_media_filtration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[DualMediaFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[DualMediaFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[DualMediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[DualMediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,308098.5294161211,0.0,0.0,0.8000402168210188,548.065460946717,323965.60368105135,5138.733549246922,3481852.0,0.5862,30.0,4.381263638888887,0.0004381263638888888,4.337451002499998,0.00039431372749999994,0.043812636388889555,4.3812636388888886e-05,0.99,0.1,0.8000402168210188,0.050718512,308098.5294161211,1.0515,0.014900000000000002,186726.3814643158,4590.6680883002045,4590.6680883002045,548.065460946717,26213.16098534744,462.14779412418164,15404.926470806055,308.0985294161211,277.288676474509,2464.7882353289688,924.2955882483633,616.1970588322422,0.18957131080304096,0.08784474396939852,0.0645636906989087,0.033199314170740984,0.003963561963992757,0.08784474396939852,0.0645636906989087,0.033199314170740984,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,186726.3814643158,0.1,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1138114.892488814,0.0,0.0,7.433707014628634,5092.441574629914,1196727.809451988,22050.353472713243,3481852.0,0.5862,30.0,40.70924131134258,0.004070924131134258,40.302148898229156,0.0036638317180208305,0.40709241311342764,0.00040709241311342586,0.99,0.1,7.433707014628634,0.050718512,1138114.892488814,1.0515,0.014900000000000002,689766.6015083721,16957.91189808333,16957.91189808333,5092.441574629914,99899.21487804083,1707.172338733221,56905.744624440704,1138.114892488814,1024.3034032399325,9104.919139910511,3414.344677466442,2276.229784977628,0.0777538087615895,0.03492357069097706,0.025667951368600863,0.013198724738018811,0.003963561963992757,0.03492357069097706,0.025667951368600863,0.013198724738018811,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,689766.6015083721,0.9291666666666666,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1654123.5859928185,0.0,0.0,14.067373812436248,9636.81768831311,1739310.9506714488,34283.25911960611,3481852.0,0.5862,30.0,77.03721898379627,0.007703721898379629,76.26684679395831,0.006933349708541666,0.7703721898379625,0.0007703721898379629,0.99,0.1,14.067373812436248,0.050718512,1654123.5859928185,1.0515,0.014900000000000002,1002499.1430259506,24646.441431293,24646.441431293,9636.81768831311,147427.93251162398,2481.185378989228,82706.17929964093,1654.1235859928186,1488.7112273935368,13232.988687942548,4962.370757978456,3308.247171985637,0.06063617312609455,0.026822107636945567,0.01971357856046407,0.01013692496469216,0.003963561963992757,0.026822107636945567,0.01971357856046407,0.01013692496469216,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,1002499.1430259506,1.7583333333333333,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2074531.776655321,0.0,0.0,20.701040610243865,14181.193801996305,2181370.1631530705,45091.7172741606,3481852.0,0.5862,30.0,113.36519665624996,0.011336519665624998,112.23154468968747,0.010202867699062496,1.1336519665625049,0.0011336519665625,0.99,0.1,20.701040610243865,0.050718512,2074531.776655321,1.0515,0.014900000000000002,1257291.9858517097,30910.52347216429,30910.52347216429,14181.193801996305,186992.97682856486,3111.7976649829816,103726.58883276605,2074.531776655321,1867.078598989789,16596.25421324257,6223.595329965963,4149.063553310642,0.052263459680463906,0.02285945589658983,0.016801128597596107,0.008639313222285205,0.003963561963992756,0.02285945589658983,0.016801128597596107,0.008639313222285205,0.003963561963992756,0.003963561963992756,0.050718512,0.050718512,1.65,1257291.9858517097,2.5875,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2441672.8592545157,0.0,0.0,27.33470740805147,18725.569915679498,2567419.0115061235,55106.49551857179,3481852.0,0.5862,30.0,149.69317432870363,0.014969317432870366,148.1962425854166,0.013472385689583335,1.496931743287042,0.0014969317432870367,0.99,0.1,27.33470740805147,0.050718512,2441672.8592545157,1.0515,0.014900000000000002,1479801.7328815248,36380.92560289229,36380.92560289229,18725.569915679498,222120.7866694302,3662.5092888817735,122083.64296272579,2441.672859254516,2197.505573329064,19533.382874036128,7325.018577763547,4883.345718509032,0.047015364841735775,0.02037562884562457,0.014975577810812914,0.007700596221305535,0.003963561963992756,0.02037562884562457,0.014975577810812914,0.007700596221305535,0.003963561963992756,0.003963561963992757,0.050718512,0.050718512,1.65,1479801.7328815248,3.4166666666666665,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2773329.6972072846,0.0,0.0,33.96837420585909,23269.946029362694,2916156.1766134603,64592.55851775124,3481852.0,0.5862,30.0,186.02115200115733,0.018602115200115732,184.16094048114576,0.016741903680104163,1.8602115200115732,0.0018602115200115736,0.99,0.1,33.96837420585909,0.050718512,2773329.6972072846,1.0515,0.014900000000000002,1680805.8770953242,41322.61248838854,41322.61248838854,23269.946029362694,254292.7027246693,4159.994545810927,138666.48486036423,2773.329697207285,2495.996727486556,22186.63757765828,8319.989091621854,5546.65939441457,0.04331358925236066,0.018623646339965216,0.013687914468715938,0.007038466479686742,0.003963561963992757,0.018623646339965216,0.013687914468715938,0.007038466479686742,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,1680805.8770953242,4.245833333333333,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3079046.4163341713,0.0,0.0,40.6020410036667,27814.322143045887,3237617.3067753813,73692.11374642505,3481852.0,0.5862,30.0,222.349129673611,0.022234912967361103,220.1256383768749,0.020011421670624994,2.2234912967361096,0.0022234912967361176,0.99,0.1,40.6020410036667,0.050718512,3079046.4163341713,1.0515,0.014900000000000002,1866088.737172225,45877.791603379155,45877.791603379155,27814.322143045887,284303.7657929036,4618.569624501257,153952.32081670858,3079.046416334171,2771.1417747007545,24632.37133067337,9237.139249002514,6158.092832668342,0.040513501875809446,0.017298416330853994,0.012713903542769417,0.006537620038193281,0.003963561963992756,0.017298416330853994,0.012713903542769417,0.006537620038193281,0.003963561963992756,0.003963561963992756,0.050718512,0.050718512,1.65,1866088.737172225,5.074999999999999,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3364672.5240266994,0.0,0.0,47.23570780147431,32358.698256729083,3537953.1590140746,82492.3188647269,3481852.0,0.5862,30.0,258.6771073460647,0.025867710734606475,256.0903362726041,0.02328093966114583,2.5867710734606058,0.002586771073460648,0.99,0.1,47.23570780147431,0.050718512,3364672.5240266994,1.0515,0.014900000000000002,2039195.4691070907,50133.62060799783,50133.62060799783,32358.698256729083,312641.2491053904,5047.008786040049,168233.626201335,3364.6725240266996,3028.2052716240296,26917.380192213597,10094.017572080098,6729.345048053399,0.03829489534770208,0.016248390544487543,0.011942160840434732,0.006140781998787043,0.003963561963992757,0.016248390544487543,0.011942160840434732,0.006140781998787043,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,2039195.4691070907,5.904166666666666,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3634110.4177191593,0.0,0.0,53.86937459928192,36903.07437041227,3821267.104231696,91051.31959442775,3481852.0,0.5862,30.0,295.00508501851834,0.029500508501851843,292.0550341683332,0.02655045765166665,2.9500508501851366,0.0029500508501851754,0.99,0.1,53.86937459928192,0.050718512,3634110.4177191593,1.0515,0.014900000000000002,2202491.162254036,54148.24522401548,54148.24522401548,36903.07437041227,339630.2285497524,5451.165626578739,181705.520885958,3634.110417719159,3270.6993759472434,29072.883341753273,10902.331253157477,7268.220835438318,0.036477867458686926,0.015388424564111339,0.011310107344007735,0.0058157735865751,0.003963561963992757,0.015388424564111339,0.011310107344007735,0.0058157735865751,0.003963561963992757,0.003963561963992757,0.050718512,0.050718512,1.65,2202491.162254036,6.7333333333333325,default,DualMediaFiltrationZO,dual_media_filtration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3890122.4835201767,0.0,0.0,60.50304139708955,41447.450484095476,4090463.7914214665,99410.2754885461,3481852.0,0.5862,30.0,331.3330626909721,0.03313330626909721,328.0197320640624,0.029819975642187486,3.3133306269097207,0.0033133306269097318,0.99,0.1,60.50304139708955,0.050718512,3890122.4835201767,1.0515,0.014900000000000002,2357649.9900122285,57962.82500445064,57962.82500445064,41447.450484095476,365500.8152644216,5835.183725280265,194506.12417600886,3890.122483520177,3501.1102351681593,31120.979868161416,11670.36745056053,7780.244967040354,0.034952333913669906,0.014666417511512703,0.010779450210524049,0.005542904227640397,0.003963561963992756,0.014666417511512703,0.010779450210524049,0.005542904227640397,0.003963561963992756,0.003963561963992756,0.050718512,0.050718512,1.65,2357649.9900122285,7.562499999999999,default,DualMediaFiltrationZO,dual_media_filtration
