fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aluminum_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_aluminum,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[aluminum],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.electrocoagulation.ec_reactor_cap_base[default],fs.costing.electrocoagulation.ec_reactor_cap_exp[default],fs.costing.electrocoagulation.ec_reactor_cap_material_coeff[default],fs.costing.electrocoagulation.ec_reactor_cap_safety_factor[default],fs.costing.electrocoagulation.ec_power_supply_base_slope[default],fs.costing.electrocoagulation.sludge_handling_cost[default],fs.costing.electrocoagulation.electrode_material_cost[default],fs.costing.electrocoagulation.electrode_material_cost_coeff[default],fs.costing.electrocoagulation.capital_floc_a_parameter[default],fs.costing.electrocoagulation.capital_floc_b_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.cathode_area,fs.unit.anode_area,fs.unit.electrode_thick,fs.unit.electrode_mass,fs.unit.electrode_volume,fs.unit.electrode_gap,fs.unit.conductivity,fs.unit.applied_current,fs.unit.current_efficiency,fs.unit.cell_voltage,fs.unit.overpotential,fs.unit.reactor_volume,fs.unit.metal_dose,fs.unit.ohmic_resistance,fs.unit.charge_loading_rate,fs.unit.current_density,fs.unit.power_required,fs.unit.floc_basin_vol,fs.unit.floc_retention_time,fs.unit.costing.capital_cost,fs.unit.costing.fixed_operating_cost,fs.unit.costing.capital_cost_reactor,fs.unit.costing.capital_cost_electrodes,fs.unit.costing.capital_cost_power_supply,fs.unit.costing.capital_cost_floc_reactor,fs.unit.costing.annual_sludge_management,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ElectrocoagulationZO],fs.costing.LCOW_aggregate_indirect_capex[ElectrocoagulationZO],fs.costing.LCOW_aggregate_fixed_opex[ElectrocoagulationZO],fs.costing.LCOW_aggregate_variable_opex[ElectrocoagulationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[aluminum],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.electrolysis_time,fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.costing.annual_electrode_replacement_mass_flow,fs.unit.mw_electrode_material,fs.unit.valence_electrode_material,fs.unit.density_electrode_material,fs.unit.properties_in[0.0].dens_mass,flow_mgd,tds,metal_dose,elec_material,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1002024.5958859898,2.9791728827240056e-35,0.0,0.9403342332906163,1384.0042757601054,644.1735105020281,3086.329534945035,1053628.8625741184,18660.669524148314,11500.0,0.45,1,2.5,0.51972,0.0,2.23,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,4.701671166453082,4.701671166453082,0.001,25.4830577221757,0.009403342332906163,0.005,1.0,470.16711664530817,1.0,2.0,1.5,0.032911698165171574,1e-06,0.0010634516585667508,10.720592457777776,100.0,940.3342332906163,31.57664329819999,12.0,1002024.5958859902,9.99999999999996e-13,12525.281937165086,152.10478972508818,654.0458136774146,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,294713.1164370559,14930.16647870125,14930.16647870125,3730.503045447063,87200.73907659421,1503.0368938289848,50101.22979429949,1002.0245958859898,901.8221362973909,8016.1967670879185,3006.0737876579697,2004.0491917719796,0.06300611970920603,0.013852205153544045,0.035670813490891275,0.010787659214782046,0.002695441849988681,0.013852205153544045,0.035670813490891275,0.010787659214782046,0.002695441849988681,0.00046544184998868087,0.0022299999999999993,0.005955884698765429,0.00595588469876543,0.012507357867407403,0.043856449025277765,3.4,294713.1164370559,1384.0042757601057,0.027,3,2710,1000.0,1.0,1000.0,1,aluminum,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,983703.4824549484,0.0,0.0,0.30225028927198383,13840.042757601053,207.05577123279474,30863.29534945035,1034364.2118013783,19583.692240153487,11500.0,0.45,1,2.5,0.51972,0.0,3.41,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,1.5112514463599191,1.5112514463599191,0.001,23.75687273677793,0.0030225028927198393,0.005,1.0,151.12514463599192,1.0,2.0,1.5,0.010578760124519434,1e-06,0.0033085162710965585,3.445904718571429,100.0,302.25028927198383,31.57664329819999,12.0,983703.4824549487,9.99999999999996e-13,7515.805378271229,216.83537692137674,210.22901153923684,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,289324.5536632202,14657.181888578732,14657.181888578732,4926.510351574754,86870.56861351228,1475.5552236824226,49185.17412274742,983.7034824549484,885.3331342094536,7869.627859639587,2951.110447364845,1967.4069649098967,0.06276755797289882,0.013598930111264531,0.035018604929517305,0.01059041662319208,0.003559606308924933,0.013598930111264531,0.035018604929517305,0.01059041662319208,0.003559606308924933,0.00014960630892493312,0.022299999999999993,0.0019143915103174594,0.0019143915103174594,0.004020222171666665,0.043856449025277765,3.4,289324.5536632202,1384.0042757601057,0.056,2,7860,1000.0,1.0,1000.0,1,iron,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1104130.3845550776,0.0,0.0,9.403342332906165,138400.42757601058,6441.735105020282,308632.95349450357,1160993.0993596644,53756.57318434129,11500.0,0.45,1,2.5,0.51972,0.0,2.23,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,47.01671166453084,47.01671166453084,0.001,254.83057722175712,0.09403342332906167,0.005,1.0,4701.671166453084,1.0,2.0,1.5,0.3291169816517159,9.999999999999999e-06,0.00010634516585667503,107.20592457777781,100.0,9403.342332906166,31.57664329819999,12.0,1104130.384555078,9.99999999999996e-13,35301.04082098106,1521.0478972508736,6540.458136773248,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,324744.2307514936,16451.54272987066,16451.54272987066,37305.03045447063,129280.84041598559,1656.1955768326166,55206.51922775389,1104.1303845550776,993.71734609957,8833.043076440621,3312.391153665233,2208.2607691101553,0.09341072327611383,0.015263737702560986,0.0393056509578648,0.01188691611580127,0.026954418499886803,0.015263737702560986,0.0393056509578648,0.01188691611580127,0.026954418499886803,0.0046544184998868095,0.22299999999999998,0.059558846987654304,0.05955884698765432,0.12507357867407407,0.043856449025277765,3.4,324744.2307514936,13840.042757601055,0.027,3,2710,1000.0,1.0,1000.0,10,aluminum,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1043238.1342713236,0.0,0.0,3.0225028927198383,1385.3868974142117,2070.5577123279477,3089.412781233692,1096964.898186297,64809.35171639027,11500.0,0.45,1,2.5,0.51972,0.0,3.41,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,15.112514463599194,15.112514463599194,0.001,237.56872736777933,0.03022502892719839,0.005,1.0,1511.2514463599193,1.0,2.0,1.5,0.10578760124519436,9.999999999999999e-06,0.00033085162710965577,34.45904718571428,100.0,3022.5028927198387,31.57664329819999,12.0,1043238.1342713239,9.99999999999996e-13,21182.41759282522,2168.353769213759,2102.290115391468,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,306834.7453739188,15544.248200642724,15544.248200642724,49265.10351574755,136168.49257609836,1564.8572014069853,52161.90671356618,1043.2381342713236,938.9143208441913,8345.905074170589,3129.7144028139705,2086.476268542647,0.09838733518457779,0.01442195003920957,0.037137963545968565,0.011231358510150346,0.03559606308924932,0.01442195003920957,0.037137963545968565,0.011231358510150346,0.03559606308924932,0.0014960630892493316,0.0022299999999999998,0.019143915103174595,0.0191439151031746,0.04020222171666665,0.043856449025277765,3.4,306834.7453739188,13840.042757601055,0.056,2,7860,1000.0,1.0,1000.0,10,iron,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1569061.2234843343,3.636685647856452e-40,0.0,94.03342332906163,13853.868974142117,64417.35105020281,30894.127812336923,1649867.8764937776,396429.31677462294,11500.0,0.45,1,2.5,0.51972,0.0,2.23,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,470.1671166453082,470.1671166453082,0.001,2548.305772217571,0.9403342332906165,0.005,1.0,47016.71166453082,1.0,2.0,1.5,3.2911698165171575,9.999999999999999e-05,1.0634516585667508e-05,1072.0592457777777,100.0,94033.42332906164,31.57664329819999,12.0,1569061.2234843348,9.99999999999996e-13,99491.85090572272,15210.478972508725,65404.58136773156,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,461488.5951424514,23379.012229916585,23379.012229916585,373050.30454470636,503755.5898333917,2353.5918352265016,78453.06117421672,1569.0612234843343,1412.155101135901,12552.489787874674,4707.183670453003,3138.1224469686686,0.36398412826920296,0.021691042371028604,0.05585660320963577,0.016892297689670547,0.26954418499886806,0.021691042371028604,0.05585660320963577,0.016892297689670547,0.26954418499886806,0.04654418499886809,0.022299999999999997,0.5955884698765429,0.595588469876543,1.2507357867407403,0.043856449025277765,3.4,461488.5951424514,138400.42757601058,0.027,3,2710,1000.0,1.0,1000.0,100,aluminum,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1304880.1755588518,0.0,0.0,30.225028927198384,138538.68974142117,20705.577123279476,308941.27812336915,1372081.5046001328,512093.7497733024,11500.0,0.45,1,2.5,0.51972,0.0,3.41,2.0,952902.0,177335.0,43.812636388888876,0.04381263638888888,43.374510024999985,0.013143790916667666,0.4381263638888904,0.030668845472223216,0.99,0.7,151.12514463599194,151.12514463599194,0.001,2375.687273677793,0.3022502892719839,0.005,1.0,15112.514463599193,1.0,2.0,1.5,1.0578760124519437,9.999999999999999e-05,3.308516271096558e-05,344.59047185714286,100.0,30225.028927198386,31.57664329819999,12.0,1304880.1755588523,9.99999999999996e-13,59700.16418653447,21683.537692137576,21022.901153913786,281381.6838964884,9.99999999999996e-13,1.0515,0.014900000000000002,383788.2869290742,19442.714615826895,19442.714615826895,492651.0351574755,601349.6206946461,1957.3202633382778,65244.008777942596,1304.8801755588518,1174.3921580029667,10439.041404470814,3914.6405266765555,2609.7603511177035,0.43449982866879533,0.01803894631613455,0.046452090658678086,0.014048160801489441,0.35596063089249336,0.01803894631613455,0.046452090658678086,0.014048160801489441,0.35596063089249336,0.014960630892493314,0.22299999999999992,0.19143915103174594,0.19143915103174597,0.4020222171666666,0.043856449025277765,3.4,383788.2869290742,138400.42757601058,0.056,2,7860,1000.0,1.0,1000.0,100,iron,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1002087.4752705075,0.0,0.0,0.9412736281290689,1386.7695190683173,644.8170404825498,3092.4960275223475,1053694.9802469388,18665.333203246806,11500.0,0.45,1,2.5,0.51972,0.0,2.23,2.0,952902.0,177335.0,43.812636388888876,0.08762527277777776,43.374510024999985,0.026287581833335332,0.4381263638888904,0.06133769094444643,0.99,0.7,4.706368140645345,4.706368140645345,0.001,25.50851532229777,0.00941273628129069,0.005,1.0,470.63681406453446,1.0,2.0,1.5,0.032944576984517415,1e-06,0.0010623903295661848,10.720592457777778,100.0,941.2736281290689,31.60818839639999,12.0,1002087.4752705079,9.99999999999996e-13,12530.911137180343,152.25674256197647,654.6992060986709,281393.74328783783,9.99999999999996e-13,1.0515,0.014900000000000002,294731.6103736788,14931.103381530564,14931.103381530564,3734.2298217162415,87209.70380519384,1503.1312129057612,50104.37376352538,1002.0874752705075,901.8787277434568,8016.69980216406,3006.2624258115225,2004.174950541015,0.06294971027080483,0.013839248988217008,0.03563745006955762,0.010777569363041532,0.002695441849988681,0.013839248988217008,0.03563745006955762,0.010777569363041532,0.002695441849988681,0.00046544184998868103,0.0022299999999999993,0.005955884698765432,0.005955884698765432,0.012507357867407407,0.043900261661666655,3.4,294731.6103736788,1385.386897414212,0.027,3,2710,1000.0,1.0,2000.0,1,aluminum,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,983757.419494091,0.0,0.0,0.302552237612915,13867.695190683173,207.2626201551053,30924.960275223475,1034420.9265980367,19589.417490799522,11500.0,0.45,1,2.5,0.51972,0.0,3.41,2.0,952902.0,177335.0,43.812636388888876,0.08762527277777776,43.374510024999985,0.026287581833335332,0.4381263638888904,0.06133769094444643,0.99,0.7,1.512761188064575,1.512761188064575,0.001,23.78060587637512,0.003025522376129151,0.005,1.0,151.2761188064575,1.0,2.0,1.5,0.010589328316452026,1e-06,0.003305214358650353,3.44590471857143,100.0,302.552237612915,31.60818839639999,12.0,983757.4194940913,9.99999999999996e-13,7519.183184213024,217.05199567954,210.43903053178352,281393.74328783783,9.99999999999996e-13,1.0515,0.014900000000000002,289340.41749826213,14657.985550461957,14657.985550461957,4931.4319403375675,86879.98324307123,1475.6361292411364,49187.87097470455,983.757419494091,885.3816775446819,7870.059355952728,2951.2722584822727,1967.514838988182,0.0627117113675829,0.013586103217894654,0.03498557439640054,0.010580427444362805,0.0035596063089249333,0.013586103217894654,0.03498557439640054,0.010580427444362805,0.0035596063089249333,0.00014960630892493318,0.022299999999999993,0.00191439151031746,0.00191439151031746,0.0040202221716666665,0.043900261661666655,3.4,289340.41749826213,1385.386897414212,0.056,2,7860,1000.0,1.0,2000.0,1,iron,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1104252.7100446576,0.0,0.0,9.412736281290687,138676.95190683176,6448.170404825498,309249.6027522348,1161121.7246119576,53795.66359682782,11500.0,0.45,1,2.5,0.51972,0.0,2.23,2.0,952902.0,177335.0,43.812636388888876,0.08762527277777776,43.374510024999985,0.026287581833335332,0.4381263638888904,0.06133769094444643,0.99,0.7,47.06368140645344,47.06368140645344,0.001,255.08515322297765,0.09412736281290689,0.005,1.0,4706.368140645344,1.0,2.0,1.5,0.3294457698451741,9.999999999999999e-06,0.0001062390329566185,107.20592457777778,100.0,9412.736281290689,31.60818839639999,12.0,1104252.7100446578,9.99999999999996e-13,35316.90606222072,1522.5674256197553,6546.992060985808,281393.74328783783,9.99999999999996e-13,1.0515,0.014900000000000002,324780.2088366641,16453.3653796654,16453.3653796654,37342.29821716242,129328.29808572136,1656.3790650669864,55212.63550223288,1104.2527100446575,993.827439040192,8834.02168035726,3312.758130133973,2208.505420089315,0.09335175489757354,0.015250193797798068,0.0392707740487098,0.011876368551178863,0.026954418499886806,0.015250193797798068,0.0392707740487098,0.011876368551178863,0.026954418499886806,0.0046544184998868095,0.22299999999999995,0.059558846987654304,0.05955884698765432,0.12507357867407407,0.043900261661666655,3.4,324780.2088366641,13853.868974142119,0.027,3,2710,1000.0,1.0,2000.0,10,aluminum,default,ElectrocoagulationZO,electrocoagulation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2.23,1043326.0097175149,0.0,0.0,3.025522376129149,1388.1521407224236,2072.626201551053,3095.579273811005,1097057.299217967,64859.87694816665,11500.0,0.45,1,2.5,0.51972,0.0,3.41,2.0,952902.0,177335.0,43.812636388888876,0.08762527277777776,43.374510024999985,0.026287581833335332,0.4381263638888904,0.06133769094444643,0.99,0.7,15.127611880645748,15.127611880645748,0.001,237.80605876375117,0.030255223761291496,0.005,1.0,1512.7611880645748,1.0,2.0,1.5,0.10589328316452024,9.999999999999999e-06,0.0003305214358650353,34.45904718571428,100.0,3025.5223761291495,31.60818839639999,12.0,1043326.0097175152,9.99999999999996e-13,21191.937543436696,2170.519956795391,2104.3903053169342,281393.74328783783,9.99999999999996e-13,1.0515,0.014900000000000002,306860.5910933868,15545.557544790972,15545.557544790972,49314.31940337567,136225.02862758777,1564.9890145762722,52166.30048587575,1043.3260097175148,938.9934087457634,8346.608077740118,3129.9780291525444,2086.6520194350296,0.09832995308519822,0.014408770472324209,0.03710402484328208,0.01122109468034262,0.035596063089249334,0.014408770472324209,0.03710402484328208,0.01122109468034262,0.035596063089249334,0.0014960630892493318,0.0022299999999999998,0.019143915103174595,0.0191439151031746,0.04020222171666665,0.043900261661666655,3.4,306860.5910933868,13853.868974142119,0.056,2,7860,1000.0,1.0,2000.0,10,iron,default,ElectrocoagulationZO,electrocoagulation
