fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.electrodialysis_reversal.capital_a_parameter[default],fs.costing.electrodialysis_reversal.capital_b_parameter[default],fs.costing.electrodialysis_reversal.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.elec_coeff_1,fs.unit.elec_coeff_2,fs.unit.electricity[0.0],fs.unit.electricity_intensity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ElectrodialysisReversalZO],fs.costing.LCOW_aggregate_indirect_capex[ElectrodialysisReversalZO],fs.costing.LCOW_aggregate_fixed_opex[ElectrodialysisReversalZO],fs.costing.LCOW_aggregate_variable_opex[ElectrodialysisReversalZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,validity_range_units,validity_range_lb,validity_range_ub
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,761103.1164236043,0.0,0.0,4.809292171493193,3294.5930409227476,800299.92691942,14635.029475634454,31000000.0,1.0,946.352946,4.381263638888887,0.0004381263638888888,4.0368963168722205,8.381532591740024e-05,0.344367322016667,0.00035431103797148875,0.9214,0.808696,0.2534,0.0005149,4.809292171493193,0.30488485151484856,761103.1164236043,1.0515,0.014900000000000002,761103.1164236043,11340.436434711706,11340.436434711706,3294.5930409227476,66695.68821638319,1141.6546746354065,38055.15582118022,761.1031164236043,684.992804781244,6088.824931388835,2283.309349270813,1522.2062328472086,0.48233744290351604,0.3580581804897229,0.018439996295220782,0.08201305448086035,0.023826211637711953,0.3580581804897229,0.018439996295220782,0.08201305448086035,0.023826211637711953,0.02382621163771195,0.30488485151484856,0.30488485151484856,1.0,761103.1164236043,0.1,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7071916.456769324,0.0,0.0,44.68633976012426,30612.26033857387,7436120.154292945,135983.8155444368,31000000.0,1.0,946.352946,40.70924131134258,0.004070924131134258,37.509494944271054,0.000778784069982508,3.1997463670715307,0.0032921400611517493,0.9214,0.808696,0.2534,0.0005149,44.68633976012426,0.30488485151484856,7071916.456769324,1.0515,0.014900000000000002,7071916.456769324,105371.55520586294,105371.55520586294,30612.26033857387,619714.1030105605,10607.874685153985,353595.8228384662,7071.916456769324,6364.724811092392,56575.331654154594,21215.74937030797,14143.832913538648,0.482337442903516,0.3580581804897229,0.0184399962952208,0.08201305448086034,0.023826211637711956,0.3580581804897229,0.0184399962952208,0.08201305448086034,0.023826211637711956,0.023826211637711953,0.30488485151484856,0.30488485151484856,1.0,7071916.456769324,0.9291666666666666,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13382729.797115043,0.0,0.0,84.56338734875531,57929.92763622498,14071940.381666468,257332.60161323912,31000000.0,1.0,946.352946,77.03721898379627,0.007703721898379629,70.98209357166988,0.0014737528140476163,6.055125412126382,0.006229969084332013,0.9214,0.808696,0.2534,0.0005149,84.56338734875531,0.30488485151484856,13382729.797115043,1.0515,0.014900000000000002,13382729.797115043,199402.67397701417,199402.67397701417,57929.92763622498,1172732.5178047377,20074.094695672564,669136.4898557522,13382.729797115044,12044.45681740354,107061.83837692035,40148.18939134513,26765.459594230088,0.482337442903516,0.35805818048972293,0.01843999629522074,0.08201305448086035,0.023826211637711953,0.35805818048972293,0.01843999629522074,0.08201305448086035,0.023826211637711953,0.023826211637711953,0.30488485151484856,0.30488485151484856,1.0,13382729.797115043,1.7583333333333333,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,19693543.13746076,0.0,0.0,124.44043493738639,85247.5949338761,20707760.609039992,378681.3876820415,31000000.0,1.0,946.352946,113.36519665624996,0.011336519665624998,104.45469219906872,0.002168721558112724,8.910504457181242,0.009167798107512268,0.9214,0.808696,0.2534,0.0005149,124.44043493738639,0.30488485151484856,19693543.13746076,1.0515,0.014900000000000002,19693543.13746076,293433.7927481654,293433.7927481654,85247.5949338761,1725750.932598915,29540.31470619114,984677.156873038,19693.54313746076,17724.188823714685,157548.3450996861,59080.62941238228,39387.08627492152,0.48233744290351593,0.3580581804897229,0.018439996295220733,0.08201305448086033,0.02382621163771195,0.3580581804897229,0.018439996295220733,0.08201305448086033,0.02382621163771195,0.02382621163771195,0.30488485151484856,0.30488485151484856,1.0,19693543.13746076,2.5875,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,26004356.47780647,0.0,0.0,164.31748252601741,112565.26223152719,27343580.836413506,500030.1737508437,31000000.0,1.0,946.352946,149.69317432870363,0.014969317432870366,137.92729082646753,0.0028636903021778365,11.765883502236102,0.01210562713069253,0.9214,0.808696,0.2534,0.0005149,164.31748252601741,0.30488485151484856,26004356.47780647,1.0515,0.014900000000000002,26004356.47780647,387464.9115193165,387464.9115193165,112565.26223152719,2278769.3473930913,39006.534716709706,1300217.8238903238,26004.356477806472,23403.920830025825,208034.85182245178,78013.06943341941,52008.712955612944,0.4823374429035159,0.3580581804897229,0.018439996295220737,0.08201305448086034,0.023826211637711953,0.3580581804897229,0.018439996295220737,0.08201305448086034,0.023826211637711953,0.02382621163771195,0.30488485151484856,0.30488485151484856,1.0,26004356.47780647,3.4166666666666665,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,32315169.8181522,0.0,0.0,204.1945301146485,139882.92952917833,33979401.063787036,621378.9598196462,31000000.0,1.0,946.352946,186.02115200115733,0.018602115200115732,171.39988945386636,0.0035586590462429396,14.621262547290955,0.01504345615387279,0.9214,0.808696,0.2534,0.0005149,204.1945301146485,0.30488485151484856,32315169.8181522,1.0515,0.014900000000000002,32315169.8181522,481496.03029046784,481496.03029046784,139882.92952917833,2831787.762187269,48472.754727228305,1615758.4909076102,32315.1698181522,29083.652836336983,258521.3585452176,96945.50945445661,64630.3396363044,0.48233744290351593,0.35805818048972293,0.01843999629522081,0.08201305448086035,0.023826211637711953,0.35805818048972293,0.01843999629522081,0.08201305448086035,0.023826211637711953,0.023826211637711953,0.30488485151484856,0.30488485151484856,1.0,32315169.8181522,4.245833333333333,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,38625983.15849791,0.0,0.0,244.0715777032795,167200.59682682942,40615221.29116055,742727.7458884483,31000000.0,1.0,946.352946,222.349129673611,0.022234912967361103,204.87248808126517,0.0042536277903080545,17.47664159234581,0.017981285177053052,0.9214,0.808696,0.2534,0.0005149,244.0715777032795,0.30488485151484856,38625983.15849791,1.0515,0.014900000000000002,38625983.15849791,575527.1490616188,575527.1490616188,167200.59682682942,3384806.176981446,57938.97473774686,1931299.1579248954,38625.98315849791,34763.38484264812,309007.8652679833,115877.94947549372,77251.96631699582,0.48233744290351593,0.3580581804897228,0.018439996295220796,0.08201305448086033,0.02382621163771195,0.3580581804897228,0.018439996295220796,0.08201305448086033,0.02382621163771195,0.02382621163771195,0.30488485151484856,0.30488485151484856,1.0,38625983.15849791,5.074999999999999,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,44936796.49884363,0.0,0.0,283.94862529191056,194518.26412448054,47251041.51853409,864076.5319572507,31000000.0,1.0,946.352946,258.6771073460647,0.025867710734606475,238.345086708664,0.004948596534373156,20.33202063740067,0.020919114200233315,0.9214,0.808696,0.2534,0.0005149,283.94862529191056,0.30488485151484856,44936796.49884363,1.0515,0.014900000000000002,44936796.49884363,669558.2678327702,669558.2678327702,194518.26412448054,3937824.5917756236,67405.19474826545,2246839.824942182,44936.796498843636,40443.116848959275,359494.3719907491,134810.3894965309,89873.59299768727,0.482337442903516,0.35805818048972293,0.01843999629522079,0.08201305448086035,0.02382621163771195,0.35805818048972293,0.01843999629522079,0.08201305448086035,0.02382621163771195,0.023826211637711953,0.30488485151484856,0.30488485151484856,1.0,44936796.49884363,5.904166666666666,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,51247609.839189336,0.0,0.0,323.82567288054156,221835.93142213163,53886861.74590759,985425.3180260528,31000000.0,1.0,946.352946,295.00508501851834,0.029500508501851843,271.8176853360628,0.005643565278438273,23.18739968245548,0.02385694322341357,0.9214,0.808696,0.2534,0.0005149,323.82567288054156,0.30488485151484856,51247609.839189336,1.0515,0.014900000000000002,51247609.839189336,763589.3866039212,763589.3866039212,221835.93142213163,4490843.006569799,76871.414758784,2562380.491959467,51247.60983918934,46122.84885527041,409980.8787135147,153742.829517568,102495.21967837868,0.4823374429035159,0.3580581804897229,0.018439996295220733,0.08201305448086033,0.02382621163771195,0.3580581804897229,0.018439996295220733,0.08201305448086033,0.02382621163771195,0.023826211637711953,0.30488485151484856,0.30488485151484856,1.0,51247609.839189336,6.7333333333333325,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,57558423.179535076,0.0,0.0,363.70272046917273,249153.59871978278,60522681.973281145,1106774.1040948557,31000000.0,1.0,946.352946,331.3330626909721,0.03313330626909721,305.2902839634617,0.006338534022503383,26.042778727510388,0.026794772246593844,0.9214,0.808696,0.2534,0.0005149,363.70272046917273,0.30488485151484856,57558423.179535076,1.0515,0.014900000000000002,57558423.179535076,857620.5053750727,857620.5053750727,249153.59871978278,5043861.421363979,86337.63476930262,2877921.158976754,57558.42317953508,51802.58086158158,460467.38543628063,172675.26953860524,115116.84635907016,0.482337442903516,0.35805818048972293,0.018439996295220727,0.08201305448086034,0.023826211637711953,0.35805818048972293,0.018439996295220727,0.08201305448086034,0.023826211637711953,0.02382621163771195,0.30488485151484856,0.30488485151484856,1.0,57558423.179535076,7.562499999999999,default,ElectrodialysisReversalZO,electrodialysis_reversal,mg/L,0,20000
