fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.energy_recovery.capital_a_parameter[default],fs.costing.energy_recovery.capital_b_parameter[default],fs.costing.energy_recovery.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[EnergyRecoveryZO],fs.costing.LCOW_aggregate_indirect_capex[EnergyRecoveryZO],fs.costing.LCOW_aggregate_fixed_opex[EnergyRecoveryZO],fs.costing.LCOW_aggregate_variable_opex[EnergyRecoveryZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,353215.2697282664,0.0,0.0,-50.00398054506468,-34255.09626940737,371405.8561192722,-28992.188750456196,100000.0,0.7,3.943,4.381263638888887,0.0004381263638888888,-50.00398054506468,-3.17,353215.2697282664,1.0515,0.014900000000000002,353215.2697282664,5262.9075189511705,5262.9075189511705,-34255.09626940737,-4831.704812678821,529.8229045923996,17660.76348641332,353.21526972826643,317.8937427554398,2825.7221578261315,1059.6458091847992,706.4305394565329,-0.03494247089333798,0.16616883319881184,0.00855769490973884,0.03806089153309069,-0.24772989053497937,0.16616883319881184,0.00855769490973884,0.03806089153309069,-0.24772989053497937,-0.24772989053497937,-3.17,-3.17,1.0,353215.2697282664,0.1,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1681531.491291923,0.0,0.0,-464.62031923122606,-318286.9361699102,1768130.3630934572,-293232.1169496605,100000.0,0.7,3.943,40.70924131134258,0.004070924131134258,-464.62031923122606,-3.17,1681531.491291923,1.0515,0.014900000000000002,1681531.491291923,25054.819220249654,25054.819220249654,-318286.9361699102,-178212.69942142066,2522.2972369378845,84076.57456459616,1681.531491291923,1513.3783421627309,13452.251930335384,5044.594473875769,3363.062982583846,-0.13870695747325298,0.08513761579180311,0.004384587213277866,0.0195007300566454,-0.24772989053497937,0.08513761579180311,0.004384587213277866,0.0195007300566454,-0.24772989053497937,-0.24772989053497937,-3.17,-3.17,1.0,1681531.491291923,0.9291666666666666,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2627908.9658137015,0.0,0.0,-879.2366579173873,-602318.776070413,2763246.2775531076,-563162.9324797888,100000.0,0.7,3.943,77.03721898379627,0.007703721898379629,-879.2366579173873,-3.17,2627908.9658137015,1.0515,0.014900000000000002,2627908.9658137015,39155.84359062416,39155.84359062416,-602318.776070413,-383409.7966447269,3941.8634487205522,131395.44829068508,2627.9089658137013,2365.1180692323314,21023.27172650961,7883.7268974411045,5255.817931627403,-0.157694016401928,0.07031034154143392,0.0036209825893838594,0.01610455000223358,-0.24772989053497937,0.07031034154143392,0.0036209825893838594,0.01610455000223358,-0.24772989053497937,-0.24772989053497937,-3.17,-3.17,1.0,2627908.9658137015,1.7583333333333333,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3443941.1455866713,0.0,0.0,-1293.8529966035487,-886350.6159709158,3621304.1145843854,-835035.8929016744,100000.0,0.7,3.943,113.36519665624996,0.011336519665624998,-1293.8529966035487,-3.17,3443941.1455866713,1.0515,0.014900000000000002,3443941.1455866713,51314.72306924141,51314.72306924141,-886350.6159709158,-599464.8633858499,5165.911718380007,172197.0572793336,3443.941145586671,3099.5470310280043,27551.52916469337,10331.823436760014,6887.882291173342,-0.1675469755537643,0.06261602047408175,0.0032247250544152257,0.014342169452718117,-0.2477298905349794,0.06261602047408175,0.0032247250544152257,0.014342169452718117,-0.2477298905349794,-0.24772989053497935,-3.17,-3.17,1.0,3443941.1455866713,2.5875,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4183707.34577018,0.0,0.0,-1708.4693352897098,-1170382.4558714184,4399168.274077345,-1108045.2164194426,100000.0,0.7,3.943,149.69317432870363,0.014969317432870366,-1708.4693352897098,-3.17,4183707.34577018,1.0515,0.014900000000000002,4183707.34577018,62337.23945197569,62337.23945197569,-1170382.4558714184,-821873.0070310879,6275.56101865527,209185.36728850903,4183.70734577018,3765.3366111931628,33469.65876616144,12551.12203731054,8367.41469154036,-0.17396237361903358,0.0576061415404162,0.0029667162893314367,0.01319465908619817,-0.2477298905349794,0.0576061415404162,0.0029667162893314367,0.01319465908619817,-0.2477298905349794,-0.2477298905349794,-3.17,-3.17,1.0,4183707.34577018,3.4166666666666665,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4870948.409209906,0.0,0.0,-2123.0856739758715,-1454414.2957719215,5121802.252284217,-1381837.1644746938,100000.0,0.7,3.943,186.02115200115733,0.018602115200115732,-2123.0856739758715,-3.17,4870948.409209906,1.0515,0.014900000000000002,4870948.409209906,72577.1312972276,72577.1312972276,-1454414.2957719215,-1048656.5777662129,7306.42261381486,243547.4204604953,4870.9484092099065,4383.853568288916,38967.58727367925,14612.84522762972,9741.896818419813,-0.1786173169323336,0.053971027677574404,0.0027795079253950805,0.012362037999676358,-0.24772989053497943,0.053971027677574404,0.0027795079253950805,0.012362037999676358,-0.24772989053497943,-0.24772989053497943,-3.1700000000000004,-3.1700000000000004,1.0,4870948.409209906,4.245833333333333,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5518800.598971902,0.0,0.0,-2537.7020126620323,-1738446.135672424,5803018.829818956,-1656216.0067477426,100000.0,0.7,3.943,222.349129673611,0.022234912967361103,-2537.7020126620323,-3.17,5518800.598971902,1.0515,0.014900000000000002,5518800.598971902,82230.12892468135,82230.12892468135,-1738446.135672424,-1278721.3040701523,8278.200898457853,275940.02994859515,5518.800598971902,4966.920539074713,44150.40479177522,16556.401796915707,11037.601197943804,-0.18221875396761528,0.051158612399455024,0.00263466853857194,0.011717855629337165,-0.2477298905349794,0.051158612399455024,0.00263466853857194,0.011717855629337165,-0.2477298905349794,-0.2477298905349794,-3.17,-3.17,1.0,5518800.598971902,5.074999999999999,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6135507.567805565,0.0,0.0,-2952.3183513481936,-2022477.9755729267,6451486.207547552,-1931058.9128126237,100000.0,0.7,3.943,258.6771073460647,0.025867710734606475,-2952.3183513481936,-3.17,6135507.567805565,1.0515,0.014900000000000002,6135507.567805565,91419.06276030293,91419.06276030293,-2022477.9755729267,-1511380.4766110445,9203.261351708348,306775.37839027826,6135.5075678055655,5521.956811025009,49084.060542444524,18406.522703416696,12271.015135611131,-0.1851264263688682,0.04888796815246762,0.0025177303598520806,0.011197765653791486,-0.2477298905349794,0.04888796815246762,0.0025177303598520806,0.011197765653791486,-0.2477298905349794,-0.2477298905349794,-3.17,-3.17,1.0,6135507.567805565,5.904166666666666,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6726676.630180542,0.0,0.0,-3366.9346900343544,-2306509.815473429,7073100.476634841,-2206282.333683739,100000.0,0.7,3.943,295.00508501851834,0.029500508501851843,-3366.9346900343544,-3.17,6726676.630180542,1.0515,0.014900000000000002,6726676.630180542,100227.4817896901,100227.4817896901,-2306509.815473429,-1746166.9972116542,10090.014945270814,336333.83150902716,6726.676630180543,6054.008967162488,53813.41304144434,20180.029890541628,13453.353260361086,-0.1875464635671827,0.046998125424834156,0.002420403459378969,0.010764898083583552,-0.24772989053497943,0.046998125424834156,0.002420403459378969,0.010764898083583552,-0.24772989053497943,-0.24772989053497937,-3.17,-3.17,1.0,6726676.630180542,6.7333333333333325,default,EnergyRecoveryZO,energy_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7296342.993117411,0.0,0.0,-3781.551028720516,-2590541.6553739323,7672104.657262958,-2481826.144776483,100000.0,0.7,3.943,331.3330626909721,0.03313330626909721,-3781.551028720516,-3.17,7296342.993117411,1.0515,0.014900000000000002,7296342.993117411,108715.51059744944,108715.51059744944,-2590541.6553739323,-1982744.7267354543,10944.514489676116,364817.14965587057,7296.3429931174105,6566.70869380567,58370.743944939284,21889.02897935223,14592.685986234821,-0.18960711675646902,0.045388930968377185,0.002337529944871425,0.010396312865261772,-0.24772989053497937,0.045388930968377185,0.002337529944871425,0.010396312865261772,-0.24772989053497937,-0.24772989053497937,-3.17,-3.17,1.0,7296342.993117411,7.562499999999999,default,EnergyRecoveryZO,energy_recovery
