fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.evaporation_pond.cost_per_acre_a_parameter[default],fs.costing.evaporation_pond.cost_per_acre_b_parameter[default],fs.costing.evaporation_pond.cost_per_acre_c_parameter[default],fs.costing.evaporation_pond.cost_per_acre_d_parameter[default],fs.costing.evaporation_pond.cost_per_acre_e_parameter[default],fs.costing.evaporation_pond.liner_thickness[default],fs.costing.evaporation_pond.land_cost[default],fs.costing.evaporation_pond.land_clearing_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.air_temperature,fs.unit.solar_radiation,fs.unit.dike_height,fs.unit.evaporation_rate_adj_factor,fs.unit.evap_rate_calc_a_parameter,fs.unit.evap_rate_calc_b_parameter,fs.unit.evap_rate_calc_c_parameter,fs.unit.adj_area_calc_a_parameter,fs.unit.adj_area_calc_b_parameter,fs.unit.area,fs.unit.adj_area,fs.unit.evaporation_rate_pure,fs.unit.evaporation_rate_salt,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[EvaporationPondZO],fs.costing.LCOW_aggregate_indirect_capex[EvaporationPondZO],fs.costing.LCOW_aggregate_fixed_opex[EvaporationPondZO],fs.costing.LCOW_aggregate_variable_opex[EvaporationPondZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.properties_byproduct[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,fs.unit.properties_byproduct[0.0].dens_mass,flow_mgd,solar_radiation,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1825476.113268563,0.0,0.0,0.0,0.0,1919488.1331018943,27199.594087701593,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,2.1906318194444436,0.28478213652777773,0.00021906318194449436,0.0056956427305620595,2.190412756262499,0.27908649379722866,0.0001,0.98,1.000000000000018e-18,0.0,298.0,15.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,17.51448923097063,27.24471405138236,4.300387500000004,2.2348559866591033,1825476.1132685633,1.0515,0.014900000000000002,1825476.1132685633,27199.594087701593,27199.594087701593,0.0,152065.05176554073,2738.214169902845,91273.80566342815,1825.476113268563,1642.9285019417068,14603.808906148504,5476.42833980569,3650.952226537126,1.9466040021975968,1.5201317647916612,0.07828678588677075,0.34818545151916513,8.76937844679974e-21,1.5201317647916612,0.07828678588677075,0.34818545151916513,8.76937844679974e-21,0.0,0.0,1.122146771078881e-19,0.0024754139559722216,0.002469499250059728,1.0,1825476.1132685633,1000.0,1000.0,0.05,15.0,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1593349.3396965547,0.0,0.0,0.0,0.0,1675406.8306909276,23740.90516147867,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,2.1906318194444436,0.28478213652777773,0.00021906318194449436,0.0056956427305620595,2.190412756262499,0.27908649379722866,0.0001,0.98,1.000000000000018e-18,0.0,298.0,17.5,8.0,0.7,0.41,0.025,0.078,1.2,0.155,15.012419340831968,23.780287689584807,5.017118750000004,2.6073319844356204,1593349.339696555,1.0515,0.014900000000000002,1593349.339696555,23740.90516147867,23740.90516147867,0.0,132728.52384122147,2390.024009544832,79667.46698482774,1593.3493396965548,1434.0144057268994,12746.794717572438,4780.048019089664,3186.6986793931096,1.6990746572951203,1.3268324499440949,0.06833187117212101,0.3039103361789043,8.76937844679974e-21,1.3268324499440949,0.06833187117212101,0.3039103361789043,8.76937844679974e-21,0.0,0.0,1.122146771078881e-19,0.0024754139559722216,0.002469499250059728,1.0,1593349.339696555,1000.0,1000.0,0.05,17.5,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1417518.5982429162,0.0,0.0,0.0,0.0,1490520.8060524266,21121.02711381945,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,2.1906318194444436,0.28478213652777773,0.00021906318194449436,0.0056956427305620595,2.190412756262499,0.27908649379722866,0.0001,0.98,1.000000000000018e-18,0.0,298.0,20.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,13.135866923227974,21.156063665218095,5.733850000000005,2.9798079822121375,1417518.5982429164,1.0515,0.014900000000000002,1417518.5982429164,21121.027113819455,21121.027113819455,0.0,118081.54456454038,2126.2778973643744,70875.92991214582,1417.5185982429161,1275.7667384186248,11340.14878594333,4252.555794728749,2835.0371964858323,1.5115768190406522,1.1804126237038253,0.06079125012074715,0.27037294521608,8.76937844679974e-21,1.1804126237038253,0.06079125012074715,0.27037294521608,8.76937844679974e-21,0.0,0.0,1.122146771078881e-19,0.0024754139559722216,0.002469499250059728,1.0,1417518.5982429164,1000.0,1000.0,0.05,20.0,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1279500.495616276,0.0,0.0,0.0,0.0,1345394.7711405142,19064.557384682514,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,2.1906318194444436,0.28478213652777773,0.00021906318194449436,0.0056956427305620595,2.190412756262499,0.27908649379722866,0.0001,0.98,1.000000000000018e-18,0.0,298.0,22.5,8.0,0.7,0.41,0.025,0.078,1.2,0.155,11.676326153980419,19.096182567544183,6.450581250000005,3.352283979988655,1279500.495616276,1.0515,0.014900000000000002,1279500.495616276,19064.557384682514,19064.557384682514,0.0,106584.41799687322,1919.2507434244142,63975.02478081381,1279.500495616276,1151.5504460546485,10236.003964930209,3838.5014868488283,2559.000991232552,1.3644006445643495,1.0654805791845636,0.05487224982800514,0.2440478155517811,8.76937844679974e-21,1.0654805791845636,0.05487224982800514,0.2440478155517811,8.76937844679974e-21,0.0,0.0,1.122146771078881e-19,0.0024754139559722216,0.002469499250059728,1.0,1279500.495616276,1000.0,1000.0,0.05,22.5,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1168135.9981296784,0.0,0.0,-4.6549576292562585e-38,-3.188866557807013e-35,1228295.002033357,17405.226372132212,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,2.1906318194444436,0.28478213652777773,0.00021906318194449436,0.0056956427305620595,2.190412756262499,0.27908649379722866,0.0001,0.98,1.000000000000018e-18,0.0,298.0,25.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,10.508693538582378,17.434098978805455,7.167312500000006,3.724759977765172,1168135.9981296784,1.0515,0.014900000000000002,1168135.9981296784,17405.226372132212,17405.226372132212,-3.188866557807013e-35,97307.57895633331,1752.2039971945176,58406.799906483924,1168.1359981296785,1051.3223983167106,9345.087985037428,3504.407994389035,2336.271996259357,1.2456466521486507,0.9727438356747719,0.05009630753725095,0.22280650893662782,8.76937844679974e-21,0.9727438356747719,0.05009630753725095,0.22280650893662782,8.76937844679974e-21,-4.082108500164842e-40,-5.223545673178819e-39,1.122146771078881e-19,0.0024754139559722216,0.002469499250059728,1.0,1168135.9981296784,1000.0,1000.0,0.05,25.0,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2445806.221840725,0.0,0.0,0.0,0.0,2571765.242265522,36442.5127054268,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,3.040060484126983,0.3952078629365079,0.00030400604841276767,0.007904157258739185,3.03975647807857,0.3873037056777867,0.0001,0.98,1.000000000000018e-18,0.0,298.0,15.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,24.305821789918422,36.50296525646131,4.300387500000004,2.2348559866591033,2445806.221840725,1.0515,0.014900000000000002,2445806.221840725,36442.5127054268,36442.5127054268,0.0,203739.53240437416,3668.7093327610874,122290.31109203625,2445.806221840725,2201.2255996566523,19566.4497747258,7337.418665522175,4891.61244368145,1.879362990532536,1.4676222674242507,0.07558254677234912,0.3361581763359365,6.319110939605695e-21,1.4676222674242507,0.07558254677234912,0.3361581763359365,6.319110939605695e-21,0.0,0.0,8.086057615127231e-20,0.003435268347063491,0.003427060183756357,1.0,2445806.221840725,1000.0,1000.0,0.06938775510204082,15.0,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2130162.4101593844,0.0,0.0,2.841160662387853e-42,1.946425992960782e-39,2239865.774282593,31739.41991137483,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,3.040060484126983,0.3952078629365079,0.00030400604841276767,0.007904157258739185,3.03975647807857,0.3873037056777867,0.0001,0.98,1.000000000000018e-18,0.0,298.0,17.5,8.0,0.7,0.41,0.025,0.078,1.2,0.155,20.83356153421579,31.79207075127458,5.017118750000004,2.6073319844356204,2130162.4101593844,1.0515,0.014900000000000002,2130162.4101593844,31739.41991137483,31739.41991137483,1.946425992960782e-39,177445.90291565232,3195.2436152390765,106508.12050796923,2130.1624101593843,1917.146169143446,17041.299281275074,6390.487230478153,4260.324820318769,1.636821577166566,1.2782181018523922,0.06582823224539819,0.29277524306877556,6.319110939605695e-21,1.2782181018523922,0.06582823224539819,0.29277524306877556,6.319110939605695e-21,1.795449774430964e-44,2.2973788809900813e-43,8.086057615127231e-20,0.003435268347063491,0.003427060183756357,1.0,2130162.4101593844,1000.0,1000.0,0.06938775510204082,17.5,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1891384.8900367783,0.0,0.0,0.0,0.0,1988791.2118736724,28181.634861548,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,3.040060484126983,0.3952078629365079,0.00030400604841276767,0.007904157258739185,3.03975647807857,0.3873037056777867,0.0001,0.98,1.000000000000018e-18,0.0,298.0,20.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,18.22936634243882,28.22838388057077,5.733850000000005,2.9798079822121375,1891384.8900367785,1.0515,0.014900000000000002,1891384.8900367785,28181.634861548,28181.634861548,0.0,157555.35726897276,2837.0773350551676,94569.24450183893,1891.3848900367784,1702.2464010331007,15131.079120294227,5674.154670110335,3782.769780073557,1.4533443947625435,1.1349380650436955,0.05844931034975051,0.2599570193690978,6.319110939605695e-21,1.1349380650436955,0.05844931034975051,0.2599570193690978,6.319110939605695e-21,0.0,0.0,8.086057615127231e-20,0.003435268347063491,0.003427060183756357,1.0,1891384.8900367785,1000.0,1000.0,0.06938775510204082,20.0,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1704183.7107768268,0.0,0.0,0.0,0.0,1791949.1718818333,25392.33729057472,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,3.040060484126983,0.3952078629365079,0.00030400604841276767,0.007904157258739185,3.03975647807857,0.3873037056777867,0.0001,0.98,1.000000000000018e-18,0.0,298.0,22.5,8.0,0.7,0.41,0.025,0.078,1.2,0.155,16.20388119327895,25.43445929183056,6.450581250000005,3.352283979988655,1704183.7107768268,1.0515,0.014900000000000002,1704183.7107768268,25392.337290574724,25392.337290574724,0.0,141961.20251240116,2556.2755661652404,85209.18553884135,1704.183710776827,1533.7653396991443,13633.469686214616,5112.551132330481,3408.367421553654,1.309498588441706,1.0226067541178394,0.05266424783706881,0.23422758648679806,6.319110939605695e-21,1.0226067541178394,0.05266424783706881,0.23422758648679806,6.319110939605695e-21,0.0,0.0,8.086057615127231e-20,0.003435268347063491,0.003427060183756357,1.0,1704183.7107768268,1000.0,1000.0,0.06938775510204082,22.5,default,EvaporationPondZO,evaporation_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1553303.6205747244,0.0,0.0,0.0,0.0,1633298.7570343227,23144.223946563397,5406.0,465.0,1.07,0.931,217.5,60.0,5000.0,4000.0,3.040060484126983,0.3952078629365079,0.00030400604841276767,0.007904157258739185,3.03975647807857,0.3873037056777867,0.0001,0.98,1.000000000000018e-18,0.0,298.0,25.0,8.0,0.7,0.41,0.025,0.078,1.2,0.155,14.583493073951054,23.18261667185633,7.167312500000006,3.724759977765172,1553303.6205747244,1.0515,0.014900000000000002,1553303.6205747244,23144.223946563397,23144.223946563397,0.0,129392.65200647805,2329.955430862087,77665.18102873622,1553.3036205747244,1397.9732585172521,12426.428964597795,4659.910861724174,3106.607241149449,1.1935619884764668,0.9320701539104314,0.0480016129263874,0.21349022163964818,6.319110939605695e-21,0.9320701539104314,0.0480016129263874,0.21349022163964818,6.319110939605695e-21,0.0,0.0,8.086057615127231e-20,0.003435268347063491,0.003427060183756357,1.0,1553303.6205747244,1000.0,1000.0,0.06938775510204082,25.0,default,EvaporationPondZO,evaporation_pond
