fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.feed_water_tank.capital_a_parameter[default],fs.costing.feed_water_tank.capital_b_parameter[default],fs.costing.feed_water_tank.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[FeedWaterTankZO],fs.costing.LCOW_aggregate_indirect_capex[FeedWaterTankZO],fs.costing.LCOW_aggregate_fixed_opex[FeedWaterTankZO],fs.costing.LCOW_aggregate_variable_opex[FeedWaterTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,98502.34992955741,0.0,0.0,0.0,0.0,103575.22095092962,1467.6850139504054,2000000.0,0.7,1736.111111,4.381263638888887,0.0004381263638888888,5.218206108982621e-17,0.0,98502.34992955792,1.0515,0.014900000000000002,98502.34992955792,1467.6850139504056,1467.6850139504056,0.0,8205.401775565106,147.75352489433612,4925.117496477871,98.50234992955741,88.65211493660168,788.0187994364593,295.50704978867225,197.00469985911482,0.05934075524615176,0.04634007065359281,0.0023865136386600275,0.01061417095389923,2.5852054457988823e-19,0.04634007065359281,0.0023865136386600275,0.01061417095389923,2.5852054457988823e-19,0.0,0.0,3.3080793139192497e-18,1.0,98502.34992955792,0.1,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,468934.43621572084,0.0,0.0,9.8607612905526e-32,6.755088767245421e-29,493084.5596808305,6987.123099614241,2000000.0,0.7,1736.111111,40.70924131134258,0.004070924131134258,3.7694835252461893e-23,0.0,468934.43621572084,1.0515,0.014900000000000002,468934.43621572084,6987.123099614241,6987.123099614241,6.755088767245421e-29,39062.98132277854,703.4016543235813,23446.721810786043,468.93443621572084,422.0409925941488,3751.4754897257667,1406.8033086471626,937.8688724314417,0.030403598097711402,0.02374261800556956,0.0012227448272868321,0.005438235264855012,2.0098426660025575e-26,0.02374261800556956,0.0012227448272868321,0.005438235264855012,2.0098426660025575e-26,5.257637718346225e-35,6.7277757767402705e-34,2.5718338782087724e-25,1.0,468934.43621572084,0.9291666666666666,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,732853.9582468929,0.0,0.0,9.860761290552522e-32,6.755088767245367e-29,770595.937096608,10919.523977878705,2000000.0,0.7,1736.111111,77.03721898379627,0.007703721898379629,3.7694835252461893e-23,0.0,732853.9582468929,1.0515,0.014900000000000002,732853.9582468929,10919.523977878705,10919.523977878705,6.755088767245367e-29,61047.895553043585,1099.2809373703394,36642.69791234464,732.853958246893,659.5685624222036,5862.831665975144,2198.561874740679,1465.707916493786,0.025108612056580437,0.019607685340186812,0.001009795795019623,0.004491130921374001,1.0620732571530105e-26,0.019607685340186812,0.001009795795019623,0.004491130921374001,1.0620732571530105e-26,2.778325145002841e-35,3.5551990478982666e-34,1.3590496560202756e-25,1.0,732853.9582468929,1.7583333333333333,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,960423.6422744696,0.0,0.0,0.0,0.0,1009885.4598516049,14310.312269889599,2000000.0,0.7,1736.111111,113.36519665624996,0.011336519665624998,3.7694835252461893e-23,0.0,960423.6422744696,1.0515,0.014900000000000002,960423.6422744696,14310.312269889599,14310.312269889599,0.0,80004.81069994153,1440.6354634117044,48021.18211372348,960.4236422744697,864.3812780470228,7683.389138195757,2881.270926823409,1920.8472845489393,0.02236088365015432,0.017461943716870904,0.0008992901014188556,0.00399964983186456,7.217309412537365e-27,0.017461943716870904,0.0008992901014188556,0.00399964983186456,7.217309412537365e-27,0.0,0.0,9.23540990081411e-26,1.0,960423.6422744696,2.5875,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1166724.7718167864,0.0,0.0,-4.860384608167342e-31,-3.3295937812202338e-28,1226811.097565351,17384.19910007012,2000000.0,0.7,1736.111111,149.69317432870363,0.014969317432870366,3.7694835252461893e-23,0.0,1166724.7718167864,1.0515,0.014900000000000002,1166724.7718167864,17384.19910007012,17384.19910007012,-3.3295937812202338e-28,97190.0215691054,1750.0871577251796,58336.23859083932,1166.7247718167864,1050.0522946351077,9333.798174534291,3500.1743154503592,2333.449543633573,0.020571799657130133,0.016064821649616312,0.000827338314955244,0.003679639692558577,5.465791640470372e-27,0.016064821649616312,0.000827338314955244,0.003679639692558577,5.465791640470372e-27,-7.047609939893494e-35,-9.018259145563066e-34,6.994133595616542e-26,1.0,1166724.7718167864,3.4166666666666665,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1358378.0368893298,0.0,0.0,0.0,0.0,1428334.5057891305,20239.832749651017,2000000.0,0.7,1736.111111,186.02115200115733,0.018602115200115732,3.7694835252461893e-23,0.0,1358378.0368893298,1.0515,0.014900000000000002,1358378.0368893298,20239.832749651017,20239.832749651017,0.0,113155.04212591155,2037.5670553339946,67918.9018444665,1358.37803688933,1222.5402332003969,10867.02429511464,4075.1341106679893,2716.75607377866,0.01927365969986929,0.015051085018051951,0.0007751308784296774,0.00344744380338766,4.398379926580671e-27,0.015051085018051951,0.0007751308784296774,0.00344744380338766,4.398379926580671e-27,0.0,0.0,5.628252746227246e-26,1.0,1358378.0368893298,4.245833333333333,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1539046.7920868623,0.0,0.0,-4.8603846081816915e-31,-3.329593781231254e-28,1618307.7018793358,22931.79720209425,2000000.0,0.7,1736.111111,222.349129673611,0.022234912967361103,3.7694835252461893e-23,0.0,1539046.7920868623,1.0515,0.014900000000000002,1539046.7920868623,22931.79720209425,22931.79720209425,-3.329593781231254e-28,128205.03561080943,2308.5701881302934,76952.33960434311,1539.0467920868623,1385.1421128781762,12312.374336694898,4617.140376260587,3078.0935841737246,0.01826931464034934,0.01426677715365619,0.0007347390234132933,0.0032677984632798586,3.679761202943928e-27,0.01426677715365619,0.0007347390234132933,0.0032677984632798586,3.679761202943928e-27,-4.7446963470704364e-35,-6.071405992925735e-34,4.7086942105135994e-26,1.0,1539046.7920868623,5.074999999999999,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1711029.9730370631,0.0,0.0,0.0,0.0,1799148.016648472,25494.346598252243,2000000.0,0.7,1736.111111,258.6771073460647,0.025867710734606475,3.7694835252461893e-23,0.0,1711029.9730370631,1.0515,0.014900000000000002,1711029.9730370631,25494.346598252243,25494.346598252243,0.0,142531.50700306866,2566.5449595555947,85551.49865185317,1711.0299730370632,1539.926975733357,13688.239784296506,5133.089919111189,3422.0599460741264,0.01745844209633652,0.013633554829054088,0.0007021280736962876,0.0031227591935861455,3.1629845767012737e-27,0.013633554829054088,0.0007021280736962876,0.0031227591935861455,3.1629845767012737e-27,0.0,0.0,4.0474167596369543e-26,1.0,1711029.9730370631,5.904166666666666,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1875891.3106977679,0.0,0.0,0.0,0.0,1972499.713198703,27950.780529396747,2000000.0,0.7,1736.111111,295.00508501851834,0.029500508501851843,3.7694835252461893e-23,0.0,1875891.3106977679,1.0515,0.014900000000000002,1875891.3106977679,27950.780529396743,27950.780529396743,0.0,156264.7175684063,2813.836966046652,93794.5655348884,1875.891310697768,1688.3021796279913,15007.130485582144,5627.673932093304,3751.782621395536,0.016783558048615952,0.013106527926133406,0.0006749861881958705,0.003002043934286676,2.7734833819218474e-27,0.013106527926133406,0.0006749861881958705,0.003002043934286676,2.7734833819218474e-27,0.0,0.0,3.549003433419285e-26,1.0,1875891.3106977679,6.7333333333333325,default,FeedWaterTankZO,feed_water_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2034756.117047377,0.0,0.0,1.4895864413620027e-36,1.0204373010759365e-33,2139546.0570753175,30317.86614400592,2000000.0,0.7,1736.111111,331.3330626909721,0.03313330626909721,3.7694835252461893e-23,0.0,2034756.117047377,1.0515,0.014900000000000002,2034756.117047377,30317.86614400592,30317.86614400592,1.0204373010759365e-33,169498.40757710263,3052.1341755710655,101737.80585236885,2034.756117047377,1831.2805053426393,16278.048936379017,6104.268351142131,4069.512234094754,0.016208896648244757,0.012657766366146,0.0006518749678565212,0.0028992553142422324,2.4693934684218756e-27,0.012657766366146,0.0006518749678565212,0.0028992553142422324,2.4693934684218756e-27,9.75829978911735e-41,1.2486910749728078e-39,3.1598840487082994e-26,1.0,2034756.117047377,7.562499999999999,default,FeedWaterTankZO,feed_water_tank
