fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_activated_carbon,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[activated_carbon],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.gac.contactor_cost_coeff_0[gravity],fs.costing.gac.contactor_cost_coeff_1[gravity],fs.costing.gac.contactor_cost_coeff_2[gravity],fs.costing.gac.contactor_cost_coeff_3[gravity],fs.costing.gac.adsorbent_unit_cost_coeff[gravity],fs.costing.gac.adsorbent_unit_cost_exp_coeff[gravity],fs.costing.gac.other_cost_coeff[gravity],fs.costing.gac.other_cost_exp[gravity],fs.costing.gac.bed_mass_max_ref[gravity],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.empty_bed_contact_time,fs.unit.electricity[0.0],fs.unit.electricity_intensity_parameter,fs.unit.energy_electric_flow_vol_inlet,fs.unit.activated_carbon_replacement,fs.unit.activated_carbon_demand[0.0],fs.unit.activated_carbon_bulk_density,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[GACZO],fs.costing.LCOW_aggregate_indirect_capex[GACZO],fs.costing.LCOW_aggregate_fixed_opex[GACZO],fs.costing.LCOW_aggregate_variable_opex[GACZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[activated_carbon],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.gac.contactor_cost_coeff_0[pressure_vessel],fs.costing.gac.contactor_cost_coeff_1[pressure_vessel],fs.costing.gac.contactor_cost_coeff_2[pressure_vessel],fs.costing.gac.contactor_cost_coeff_3[pressure_vessel],fs.costing.gac.adsorbent_unit_cost_coeff[pressure_vessel],fs.costing.gac.adsorbent_unit_cost_exp_coeff[pressure_vessel],fs.costing.gac.other_cost_coeff[pressure_vessel],fs.costing.gac.other_cost_exp[pressure_vessel],fs.costing.gac.bed_mass_max_ref[pressure_vessel]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,345717.35945813276,0.0,0.0,1.3716891085913225,8.689713822898238,939.672041191747,370831.9809499632,363521.80347022665,376922.8416470812,,,,,,,,,,43.812636388888876,0.004381263638888888,42.06013093333332,0.0039431372749999995,1.7525054555555555,0.00043812636388888886,0.96,0.1,0.16666666666666666,1.3716891085913225,0.0521749,0.008695816666666667,0.0550884,8.689713822898238,500.0,345717.35945813276,1.0515,0.0149,345717.35945813276,5151.188655926178,5151.188655926178,371771.65299115493,400570.4566457897,518.5760391871992,17285.86797290664,345.71735945813276,311.1456235123195,2765.738875665062,1037.1520783743983,691.4347189162655,0.2896890862485524,0.016264146870526658,0.0008376035638321238,0.003725295038791893,0.26886204077540166,0.016264146870526658,0.0008376035638321238,0.003725295038791893,0.26886204077540166,0.0006795626848408778,0.2681824780905608,0.008695816666666667,0.008695816666666667,1.0,345717.35945813276,1.0,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,586967.4834792758,0.0,0.0,3.1043490352329925,19.66619444129601,2126.626198486585,839251.3253078114,617196.3088784586,850123.7670101392,,,,,,,,,,99.1549139327485,0.00991549139327485,95.18871737543856,0.008923942253947364,3.9661965573099565,0.0009915491393274853,0.96,0.1,0.16666666666666666,3.1043490352329925,0.0521749,0.008695816666666667,0.0550884,19.66619444129601,500.0,586967.4834792758,1.0515,0.0149,586967.4834792758,8745.81550384121,8745.81550384121,841377.9515062979,890273.2726289326,880.4512252189138,29348.37417396379,586.9674834792759,528.2707351313483,4695.739867834207,1760.9024504378276,1173.9349669585517,0.284486524157531,0.012201389430423676,0.0006283715556668204,0.0027947223960387967,0.2688620407754017,0.012201389430423676,0.0006283715556668204,0.0027947223960387967,0.2688620407754017,0.0006795626848408778,0.2681824780905608,0.008695816666666667,0.008695816666666667,1.0,586967.4834792758,2.263157894736842,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,807083.5042430821,0.0,0.0,4.8370089618746634,30.642675059693783,3313.580355781423,1307670.6696656598,848648.3047116009,1323009.794234663,,,,,,,,,,154.49719147660812,0.015449719147660813,148.3173038175438,0.013904747232894726,6.179887659064327,0.001544971914766077,0.96,0.1,0.16666666666666666,4.8370089618746634,0.0521749,0.008695816666666667,0.0550884,30.642675059693783,500.0,807083.5042430821,1.0515,0.0149,807083.5042430821,12025.544213221923,12025.544213221923,1310984.2500214411,1378215.5843345965,1210.6252563646233,40354.17521215411,807.0835042430822,726.375153818774,6456.6680339446575,2421.2505127292466,1614.1670084861644,0.28265011927229644,0.010767313780773221,0.0005545166597098229,0.0024662480564116543,0.26886204077540177,0.010767313780773221,0.0005545166597098229,0.0024662480564116543,0.26886204077540177,0.0006795626848408778,0.2681824780905609,0.008695816666666667,0.008695816666666667,1.0,807083.5042430821,3.526315789473684,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1012442.8675892099,0.0,0.0,6.569668888516333,41.61915567809155,4500.534513076261,1776090.0140235077,1064583.6752700545,1795675.9472636634,,,,,,,,,,209.83946902046773,0.020983946902046774,201.44589025964905,0.018885552211842103,8.393578760818702,0.002098394690204678,0.96,0.1,0.16666666666666666,6.569668888516333,0.0521749,0.008695816666666667,0.0550884,41.61915567809155,500.0,1012442.8675892099,1.0515,0.0149,1012442.8675892099,15085.398727079228,15085.398727079228,1780590.548536584,1864928.6431030156,1518.664301383815,50622.1433794605,1012.44286758921,911.1985808302891,8099.54294071368,3037.32860276763,2024.88573517842,0.28159675524351785,0.009944726280579247,0.0005121534034498303,0.0022778347840869922,0.26886204077540177,0.009944726280579247,0.0005121534034498303,0.0022778347840869922,0.26886204077540177,0.0006795626848408778,0.26818247809056084,0.008695816666666667,0.008695816666666667,1.0,1012442.8675892099,4.789473684210526,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1207668.4999994677,0.0,0.0,8.302328815158003,52.595636296489324,5687.488670371099,2244509.3583813556,1269863.4277494405,2268191.1077017193,,,,,,,,,,265.1817465643274,0.02651817465643274,254.5744767017543,0.02386635719078947,10.607269862573085,0.0026518174656432825,0.96,0.1,0.16666666666666666,8.302328815158003,0.0521749,0.008695816666666667,0.0550884,52.595636296489324,500.0,1207668.4999994677,1.0515,0.0149,1207668.4999994677,17994.26064999207,17994.26064999207,2250196.8470517267,2350797.5460327794,1811.5027499992016,60383.42499997339,1207.6684999994677,1086.9016499995212,9661.347999995742,3623.005499998403,2415.3369999989354,0.2808821932642456,0.009386714295924078,0.0004834157862400906,0.0021500224066797655,0.2688620407754017,0.009386714295924078,0.0004834157862400906,0.0021500224066797655,0.2688620407754017,0.0006795626848408778,0.2681824780905608,0.008695816666666667,0.008695816666666667,1.0,1207668.4999994677,6.052631578947368,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1395719.5789041035,0.0,0.0,10.034988741799676,63.57211691488712,6874.442827665939,2712928.702739205,1467599.1372176649,2740599.3672925425,,,,,,,,,,320.52402410818706,0.032052402410818706,307.7030631438596,0.02884716216973683,12.820960964327487,0.003205240241081881,0.96,0.1,0.16666666666666666,10.034988741799676,0.0521749,0.008695816666666667,0.0550884,63.57211691488712,500.0,1395719.5789041035,1.0515,0.0149,1395719.5789041035,20796.22172567114,20796.22172567114,2719803.145566871,2836068.7972911275,2093.579368356155,69785.97894520518,1395.7195789041036,1256.1476210136932,11165.756631232829,4187.15873671231,2791.4391578082073,0.2803553065456163,0.008975260689267987,0.0004622259254973018,0.002055779155449255,0.2688620407754017,0.008975260689267987,0.0004622259254973018,0.002055779155449255,0.2688620407754017,0.0006795626848408777,0.26818247809056084,0.008695816666666667,0.008695816666666667,1.0,1395719.5789041035,7.315789473684211,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1578869.351976076,0.0,0.0,11.767648668441344,74.54859753328488,8061.396984960776,3181348.047097053,1660181.123602844,3212934.5974264573,,,,,,,,,,375.8663016520466,0.037586630165204665,360.8316495859647,0.0338279671486842,15.034652066081925,0.003758663016520455,0.96,0.1,0.16666666666666666,11.767648668441344,0.0521749,0.008695816666666667,0.0550884,74.54859753328488,500.0,1578869.351976076,1.0515,0.0149,1578869.351976076,23525.15334444353,23525.15334444353,3189409.444082014,3320931.7620100086,2368.304027964114,78943.4675988038,1578.869351976076,1420.9824167784684,12630.954815808607,4736.608055928228,3157.738703952152,0.2799491587593424,0.008658093894985345,0.0004458918355917459,0.0019831322533635514,0.26886204077540177,0.008658093894985345,0.0004458918355917459,0.0019831322533635514,0.26886204077540177,0.0006795626848408778,0.2681824780905609,0.008695816666666667,0.008695816666666667,1.0,1578869.351976076,8.578947368421051,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1759047.9129479742,0.0,0.0,13.500308595083013,85.52507815168264,9248.351142255613,3649767.3914549006,1849638.880464795,3685225.556500081,,,,,,,,,,431.2085791959062,0.04312085791959063,413.96023602806997,0.03880877212763157,17.248343167836254,0.004312085791959051,0.96,0.1,0.16666666666666666,13.500308595083013,0.0521749,0.008695816666666667,0.0550884,85.52507815168264,500.0,1759047.9129479742,1.0515,0.0149,1759047.9129479742,26209.813902924816,26209.813902924816,3659015.742597156,3805547.220054592,2638.5718694219613,87952.39564739872,1759.0479129479743,1583.1431216531769,14072.383303583794,5277.143738843923,3518.0958258959486,0.2796290761856067,0.008408136694063855,0.00043301903974429014,0.001925879676396815,0.2688620407754017,0.008408136694063855,0.00043301903974429014,0.001925879676396815,0.2688620407754017,0.0006795626848408778,0.26818247809056084,0.008695816666666667,0.008695816666666667,1.0,1759047.9129479742,9.842105263157894,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1937991.588466323,0.0,0.0,15.232968521724684,96.50155877008042,10435.305299550451,4118186.7358127492,2037798.1552723388,4157498.115780448,,,,,,,,,,486.5508567397659,0.04865508567397659,467.0888224701752,0.04378957710657892,19.462034269590717,0.004865508567397659,0.96,0.1,0.16666666666666666,15.232968521724684,0.0521749,0.008695816666666667,0.0550884,96.50155877008042,500.0,1937991.588466323,1.0515,0.0149,1937991.588466323,28876.074668148212,28876.074668148212,4128622.0411122995,4290059.810184854,2906.9873826994844,96899.57942331616,1937.991588466323,1744.1924296196908,15503.932707730584,5813.974765398969,3875.983176932646,0.27937510969255097,0.008209810515318248,0.0004228052415388902,0.0018804531602920915,0.2688620407754017,0.008209810515318248,0.0004228052415388902,0.0018804531602920915,0.2688620407754017,0.0006795626848408778,0.26818247809056084,0.008695816666666667,0.008695816666666667,1.0,1937991.588466323,11.105263157894736,pressure_vessel,GACZO,gac,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2117317.7163948426,0.0,0.0,16.965628448366353,107.47803938847818,11622.259456845288,4586606.080170597,2226359.5787891774,4629776.373601725,,,,,,,,,,541.8931342836255,0.054189313428362564,520.2174089122805,0.04877038208552633,21.675725371345024,0.005418931342836257,0.96,0.1,0.16666666666666666,16.965628448366353,0.0521749,0.008695816666666667,0.0550884,107.47803938847818,500.0,2117317.7163948426,1.0515,0.0149,2117317.7163948426,31548.033974283157,31548.033974283157,4598228.339627442,4774604.2592066815,3175.976574592264,105865.88581974214,2117.3177163948426,1905.5859447553585,16938.54173115874,6351.953149184528,4234.635432789685,0.2791748800211262,0.008053448212845355,0.000414752582961537,0.0018446384499175854,0.2688620407754017,0.008053448212845355,0.000414752582961537,0.0018446384499175854,0.2688620407754017,0.0006795626848408778,0.26818247809056084,0.008695816666666667,0.008695816666666667,1.0,2117317.7163948426,12.368421052631579,pressure_vessel,GACZO,gac,,,,,,,,,
