fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.gas_mass_influent_ratio[0.0],fs.unit.flow_mass_gas_extraction[0.0],fs.unit.electricity[0.0],fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[GasSpargedMembraneZO],fs.costing.LCOW_aggregate_indirect_capex[GasSpargedMembraneZO],fs.costing.LCOW_aggregate_fixed_opex[GasSpargedMembraneZO],fs.costing.LCOW_aggregate_variable_opex[GasSpargedMembraneZO],fs.unit.properties_in[0.0].flow_vol,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.381263638888887,0.0004381263638888888,4.28925710247222,0.00039431372749999994,0.09020237071482397,4.3812636388888886e-05,0.979,0.1,0.00041175,0.0018041657018428307,1.6145994443089773,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004381701765252776,100,0.9,0.9,0.1,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.70924131134258,0.004070924131134258,39.85434724380438,0.0036638317180208305,0.83813036122524,0.00040709241311342586,0.979,0.1,0.00041175,0.016763706312956303,15.002319836704247,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071331223547372,100,0.9,0.9,0.9291666666666666,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,77.03721898379627,0.007703721898379629,75.41943738513655,0.006933349708541666,1.5860583517356428,0.0007703721898379629,0.979,0.1,0.00041175,0.03172324692406977,28.390040229099515,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07704492270569464,100,0.9,0.9,1.7583333333333333,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,113.36519665624996,0.011336519665624998,110.98452752646871,0.010202867699062496,2.333986342246054,0.0011336519665625,0.979,0.1,0.00041175,0.04668278753518324,41.77776062149479,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11337653317591559,100,0.9,0.9,2.5875,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,149.69317432870363,0.014969317432870366,146.54961766780085,0.013472385689583335,3.081914332756486,0.0014969317432870367,0.979,0.1,0.00041175,0.06164232814629671,55.16548101389004,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1497081436461365,100,0.9,0.9,3.4166666666666665,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,186.02115200115733,0.018602115200115732,182.11470780913302,0.016741903680104163,3.8298423232668646,0.0018602115200115736,0.979,0.1,0.00041175,0.07660186875741018,68.55320140628531,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18603975411635745,100,0.9,0.9,4.245833333333333,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,222.349129673611,0.022234912967361103,217.67979795046517,0.020011421670624994,4.577770313777273,0.0022234912967361176,0.979,0.1,0.00041175,0.09156140936852364,81.94092179868058,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22237136458657836,100,0.9,0.9,5.074999999999999,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,258.6771073460647,0.025867710734606475,253.24488809179735,0.02328093966114583,5.325698304287691,0.002586771073460648,0.979,0.1,0.00041175,0.10652094997963711,95.32864219107586,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2587029750567993,100,0.9,0.9,5.904166666666666,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,295.00508501851834,0.029500508501851843,288.80997823312947,0.02655045765166665,6.073626294798043,0.0029500508501851754,0.979,0.1,0.00041175,0.12148049059075056,108.7163625834711,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29503458552702017,100,0.9,0.9,6.7333333333333325,default,GasSpargedMembraneZO,gas_sparged_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,331.3330626909721,0.03313330626909721,324.3750683744617,0.029819975642187486,6.821554285308553,0.0033133306269097318,0.979,0.1,0.00041175,0.13644003120186407,122.10408297586639,1.0515,0.0149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313661959972412,100,0.9,0.9,7.562499999999999,default,GasSpargedMembraneZO,gas_sparged_membrane
