fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.injection_well_disposal.capital_a_parameter[default],fs.costing.injection_well_disposal.capital_b_parameter[default],fs.costing.injection_well_disposal.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[InjectionWellDisposalZO],fs.costing.LCOW_aggregate_indirect_capex[InjectionWellDisposalZO],fs.costing.LCOW_aggregate_fixed_opex[InjectionWellDisposalZO],fs.costing.LCOW_aggregate_variable_opex[InjectionWellDisposalZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2834661.9877528907,0.0,0.0,6.46099782649164,4426.08968586896,2980647.080122165,46662.55330338704,22500000.0,0.7,473.176473,4.381263638888887,0.0004381263638888888,6.46099782649164,0.409594654,2834661.9877528907,1.0515,0.014900000000000002,2834661.9877528907,42236.46361751808,42236.46361751808,4426.08968586896,240557.92333316998,4251.992981629336,141733.09938764453,2834.6619877528906,2551.1957889776018,22677.295902023125,8503.985963258672,5669.323975505781,1.7396940748892298,1.333556375918557,0.0686781533598059,0.30545044819789124,0.03200909741297563,1.333556375918557,0.0686781533598059,0.30545044819789124,0.03200909741297563,0.03200909741297563,0.409594654,0.409594654,1.0,2834661.9877528907,0.1,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13494811.261250507,0.0,0.0,60.033438137818166,41125.74999786576,14189794.041204909,242198.43779049834,22500000.0,0.7,473.176473,40.70924131134258,0.004070924131134258,60.033438137818166,0.409594654,13494811.261250507,1.0515,0.014900000000000002,13494811.261250507,201072.68779263258,201072.68779263258,41125.74999786576,1165264.9036644348,20242.21689187576,674740.5630625254,13494.811261250507,12145.330135125458,107958.49009000405,40484.43378375152,26989.622522501013,0.9069519173571841,0.6832557476877996,0.03518767100592171,0.1564994012504871,0.03200909741297563,0.6832557476877996,0.03518767100592171,0.1564994012504871,0.03200909741297563,0.03200909741297563,0.409594654,0.409594654,1.0,13494811.261250507,0.9291666666666666,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21089783.741223633,0.0,0.0,113.60587844914468,77825.41030986255,22175907.60389665,392063.1880540947,22500000.0,0.7,473.176473,77.03721898379627,0.007703721898379629,113.60587844914468,0.409594654,21089783.741223633,1.0515,0.014900000000000002,21089783.741223633,314237.77774423215,314237.77774423215,77825.41030986255,1834637.801895189,31634.67561183545,1054489.1870611818,21089.783741223633,18980.80536710127,168718.26992978906,63269.3512236709,42179.567482447266,0.7545748860761042,0.5642622774116046,0.029059507286697654,0.12924400396482635,0.03200909741297564,0.5642622774116046,0.029059507286697654,0.12924400396482635,0.03200909741297564,0.03200909741297563,0.409594654,0.409594654,1.0,21089783.741223633,1.7583333333333333,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,27638694.841712374,0.0,0.0,167.1783187604712,114525.07062185934,29062087.626060564,526341.6237633738,22500000.0,0.7,473.176473,113.36519665624996,0.011336519665624998,167.1783187604712,0.409594654,27638694.841712374,1.0515,0.014900000000000002,27638694.841712374,411816.5531415144,411816.5531415144,114525.07062185934,2416872.1302673616,41458.04226256856,1381934.742085619,27638.694841712375,24874.82535754114,221109.558733699,82916.08452513712,55277.38968342475,0.6755018358195876,0.5025129666641704,0.025879417783204836,0.11510035395923669,0.032009097412975626,0.5025129666641704,0.025879417783204836,0.11510035395923669,0.032009097412975626,0.032009097412975626,0.40959465399999995,0.40959465399999995,1.0,27638694.841712374,2.5875,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,33575547.82402492,0.0,0.0,220.7507590717977,151224.73093385613,35304688.53696221,651500.3935118276,22500000.0,0.7,473.176473,149.69317432870363,0.014969317432870366,220.7507590717977,0.409594654,33575547.82402492,1.0515,0.014900000000000002,33575547.82402492,500275.6625779714,500275.6625779714,151224.73093385613,2948121.047903409,50363.32173603739,1678777.3912012463,33575.54782402492,30217.993041622434,268604.38259219937,100726.64347207478,67151.09564804984,0.6240162784542093,0.46230713584765165,0.02380881749615414,0.10589122769742783,0.03200909741297564,0.46230713584765165,0.02380881749615414,0.10589122769742783,0.03200909741297564,0.03200909741297564,0.409594654,0.409594654,1.0,33575547.82402492,3.4166666666666665,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,39090870.308395885,0.0,0.0,274.32319938312423,187924.39124585292,41104050.12927828,770378.3588409517,22500000.0,0.7,473.176473,186.02115200115733,0.018602115200115732,274.32319938312423,0.409594654,39090870.308395885,1.0515,0.014900000000000002,39090870.308395885,582453.9675950988,582453.9675950988,187924.39124585292,3444255.8073621313,58636.30546259383,1954543.5154197942,39090.87030839588,35181.7832775563,312726.96246716706,117272.61092518766,78181.74061679177,0.5866589159723801,0.4331342207127015,0.02230641236670418,0.09920918547999871,0.03200909741297564,0.4331342207127015,0.02230641236670418,0.09920918547999871,0.03200909741297564,0.03200909741297563,0.409594654,0.409594654,1.0,39090870.308395885,4.245833333333333,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,44290084.87636631,0.0,0.0,327.8956396944507,224624.0515578497,46571024.24749918,884546.3162157077,22500000.0,0.7,473.176473,222.349129673611,0.022234912967361103,327.8956396944507,0.409594654,44290084.87636631,1.0515,0.014900000000000002,44290084.87636631,659922.2646578581,659922.2646578581,224624.0515578497,3914058.276673887,66435.12731454946,2214504.2438183157,44290.08487636631,39861.076388729685,354320.6790109305,132870.25462909893,88580.16975273262,0.5577562678137873,0.4105637166436288,0.021144031407146966,0.09403942235003589,0.03200909741297563,0.4105637166436288,0.021144031407146966,0.09403942235003589,0.03200909741297563,0.03200909741297563,0.40959465400000006,0.40959465400000006,1.0,44290084.87636631,5.074999999999999,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,49239349.39564933,0.0,0.0,381.4680800057772,261323.71186984648,51775175.88952527,994990.0178650215,22500000.0,0.7,473.176473,258.6771073460647,0.025867710734606475,381.4680800057772,0.409594654,49239349.39564933,1.0515,0.014900000000000002,49239349.39564933,733666.305995175,733666.305995175,261323.71186984648,4363039.511012375,73859.024093474,2461967.4697824665,49239.34939564933,44315.4144560844,393914.79516519466,147718.048186948,98478.69879129867,0.5344212958149527,0.3923410929739424,0.02020556628815802,0.08986553913987669,0.03200909741297564,0.3923410929739424,0.02020556628815802,0.08986553913987669,0.03200909741297564,0.03200909741297563,0.409594654,0.409594654,1.0,49239349.39564933,5.904166666666666,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,53983664.30236063,0.0,0.0,435.0405203171037,298023.37218184327,56763823.01393221,1102379.9702870168,22500000.0,0.7,473.176473,295.00508501851834,0.029500508501851843,435.0405203171037,0.409594654,53983664.30236063,1.0515,0.014900000000000002,53983664.30236063,804356.5981051736,804356.5981051736,298023.37218184327,4794948.117986137,80975.49645354095,2699183.215118032,53983.66430236063,48585.297872124574,431869.31441888504,161950.9929070819,107967.32860472126,0.5149997474195857,0.37717451949320047,0.01942448775389991,0.08639164275950967,0.03200909741297564,0.37717451949320047,0.01942448775389991,0.08639164275950967,0.03200909741297564,0.03200909741297564,0.409594654,0.409594654,1.0,53983664.30236063,6.7333333333333325,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,58555413.383199856,0.0,0.0,488.6129606284303,334723.0324938401,61571017.17243466,1207198.691903518,22500000.0,0.7,473.176473,331.3330626909721,0.03313330626909721,488.6129606284303,0.409594654,58555413.383199856,1.0515,0.014900000000000002,58555413.383199856,872475.659409678,872475.659409678,334723.0324938401,5212481.718322745,87833.12007479978,2927770.669159993,58555.413383199855,52699.87204487988,468443.30706559884,175666.24014959956,117110.82676639971,0.4984623670563149,0.3642602353510384,0.018759402120578566,0.08343363217172238,0.03200909741297564,0.3642602353510384,0.018759402120578566,0.08343363217172238,0.03200909741297564,0.03200909741297563,0.409594654,0.409594654,1.0,58555413.383199856,7.562499999999999,default,InjectionWellDisposalZO,injection_well_disposal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,62978895.09764832,0.0,0.0,542.1854009397567,371422.69280583685,66222308.19517722,1309808.2297607968,22500000.0,0.7,473.176473,367.6610403634258,0.036766104036342576,542.1854009397567,0.409594654,62978895.09764832,1.0515,0.014900000000000002,62978895.09764832,938385.5369549601,938385.5369549601,371422.69280583685,5617664.412185434,94468.34264647249,3148944.754882416,62978.895097648325,56681.0055878835,503831.1607811866,188936.68529294498,125957.79019529665,0.4841286514958578,0.3530668255428079,0.018182941515454635,0.08086978702461967,0.032009097412975626,0.3530668255428079,0.018182941515454635,0.08086978702461967,0.032009097412975626,0.032009097412975626,0.40959465399999995,0.40959465399999995,1.0,62978895.09764832,8.391666666666666,default,InjectionWellDisposalZO,injection_well_disposal
