fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.intrusion_mitigation.capital_a_parameter[default],fs.costing.intrusion_mitigation.capital_b_parameter[default],fs.costing.intrusion_mitigation.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_indirect_capex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_fixed_opex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_variable_opex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,303408.3770927843,0.0,0.0,0.8076247322549867,553.261213435126,319033.90851306275,5074.046032117612,44600000.0,1.0,4750.0,4.381263638888887,0.0004381263638888888,0.8076247322549867,0.051199332,303408.3770927843,1.0515,0.014900000000000002,303408.3770927843,4520.784818682487,4520.784818682487,553.261213435126,25827.659620162005,455.1125656391765,15170.418854639218,303.40837709278435,273.0675393835059,2427.267016742275,910.225131278353,606.8167541855687,0.18678339830536794,0.142737362524105,0.007350974169991403,0.03269392441511257,0.004001137196159013,0.142737362524105,0.007350974169991403,0.03269392441511257,0.004001137196159013,0.004001137196159012,0.051199332,0.051199332,1.0,303408.3770927843,0.1,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2819169.503820455,0.0,0.0,7.504179803869252,5140.718774834713,2964356.733267209,47146.3443817595,44600000.0,1.0,4750.0,40.70924131134258,0.004070924131134258,7.504179803869252,0.051199332,2819169.503820455,1.0515,0.014900000000000002,2819169.503820455,42005.62560692479,42005.62560692479,5140.718774834713,239982.00397067206,4228.754255730682,140958.47519102276,2819.1695038204552,2537.25255343841,22553.356030563642,8457.508511461365,5638.3390076409105,0.186783398305368,0.14273736252410502,0.007350974169991411,0.032693924415112575,0.004001137196159012,0.14273736252410502,0.007350974169991411,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,2819169.503820455,0.9291666666666666,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5334930.630548124,0.0,0.0,14.200734875483516,9728.176336234299,5609679.558021354,89218.64273140137,44600000.0,1.0,4750.0,77.03721898379627,0.007703721898379629,14.200734875483516,0.051199332,5334930.630548124,1.0515,0.014900000000000002,5334930.630548124,79490.46639516707,79490.46639516707,9728.176336234299,454136.348321182,8002.395945822186,266746.53152740625,5334.930630548124,4801.437567493313,42679.44504438499,16004.791891644372,10669.861261096248,0.186783398305368,0.14273736252410496,0.007350974169991438,0.03269392441511257,0.004001137196159013,0.14273736252410496,0.007350974169991438,0.03269392441511257,0.004001137196159013,0.004001137196159012,0.051199332,0.051199332,1.0,5334930.630548124,1.7583333333333333,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7850691.757275796,0.0,0.0,20.897289947097782,14315.633897633888,8255002.3827754995,131290.94108104327,44600000.0,1.0,4750.0,113.36519665624996,0.011336519665624998,20.897289947097782,0.051199332,7850691.757275796,1.0515,0.014900000000000002,7850691.757275796,116975.30718340937,116975.30718340937,14315.633897633888,668290.692671692,11776.037635913694,392534.5878637898,7850.691757275796,7065.622581548217,62805.534058206365,23552.075271827387,15701.383514551591,0.18678339830536794,0.14273736252410496,0.007350974169991414,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991414,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,7850691.757275796,2.5875,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10366452.884003462,0.0,0.0,27.593845018712038,18903.09145903347,10900325.207529642,173363.23943068506,44600000.0,1.0,4750.0,149.69317432870363,0.014969317432870366,27.593845018712038,0.051199332,10366452.884003462,1.0515,0.014900000000000002,10366452.884003462,154460.1479716516,154460.1479716516,18903.09145903347,882445.0370222018,15549.679326005195,518322.64420017315,10366.452884003462,9329.807595603117,82931.6230720277,31099.35865201039,20732.905768006924,0.18678339830536797,0.14273736252410496,0.007350974169991429,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991429,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,10366452.884003462,3.4166666666666665,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12882214.010731136,0.0,0.0,34.29040009032631,23490.54902043306,13545648.03228379,215435.53778032702,44600000.0,1.0,4750.0,186.02115200115733,0.018602115200115732,34.29040009032631,0.051199332,12882214.010731136,1.0515,0.014900000000000002,12882214.010731136,191944.98875989395,191944.98875989395,23490.54902043306,1096599.381372712,19323.321016096706,644110.7005365569,12882.214010731137,11593.992609658024,103057.7120858491,38646.64203219341,25764.428021462274,0.186783398305368,0.142737362524105,0.007350974169991426,0.032693924415112575,0.004001137196159012,0.142737362524105,0.007350974169991426,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,12882214.010731136,4.245833333333333,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,15397975.137458803,0.0,0.0,40.986955161940564,28078.00658183264,16190970.857037934,257507.8361299688,44600000.0,1.0,4750.0,222.349129673611,0.022234912967361103,40.986955161940564,0.051199332,15397975.137458803,1.0515,0.014900000000000002,15397975.137458803,229429.8295481362,229429.8295481362,28078.00658183264,1310753.7257232217,23096.962706188206,769898.7568729402,15397.975137458803,13858.177623712923,123183.80109967043,46193.92541237641,30795.950274917606,0.18678339830536794,0.142737362524105,0.007350974169991409,0.03269392441511257,0.004001137196159012,0.142737362524105,0.007350974169991409,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,15397975.137458803,5.074999999999999,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17913736.264186475,0.0,0.0,47.68351023355483,32665.464143232228,18836293.68179208,299580.1344796107,44600000.0,1.0,4750.0,258.6771073460647,0.025867710734606475,47.68351023355483,0.051199332,17913736.264186475,1.0515,0.014900000000000002,17913736.264186475,266914.6703363785,266914.6703363785,32665.464143232228,1524908.070073732,26870.604396279712,895686.8132093238,17913.736264186475,16122.36263776783,143309.8901134918,53741.208792559424,35827.47252837295,0.186783398305368,0.142737362524105,0.007350974169991424,0.032693924415112575,0.004001137196159012,0.142737362524105,0.007350974169991424,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,17913736.264186475,5.904166666666666,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,20429497.39091414,0.0,0.0,54.38006530516908,37252.92170463181,21481616.506546218,341652.4328292525,44600000.0,1.0,4750.0,295.00508501851834,0.029500508501851843,54.38006530516908,0.051199332,20429497.39091414,1.0515,0.014900000000000002,20429497.39091414,304399.5111246207,304399.5111246207,37252.92170463181,1739062.4144242413,30644.246086371208,1021474.869545707,20429.497390914137,18386.547651822726,163435.9791273131,61288.492172742415,40858.994781828274,0.18678339830536797,0.14273736252410496,0.007350974169991424,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991424,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,20429497.39091414,6.7333333333333325,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,22945258.517641816,0.0,0.0,61.07662037678336,41840.37926603141,24126939.33130037,383724.73117889446,44600000.0,1.0,4750.0,331.3330626909721,0.03313330626909721,61.07662037678336,0.051199332,22945258.517641816,1.0515,0.014900000000000002,22945258.517641816,341884.3519128631,341884.3519128631,41840.37926603141,1953216.7587747518,34417.887776462725,1147262.9258820908,22945.258517641818,20650.732665877636,183562.06814113454,68835.77555292545,45890.517035283636,0.18678339830536797,0.142737362524105,0.007350974169991399,0.03269392441511257,0.004001137196159012,0.142737362524105,0.007350974169991399,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,22945258.517641816,7.562499999999999,default,IntrusionMitigationZO,intrusion_mitigation
