fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_ion_exchange_resin,fs.costing.aggregate_flow_sodium_chloride,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[ion_exchange_resin],fs.costing.aggregate_flow_costs[sodium_chloride],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.ion_exchange.capital_a_parameter[default],fs.costing.ion_exchange.capital_b_parameter[default],fs.costing.ion_exchange.capital_c_parameter[default],fs.costing.ion_exchange.capital_d_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.NaCl_flowrate[0.0],fs.unit.NaCl_dose,fs.unit.resin_demand[0.0],fs.unit.resin_replacement,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[IonExchangeZO],fs.costing.LCOW_aggregate_indirect_capex[IonExchangeZO],fs.costing.LCOW_aggregate_fixed_opex[IonExchangeZO],fs.costing.LCOW_aggregate_variable_opex[IonExchangeZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[ion_exchange_resin],fs.costing.LCOW_aggregate_variable_opex[sodium_chloride],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.properties_in[0.0].conc_mass_comp[H2O],fs.unit.properties_in[0.0].conc_mass_comp[tds],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,tds,subtype,unit_class,unit,fs.costing.ion_exchange.capital_a_parameter[anion_exchange],fs.costing.ion_exchange.capital_b_parameter[anion_exchange],fs.costing.ion_exchange.capital_c_parameter[anion_exchange],fs.costing.ion_exchange.capital_d_parameter[anion_exchange]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,503597.54067632905,0.0,0.0,0.8549149048280609,7.010372323313331e-05,0.024036814103560584,585.6572226413857,20548.942930422054,81213.33633782412,529532.81402116,109851.53984696486,,,,,43.812636388888876,0.002190631819444444,43.812636388888876,0.002190631819444499,3.76948361321601e-20,5.54832832669131e-17,1.0,0.0,0.854914904828061,0.00542,0.024036814103560587,0.5486,7.010372323313442e-05,0.0016,503597.5406763291,1.0515,0.014900000000000002,503597.5406763291,7503.603356077304,7503.603356077304,102347.93649088756,144298.40932113852,755.3963110144936,25179.877033816454,503.59754067632906,453.2377866086962,4028.7803254106325,1510.7926220289871,1007.1950813526581,0.10436057784347288,0.023692746834515294,0.0012201764619775408,0.005426812297048206,0.07402084224993209,0.023692746834515294,0.0012201764619775408,0.005426812297048206,0.07402084224993209,0.0004235634090534979,0.014861560625514402,0.058735718215363955,0.0054199999999999995,0.00542,0.043814827020708325,999.9500024998749,0.04999750012499375,1.0,503597.5406763291,1000.0,1.0,50.0,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,504443.4452290217,0.0,0.0,0.8549194041552252,7.010409218165027e-05,0.024036940606783335,585.660304893708,20549.05107734592,81213.76375506556,530422.2826583164,109864.6824712176,,,,,43.812636388888876,0.0024212246425438593,43.812636388888876,0.00242122464254392,3.76948361321601e-20,6.132362887395659e-17,1.0,0.0,0.8549194041552253,0.00542,0.02403694060678334,0.5486,7.010409218165138e-05,0.0016,504443.4452290218,1.0515,0.014900000000000002,504443.4452290218,7516.2073339124245,7516.2073339124245,102348.47513730518,144369.41315669718,756.6651678435326,25222.172261451087,504.44344522902173,453.9991007061196,4035.547561832174,1513.3303356870651,1008.8868904580435,0.10441138026385732,0.02373241919359166,0.0012222195884699705,0.005435899231863839,0.07402084224993209,0.02373241919359166,0.0012222195884699705,0.005435899231863839,0.07402084224993209,0.0004235634090534979,0.014861560625514404,0.058735718215363955,0.0054199999999999995,0.00542,0.043815057613531425,999.9447398959531,0.05526010404688163,1.0,504443.4452290218,1000.0,1.0,55.26315789473684,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,505290.76348178735,0.0,0.0,0.8549239034823892,7.010446113016722e-05,0.024037067110006083,585.6633871460302,20549.159224269784,81214.191172307,531313.2378010994,109877.84615960144,,,,,43.812636388888876,0.0026518174656432743,43.812636388888876,0.002651817465643341,3.76948361321601e-20,6.716397448074824e-17,1.0,0.0,0.8549239034823893,0.00542,0.024037067110006086,0.5486,7.010446113016833e-05,0.0016,505290.7634817874,1.0515,0.014900000000000002,505290.7634817874,7528.832375878633,7528.832375878633,102349.01378372281,144440.5347557112,757.936145222681,25264.538174089368,505.29076348178734,454.76168713360863,4042.3261078542987,1515.872290445362,1010.5815269635747,0.10446226731838476,0.02377215764471809,0.0012242661187029846,0.005445001305031835,0.07402084224993209,0.02377215764471809,0.0012242661187029846,0.005445001305031835,0.07402084224993209,0.0004235634090534978,0.014861560625514402,0.058735718215363955,0.0054199999999999995,0.00542,0.04381528820635452,999.9394773474238,0.06052265257629144,1.0,505290.7634817874,1000.0,1.0,60.526315789473685,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,506139.4977852115,0.0,0.0,0.8549284028095537,7.010483007868418e-05,0.024037193613228838,585.6664693983527,20549.26737119365,81214.61858954844,532205.68192115,109891.03094714008,,,,,43.812636388888876,0.0028824102887426892,43.812636388888876,0.0028824102887427617,3.769483558365525e-20,7.300432014409831e-17,1.0,0.0,0.8549284028095538,0.00542,0.02403719361322884,0.5486,7.010483007868529e-05,0.0016,506139.49778521154,1.0515,0.014900000000000002,506139.49778521154,7541.478516999652,7541.478516999652,102349.55243014044,144511.7743139881,759.2092466778172,25306.974889260575,506.1394977852115,455.52554800669037,4049.115982281692,1518.4184933556344,1012.278995570423,0.1045132391473301,0.023811962297437313,0.0012263160583180213,0.005454118541642902,0.07402084224993209,0.023811962297437313,0.0012263160583180213,0.005454118541642902,0.07402084224993209,0.0004235634090534979,0.014861560625514404,0.058735718215363955,0.00542,0.00542,0.04381551879917762,999.9342148542859,0.06578514571409777,1.0,506139.49778521154,1000.0,1.0,65.78947368421052,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,506989.6504937674,0.0,0.0,0.854932902136718,7.010519902720114e-05,0.02403732011645159,585.6695516506751,20549.37551811752,81215.04600678988,533099.6174941964,109904.2368689152,,,,,43.812636388888876,0.0031130031118421046,43.812636388888876,0.003113003111842183,3.76948361321601e-20,7.884466569508573e-17,1.0,0.0,0.8549329021367181,0.00542,0.024037320116451592,0.5486,7.010519902720225e-05,0.0016,506989.65049376746,1.0515,0.014900000000000002,506989.65049376746,7554.145792357135,7554.145792357135,102350.09107655808,144583.1320276592,760.4844757406511,25349.48252468837,506.98965049376744,456.2906854443907,4055.9172039501395,1520.9689514813022,1013.9793009875349,0.10456429589119944,0.023851833261472645,0.0012283694129658423,0.005463250966829116,0.07402084224993208,0.023851833261472645,0.0012283694129658423,0.005463250966829116,0.07402084224993208,0.0004235634090534979,0.014861560625514402,0.05873571821536395,0.00542,0.00542,0.04381574939200072,999.9289524165388,0.07104758346117514,1.0,506989.65049376746,1000.0,1.0,71.05263157894737,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,507841.22396582534,0.0,0.0,0.8549374014638823,7.01055679757181e-05,0.024037446619674344,585.6726339029974,20549.483665041385,81215.47342403133,533995.0470000654,109917.46396006651,,,,,43.812636388888876,0.00334359593494152,43.812636388888876,0.003343595934941604,3.769483603971546e-20,8.468501152734174e-17,1.0,0.0,0.8549374014638824,0.00542,0.024037446619674347,0.5486,7.010556797571921e-05,0.0016,507841.2239658254,1.0515,0.014900000000000002,507841.2239658254,7566.8342370907985,7566.8342370907985,102350.62972297572,144654.60809318052,761.761835948738,25392.061198291267,507.84122396582535,457.05710156924283,4062.729791726603,1523.523671897476,1015.6824479316507,0.10461543769073085,0.02389177064672845,0.0012304261883065212,0.005472398605764018,0.07402084224993209,0.02389177064672845,0.0012304261883065212,0.005472398605764018,0.07402084224993209,0.0004235634090534979,0.014861560625514404,0.058735718215363955,0.00542,0.00542,0.04381597998482382,999.9236900341816,0.07630996581839808,1.0,507841.2239658254,1000.0,1.0,76.31578947368422,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,508694.2205636552,0.0,0.0,0.8549419007910466,7.010593692423506e-05,0.024037573122897095,585.6757161553197,20549.591811965252,81215.90084127277,534891.9729226836,109930.71225579179,,,,,43.812636388888876,0.003574188758040935,43.812636388888876,0.0035741887580410248,3.769483603971546e-20,9.052535715025185e-17,1.0,0.0,0.8549419007910467,0.00542,0.0240375731228971,0.5486,7.010593692423617e-05,0.0016,508694.22056365525,1.0515,0.014900000000000002,508694.22056365525,7579.543886398464,7579.543886398464,102351.16836939334,144726.2027073328,763.0413308454828,25434.711028182763,508.6942205636552,457.8247985072897,4069.553764509242,1526.0826616909656,1017.3884411273104,0.10466666468689417,0.023931774563290237,0.0012324863900094513,0.005481561483662638,0.07402084224993209,0.023931774563290237,0.0012324863900094513,0.005481561483662638,0.07402084224993209,0.0004235634090534979,0.014861560625514404,0.05873571821536396,0.00542,0.00542,0.04381621057764692,999.9184277072133,0.08157229278664109,1.0,508694.22056365525,1000.0,1.0,81.57894736842105,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,509548.6426534334,0.0,0.0,0.854946400118211,7.010630587275202e-05,0.024037699626119846,585.678798407642,20549.69995888912,81216.32825851422,535790.3977500852,109943.98179134712,,,,,43.812636388888876,0.00380478158114035,43.812636388888876,0.0038047815811404462,3.76948361321601e-20,9.636570251629868e-17,1.0,0.0,0.8549464001182111,0.00542,0.02403769962611985,0.5486,7.010630587275313e-05,0.0016,509548.64265343343,1.0515,0.014900000000000002,509548.64265343343,7592.274775536158,7592.274775536158,102351.70701581097,144797.91606722237,764.3229639801501,25477.43213267167,509.5486426534334,458.5937783880901,4076.389141227467,1528.6459279603002,1019.0972853068668,0.10471797702089176,0.023971845121424955,0.0012345500237533889,0.0054907396257815695,0.07402084224993209,0.023971845121424955,0.0012345500237533889,0.0054907396257815695,0.07402084224993209,0.00042356340905349784,0.014861560625514402,0.058735718215363955,0.0054199999999999995,0.00542,0.04381644117047002,999.9131654356332,0.08683456436677868,1.0,509548.64265343343,1000.0,1.0,86.84210526315789,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,510404.4926052522,0.0,0.0,0.8549508994453753,7.010667482126898e-05,0.0240378261293426,585.6818806599643,20549.808105812986,81216.75567575566,536690.3239744228,109957.27260204687,,,,,43.812636388888876,0.004035374404239765,43.812636388888876,0.004035374404239867,3.76948361321601e-20,1.0220604812325929e-16,1.0,0.0,0.8549508994453754,0.00542,0.024037826129342604,0.5486,7.01066748212701e-05,0.0016,510404.49260525225,1.0515,0.014900000000000002,510404.49260525225,7605.026939818258,7605.026939818258,102352.24566222861,144869.74837028162,765.6067389078783,25520.22463026261,510.4044926052522,459.364043344727,4083.2359408420175,1531.2134778157565,1020.8089852105044,0.10476937483415885,0.02401198243158148,0.001236617095226448,0.005499933057419077,0.07402084224993209,0.02401198243158148,0.001236617095226448,0.005499933057419077,0.07402084224993209,0.00042356340905349784,0.014861560625514404,0.05873571821536396,0.0054199999999999995,0.00542,0.04381667176329312,999.9079032194403,0.09209678055968532,1.0,510404.49260525225,1000.0,1.0,92.10526315789474,anion_exchange,IonExchangeZO,ion_exchange,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,511261.77279312344,0.0,0.0,0.8549553987725396,7.010704376978594e-05,0.024037952632565352,585.6849629122867,20549.916252736853,81217.1830929971,537591.7540919693,109970.58472326378,,,,,43.812636388888876,0.004265967227339181,43.812636388888876,0.004265967227339289,3.76948361321601e-20,1.0804639373030411e-16,1.0,0.0,0.8549553987725397,0.00542,0.024037952632565356,0.5486,7.010704376978706e-05,0.0016,511261.7727931235,1.0515,0.014900000000000002,511261.7727931235,7617.80041461754,7617.80041461754,102352.78430864625,144941.69981426952,766.8926591896852,25563.088639656173,511.26177279312344,460.13559551381115,4090.0941823449875,1533.7853183793704,1022.5235455862469,0.10482085826836385,0.02405218660439075,0.0012386876101261254,0.00550914180391512,0.07402084224993209,0.02405218660439075,0.0012386876101261254,0.00550914180391512,0.07402084224993209,0.00042356340905349784,0.014861560625514405,0.05873571821536396,0.0054199999999999995,0.00542,0.04381690235611622,999.9026410586337,0.09735894136623542,1.0,511261.7727931235,1000.0,1.0,97.36842105263159,anion_exchange,IonExchangeZO,ion_exchange,,,,
