fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.iron_and_manganese_removal.capital_blower_a_parameter[default],fs.costing.iron_and_manganese_removal.capital_backwash_a_parameter[default],fs.costing.iron_and_manganese_removal.capital_backwash_b_parameter[default],fs.costing.iron_and_manganese_removal.capital_filter_a_parameter[default],fs.costing.iron_and_manganese_removal.capital_filter_b_parameter[default],fs.costing.iron_and_manganese_removal.flow_exponent[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.air_water_ratio[0.0],fs.unit.flow_basis[0.0],fs.unit.air_flow_rate[0.0],fs.unit.electricity_intensity_parameter,fs.unit.filter_surf_area,fs.unit.num_filter_units,fs.unit.electricity[0.0],fs.unit.electricity_intensity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[IronManganeseRemovalZO],fs.costing.LCOW_aggregate_indirect_capex[IronManganeseRemovalZO],fs.costing.LCOW_aggregate_fixed_opex[IronManganeseRemovalZO],fs.costing.LCOW_aggregate_variable_opex[IronManganeseRemovalZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,311259.011486076,0.0,0.0,521.5347349059754,357276.0079758753,327288.850577609,361913.76724701776,100000.0,92947.0,292.44,21377.0,38.319,0.7,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,33.06267004407746,311259.011486076,1.0515,0.0149,91546.76808414,4637.759271142532,4637.759271142532,357276.0079758753,383204.37666286546,466.888517229114,15562.9505743038,311.259011486076,280.1331103374684,2490.072091888608,933.777034458228,622.518022972152,2.7713008755429493,0.04306784258609984,0.11090400144346567,0.03353987352806824,2.583789157985316,0.04306784258609984,0.11090400144346567,0.03353987352806824,2.583789157985316,2.583789157985316,33.06267004407746,33.06267004407746,3.4,91546.76808414,0.1,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1481792.7610119574,0.0,0.0,521.5347349059754,357276.0079758752,1558105.0882040733,379354.7201149534,100000.0,92947.0,292.44,21377.0,38.319,0.7,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,3.558314264833448,1481792.7610119574,1.0515,0.0149,435821.40029763454,22078.712139078165,22078.712139078165,357276.0079758752,480711.69210850925,2222.689141517936,74089.63805059787,1481.7927610119575,1333.6134849107618,11854.34208809566,4445.378283035872,2963.585522023915,0.37414873603657434,0.02206607198529358,0.056822341969329504,0.01718435889070658,0.2780759631912447,0.02206607198529358,0.056822341969329504,0.01718435889070658,0.2780759631912447,0.27807596319124467,3.5583142648334474,3.5583142648334474,3.4,435821.40029763454,0.9291666666666666,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2315755.9060338414,0.0,0.0,521.5347349059755,357276.0079758753,2435017.3351945844,391780.77097577957,100000.0,92947.0,292.44,21377.0,38.319,0.7,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059755,1.880341424307723,2315755.9060338414,1.0515,0.0149,681104.6782452475,34504.76299990424,34504.76299990424,357276.0079758753,550182.1430755381,3473.633859050762,115787.79530169208,2315.7559060338413,2084.1803154304575,18526.04724827073,6947.267718101524,4631.5118120676825,0.22628642422143241,0.01822312080664622,0.04692635838919469,0.01419159006908065,0.14694535495651087,0.01822312080664622,0.04692635838919469,0.01419159006908065,0.14694535495651087,0.14694535495651084,1.880341424307723,1.880341424307723,3.4,681104.6782452475,1.7583333333333333,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3034856.6680489318,0.0,0.0,521.5347349059754,357276.0079758752,3191151.7864534524,402495.3723298043,100000.0,92947.0,292.44,21377.0,38.319,0.7,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,1.2777843495295633,3034856.6680489318,1.0515,0.0149,892604.9023673328,45219.364353929086,45219.364353929086,357276.0079758752,610084.3755975896,4552.285002073398,151742.8334024466,3034.8566680489316,2731.371001244039,24278.853344391453,9104.570004146795,6069.713336097863,0.17051506803358663,0.01622889720793345,0.041791033200149444,0.012638551809646154,0.0998565858158576,0.01622889720793345,0.041791033200149444,0.012638551809646154,0.0998565858158576,0.09985658581585759,1.2777843495295633,1.2777843495295633,3.4,892604.9023673328,2.5875,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3686750.6146981553,0.0,0.0,521.5347349059755,357276.0079758753,3876618.2713551107,412208.5921348778,100000.0,92947.0,292.44,21377.0,38.319,0.7,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059755,0.9676879037290965,3686750.6146981553,1.0515,0.0149,1084338.4160876928,54932.584159002516,54932.584159002516,357276.0079758753,664388.1739449487,5530.125922047233,184337.53073490778,3686.7506146981555,3318.07555322834,29494.004917585244,11060.251844094466,7373.501229396311,0.14062822693422122,0.01493043062345443,0.0384473518984575,0.011627347105422008,0.07562309730688732,0.01493043062345443,0.0384473518984575,0.011627347105422008,0.07562309730688732,0.07562309730688731,0.9676879037290966,0.9676879037290966,3.4,1084338.4160876928,3.4166666666666665,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4292358.560876283,0.0,0.0,521.5347349059754,357276.0079758753,4513415.026761412,421232.15053293185,100000.0,92947.0,292.44,21377.0,38.319,0.7,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,0.7787086173286153,4292358.560876283,1.0515,0.0149,1262458.4002577304,63956.14255705661,63956.14255705661,357276.0079758753,714836.2751366466,6438.537841314424,214617.92804381414,4292.358560876283,3863.122704788655,34338.868487010266,12877.075682628849,8584.717121752567,0.12175781873489247,0.013988277341075005,0.03602121298100224,0.010893627930334767,0.060854700482480456,0.013988277341075005,0.03602121298100224,0.010893627930334767,0.060854700482480456,0.060854700482480456,0.7787086173286152,0.7787086173286152,3.4,1262458.4002577304,4.245833333333333,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4863256.394170809,0.0,0.0,521.5347349059754,357276.0079758753,5113714.098470606,429738.52824902034,100000.0,92947.0,292.44,21377.0,38.319,0.7,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,0.6514811831345313,4863256.394170809,1.0515,0.0149,1430369.5276972966,72462.52027314506,72462.52027314506,357276.0079758753,762392.968944776,7294.884591256213,243162.81970854045,4863.256394170809,4376.930754753728,38906.05115336647,14589.769182512426,9726.512788341617,0.10864157529291185,0.013259352089852539,0.034144157566579285,0.010325964001301383,0.05091210163517864,0.013259352089852539,0.034144157566579285,0.010325964001301383,0.05091210163517864,0.05091210163517864,0.6514811831345312,0.6514811831345312,3.4,1430369.5276972966,5.074999999999999,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5406708.554784969,0.0,0.0,521.5347349059754,357276.0079758752,5685154.045356396,437835.9654421713,100000.0,92947.0,292.44,21377.0,38.319,0.7,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,0.5599887657430198,5406708.554784969,1.0515,0.0149,1590208.3984661675,80559.95746629605,80559.95746629605,357276.0079758752,807663.3947450446,8110.062832177454,270335.4277392485,5406.708554784969,4866.037699306473,43253.668438279754,16220.125664354908,10813.417109569938,0.09892931680139583,0.012670843720889724,0.03262868966566313,0.009867652298648482,0.04376213111619449,0.012670843720889724,0.03262868966566313,0.009867652298648482,0.04376213111619449,0.04376213111619448,0.5599887657430198,0.5599887657430198,3.4,1590208.3984661675,5.904166666666666,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5927656.298968128,0.0,0.0,521.5347349059754,357276.0079758753,6232930.5983649865,445598.0868305004,100000.0,92947.0,292.44,21377.0,38.319,0.7,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059754,0.49102975312986336,5927656.298968128,1.0515,0.0149,1743428.32322592,88322.07885462511,88322.07885462511,357276.0079758753,851059.1670099096,8891.484448452193,296382.8149484064,5927.656298968128,5334.890669071316,47421.25039174502,17782.968896904385,11855.312597936256,0.09140771605122373,0.012181031958121778,0.031367375395359394,0.009486202391029952,0.038373106306712625,0.012181031958121778,0.031367375395359394,0.009486202391029952,0.038373106306712625,0.038373106306712625,0.4910297531298633,0.4910297531298633,3.4,1743428.32322592,6.7333333333333325,default,IronManganeseRemovalZO,iron_and_manganese_removal
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6429655.516445355,0.0,0.0,521.5347349059755,357276.0079758753,6760782.775542291,453077.8751709111,100000.0,92947.0,292.44,21377.0,38.319,0.7,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,0.001,4732.0,4.732,147.8,580.0,6.0,521.5347349059755,0.43719233116135486,6429655.516445355,1.0515,0.0149,1891075.1518956926,95801.86719503578,95801.86719503578,357276.0079758753,892876.4969859524,9644.483274668031,321482.77582226775,6429.655516445355,5786.689964800819,51437.24413156284,19288.966549336063,12859.31103289071,0.08538453585594159,0.011763958959491555,0.030293370716586707,0.009161399132123627,0.03416580704773972,0.011763958959491555,0.030293370716586707,0.009161399132123627,0.03416580704773972,0.034165807047739714,0.4371923311613549,0.4371923311613549,3.4,1891075.1518956926,7.562499999999999,default,IronManganeseRemovalZO,iron_and_manganese_removal
