fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.landfill.capital_a_parameter[default],fs.costing.landfill.capital_b_parameter[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.capacity_basis[0.0],fs.unit.total_mass[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[LandfillZO],fs.costing.LCOW_aggregate_indirect_capex[LandfillZO],fs.costing.LCOW_aggregate_fixed_opex[LandfillZO],fs.costing.LCOW_aggregate_variable_opex[LandfillZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.landfill.capital_a_parameter[landfill_zld],fs.costing.landfill.capital_b_parameter[landfill_zld]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,367382.2876209706,0.0,0.0,0.0,0.0,386302.4754334506,5473.996085552462,1000000.0,0.7,4.381263638888887,0.0004381263638888888,1.0000000000000171e-16,0.0,100000.0,15774.126354909995,367382.28762097424,1.0515,0.014900000000000002,367382.28762097424,5473.996085552462,5473.996085552462,0.0,30603.526487561707,551.0734314314559,18369.11438104853,367.3822876209706,330.64405885887356,2939.058300967765,1102.1468628629118,734.7645752419412,0.22132205401269964,0.17283365500832482,0.008900933232928732,0.0395874657714483,4.95420340210164e-19,0.17283365500832482,0.008900933232928732,0.0395874657714483,4.95420340210164e-19,0.0,0.0,6.3394953070649665e-18,1.0,367382.28762097424,0.1,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1748975.5934186827,0.0,0.0,0.0,0.0,1839047.836479745,26059.736341938376,1000000.0,0.7,40.70924131134258,0.004070924131134258,1.000000000000018e-18,0.0,100000.0,146567.92404770537,1748975.593418683,1.0515,0.014900000000000002,1748975.593418683,26059.736341938376,26059.736341938376,0.0,145692.43728622358,2623.463390128024,87448.77967093413,1748.9755934186828,1574.0780340768147,13991.804747349463,5246.926780256048,3497.9511868373656,0.1133957050672775,0.08855237792027185,0.004560447462894005,0.020282879684111667,5.331878100916566e-22,0.08855237792027185,0.004560447462894005,0.020282879684111667,5.331878100916566e-22,0.0,0.0,6.822775218365887e-21,1.0,1748975.593418683,0.9291666666666666,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2733311.07192234,0.0,0.0,0.0,0.0,2874076.5921263406,40726.33497164288,1000000.0,0.7,77.03721898379627,0.007703721898379629,1.000000000000018e-18,0.0,100000.0,277361.7217405007,2733311.0719223404,1.0515,0.014900000000000002,2733311.0719223404,40726.33497164287,40726.33497164287,0.0,227689.14182009205,4099.96660788351,136665.553596117,2733.31107192234,2459.979964730106,21866.48857537872,8199.93321576702,5466.62214384468,0.09364709921063598,0.07313040044609624,0.003766215622973964,0.01675048314156579,2.817556437214205e-22,0.07313040044609624,0.003766215622973964,0.01675048314156579,2.817556437214205e-22,0.0,0.0,3.605400174634107e-21,1.0,2733311.0719223404,1.7583333333333333,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3582073.2707025926,0.0,0.0,0.0,0.0,3766550.0441437764,53372.89173346864,1000000.0,0.7,113.36519665624996,0.011336519665624998,1.000000000000018e-18,0.0,100000.0,408155.5194332961,3582073.270702593,1.0515,0.014900000000000002,3582073.270702593,53372.891733468634,53372.891733468634,0.0,298392.37740670034,5373.109906053889,179103.66353512963,3582.0732707025927,3223.8659436323337,28656.58616562074,10746.219812107778,7164.146541405185,0.08339895032448391,0.06512746988879398,0.003354064699272893,0.014917415736417057,1.9146679814885575e-22,0.06512746988879398,0.003354064699272893,0.014917415736417057,1.9146679814885575e-22,0.0,0.0,2.450046495484047e-21,1.0,3582073.270702593,2.5875,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4351510.557876434,0.0,0.0,2.841160662387853e-42,1.946425992960782e-39,4575613.35160707,64837.50731235887,1000000.0,0.7,149.69317432870363,0.014969317432870366,1.000000000000018e-18,0.0,100000.0,538949.3171260915,4351510.557876434,1.0515,0.014900000000000002,4351510.557876434,64837.50731235887,64837.50731235887,1.946425992960782e-39,362487.7222068729,6527.265836814651,217575.5278938217,4351.510557876434,3916.359502088791,34812.08446301147,13054.531673629303,8703.021115752868,0.07672623875391398,0.05991665104517456,0.003085707528826493,0.01372388017991294,1.4500107518346275e-22,0.05991665104517456,0.003085707528826493,0.01372388017991294,1.4500107518346275e-22,4.119917346262645e-46,5.271665761704902e-45,1.855462041092187e-21,1.0,4351510.557876434,3.4166666666666665,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5066315.991480121,0.0,0.0,1.832548627240165e-40,1.2553836691408203e-37,5327231.2650413485,75488.10827305382,1000000.0,0.7,186.02115200115733,0.018602115200115732,1.000000000000018e-18,0.0,100000.0,669743.1148188869,5066315.991480122,1.0515,0.014900000000000002,5066315.991480122,75488.10827305382,75488.10827305382,1.2553836691408203e-37,422032.1470685107,7599.473987220183,253315.7995740061,5066.315991480122,4559.684392332109,40530.527931840974,15198.947974440365,10132.631982960243,0.0718845915496418,0.05613573736123064,0.002890990474103383,0.012857863714307785,1.166838877825706e-22,0.05613573736123064,0.002890990474103383,0.012857863714307785,1.166838877825706e-22,2.1382907183994433e-44,2.7361962918211203e-43,1.493109787728747e-21,1.0,5066315.991480122,4.245833333333333,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5740152.713482891,0.0,0.0,0.0,0.0,6035770.578227261,85528.2754308951,1000000.0,0.7,222.349129673611,0.022234912967361103,1.000000000000018e-18,0.0,100000.0,800536.912511682,5740152.713482892,1.0515,0.014900000000000002,5740152.713482892,85528.27543089508,85528.27543089508,0.0,478163.81335988914,8610.229070224337,287007.63567414455,5740.152713482891,5166.137442134603,45921.22170786313,17220.458140448674,11480.305426965782,0.06813870542823322,0.05321051966209051,0.002740341762597668,0.012187844003545046,9.761977146998313e-23,0.05321051966209051,0.002740341762597668,0.012187844003545046,9.761977146998313e-23,0.0,0.0,1.2491616368600931e-21,1.0,5740152.713482892,5.074999999999999,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6381595.019123331,0.0,0.0,0.0,0.0,6710247.162608183,95085.76578493764,1000000.0,0.7,258.6771073460647,0.025867710734606475,1.000000000000018e-18,0.0,100000.0,931330.7102044775,6381595.019123332,1.0515,0.014900000000000002,6381595.019123332,95085.76578493764,95085.76578493764,0.0,531596.9734559539,9572.392528684997,319079.75095616654,6381.5950191233305,5743.435517210998,51052.760152986644,19144.785057369994,12763.190038246661,0.06511440996318589,0.050848802745170736,0.002618713341376301,0.011646893876638868,8.391029050842587e-23,0.050848802745170736,0.002618713341376301,0.011646893876638868,8.391029050842587e-23,0.0,0.0,1.0737324443864456e-21,1.0,6381595.019123332,5.904166666666666,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6996475.125165034,0.0,0.0,0.0,0.0,7356793.594111035,104247.47936495903,1000000.0,0.7,295.00508501851834,0.029500508501851843,1.000000000000018e-18,0.0,100000.0,1062124.5078972727,6996475.125165035,1.0515,0.014900000000000002,6996475.125165035,104247.47936495901,104247.47936495901,0.0,582817.4602512675,10494.712687747551,349823.7562582517,6996.475125165034,6296.827612648532,55971.80100132027,20989.425375495102,13992.950250330068,0.0625973081325413,0.048883160815092294,0.002517482781977254,0.011196664535471745,7.357727824903433e-23,0.048883160815092294,0.002517482781977254,0.011196664535471745,7.357727824903433e-23,0.0,0.0,9.415092040195504e-22,1.0,6996475.125165035,6.7333333333333325,default,LandfillZO,landfill,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7588990.085680396,0.0,0.0,0.0,0.0,7979823.075092938,113075.95227663791,1000000.0,0.7,331.3330626909721,0.03313330626909721,1.000000000000018e-18,0.0,100000.0,1192918.3055900685,7588990.085680397,1.0515,0.014900000000000002,7588990.085680397,113075.95227663792,113075.95227663792,0.0,632174.8949981391,11383.485128520595,379449.5042840198,7588.990085680396,6830.091077112357,60711.92068544317,22766.97025704119,15177.980171360792,0.060454004749151725,0.047209423603518846,0.002431285315581228,0.01081329583005166,6.551012763109611e-23,0.047209423603518846,0.002431285315581228,0.01081329583005166,6.551012763109611e-23,0.0,0.0,8.38280371182145e-22,1.0,7588990.085680397,7.562499999999999,default,LandfillZO,landfill,,
