fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.mbr.capital_a_parameter[default],fs.costing.mbr.capital_b_parameter[default],fs.costing.mbr.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.elec_coeff_1,fs.unit.elec_coeff_2,fs.unit.electricity[0.0],fs.unit.electricity_intensity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[MBRZO],fs.costing.LCOW_aggregate_indirect_capex[MBRZO],fs.costing.LCOW_aggregate_fixed_opex[MBRZO],fs.costing.LCOW_aggregate_variable_opex[MBRZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.electricity_intensity_base,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.mbr.capital_a_parameter[mbr_denitrification],fs.costing.mbr.capital_b_parameter[mbr_denitrification],fs.costing.mbr.reference_state[mbr_denitrification]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295967,0.0,0.0,25.247707693696135,17295.876212294443,274008.8826093971,21178.645923069544,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,9.5,-0.3,25.247707693696135,1.6005772443833195,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.7697107750996,3882.7697107750996,17295.876212294443,39003.316961553865,390.88285678943953,13029.428559647984,260.5885711929597,234.52971407366374,2084.7085695436776,781.7657135788791,521.1771423859194,0.2820686114963882,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.125082279351375,0.12259294127740356,0.006313536475786304,0.028079854391823315,0.125082279351375,0.125082279351375,1.6005772443833195,1.6005772443833195,0.16848181519824415,1.0,260588.57119295967,0.1,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,962613.2726084039,0.0,0.0,120.19530073698265,82339.47683755113,1012187.8561477369,96682.41459941636,725570.0,0.5862,1.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,9.5,-0.3,120.19530073698265,0.8200655192323055,962613.2726084039,1.0515,0.014900000000000002,962613.2726084039,14342.93776186522,14342.93776186522,82339.47683755113,162526.68721265518,1443.919908912606,48130.6636304202,962.6132726084039,866.3519453475636,7700.906180867231,2887.839817825212,1925.2265452168078,0.12649818090777867,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.06408666918325871,0.04873806966080587,0.0025100105875315083,0.011163431476182586,0.06408666918325871,0.0640866691832587,0.8200655192323055,0.8200655192323055,0.08632268623497953,1.0,962613.2726084039,0.9291666666666666,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1399051.4744335848,0.0,0.0,187.8420416692366,128680.70002992614,1471102.6253669146,149526.56699898656,725570.0,0.5862,1.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,9.5,-0.3,187.8420416692366,0.6772457298378807,1399051.4744335848,1.0515,0.014900000000000002,1399051.4744335848,20845.86696906042,20845.86696906042,128680.70002992614,245223.90392946682,2098.577211650377,69952.57372167925,1399.0514744335849,1259.1463269902265,11192.411795468679,4197.154423300754,2798.1029488671697,0.10085903559796272,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.0529255553684607,0.037431961411575614,0.0019277460126961492,0.008573772805230258,0.0529255553684607,0.0529255553684607,0.6772457298378807,0.6772457298378807,0.07128902419346113,1.0,1399051.4744335848,1.7583333333333333,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1754631.132441607,0.0,0.0,246.1717451370617,168639.3110420157,1844994.6357623502,194783.31491539563,725570.0,0.5862,1.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,9.5,-0.3,246.1717451370617,0.603132221460239,1754631.132441607,1.0515,0.014900000000000002,1754631.132441607,26144.00387337995,26144.00387337995,168639.3110420157,314802.86368714867,2631.9466986624107,87731.55662208036,1754.6311324416072,1579.1680191974465,14037.049059532857,5263.893397324821,3509.2622648832144,0.08798558669233707,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.04713371583610851,0.03190182824529919,0.0016429441546329101,0.007307098456296455,0.04713371583610851,0.04713371583610851,0.603132221460239,0.603132221460239,0.06348760225897253,1.0,1754631.132441607,2.5875,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2065157.6718641433,0.0,0.0,299.04998224804035,204863.4092647701,2171513.291965147,235634.25857554586,725570.0,0.5862,1.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,9.5,-0.3,299.04998224804035,0.5548758904505212,2065157.6718641433,1.0515,0.014900000000000002,2065157.6718641433,30770.84931077574,30770.84931077574,204863.4092647701,376894.31451377424,3097.736507796215,103257.88359320717,2065.1576718641436,1858.6419046777291,16521.26137491315,6195.47301559243,4130.315343728287,0.07977562104537482,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.043362568959560525,0.028435489224397884,0.0014644276950564947,0.006513135166359918,0.043362568959560525,0.043362568959560525,0.5548758904505213,0.5548758904505213,0.05840798846847592,1.0,2065157.6718641433,3.4166666666666665,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2345671.771338338,0.0,0.0,348.1737403975101,238515.51148108562,2466473.867562263,273466.0208740269,725570.0,0.5862,1.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,9.5,-0.3,348.1737403975101,0.5198616196176408,2345671.771338338,1.0515,0.014900000000000002,2345671.771338338,34950.50939294124,34950.50939294124,238515.51148108562,433913.68554695207,3518.507657007507,117283.58856691691,2345.671771338338,2111.1045942045043,18765.374170706706,7037.015314015014,4691.343542676676,0.07390836994291539,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.040626265653380206,0.025990485929605924,0.0013385100253747052,0.005953108334554544,0.040626265653380206,0.040626265653380206,0.5198616196176408,0.5198616196176408,0.05472227574922534,1.0,2345671.771338338,4.245833333333333,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2604245.816394803,0.0,0.0,394.48199521450977,270238.86049317016,2738364.475939136,309042.12315745273,725570.0,0.5862,1.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,9.5,-0.3,394.48199521450977,0.49277177485398355,2604245.816394803,1.0515,0.014900000000000002,2604245.816394803,38803.26266428257,38803.26266428257,270238.86049317016,487176.662090143,3906.3687245922047,130212.29081974016,2604.245816394803,2343.821234755323,20833.966531158425,7812.737449184409,5208.491632789606,0.06942304319604706,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.038509242221862736,0.02414104295390984,0.001243263712126358,0.005529494308148126,0.038509242221862736,0.03850924222186273,0.4927717748539836,0.4927717748539836,0.05187071314252458,1.0,2604245.816394803,5.074999999999999,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2845827.298267036,0.0,0.0,438.56400020188266,300437.1228741036,2992387.4041277887,342839.94961828244,725570.0,0.5862,1.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,9.5,-0.3,438.56400020188266,0.47090039595665656,2845827.298267036,1.0515,0.014900000000000002,2845827.298267036,42402.82674417884,42402.82674417884,300437.1228741036,537499.0445729386,4268.740947400554,142291.3649133518,2845.8272982670364,2561.244568440333,22766.61838613629,8537.481894801109,5691.654596534073,0.06583734462521904,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.03680003266347665,0.022675665018348612,0.0011677967484449562,0.00519385019494881,0.03680003266347665,0.03680003266347665,0.4709003959566566,0.4709003959566566,0.04956846273227964,1.0,2845827.298267036,5.904166666666666,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3073716.8499491517,0.0,0.0,480.82056429630126,329384.8717390999,3232013.2677215333,375183.2528033423,725570.0,0.5862,1.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,9.5,-0.3,480.82056429630126,0.45269698676683356,3073716.8499491517,1.0515,0.014900000000000002,3073716.8499491517,45798.38106424236,45798.38106424236,329384.8717390999,585430.3540671221,4610.575274923728,153685.8424974576,3073.7168499491518,2766.3451649542367,24589.734799593214,9221.150549847456,6147.4336998983035,0.06287794509087495,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.03537746844708602,0.021475527660448742,0.0011059896745131128,0.004918959308827071,0.03537746844708602,0.03537746844708602,0.45269698676683356,0.45269698676683356,0.0476523143965088,1.0,3073716.8499491517,6.7333333333333325,default,MBRZO,mbr,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3290250.887166644,0.0,0.0,521.54012272713,357279.69888868503,3459698.8078557267,406304.43710746797,725570.0,0.5862,1.0,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,9.5,-0.3,521.54012272713,0.4371968476660721,3290250.887166644,1.0515,0.014900000000000002,3290250.887166644,49024.738218783,49024.738218783,357279.69888868503,631362.809504005,4935.376330749966,164512.5443583322,3290.250887166644,2961.2257984499797,26322.007097333153,9870.752661499931,6580.501774333288,0.060376346144377105,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.0341661600045912,0.020467920782660697,0.0010540979203070302,0.00468816743681818,0.0341661600045912,0.0341661600045912,0.43719684766607214,0.43719684766607214,0.046020720806954955,1.0,3290250.887166644,7.562499999999999,default,MBRZO,mbr,,,
