fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.membrane_evaporator.membrane_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.water_flux,fs.unit.membrane_area,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[MembraneEvaporatorZO],fs.costing.LCOW_aggregate_indirect_capex[MembraneEvaporatorZO],fs.costing.LCOW_aggregate_fixed_opex[MembraneEvaporatorZO],fs.costing.LCOW_aggregate_variable_opex[MembraneEvaporatorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,43553.796910726625,0.0,0.0,3.154825270981999,2161.204811949992,45796.817451629046,2810.1563859198186,50.0,4.381263638888887,0.0004381263638888888,4.271732047916665,0.00039431372749999994,0.10953159097222184,4.3812636388888886e-05,0.975,0.1,3.154825270981999,0.2,0.001,394.47145299099867,43553.796910726625,1.0515,0.0149,26396.240551955532,648.9515739698268,648.9515739698268,2161.204811949992,5789.305083257743,65.33069536608994,2177.689845536331,43.553796910726625,39.19841721965397,348.430375285813,130.66139073217988,87.10759382145325,0.04186775314451196,0.012418014931030598,0.009126930523934214,0.004693161599012172,0.015629646090534976,0.012418014931030598,0.009126930523934214,0.004693161599012172,0.015629646090534976,0.015629646090534976,0.2,0.2,1.65,26396.240551955532,0.1,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,404687.3629621715,0.0,0.0,29.31358480954108,20081.194711035347,425528.76215472334,26111.036419171705,50.0,40.70924131134258,0.004070924131134258,39.691510278559015,0.0036638317180208305,1.0177310327835696,0.00040709241311342586,0.975,0.1,29.31358480954108,0.2,0.001,3665.297250708059,404687.3629621715,1.0515,0.0149,245265.06846192214,6029.841708136355,6029.841708136355,20081.194711035347,53792.29306527014,607.0310444432572,20234.368148108577,404.6873629621715,364.2186266659544,3237.498903697372,1214.0620888865144,809.374725924343,0.041867753144512174,0.012418014931030697,0.009126930523934285,0.004693161599012208,0.01562964609053498,0.012418014931030697,0.009126930523934285,0.004693161599012208,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,245265.06846192214,0.9291666666666666,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,765820.9290136099,0.0,0.0,55.47234434810015,38001.18461012069,805260.7068578107,49411.91645242348,50.0,77.03721898379627,0.007703721898379629,75.11128850920136,0.006933349708541666,1.9259304745949006,0.0007703721898379629,0.975,0.1,55.47234434810015,0.2,0.001,6936.12304842506,765820.9290136099,1.0515,0.0149,464133.8963718848,11410.731842302788,11410.731842302788,38001.18461012069,101795.28104728198,1148.731393520415,38291.04645068049,765.8209290136099,689.2388361122489,6126.567432108879,2297.46278704083,1531.6418580272198,0.04186775314451196,0.012418014931030598,0.009126930523934216,0.004693161599012172,0.01562964609053498,0.012418014931030598,0.009126930523934216,0.004693161599012172,0.01562964609053498,0.015629646090534976,0.2,0.2,1.65,464133.8963718848,1.7583333333333333,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1126954.4950650607,0.0,0.0,81.63110388665923,55921.17450920605,1184992.6515609114,72712.79648567546,50.0,113.36519665624996,0.011336519665624998,110.5310667398437,0.010202867699062496,2.834129916406263,0.0011336519665625,0.975,0.1,81.63110388665923,0.2,0.001,10206.948846142173,1126954.4950650607,1.0515,0.0149,683002.724281855,16791.621976469403,16791.621976469403,55921.17450920605,149798.2690292949,1690.431742597591,56347.72475325304,1126.9544950650607,1014.2590455585547,9015.635960520485,3380.863485195182,2253.9089901301213,0.041867753144512174,0.012418014931030699,0.009126930523934288,0.004693161599012208,0.01562964609053498,0.012418014931030699,0.009126930523934288,0.004693161599012208,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,683002.724281855,2.5875,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1488088.0611165024,0.0,0.0,107.78986342521829,73841.16440829138,1564724.5962640024,96013.67651892727,50.0,149.69317432870363,0.014969317432870366,145.95084497048603,0.013472385689583335,3.742329358217604,0.0014969317432870367,0.975,0.1,107.78986342521829,0.2,0.001,13477.774643859206,1488088.0611165024,1.0515,0.0149,901871.5521918196,22172.512110635886,22172.512110635886,73841.16440829138,197801.257011307,2232.1320916747536,74404.40305582513,1488.0880611165023,1339.2792550048523,11904.704488932019,4464.264183349507,2976.1761222330047,0.04186775314451213,0.012418014931030678,0.009126930523934273,0.004693161599012201,0.01562964609053498,0.012418014931030678,0.009126930523934273,0.004693161599012201,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,901871.5521918196,3.4166666666666665,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1849221.6271679553,0.0,0.0,133.94862296377738,91761.15430737674,1944456.5409671054,119314.55655217929,50.0,186.02115200115733,0.018602115200115732,181.37062320112838,0.016741903680104163,4.650528800028971,0.0018602115200115736,0.975,0.1,133.94862296377738,0.2,0.001,16748.60044157634,1849221.6271679553,1.0515,0.0149,1120740.3801017911,27553.402244802535,27553.402244802535,91761.15430737674,245804.24499332008,2773.832440751933,92461.08135839777,1849.2216271679554,1664.2994644511598,14793.773017343643,5547.664881503866,3698.4432543359108,0.04186775314451226,0.012418014931030735,0.009126930523934318,0.004693161599012224,0.01562964609053498,0.012418014931030735,0.009126930523934318,0.004693161599012224,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,1120740.3801017911,4.245833333333333,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2210355.1932193763,0.0,0.0,160.10738250233643,109681.14420646208,2324188.485670174,142615.43658543078,50.0,222.349129673611,0.022234912967361103,216.79040143177073,0.020011421670624994,5.5587282418402575,0.0022234912967361176,0.975,0.1,160.10738250233643,0.2,0.001,20019.42623929318,2210355.1932193763,1.0515,0.0149,1339609.2080117431,32934.292378968705,32934.292378968705,109681.14420646208,293807.23297533044,3315.5327898290643,110517.75966096882,2210.3551932193764,1989.3196738974389,17682.84154575501,6631.065579658129,4420.710386438753,0.04186775314451196,0.012418014931030598,0.009126930523934216,0.004693161599012171,0.01562964609053498,0.012418014931030598,0.009126930523934216,0.004693161599012171,0.01562964609053498,0.015629646090534976,0.2,0.2,1.65,1339609.2080117431,5.074999999999999,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2571488.7592708175,0.0,0.0,186.2661420408955,127601.13410554743,2703920.430373265,165916.31661868264,50.0,258.6771073460647,0.025867710734606475,252.21017966241308,0.02328093966114583,6.466927683651598,0.002586771073460648,0.975,0.1,186.2661420408955,0.2,0.001,23290.25203701021,2571488.7592708175,1.0515,0.0149,1558478.0359217077,38315.18251313518,38315.18251313518,127601.13410554743,341810.22095734254,3857.2331389062265,128574.43796354088,2571.4887592708174,2314.339883343736,20571.91007416654,7714.466277812453,5142.977518541635,0.04186775314451196,0.012418014931030598,0.009126930523934214,0.004693161599012171,0.015629646090534976,0.012418014931030598,0.009126930523934214,0.004693161599012171,0.015629646090534976,0.01562964609053498,0.2,0.2,1.65,1558478.0359217077,5.904166666666666,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2932622.325322241,0.0,0.0,212.42490157945454,145521.12400463276,3083652.375076337,189217.19665193415,50.0,295.00508501851834,0.029500508501851843,287.6299578930554,0.02655045765166665,7.37512712546289,0.0029500508501851754,0.975,0.1,212.42490157945454,0.2,0.001,26561.077834727075,2932622.325322241,1.0515,0.0149,1777346.8638316614,43696.07264730139,43696.07264730139,145521.12400463276,389813.2089393531,4398.933487983361,146631.11626611205,2932.622325322241,2639.360092790017,23460.97860257793,8797.866975966723,5865.244650644482,0.0418677531445118,0.012418014931030523,0.009126930523934158,0.004693161599012143,0.01562964609053498,0.012418014931030523,0.009126930523934158,0.004693161599012143,0.01562964609053498,0.01562964609053498,0.2,0.2,1.65,1777346.8638316614,6.7333333333333325,default,MembraneEvaporatorZO,membrane_evaporator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3293755.891373707,0.0,0.0,238.58366111801365,163441.11390371813,3463384.319779453,212518.07668518636,50.0,331.3330626909721,0.03313330626909721,323.0497361236978,0.029819975642187486,8.28332656727429,0.0033133306269097318,0.975,0.1,238.58366111801365,0.2,0.001,29831.903632444326,3293755.891373707,1.0515,0.0149,1996215.6917416407,49076.96278146823,49076.96278146823,163441.11390371813,437816.19692136726,4940.633837060561,164687.79456868535,3293.755891373707,2964.380302236337,26350.047130989657,9881.267674121122,6587.511782747414,0.041867753144512,0.012418014931030619,0.009126930523934231,0.00469316159901218,0.015629646090534976,0.012418014931030619,0.009126930523934231,0.00469316159901218,0.015629646090534976,0.015629646090534976,0.2,0.2,1.65,1996215.6917416407,7.562499999999999,default,MembraneEvaporatorZO,membrane_evaporator
