fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.microfiltration.capital_a_parameter[default],fs.costing.microfiltration.capital_b_parameter[default],fs.costing.microfiltration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[MicroFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[MicroFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[MicroFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[MicroFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,69257.05519875021,0.0,0.0,2.839342743883799,1945.0843307549926,72823.79354148585,2977.014453216371,500000.0,1.0,1.0,4.381263638888887,0.0004381263638888888,4.162200456944443,0.00039431372749999994,0.21906318194444466,4.3812636388888886e-05,0.95,0.1,2.839342743883799,0.18,69257.05519875021,1.0515,0.014900000000000002,69257.05519875021,1031.9301224613782,1031.9301224613782,1945.0843307549926,7714.3067310798015,103.88558279812531,3462.8527599375107,69.25705519875021,62.3313496788752,554.0564415900017,207.77116559625063,138.51411039750042,0.055789198401710295,0.03258172859292176,0.0016779590225354723,0.0074628293047715845,0.014066681481481479,0.03258172859292176,0.0016779590225354723,0.0074628293047715845,0.014066681481481479,0.014066681481481479,0.18,0.18,1.0,69257.05519875021,0.1,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,643513.4712217208,0.0,0.0,26.38222632858697,18073.07523993181,676654.4149896395,27661.425961135454,500000.0,1.0,1.0,40.70924131134258,0.004070924131134258,38.67377924577545,0.0036638317180208305,2.035462065567133,0.00040709241311342586,0.95,0.1,26.38222632858697,0.18,643513.4712217208,1.0515,0.014900000000000002,643513.4712217208,9588.35072120364,9588.35072120364,18073.07523993181,71678.76670961651,965.2702068325813,32175.67356108604,643.5134712217208,579.1621240995488,5148.107769773766,1930.5404136651625,1287.0269424434416,0.0557891984017103,0.03258172859292176,0.0016779590225354769,0.007462829304771584,0.01406668148148148,0.03258172859292176,0.0016779590225354769,0.007462829304771584,0.01406668148148148,0.01406668148148148,0.18,0.18,1.0,643513.4712217208,0.9291666666666666,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1217769.8872446911,0.0,0.0,49.92510991329013,34201.06614910862,1280485.036437793,52345.83746905452,500000.0,1.0,1.0,77.03721898379627,0.007703721898379629,73.18535803460645,0.006933349708541666,3.851860949189806,0.0007703721898379629,0.95,0.1,49.92510991329013,0.18,1217769.8872446911,1.0515,0.014900000000000002,1217769.8872446911,18144.7713199459,18144.7713199459,34201.06614910862,135643.22668815317,1826.6548308670367,60888.49436223456,1217.769887244691,1095.992898520222,9742.159097957529,3653.3096617340734,2435.539774489382,0.05578919840171029,0.03258172859292176,0.0016779590225354784,0.007462829304771584,0.014066681481481479,0.03258172859292176,0.0016779590225354784,0.007462829304771584,0.014066681481481479,0.014066681481481479,0.18,0.18,1.0,1217769.8872446911,1.7583333333333333,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1792026.3032676622,0.0,0.0,73.4679934979933,50329.05705828544,1884315.6578859468,77030.24897697361,500000.0,1.0,1.0,113.36519665624996,0.011336519665624998,107.69693682343745,0.010202867699062496,5.668259832812508,0.0011336519665625,0.95,0.1,73.4679934979933,0.18,1792026.3032676622,1.0515,0.014900000000000002,1792026.3032676622,26701.19191868817,26701.19191868817,50329.05705828544,199607.68666668993,2688.039454901493,89601.31516338311,1792.0263032676621,1612.8236729408961,14336.210426141297,5376.078909802986,3584.0526065353242,0.0557891984017103,0.032581728592921765,0.0016779590225354747,0.007462829304771586,0.014066681481481479,0.032581728592921765,0.0016779590225354747,0.007462829304771586,0.014066681481481479,0.014066681481481479,0.18,0.18,1.0,1792026.3032676622,2.5875,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2366282.7192906323,0.0,0.0,97.01087708269645,66457.04796746223,2488146.2793341,101714.66048489265,500000.0,1.0,1.0,149.69317432870363,0.014969317432870366,142.20851561226846,0.013472385689583335,7.484658716435169,0.0014969317432870367,0.95,0.1,97.01087708269645,0.18,2366282.7192906323,1.0515,0.014900000000000002,2366282.7192906323,35257.612517430425,35257.612517430425,66457.04796746223,263572.1466452265,3549.4240789359487,118314.13596453163,2366.2827192906325,2129.654447361569,18930.26175432506,7098.8481578718975,4732.565438581265,0.055789198401710295,0.032581728592921765,0.0016779590225354671,0.007462829304771586,0.01406668148148148,0.032581728592921765,0.0016779590225354671,0.007462829304771586,0.01406668148148148,0.014066681481481477,0.18,0.18,1.0,2366282.7192906323,3.4166666666666665,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2940539.135313603,0.0,0.0,120.55376066739963,82585.03887663907,3091976.900782254,126399.07199281176,500000.0,1.0,1.0,186.02115200115733,0.018602115200115732,176.72009440109946,0.016741903680104163,9.301057600057879,0.0018602115200115736,0.95,0.1,120.55376066739963,0.18,2940539.135313603,1.0515,0.014900000000000002,2940539.135313603,43814.03311617269,43814.03311617269,82585.03887663907,327536.6066237633,4410.808702970405,147026.95676568017,2940.5391353136033,2646.485221782243,23524.313082508826,8821.61740594081,5881.078270627207,0.0557891984017103,0.032581728592921765,0.0016779590225354745,0.007462829304771586,0.01406668148148148,0.032581728592921765,0.0016779590225354745,0.007462829304771586,0.01406668148148148,0.01406668148148148,0.18,0.18,1.0,2940539.135313603,4.245833333333333,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3514795.5513365734,0.0,0.0,144.09664425210278,98713.02978581587,3695807.522230407,151083.4835007308,500000.0,1.0,1.0,222.349129673611,0.022234912967361103,211.23167318993043,0.020011421670624994,11.117456483680568,0.0022234912967361176,0.95,0.1,144.09664425210278,0.18,3514795.5513365734,1.0515,0.014900000000000002,3514795.5513365734,52370.45371491495,52370.45371491495,98713.02978581587,391501.0666022999,5272.19332700486,175739.77756682868,3514.7955513365737,3163.3159962029163,28118.36441069259,10544.38665400972,7029.591102673147,0.055789198401710295,0.032581728592921765,0.0016779590225354712,0.007462829304771585,0.01406668148148148,0.032581728592921765,0.0016779590225354712,0.007462829304771585,0.01406668148148148,0.01406668148148148,0.18,0.18,1.0,3514795.5513365734,5.074999999999999,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4089051.967359544,0.0,0.0,167.63952783680594,114841.02069499268,4299638.143678561,175767.89500864988,500000.0,1.0,1.0,258.6771073460647,0.025867710734606475,245.7432519787615,0.02328093966114583,12.933855367303215,0.002586771073460648,0.95,0.1,167.63952783680594,0.18,4089051.967359544,1.0515,0.014900000000000002,4089051.967359544,60926.87431365721,60926.87431365721,114841.02069499268,455465.5265808366,6133.577951039316,204452.5983679772,4089.051967359544,3680.14677062359,32712.415738876352,12267.155902078632,8178.103934719088,0.0557891984017103,0.032581728592921765,0.0016779590225354762,0.007462829304771585,0.01406668148148148,0.032581728592921765,0.0016779590225354762,0.007462829304771585,0.01406668148148148,0.014066681481481479,0.18,0.18,1.0,4089051.967359544,5.904166666666666,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4663308.383382513,0.0,0.0,191.18241142150907,130969.01160416947,4903468.765126713,200452.30651656893,500000.0,1.0,1.0,295.00508501851834,0.029500508501851843,280.2548307675924,0.02655045765166665,14.750254250925884,0.0029500508501851754,0.95,0.1,191.18241142150907,0.18,4663308.383382513,1.0515,0.014900000000000002,4663308.383382513,69483.29491239945,69483.29491239945,130969.01160416947,519429.9865593732,6994.96257507377,233165.41916912567,4663.308383382513,4196.977545044262,37306.467067060104,13989.92515014754,9326.616766765026,0.055789198401710295,0.03258172859292176,0.0016779590225354801,0.007462829304771584,0.01406668148148148,0.03258172859292176,0.0016779590225354801,0.007462829304771584,0.01406668148148148,0.014066681481481479,0.18,0.18,1.0,4663308.383382513,6.7333333333333325,default,MicroFiltrationZO,microfiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5237564.799405484,0.0,0.0,214.7252950062123,147097.00251334632,5507299.386574867,225136.71802448804,500000.0,1.0,1.0,331.3330626909721,0.03313330626909721,314.76640955642347,0.029819975642187486,16.566653134548634,0.0033133306269097318,0.95,0.1,214.7252950062123,0.18,5237564.799405484,1.0515,0.014900000000000002,5237564.799405484,78039.71551114172,78039.71551114172,147097.00251334632,583394.44653791,7856.347199108227,261878.23997027424,5237.564799405484,4713.808319464936,41900.518395243875,15712.694398216454,10475.129598810969,0.055789198401710295,0.03258172859292176,0.0016779590225354712,0.007462829304771584,0.014066681481481479,0.03258172859292176,0.0016779590225354712,0.007462829304771584,0.014066681481481479,0.014066681481481479,0.18,0.18,1.0,5237564.799405484,7.562499999999999,default,MicroFiltrationZO,microfiltration
