fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.municipal_drinking.capital_a_parameter[default],fs.costing.municipal_drinking.capital_b_parameter[default],fs.costing.municipal_drinking.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[MunicipalDrinkingZO],fs.costing.LCOW_aggregate_indirect_capex[MunicipalDrinkingZO],fs.costing.LCOW_aggregate_fixed_opex[MunicipalDrinkingZO],fs.costing.LCOW_aggregate_variable_opex[MunicipalDrinkingZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,28351.051972546957,0.0,0.0,4.843798332926932,3318.2313966879487,29811.13114913313,3740.6620710788984,40299.0,0.8657,1.0,4.381263638888887,0.0004381263638888888,4.843798332926932,28351.051972546957,1.0515,0.014900000000000002,8338.544697807929,422.4306743909497,422.4306743909497,3318.2313966879487,5679.918933696343,42.52657795882043,1417.5525986273478,28.35105197254696,25.515946775292264,226.80841578037567,85.05315591764086,56.70210394509392,0.0410766819811508,0.003922837888851322,0.010101699847581039,0.0030549820646379976,0.023997162180080446,0.003922837888851322,0.010101699847581039,0.0030549820646379976,0.023997162180080446,0.023997162180080446,0.30707236799958865,0.30707236799958865,0.004381701765252776,3.4,8338.544697807929,300.0,0.9,0.9,0.1,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,195275.53041159394,0.0,0.0,45.00695951011275,30831.900060892196,205332.22022779105,33741.505464024944,40299.0,0.8657,1.0,40.70924131134258,0.004070924131134258,45.00695951011275,195275.53041159394,1.0515,0.014900000000000002,57433.979532821744,2909.60540313275,2909.60540313275,30831.900060892196,47098.66105806214,292.91329561739093,9763.776520579697,195.27553041159393,175.74797737043457,1562.2042432927515,585.8265912347819,390.55106082318787,0.03665794860656572,0.0029079396420359795,0.0074882353722068515,0.002264611412242443,0.023997162180080446,0.0029079396420359795,0.0074882353722068515,0.002264611412242443,0.023997162180080446,0.023997162180080446,0.30707236799958865,0.30707236799958865,0.04071331223547372,3.4,57433.979532821744,300.0,0.9,0.9,0.9291666666666666,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,339198.00944854674,0.0,0.0,85.17012068729854,58345.56872509642,356666.70693514694,63399.619065879764,40299.0,0.8657,1.0,77.03721898379627,0.007703721898379629,85.17012068729854,339198.00944854674,1.0515,0.014900000000000002,99764.12042604316,5054.050340783347,5054.050340783347,58345.56872509642,86601.3001973675,508.7970141728201,16959.900472427336,339.19800944854677,305.2782085036921,2713.584075588374,1017.5940283456403,678.3960188970935,0.03561856523558338,0.0026692132307421447,0.006873490990484099,0.0020786988342766963,0.02399716218008044,0.0026692132307421447,0.006873490990484099,0.0020786988342766963,0.02399716218008044,0.02399716218008044,0.3070723679995886,0.3070723679995886,0.07704492270569464,3.4,99764.12042604316,300.0,0.9,0.9,1.7583333333333333,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,473914.1811127454,0.0,0.0,125.33328186448436,85859.23738930067,498320.76144005184,92920.55868788058,40299.0,0.8657,1.0,113.36519665624996,0.011336519665624998,125.33328186448436,473914.1811127454,1.0515,0.014900000000000002,139386.52385668983,7061.321298579907,7061.321298579907,85859.23738930067,125337.0393498521,710.8712716691182,23695.70905563727,473.91418111274544,426.52276300147093,3791.3134489019635,1421.7425433382364,947.8283622254909,0.03503098038026987,0.0025342562670695114,0.006525963313330701,0.001973598619789214,0.023997162180080443,0.0025342562670695114,0.006525963313330701,0.001973598619789214,0.023997162180080443,0.023997162180080443,0.30707236799958865,0.30707236799958865,0.11337653317591559,3.4,139386.52385668983,300.0,0.9,0.9,2.5875,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,602849.5737651943,0.0,0.0,165.49644304167015,113372.90605350489,633896.3268141019,122355.36470260628,40299.0,0.8657,1.0,149.69317432870363,0.014969317432870366,165.49644304167015,602849.5737651943,1.0515,0.014900000000000002,177308.6981662336,8982.458649101396,8982.458649101396,113372.90605350489,163591.2304539796,904.2743606477915,30142.478688259715,602.8495737651942,542.564616388675,4822.796590121554,1808.548721295583,1205.6991475303885,0.034626661916828415,0.0024413920761540923,0.006286828735304405,0.0019012789252894759,0.023997162180080446,0.0024413920761540923,0.006286828735304405,0.0019012789252894759,0.023997162180080446,0.023997162180080443,0.30707236799958865,0.30707236799958865,0.1497081436461365,3.4,177308.6981662336,300.0,0.9,0.9,3.4166666666666665,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,727606.7130035156,0.0,0.0,205.65960421885592,140886.5747177091,765078.4587231968,151727.91474146149,40299.0,0.8657,1.0,186.02115200115733,0.018602115200115732,205.65960421885592,727606.7130035156,1.0515,0.014900000000000002,214001.9744127987,10841.340023752384,10841.340023752384,140886.5747177091,201497.36643041158,1091.4100695052734,36380.33565017578,727.6067130035157,654.8460417031641,5820.853704028125,2182.820139010547,1455.2134260070313,0.0343209776430308,0.002371182265500978,0.006106031451891568,0.0018466017455578143,0.023997162180080436,0.002371182265500978,0.006106031451891568,0.0018466017455578143,0.023997162180080436,0.023997162180080436,0.30707236799958854,0.30707236799958854,0.18603975411635745,3.4,214001.9744127987,300.0,0.9,0.9,4.245833333333333,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,849112.3619079767,0.0,0.0,245.82276539604172,168400.24338191334,892841.6485462376,181052.0175743422,40299.0,0.8657,1.0,222.349129673611,0.022234912967361103,245.82276539604172,849112.3619079767,1.0515,0.014900000000000002,249738.92997293433,12651.774192428855,12651.774192428855,168400.24338191334,239132.6481117149,1273.668542861965,42455.61809539884,849.1123619079767,764.2011257171791,6792.898895263814,2547.33708572393,1698.2247238159534,0.03407658340656092,0.0023150496000743505,0.005961484225151461,0.0018028874012546686,0.02399716218008044,0.0023150496000743505,0.005961484225151461,0.0018028874012546686,0.02399716218008044,0.02399716218008044,0.3070723679995886,0.3070723679995886,0.22237136458657836,3.4,249738.92997293433,300.0,0.9,0.9,5.074999999999999,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,967968.413022191,0.0,0.0,285.9859265732275,195913.91204611756,1017818.786292834,210336.64140014822,40299.0,0.8657,1.0,258.6771073460647,0.025867710734606475,285.9859265732275,967968.413022191,1.0515,0.014900000000000002,284696.5920653503,14422.729354030647,14422.729354030647,195913.91204611756,276547.2141001624,1451.9526195332867,48398.420651109554,967.968413022191,871.171571719972,7743.747304177528,2903.9052390665734,1935.936826044382,0.033873798332651577,0.002268473760677787,0.005841546781121369,0.0017666156107719814,0.023997162180080443,0.002268473760677787,0.005841546781121369,0.0017666156107719814,0.023997162180080443,0.02399716218008044,0.3070723679995886,0.3070723679995886,0.2587029750567993,3.4,284696.5920653503,300.0,0.9,0.9,5.904166666666666,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1084595.9750937668,0.0,0.0,326.14908775041334,223427.58071032184,1140452.667811096,239588.06073921896,40299.0,0.8657,1.0,295.00508501851834,0.029500508501851843,326.14908775041334,1084595.9750937668,1.0515,0.014900000000000002,318998.81620404904,16160.480028897127,16160.480028897127,223427.58071032184,313776.1434214607,1626.8939626406502,54229.798754688345,1084.5959750937668,976.1363775843902,8676.767800750134,3253.7879252813004,2169.1919501875336,0.03370101837018691,0.002228789519488039,0.005739355891633653,0.001735710778984771,0.023997162180080443,0.002228789519488039,0.005739355891633653,0.001735710778984771,0.023997162180080443,0.023997162180080446,0.3070723679995887,0.3070723679995887,0.29503458552702017,3.4,318998.81620404904,300.0,0.9,0.9,6.7333333333333325,default,MunicipalDrinkingZO,municipal_drinking
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1199305.4416539588,0.0,0.0,366.3122489275992,250941.24937452612,1261069.6718991378,268810.9004551701,40299.0,0.8657,1.0,331.3330626909721,0.03313330626909721,366.3122489275992,1199305.4416539588,1.0515,0.014900000000000002,352736.8946041055,17869.651080643987,17869.651080643987,250941.24937452612,350845.2923484225,1798.9581624809382,59965.27208269794,1199.3054416539587,1079.374897488563,9594.44353323167,3597.9163249618764,2398.6108833079174,0.03355084666864459,0.0021942979619088547,0.005650536681711493,0.0017088498449438045,0.023997162180080443,0.0021942979619088547,0.005650536681711493,0.0017088498449438045,0.023997162180080443,0.023997162180080443,0.3070723679995887,0.3070723679995887,0.3313661959972412,3.4,352736.8946041055,300.0,0.9,0.9,7.562499999999999,default,MunicipalDrinkingZO,municipal_drinking
