fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.nanofiltration.capital_a_parameter[default],fs.costing.nanofiltration.capital_b_parameter[default],fs.costing.nanofiltration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[NanofiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[NanofiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[NanofiltrationZO],fs.costing.LCOW_aggregate_variable_opex[NanofiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,103885.58279812532,0.0,0.0,3.6492645044185874,2499.919117413699,109235.69031222878,4047.814301105767,750000.0,1.0,1.0,4.381263638888887,0.0004381263638888888,3.7240740930555543,0.00039431372749999994,0.6571895458333331,4.3812636388888886e-05,0.85,0.1,3.6492645044185874,0.231344952,103885.58279812532,1.0515,0.014900000000000002,103885.58279812532,1547.8951836920676,1547.8951836920676,2499.919117413699,11153.752717900914,155.828374197188,5194.279139906266,103.88558279812533,93.4970245183128,831.0846623850026,311.656748394376,207.77116559625065,0.08066297400330223,0.04887259288938264,0.0025169385338032115,0.011194243957157379,0.01807919862295901,0.04887259288938264,0.0025169385338032115,0.011194243957157379,0.01807919862295901,0.018079198622959005,0.231344952,0.231344952,1.0,103885.58279812532,0.1,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,965270.2068325812,0.0,0.0,33.90774935355605,23228.41513263563,1014981.6224844593,37610.94121444109,750000.0,1.0,1.0,40.70924131134258,0.004070924131134258,34.602855114641194,0.0036638317180208305,6.106386196701387,0.00040709241311342586,0.85,0.1,33.90774935355605,0.231344952,965270.2068325812,1.0515,0.014900000000000002,965270.2068325812,14382.526081805461,14382.526081805461,23228.41513263563,103636.95233716267,1447.9053102488717,48263.510341629066,965.2702068325813,868.7431861493232,7722.16165466065,2895.8106204977435,1930.5404136651625,0.08066297400330223,0.048872592889382636,0.0025169385338032154,0.011194243957157377,0.018079198622959012,0.048872592889382636,0.0025169385338032154,0.011194243957157377,0.018079198622959012,0.018079198622959012,0.231344952,0.231344952,1.0,965270.2068325812,0.9291666666666666,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1826654.830867037,0.0,0.0,64.1662342026935,43956.91114785755,1920727.5546566895,71174.06812777641,750000.0,1.0,1.0,77.03721898379627,0.007703721898379629,65.48163613622683,0.006933349708541666,11.55558284756944,0.0007703721898379629,0.85,0.1,64.1662342026935,0.231344952,1826654.830867037,1.0515,0.014900000000000002,1826654.830867037,27217.156979918855,27217.156979918855,43956.91114785755,196120.1519564244,2739.9822463005553,91332.74154335185,1826.654830867037,1643.9893477803334,14613.238646936295,5479.964492601111,3653.309661734074,0.08066297400330223,0.048872592889382636,0.0025169385338032115,0.011194243957157377,0.018079198622959012,0.048872592889382636,0.0025169385338032115,0.011194243957157377,0.018079198622959012,0.01807919862295901,0.23134495200000002,0.23134495200000002,1.0,1826654.830867037,1.7583333333333333,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2688039.454901493,0.0,0.0,94.42471905183096,64685.40716307948,2826473.48682892,104737.19504111174,750000.0,1.0,1.0,113.36519665624996,0.011336519665624998,96.36041715781248,0.010202867699062496,17.004779498437497,0.0011336519665625,0.85,0.1,94.42471905183096,0.231344952,2688039.454901493,1.0515,0.014900000000000002,2688039.454901493,40051.78787803225,40051.78787803225,64685.40716307948,288603.3515756862,4032.05918235224,134401.97274507466,2688.039454901493,2419.235509411344,21504.315639211945,8064.11836470448,5376.078909802986,0.08066297400330223,0.048872592889382636,0.002516938533803214,0.011194243957157377,0.018079198622959012,0.048872592889382636,0.002516938533803214,0.011194243957157377,0.018079198622959012,0.01807919862295901,0.231344952,0.231344952,1.0,2688039.454901493,2.5875,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3549424.0789359477,0.0,0.0,124.68320390096838,85413.90317830138,3732219.4190011495,138300.32195444702,750000.0,1.0,1.0,149.69317432870363,0.014969317432870366,127.23919817939809,0.013472385689583335,22.453976149305547,0.0014969317432870367,0.85,0.1,124.68320390096838,0.231344952,3549424.0789359477,1.0515,0.014900000000000002,3549424.0789359477,52886.41877614563,52886.41877614563,85413.90317830138,381086.5511949478,5324.1361184039215,177471.2039467974,3549.424078935948,3194.4816710423534,28395.392631487583,10648.272236807843,7098.848157871896,0.08066297400330223,0.048872592889382636,0.0025169385338032133,0.011194243957157377,0.01807919862295901,0.048872592889382636,0.0025169385338032133,0.011194243957157377,0.01807919862295901,0.01807919862295901,0.231344952,0.231344952,1.0,3549424.0789359477,3.4166666666666665,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4410808.702970404,0.0,0.0,154.94168875010587,106142.39919352334,4637965.35117338,171863.44886778237,750000.0,1.0,1.0,186.02115200115733,0.018602115200115732,158.11797920098374,0.016741903680104163,27.9031728001736,0.0018602115200115736,0.85,0.1,154.94168875010587,0.231344952,4410808.702970404,1.0515,0.014900000000000002,4410808.702970404,65721.04967425903,65721.04967425903,106142.39919352334,473569.75081420963,6616.213054455607,220540.43514852022,4410.808702970404,3969.727832673364,35286.46962376323,13232.426108911213,8821.617405940808,0.08066297400330225,0.048872592889382636,0.0025169385338032115,0.011194243957157379,0.018079198622959012,0.048872592889382636,0.0025169385338032115,0.011194243957157379,0.018079198622959012,0.018079198622959012,0.231344952,0.231344952,1.0,4410808.702970404,4.245833333333333,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5272193.327004859,0.0,0.0,185.2001735992433,126870.89520874523,5543711.28334561,205426.57578111763,750000.0,1.0,1.0,222.349129673611,0.022234912967361103,188.99676022256935,0.020011421670624994,33.352369451041646,0.0022234912967361176,0.85,0.1,185.2001735992433,0.231344952,5272193.327004859,1.0515,0.014900000000000002,5272193.327004859,78555.68057237241,78555.68057237241,126870.89520874523,566052.9504334712,7908.289990507289,263609.666350243,5272.193327004859,4744.973994304374,42177.546616038875,15816.579981014578,10544.386654009719,0.08066297400330222,0.048872592889382636,0.002516938533803211,0.011194243957157377,0.018079198622959012,0.048872592889382636,0.002516938533803211,0.011194243957157377,0.018079198622959012,0.01807919862295901,0.23134495200000002,0.23134495200000002,1.0,5272193.327004859,5.074999999999999,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6133577.951039316,0.0,0.0,215.45865844838073,147599.39122396713,6449457.215517841,238989.70269445295,750000.0,1.0,1.0,258.6771073460647,0.025867710734606475,219.875541244155,0.02328093966114583,38.8015661019097,0.002586771073460648,0.85,0.1,215.45865844838073,0.231344952,6133577.951039316,1.0515,0.014900000000000002,6133577.951039316,91390.31147048582,91390.31147048582,147599.39122396713,658536.150052733,9200.366926558974,306678.89755196584,6133.577951039316,5520.220155935385,49068.62360831453,18400.73385311795,12267.155902078632,0.08066297400330223,0.04887259288938264,0.0025169385338032106,0.011194243957157379,0.018079198622959012,0.04887259288938264,0.0025169385338032106,0.011194243957157379,0.018079198622959012,0.01807919862295901,0.231344952,0.231344952,1.0,6133577.951039316,5.904166666666666,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6994962.57507377,0.0,0.0,245.71714329751816,168327.88723918906,7355203.147690071,272552.8296077883,750000.0,1.0,1.0,295.00508501851834,0.029500508501851843,250.75432226574057,0.02655045765166665,44.25076275277775,0.0029500508501851754,0.85,0.1,245.71714329751816,0.231344952,6994962.57507377,1.0515,0.014900000000000002,6994962.57507377,104224.9423685992,104224.9423685992,168327.88723918906,751019.3496719948,10492.443862610655,349748.12875368854,6994.9625750737705,6295.466317566394,55959.700600590164,20984.88772522131,13989.925150147541,0.08066297400330225,0.04887259288938264,0.0025169385338032106,0.011194243957157379,0.018079198622959012,0.04887259288938264,0.0025169385338032106,0.011194243957157379,0.018079198622959012,0.018079198622959012,0.231344952,0.231344952,1.0,6994962.57507377,6.7333333333333325,default,NanofiltrationZO,nanofiltration
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7856347.199108227,0.0,0.0,275.97562814665565,189056.38325441102,8260949.079862301,306115.95652112365,750000.0,1.0,1.0,331.3330626909721,0.03313330626909721,281.63310328732626,0.029819975642187486,49.69995940364581,0.0033133306269097318,0.85,0.1,275.97562814665565,0.231344952,7856347.199108227,1.0515,0.014900000000000002,7856347.199108227,117059.5732667126,117059.5732667126,189056.38325441102,843502.5492912566,11784.52079866234,392817.3599554114,7856.347199108227,7070.712479197405,62850.777592865816,23569.04159732468,15712.694398216454,0.08066297400330223,0.048872592889382636,0.0025169385338032098,0.011194243957157377,0.01807919862295901,0.048872592889382636,0.0025169385338032098,0.011194243957157377,0.01807919862295901,0.01807919862295901,0.231344952,0.231344952,1.0,7856347.199108227,7.562499999999999,default,NanofiltrationZO,nanofiltration
