fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_hydrogen_peroxide,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[hydrogen_peroxide],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.ozone_aop.ozone_capital_a_parameter[default],fs.costing.ozone_aop.ozone_capital_b_parameter[default],fs.costing.ozone_aop.ozone_capital_c_parameter[default],fs.costing.ozone_aop.ozone_capital_d_parameter[default],fs.costing.ozone_aop.aop_capital_a_parameter[default],fs.costing.ozone_aop.aop_capital_b_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[toc],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[toc],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,toc]",fs.unit.contact_time,fs.unit.concentration_time,fs.unit.mass_transfer_efficiency,fs.unit.specific_energy_coeff,fs.unit.ozone_flow_mass,fs.unit.ozone_consumption,fs.unit.electricity[0.0],fs.unit.oxidant_dose,fs.unit.chemical_flow_mass[0.0],fs.unit.ozone_toc_ratio,fs.unit.oxidant_ozone_ratio,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[OzoneAOPZO],fs.costing.LCOW_aggregate_indirect_capex[OzoneAOPZO],fs.costing.LCOW_aggregate_fixed_opex[OzoneAOPZO],fs.costing.LCOW_aggregate_variable_opex[OzoneAOPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[hydrogen_peroxide],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.ozone_system_capital_cost,fs.unit.costing.aop_capital_cost,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,dose,oxidant_dose,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4019291.9391576275,0.0,0.0,1.7386259448902854,4.3812636827015234e-05,1191.0411625136962,2831.074401425639,4226285.4740242455,63909.565457387995,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,0.7900000000999999,0.8,5.0,0.3477251889780571,1.0,1.7386259448902854,1.0,4.3812636827015234e-05,80.00000079999997,1.25,4019291.9391576275,1.0515,0.014900000000000002,4019291.9391576275,59887.449893448655,59887.449893448655,4022.115563939335,338835.50060159207,6028.937908736441,200964.59695788138,4019.2919391576274,3617.362745241865,32154.33551326102,12057.875817472883,8038.583878315255,0.2450674023562342,0.18910502758127581,0.009738908920435689,0.04331441585391432,0.0029090500006083526,0.18910502758127581,0.009738908920435689,0.04331441585391432,0.0029090500006083526,0.0008614367835670919,0.0020476132170412606,0.011023113109243874,0.011023113109243874,1262128.3909404452,2757163.548217182,1.0,4019291.9391576275,1.0,1.0,1,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5919732.037971314,0.0,0.0,1.7386259448902854,0.0004381263682701524,1191.0411625136962,28310.74401425639,6224598.237926837,117705.79254254267,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,0.7900000000999999,0.8,5.0,0.3477251889780571,1.0,1.7386259448902854,10.0,0.0004381263682701524,80.00000079999997,12.500000000000002,5919732.037971314,1.0515,0.014900000000000002,5919732.037971314,88204.00736577259,88204.00736577259,29501.785176770085,522624.84071784426,8879.598056956971,295986.6018985657,5919.732037971314,5327.758834174183,47357.85630377051,17759.196113913942,11839.464075942627,0.37799555210172375,0.27851947737564553,0.014343753084845775,0.06379475268725271,0.0213375689539797,0.27851947737564553,0.014343753084845775,0.06379475268725271,0.0213375689539797,0.0008614367835670919,0.020476132170412605,0.011023113109243874,0.011023113109243874,1262128.3909404452,4657603.647030869,1.0,5919732.037971314,1.0,1.0,10,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4906795.883793687,0.0,0.0,6.3749617979310464,4.3812636827015234e-05,4367.150929216886,2831.074401425639,5159495.871809063,80309.48399916847,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,2.923333333433333,0.8,5.0,1.2749923595862094,3.6666666666666665,6.3749617979310464,1.0,4.3812636827015234e-05,293.33333626666655,0.34090909090909094,4906795.883793687,1.0515,0.014900000000000002,4906795.883793687,73111.25866852594,73111.25866852594,7198.225330642525,415942.09475111065,7360.193825690531,245339.79418968438,4906.795883793688,4416.116295414319,39254.3670703495,14720.387651381063,9813.591767587375,0.3008357994079277,0.23086150122625013,0.0118893673131519,0.05287871611173843,0.005206214756787264,0.23086150122625013,0.0118893673131519,0.05287871611173843,0.005206214756787264,0.003158601539746003,0.0020476132170412606,0.04041808140056087,0.04041808140056087,2149632.335576505,2757163.548217182,1.0,4906795.883793687,1.0,3.6666666666666665,1,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6807235.982607374,0.0,0.0,6.3749617979310464,0.0004381263682701524,4367.150929216886,28310.74401425639,7157808.635711653,134105.71108432318,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,2.923333333433333,0.8,5.0,1.2749923595862094,3.6666666666666665,6.3749617979310464,10.0,0.0004381263682701524,293.33333626666655,3.4090909090909096,6807235.982607374,1.0515,0.014900000000000002,6807235.982607374,101427.81614084989,101427.81614084989,32677.894943473275,599731.4348673627,10210.853973911062,340361.79913036874,6807.235982607374,6126.512384346637,54457.887860858995,20421.707947822124,13614.471965214749,0.43376394915341715,0.3202759510206199,0.016494211477561926,0.07335905294507683,0.023634733710158607,0.3202759510206199,0.016494211477561926,0.07335905294507683,0.023634733710158607,0.003158601539746003,0.020476132170412605,0.04041808140056087,0.04041808140056087,2149632.335576505,4657603.647030869,1.0,6807235.982607374,1.0,3.6666666666666665,10,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5794299.828429746,0.0,0.0,11.011297650971807,4.3812636827015234e-05,7543.260695920075,2831.074401425639,6092706.269593879,96709.40254094894,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,5.056666666766667,0.8,5.0,2.2022595301943615,6.333333333333333,11.011297650971807,1.0,4.3812636827015234e-05,506.6666717333332,0.19736842105263158,5794299.828429746,1.0515,0.014900000000000002,5794299.828429746,86335.06744360323,86335.06744360323,10374.335097345713,493048.6889006292,8691.44974264462,289714.99142148736,5794.299828429746,5214.8698455867725,46354.39862743797,17382.89948528924,11588.599656859493,0.35660419645962116,0.27261797487122436,0.014039825705868092,0.06244301636956253,0.007503379512966176,0.27261797487122436,0.014039825705868092,0.06244301636956253,0.007503379512966176,0.005455766295924915,0.0020476132170412606,0.06981304969187786,0.06981304969187786,3037136.280212564,2757163.548217182,1.0,5794299.828429746,1.0,6.333333333333333,1,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7694739.927243432,0.0,0.0,11.011297650971807,0.0004381263682701524,7543.260695920075,28310.74401425639,8091019.033496469,150505.62962610362,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,5.056666666766667,0.8,5.0,2.2022595301943615,6.333333333333333,11.011297650971807,10.0,0.0004381263682701524,506.6666717333332,1.9736842105263157,7694739.927243432,1.0515,0.014900000000000002,7694739.927243432,114651.62491592715,114651.62491592715,35854.004710176465,676838.0290168812,11542.109890865147,384736.9963621716,7694.739927243432,6925.26593451909,61557.91941794746,23084.219781730295,15389.479854486864,0.48953234620511066,0.3620324246655941,0.018644669870278074,0.08292335320290091,0.02593189846633752,0.3620324246655941,0.018644669870278074,0.08292335320290091,0.02593189846633752,0.005455766295924915,0.020476132170412605,0.06981304969187786,0.06981304969187786,3037136.280212564,4657603.647030869,1.0,7694739.927243432,1.0,6.333333333333333,10,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6681803.773065806,0.0,0.0,15.647633504012571,4.3812636827015234e-05,10719.370462623267,2831.074401425639,7025916.667378696,113109.32108272942,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,7.1900000000999995,0.8,5.0,3.129526700802514,9.0,15.647633504012571,1.0,4.3812636827015234e-05,720.0000071999997,0.1388888888888889,6681803.773065806,1.0515,0.014900000000000002,6681803.773065806,99558.87621868053,99558.87621868053,13550.444864048906,570155.2830501477,10022.70565959871,334090.18865329033,6681.803773065806,6013.623395759227,53454.43018452645,20045.41131919742,13363.607546131612,0.41237259351131467,0.3143744485161987,0.01619028409858424,0.07200731662738663,0.009800544269145088,0.3143744485161987,0.01619028409858424,0.07200731662738663,0.009800544269145088,0.0077529310521038276,0.0020476132170412606,0.09920801798319488,0.09920801798319488,3924640.224848624,2757163.548217182,1.0,6681803.773065806,1.0,9.0,1,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8582243.871879492,0.0,0.0,15.647633504012571,0.0004381263682701524,10719.370462623267,28310.74401425639,9024229.431281287,166905.54816788412,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,7.1900000001,0.8,5.0,3.129526700802514,9.0,15.647633504012571,10.0,0.0004381263682701524,720.0000071999998,1.3888888888888888,8582243.871879492,1.0515,0.014900000000000002,8582243.871879492,127875.43369100445,127875.43369100445,39030.11447687966,753944.6231663999,12873.365807819238,429112.19359397463,8582.243871879493,7724.019484691544,68657.95097503594,25746.731615638477,17164.487743758986,0.5453007432568042,0.4037888983105684,0.020795128262994306,0.09248765346072503,0.028229063222516435,0.4037888983105684,0.020795128262994306,0.09248765346072503,0.028229063222516435,0.0077529310521038276,0.020476132170412605,0.09920801798319488,0.09920801798319488,3924640.224848624,4657603.647030869,1.0,8582243.871879492,1.0,9.0,10,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7569307.717701864,0.0,0.0,20.28396935705333,4.3812636827015234e-05,13895.480229326455,2831.074401425639,7959127.065163512,129509.23962450988,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,9.323333333433332,0.8,5.0,4.056793871410666,11.666666666666666,20.28396935705333,1.0,4.3812636827015234e-05,933.3333426666662,0.10714285714285715,7569307.717701864,1.0515,0.014900000000000002,7569307.717701864,112782.6849937578,112782.6849937578,16726.554630752093,647261.8771996662,11353.961576552796,378465.38588509324,7569.307717701865,6812.376945931679,60554.46174161492,22707.923153105592,15138.61543540373,0.4681409905630081,0.3561309221611729,0.018340742491300435,0.08157161688521072,0.012097709025324,0.3561309221611729,0.018340742491300435,0.08157161688521072,0.012097709025324,0.010050095808282738,0.0020476132170412606,0.12860298627451186,0.12860298627451186,4812144.169484682,2757163.548217182,1.0,7569307.717701864,1.0,11.666666666666666,1,default,OzoneAOPZO,ozone_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9469747.81651555,0.0,0.0,20.28396935705333,0.0004381263682701524,13895.480229326455,28310.74401425639,9957439.829066103,183305.4667096646,-3806310.0,-953016.0,884691.0,235793.0,1228000.0,0.2277,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679165e-07,1.0,0.728305,1.0,9.323333333433332,0.8,5.0,4.056793871410666,11.666666666666666,20.28396935705333,10.0,0.0004381263682701524,933.3333426666662,1.0714285714285716,9469747.81651555,1.0515,0.014900000000000002,9469747.81651555,141099.24246608172,141099.24246608172,42206.224243582845,831051.2173159184,14204.621724773326,473487.39082577755,9469.74781651555,8522.773034863996,75757.9825321244,28409.24344954665,18939.4956330311,0.6010691403084977,0.4455453719555426,0.022945586655710542,0.10205195371854911,0.030526227978695343,0.4455453719555426,0.022945586655710542,0.10205195371854911,0.030526227978695343,0.010050095808282738,0.020476132170412605,0.12860298627451186,0.12860298627451186,4812144.169484682,4657603.647030869,1.0,9469747.81651555,1.0,11.666666666666666,10,default,OzoneAOPZO,ozone_aop
