fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.ozone.ozone_capital_a_parameter[default],fs.costing.ozone.ozone_capital_b_parameter[default],fs.costing.ozone.ozone_capital_c_parameter[default],fs.costing.ozone.ozone_capital_d_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[toc],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[toc],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,toc]",fs.unit.contact_time,fs.unit.concentration_time,fs.unit.mass_transfer_efficiency,fs.unit.specific_energy_coeff,fs.unit.ozone_flow_mass,fs.unit.ozone_consumption,fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[OzoneZO],fs.costing.LCOW_aggregate_indirect_capex[OzoneZO],fs.costing.LCOW_aggregate_fixed_opex[OzoneZO],fs.costing.LCOW_aggregate_variable_opex[OzoneZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,dose,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1262128.3909404452,0.0,0.0,1.7386259448902854,1191.041162513696,1327128.0030738781,19996.75418752633,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,0.7900000000999999,0.8,5.0,0.3477251889780571,1.0,1.7386259448902854,1262128.3909404452,1.0515,0.014900000000000002,1262128.3909404452,18805.713025012636,18805.713025012636,1191.041162513696,106328.33532270379,1893.192586410668,63106.41954702226,1262.1283909404453,1135.9155518464008,10097.027127523563,3786.385172821336,2524.2567818808907,0.07690342035628837,0.05938230608596353,0.003058188763427126,0.013601488723330637,0.0008614367835670918,0.05938230608596353,0.003058188763427126,0.013601488723330637,0.0008614367835670918,0.0008614367835670918,0.011023113109243874,0.011023113109243874,1.0,1262128.3909404452,1.0,1.0,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2149632.335576505,0.0,0.0,6.3749617979310464,4367.150929216887,2260338.400858695,36396.67272930682,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,2.923333333433333,0.8,5.0,1.2749923595862094,3.6666666666666665,6.3749617979310464,2149632.335576505,1.0515,0.014900000000000002,2149632.335576505,32029.521800089926,32029.521800089926,4367.150929216887,183434.9294722224,3224.4485033647575,107481.61677882525,2149.632335576505,1934.6691020188546,17197.05868461204,6448.897006729515,4299.26467115301,0.13267181740798192,0.10113877973093784,0.005208647156143317,0.02316578898115474,0.003158601539746003,0.10113877973093784,0.005208647156143317,0.02316578898115474,0.003158601539746003,0.003158601539746004,0.04041808140056087,0.04041808140056087,1.0,2149632.335576505,1.0,3.6666666666666665,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3037136.280212564,0.0,0.0,11.011297650971807,7543.260695920075,3193548.7986435113,52796.59127108729,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,5.056666666766667,0.8,5.0,2.2022595301943615,6.333333333333333,11.011297650971807,3037136.280212564,1.0515,0.014900000000000002,3037136.280212564,45253.33057516721,45253.33057516721,7543.260695920075,260541.5236217409,4555.704420318846,151856.8140106282,3037.136280212564,2733.422652191308,24297.090241700513,9111.408840637692,6074.272560425128,0.18844021445967538,0.1428952533759121,0.007359105548859488,0.03273008923897884,0.005455766295924915,0.1428952533759121,0.007359105548859488,0.03273008923897884,0.005455766295924915,0.005455766295924915,0.06981304969187786,0.06981304969187786,1.0,3037136.280212564,1.0,6.333333333333333,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3924640.224848624,0.0,0.0,15.647633504012571,10719.370462623267,4126759.1964283283,69196.50981286776,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,7.1900000000999995,0.8,5.0,3.129526700802514,9.0,15.647633504012571,3924640.224848624,1.0515,0.014900000000000002,3924640.224848624,58477.1393502445,58477.1393502445,10719.370462623267,337648.1177712595,5886.960337272936,196232.0112424312,3924.640224848624,3532.1762023637616,31397.12179878899,11773.920674545872,7849.280449697248,0.2442086115113689,0.18465172702088642,0.009509563941575679,0.04229438949680295,0.0077529310521038276,0.18465172702088642,0.009509563941575679,0.04229438949680295,0.0077529310521038276,0.0077529310521038276,0.09920801798319488,0.09920801798319488,1.0,3924640.224848624,1.0,9.0,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4812144.169484682,0.0,0.0,20.28396935705333,13895.480229326457,5059969.594213144,85596.42835464823,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,9.323333333433332,0.8,5.0,4.056793871410666,11.666666666666666,20.28396935705333,4812144.169484682,1.0515,0.014900000000000002,4812144.169484682,71700.94812532178,71700.94812532178,13895.480229326457,414754.7119207779,7218.2162542270235,240607.20847423412,4812.144169484683,4330.929752536214,38497.15335587746,14436.432508454047,9624.288338969365,0.2999770085630623,0.22640820066586068,0.01166002233429183,0.05185868975462705,0.01005009580828274,0.22640820066586068,0.01166002233429183,0.05185868975462705,0.01005009580828274,0.01005009580828274,0.12860298627451186,0.12860298627451186,1.0,4812144.169484682,1.0,11.666666666666666,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5699648.114120744,0.0,0.0,24.920305210094085,17071.58999602964,5993179.991997963,101996.34689642875,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,11.456666666766665,0.8,5.0,4.984061042018817,14.333333333333332,24.920305210094085,5699648.114120744,1.0515,0.014900000000000002,5699648.114120744,84924.7569003991,84924.7569003991,17071.58999602964,491861.3060702967,8549.472171181116,284982.40570603724,5699.648114120744,5129.68330270867,45597.18491296595,17098.944342362232,11399.296228241488,0.3557454056147559,0.2681646743108351,0.01381048072700802,0.06142299001245116,0.012347260564461646,0.2681646743108351,0.01381048072700802,0.06142299001245116,0.012347260564461646,0.012347260564461646,0.15799795456582882,0.15799795456582882,1.0,5699648.114120744,1.0,14.333333333333332,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6587152.058756802,0.0,0.0,29.55664106313485,20247.699762732835,6926390.389782778,118396.2654382092,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,13.5900000001,0.8,5.0,5.91132821262697,17.0,29.55664106313485,6587152.058756802,1.0515,0.014900000000000002,6587152.058756802,98148.56567547636,98148.56567547636,20247.699762732835,568967.9002198151,9880.728088135204,329357.60293784016,6587.152058756802,5928.436852881123,52697.216470054416,19761.456176270407,13174.304117513604,0.4115138026664493,0.30992114795580933,0.015960939119724214,0.07098729027027526,0.014644425320640562,0.30992114795580933,0.015960939119724214,0.07098729027027526,0.014644425320640562,0.014644425320640562,0.18739292285714584,0.18739292285714584,1.0,6587152.058756802,1.0,17.0,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7474656.003392867,0.0,0.0,34.19297691617561,23423.80952943602,7859600.787567601,134796.18397998976,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,15.723333333433331,0.8,5.0,6.8385953832351225,19.666666666666664,34.19297691617561,7474656.003392867,1.0515,0.014900000000000002,7474656.003392867,111372.37445055373,111372.37445055373,23423.80952943602,646074.4943693341,11211.9840050893,373732.80016964336,7474.656003392867,6727.190403053581,59797.24802714294,22423.9680101786,14949.312006785734,0.4672821997181431,0.35167762160078386,0.018111397512440404,0.08055159052809942,0.016941590076819474,0.35167762160078386,0.018111397512440404,0.08055159052809942,0.016941590076819474,0.01694159007681947,0.21678789114846284,0.21678789114846284,1.0,7474656.003392867,1.0,19.666666666666664,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8362159.94802892,0.0,0.0,38.82931276921637,26599.919296139215,8792811.185352411,151196.10252177017,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,17.856666666766664,0.8,5.0,7.765862553843275,22.333333333333332,38.82931276921637,8362159.94802892,1.0515,0.014900000000000002,8362159.94802892,124596.18322563093,124596.18322563093,26599.919296139215,723181.0885188523,12543.23992204338,418107.99740144605,8362.15994802892,7525.9439532260285,66897.27958423136,25086.47984408676,16724.31989605784,0.5230505967698363,0.39343409524575784,0.020261855905156678,0.09011589078592346,0.019238754832998386,0.39343409524575784,0.020261855905156678,0.09011589078592346,0.019238754832998386,0.019238754832998386,0.24618285943977983,0.24618285943977983,1.0,8362159.94802892,1.0,22.333333333333332,default,OzoneZO,ozone
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9249663.892664984,0.0,0.0,43.465648622257135,29776.029062842405,9726021.583137231,167596.02106355067,-3806310.0,-953016.0,884691.0,235793.0,43.812636388888876,4.3812636388888877e-07,43.812636388888876,1.1903674243679156e-07,1.0,0.728305,1.0,19.9900000001,0.8,5.0,8.693129724451428,25.0,43.465648622257135,9249663.892664984,1.0515,0.014900000000000002,9249663.892664984,137819.99200070827,137819.99200070827,29776.029062842405,800287.6826683709,13874.495838997476,462483.1946332492,9249.663892664985,8324.697503398485,73997.31114131988,27748.991677994953,18499.32778532997,0.5788189938215299,0.4351905688907323,0.022412314297872743,0.09968019104374759,0.021535919589177298,0.4351905688907323,0.022412314297872743,0.09968019104374759,0.021535919589177298,0.021535919589177298,0.27557782773109685,0.27557782773109685,1.0,9249663.892664984,1.0,25.0,default,OzoneZO,ozone
