fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.photothermal_membrane.membrane_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.water_flux,fs.unit.membrane_area,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[PhotothermalMembraneZO],fs.costing.LCOW_aggregate_indirect_capex[PhotothermalMembraneZO],fs.costing.LCOW_aggregate_fixed_opex[PhotothermalMembraneZO],fs.costing.LCOW_aggregate_variable_opex[PhotothermalMembraneZO],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,376154.3435712508,0.0,0.0,395526.29226517025,5604.699719211637,12.0,4.381263638888887,0.0004381263638888888,0.43812636388888876,0.00039431372749999994,3.9431372749999984,4.3812636388888886e-05,0.1,0.1,1.0,15772.549099999995,376154.3435712508,1.0515,0.0149,227972.3294371217,5604.699719211637,5604.699719211637,0.0,31334.252643041855,564.2315153568762,18807.71717856254,376.1543435712508,338.53890921412574,3009.2347485700066,1128.4630307137525,752.3086871425016,0.2266066023054397,0.10724874950430299,0.07882514966692511,0.04053270313421161,0.0,0.10724874950430299,0.07882514966692511,0.04053270313421161,0.0,1.65,227972.3294371217,0.1,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3495100.7756828726,0.0,0.0,3675098.465630541,52077.001557674805,12.0,40.70924131134258,0.004070924131134258,4.070924131134258,0.0036638317180208305,36.638317180208325,0.00040709241311342586,0.1,0.1,1.0,146553.2687208333,3495100.7756828726,1.0515,0.0149,2118242.894353256,52077.001557674805,52077.001557674805,0.0,291147.43080826395,5242.651163524309,174755.03878414363,3495.1007756828726,3145.590698114586,27960.80620546298,10485.302327048617,6990.201551365745,0.2266066023054397,0.107248749504303,0.07882514966692511,0.04053270313421161,0.0,0.107248749504303,0.07882514966692511,0.04053270313421161,0.0,1.65,2118242.894353256,0.9291666666666666,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6614047.207794493,0.0,0.0,6954670.63899591,98549.30339613796,12.0,77.03721898379627,0.007703721898379629,7.703721898379627,0.006933349708541666,69.33349708541664,0.0007703721898379629,0.1,0.1,1.0,277333.9883416665,6614047.207794493,1.0515,0.0149,4008513.45926939,98549.30339613794,98549.30339613794,0.0,550960.6089734859,9921.07081169174,330702.36038972466,6614.047207794493,5952.642487015044,52912.377662355946,19842.14162338348,13228.094415588987,0.22660660230543966,0.10724874950430299,0.0788251496669251,0.0405327031342116,0.0,0.10724874950430299,0.0788251496669251,0.0405327031342116,0.0,1.65,4008513.45926939,1.7583333333333333,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9732993.639906116,0.0,0.0,10234242.81236128,145021.60523460113,12.0,113.36519665624996,0.011336519665624998,11.336519665624998,0.010202867699062496,102.02867699062496,0.0011336519665625,0.1,0.1,1.0,408114.7079624999,9732993.639906116,1.0515,0.0149,5898784.024185525,145021.60523460113,145021.60523460113,0.0,810773.7871387079,14599.490459859175,486649.6819953058,9732.993639906115,8759.694275915504,77863.94911924892,29198.98091971835,19465.98727981223,0.22660660230543964,0.10724874950430299,0.0788251496669251,0.04053270313421161,0.0,0.10724874950430299,0.0788251496669251,0.04053270313421161,0.0,1.65,5898784.024185525,2.5875,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12851940.072017735,0.0,0.0,13513814.985726649,191493.90707306427,12.0,149.69317432870363,0.014969317432870366,14.969317432870364,0.013472385689583335,134.72385689583328,0.0014969317432870367,0.1,0.1,1.0,538895.4275833331,12851940.072017735,1.0515,0.0149,7789054.589101658,191493.90707306424,191493.90707306424,0.0,1070586.96530393,19277.9101080266,642597.0036008868,12851.940072017735,11566.746064815963,102815.52057614188,38555.8202160532,25703.88014403547,0.22660660230543972,0.107248749504303,0.07882514966692511,0.04053270313421161,0.0,0.107248749504303,0.07882514966692511,0.04053270313421161,0.0,1.65,7789054.589101658,3.4166666666666665,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,15970886.504129354,0.0,0.0,16793387.159092017,237966.2089115274,12.0,186.02115200115733,0.018602115200115732,18.602115200115733,0.016741903680104163,167.41903680104159,0.0018602115200115736,0.1,0.1,1.0,669676.1472041664,15970886.504129354,1.0515,0.0149,9679325.154017791,237966.20891152738,237966.20891152738,0.0,1330400.1434691518,23956.32975619403,798544.3252064678,15970.886504129354,14373.79785371642,127767.09203303483,47912.65951238806,31941.773008258708,0.22660660230543966,0.10724874950430298,0.07882514966692507,0.0405327031342116,0.0,0.10724874950430298,0.07882514966692507,0.0405327031342116,0.0,1.65,9679325.154017791,4.245833333333333,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,19089832.936240975,0.0,0.0,20072959.332457386,284438.5107499905,12.0,222.349129673611,0.022234912967361103,22.2349129673611,0.020011421670624994,200.1142167062499,0.0022234912967361176,0.1,0.1,1.0,800456.8668249996,19089832.936240975,1.0515,0.0149,11569595.718933925,284438.5107499905,284438.5107499905,0.0,1590213.3216343739,28634.749404361464,954491.6468120487,19089.832936240975,17180.84964261688,152718.6634899278,57269.49880872293,38179.66587248195,0.2266066023054397,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,1.65,11569595.718933925,5.074999999999999,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,22208779.368352596,0.0,0.0,23352531.505822755,330910.81258845376,12.0,258.6771073460647,0.025867710734606475,25.867710734606472,0.02328093966114583,232.80939661145823,0.002586771073460648,0.1,0.1,1.0,931237.586445833,22208779.368352596,1.0515,0.0149,13459866.283850059,330910.8125884537,330910.8125884537,0.0,1850026.499799596,33313.169052528894,1110438.9684176298,22208.779368352596,19987.901431517337,177670.23494682077,66626.33810505779,44417.55873670519,0.2266066023054397,0.10724874950430299,0.07882514966692508,0.04053270313421161,0.0,0.10724874950430299,0.07882514966692508,0.04053270313421161,0.0,1.65,13459866.283850059,5.904166666666666,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,25327725.800464213,0.0,0.0,26632103.67918812,377383.11442691676,12.0,295.00508501851834,0.029500508501851843,29.500508501851833,0.02655045765166665,265.5045765166665,0.0029500508501851754,0.1,0.1,1.0,1062018.306066666,25327725.800464213,1.0515,0.0149,15350136.84876619,377383.11442691676,377383.11442691676,0.0,2109839.6779648177,37991.58870069632,1266386.2900232107,25327.725800464214,22794.953220417792,202621.8064037137,75983.17740139263,50655.45160092843,0.2266066023054397,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,1.65,15350136.84876619,6.7333333333333325,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,28446672.23257584,0.0,0.0,29911675.852553498,423855.4162653801,12.0,331.3330626909721,0.03313330626909721,33.13330626909721,0.029819975642187486,298.1997564218749,0.0033133306269097318,0.1,0.1,1.0,1192799.0256874997,28446672.23257584,1.0515,0.0149,17240407.41368233,423855.41626538004,423855.41626538004,0.0,2369652.8561300403,42670.00834886376,1422333.6116287922,28446.672232575842,25602.005009318258,227573.37786060674,85340.01669772752,56893.344465151684,0.2266066023054397,0.10724874950430299,0.07882514966692511,0.04053270313421161,0.0,0.10724874950430299,0.07882514966692511,0.04053270313421161,0.0,1.65,17240407.41368233,7.562499999999999,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,31565618.664687462,0.0,0.0,33191248.02591887,470327.7181038432,12.0,367.6610403634258,0.036766104036342576,36.76610403634258,0.033089493632708335,330.8949363270832,0.0036766104036342583,0.1,0.1,1.0,1323579.7453083328,31565618.664687462,1.0515,0.0149,19130677.978598464,470327.71810384316,470327.71810384316,0.0,2629466.0342952623,47348.42799703119,1578280.933234373,31565.618664687463,28409.05679821872,252524.9493174997,94696.85599406238,63131.237329374926,0.2266066023054397,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,0.10724874950430299,0.07882514966692508,0.0405327031342116,0.0,1.65,19130677.978598464,8.391666666666666,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,34684565.09679909,0.0,0.0,36470820.19928425,516800.0199423065,12.0,403.9890180358795,0.040398901803587954,40.398901803587954,0.03635901162322915,363.59011623229156,0.0040398901803587964,0.1,0.1,1.0,1454360.4649291662,34684565.09679909,1.0515,0.0149,21020948.543514602,516800.01994230645,516800.01994230645,0.0,2889279.212460485,52026.847645198635,1734228.2548399547,34684.56509679909,31216.108587119183,277476.5207743927,104053.69529039727,69369.13019359818,0.22660660230543972,0.107248749504303,0.0788251496669251,0.04053270313421161,0.0,0.107248749504303,0.0788251496669251,0.04053270313421161,0.0,1.65,21020948.543514602,9.220833333333333,default,PhotothermalMembraneZO,photothermal_membrane
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,37803511.5289107,0.0,0.0,39750392.3726496,563272.3217807695,12.0,440.3169957083331,0.04403169957083332,44.03169957083331,0.03962852961374999,396.28529613749976,0.004403169957083332,0.1,0.1,1.0,1585141.1845499992,37803511.5289107,1.0515,0.0149,22911219.108430725,563272.3217807694,563272.3217807694,0.0,3149092.390625706,56705.26729336604,1890175.5764455348,37803.5115289107,34023.16037601963,302428.0922312856,113410.53458673209,75607.0230578214,0.2266066023054397,0.10724874950430298,0.0788251496669251,0.0405327031342116,0.0,0.10724874950430298,0.0788251496669251,0.0405327031342116,0.0,1.65,22911219.108430725,10.049999999999999,default,PhotothermalMembraneZO,photothermal_membrane
