fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.primary_separator.capital_a_parameter[default],fs.costing.primary_separator.capital_b_parameter[default],fs.costing.primary_separator.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_indirect_capex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_fixed_opex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_variable_opex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,235463.1023036313,0.0,0.0,0.0,0.0,247589.45207226835,3508.400224324107,603553.383,0.3182,5450.0,4.381263638888887,0.0004381263638888888,4.376882375249998,0.00039431372749999994,0.004381263638888982,4.3812636388888886e-05,0.999,0.1,3.7694835252461893e-23,0.0,235463.1023036313,1.0515,0.014900000000000002,142704.9104870493,3508.400224324107,3508.400224324107,0.0,19614.44939236452,353.194653455447,11773.155115181566,235.46310230363133,211.9167920732682,1883.7048184290506,706.389306910894,470.92620460726266,0.14184999985575636,0.06713500377720562,0.049342549401151715,0.02537244667739901,1.8674788104940434e-25,0.06713500377720562,0.049342549401151715,0.02537244667739901,1.8674788104940434e-25,0.0,0.0,2.3896623118356515e-24,1.65,142704.9104870493,0.1,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,478597.30857777235,0.0,0.0,0.0,0.0,503245.06996952766,7131.099897808809,603553.383,0.3182,5450.0,40.70924131134258,0.004070924131134258,40.66853207003124,0.0036638317180208322,0.040709241311343465,0.0004070924131134258,0.999,0.1,3.7694835252461893e-23,0.0,478597.30857777235,1.0515,0.014900000000000002,290058.9748956196,7131.099897808809,7131.099897808809,0.0,39867.91389640077,717.8959628666586,23929.865428888617,478.59730857777237,430.73757771999516,3828.778468622179,1435.7919257333172,957.1946171555447,0.03103009524758194,0.01468597507065085,0.010793824527551605,0.005550295649379487,2.0098426660025575e-26,0.01468597507065085,0.010793824527551605,0.005550295649379487,2.0098426660025575e-26,0.0,0.0,2.5718338782087724e-25,1.65,290058.9748956196,0.9291666666666666,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,586292.1326128856,0.0,0.0,0.0,0.0,616486.1774424493,8735.752775931995,603553.383,0.3182,5450.0,77.03721898379627,0.007703721898379629,76.96018176481248,0.0069333497085416656,0.07703721898378588,0.0007703721898379629,0.999,0.1,3.7694835252461893e-23,0.0,586292.1326128856,1.0515,0.014900000000000002,355328.56521993066,8735.752775931996,8735.752775931996,0.0,48839.06332571734,879.4381989193283,29314.60663064428,586.2921326128856,527.662919351597,4690.337060903084,1758.8763978386567,1172.584265225771,0.02008719683361902,0.009506901915190668,0.0069873352351172615,0.0035929596833110928,1.0620732571530105e-26,0.009506901915190668,0.0069873352351172615,0.0035929596833110928,1.0620732571530105e-26,0.0,0.0,1.3590496560202756e-25,1.65,355328.56521993066,1.7583333333333333,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,662981.4722820712,0.0,0.0,1.4895864413620027e-36,1.0204373010759365e-33,697125.0181045979,9878.423937002863,603553.383,0.3182,5450.0,113.36519665624996,0.011336519665624998,113.25183145959372,0.010202867699062498,0.11336519665625243,0.0011336519665624998,0.999,0.1,3.7694835252461893e-23,0.0,662981.4722820712,1.0515,0.014900000000000002,401806.95289822505,9878.423937002863,9878.423937002863,1.0204373010759365e-33,55227.40679507074,994.4722084231068,33149.07361410357,662.9814722820713,596.6833250538642,5303.8517782565705,1988.9444168462137,1325.9629445641426,0.015435742011514082,0.007305453643290342,0.005369325791477321,0.0027609625767464232,7.217309412537365e-27,0.007305453643290342,0.005369325791477321,0.0027609625767464232,7.217309412537365e-27,2.8520634649352638e-40,3.649556040379462e-39,9.23540990081411e-26,1.65,401806.95289822505,2.5875,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,724294.5417806201,0.0,0.0,0.0,0.0,761595.7106823222,10791.98867253124,603553.383,0.3182,5450.0,149.69317432870363,0.014969317432870366,149.54348115437492,0.01347238568958333,0.1496931743287365,0.0014969317432870367,0.999,0.1,3.7694835252461893e-23,0.0,724294.5417806201,1.0515,0.014900000000000002,438966.3889579516,10791.98867253124,10791.98867253124,0.0,60334.88260339941,1086.4418126709302,36214.72708903101,724.2945417806201,651.8650876025582,5794.356334244961,2172.8836253418604,1448.5890835612402,0.012770828704581216,0.006044199042593891,0.004442335191330445,0.0022842944706568807,5.465791640470372e-27,0.006044199042593891,0.004442335191330445,0.0022842944706568807,5.465791640470372e-27,0.0,0.0,6.994133595616542e-26,1.65,438966.3889579516,3.4166666666666665,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,776141.0787870083,0.0,0.0,0.0,0.0,816112.3443445392,11564.502073926426,603553.383,0.3182,5450.0,186.02115200115733,0.018602115200115732,185.83513084915617,0.01674190368010416,0.18602115200116137,0.0018602115200115736,0.999,0.1,3.7694835252461893e-23,0.0,776141.0787870083,1.0515,0.014900000000000002,470388.53259818687,11564.502073926426,11564.502073926426,0.0,64653.78126026754,1164.2116181805125,38807.053939350415,776.1410787870083,698.5269709083076,6209.128630296066,2328.423236361025,1552.2821575740165,0.011012456492513936,0.005211993718526844,0.0038306850832742685,0.0019697776907128257,4.398379926580671e-27,0.005211993718526844,0.0038306850832742685,0.0019697776907128257,4.398379926580671e-27,0.0,0.0,5.628252746227246e-26,1.65,470388.53259818687,4.245833333333333,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,821471.7100072525,0.0,0.0,1.4895864413620027e-36,1.0204373010759365e-33,863777.5030726262,12239.928479108063,603553.383,0.3182,5450.0,222.349129673611,0.022234912967361103,222.1267805439374,0.020011421670624994,0.2223491296735811,0.0022234912967361103,0.999,0.1,3.7694835252461893e-23,0.0,821471.7100072525,1.0515,0.014900000000000002,497861.6424286379,12239.928479108064,12239.928479108064,1.0204373010759365e-33,68429.8946440404,1232.2075650108789,41073.58550036263,821.4717100072526,739.3245390065273,6571.773680058021,2464.4151300217577,1642.9434200145051,0.009751311795997225,0.00461511705972989,0.0033919956609749762,0.0017441990752923595,3.679761202943928e-27,0.00461511705972989,0.0033919956609749762,0.0017441990752923595,3.679761202943928e-27,1.454130879905418e-40,1.860734237336327e-39,4.7086942105135994e-26,1.65,497861.6424286379,5.074999999999999,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,861996.5565359328,0.0,0.0,0.0,0.0,906389.3791975335,12843.7486923854,603553.383,0.3182,5450.0,258.6771073460647,0.025867710734606475,258.41843023871866,0.02328093966114583,0.25867710734602983,0.002586771073460648,0.999,0.1,3.7694835252461893e-23,0.0,861996.5565359328,1.0515,0.014900000000000002,522422.1554763229,12843.748692385401,12843.748692385401,0.0,71805.67855070592,1292.9948348038993,43099.827826796645,861.9965565359329,775.7969008823396,6895.972452287463,2585.9896696077985,1723.9931130718658,0.008795355549974383,0.004162680498201177,0.0030594660991654114,0.0015732089526077962,3.1629845767012737e-27,0.004162680498201177,0.0030594660991654114,0.0015732089526077962,3.1629845767012737e-27,0.0,0.0,4.0474167596369543e-26,1.65,522422.1554763229,5.904166666666666,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,898805.4232071762,0.0,0.0,0.0,0.0,945093.9025023459,13392.200805786926,603553.383,0.3182,5450.0,295.00508501851834,0.029500508501851843,294.7100799334998,0.026550457651666654,0.2950050850185247,0.0029500508501851845,0.999,0.1,3.7694835252461893e-23,0.0,898805.4232071762,1.0515,0.014900000000000002,544730.5595195007,13392.200805786926,13392.200805786926,0.0,74871.9154491835,1348.2081348107642,44940.27116035881,898.8054232071762,808.9248808864586,7190.44338565741,2696.4162696215285,1797.6108464143524,0.008041592233399337,0.0038059381424955536,0.00279726938628067,0.0014383847046231125,2.7734833819218474e-27,0.0038059381424955536,0.00279726938628067,0.0014383847046231125,2.7734833819218474e-27,0.0,0.0,3.549003433419285e-26,1.65,544730.5595195007,6.7333333333333325,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,932640.3222743759,0.0,0.0,0.0,0.0,980671.2988715065,13896.340801888204,603553.383,0.3182,5450.0,331.3330626909721,0.03313330626909721,331.0017296282811,0.02981997564218749,0.3313330626909793,0.003313330626909721,0.999,0.1,3.7694835252461893e-23,0.0,932640.3222743759,1.0515,0.014900000000000002,565236.5589541673,13896.340801888204,13896.340801888204,0.0,77690.4161355185,1398.960483411564,46632.0161137188,932.640322274376,839.3762900469384,7461.122578195008,2797.920966823128,1865.280644548752,0.0074294262919663,0.003516211227922591,0.002584327347242406,0.0013288877168013027,2.4693934684218756e-27,0.003516211227922591,0.002584327347242406,0.0013288877168013027,2.4693934684218756e-27,0.0,0.0,3.1598840487082994e-26,1.65,565236.5589541673,7.562499999999999,default,PrimarySeparatorZO,primary_separator
