fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.pump_electricity.pump_cost[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,fs.unit.electricity[0.0],fs.unit.applied_pressure[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[PumpElectricityZO],fs.costing.LCOW_aggregate_indirect_capex[PumpElectricityZO],fs.costing.LCOW_aggregate_fixed_opex[PumpElectricityZO],fs.costing.LCOW_aggregate_variable_opex[PumpElectricityZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3274.2633469006614,0.0,0.0,1.6164077553408709,1107.3159109786743,3442.887909266046,1156.1024348474941,94.0,4.381263638888887,0.0004381263638888888,30.47,0.9,0.9,1.6164077553408709,2.988086255,3274.2633469006614,1.0515,0.0149,1984.4020284246435,48.786523868819856,48.786523868819856,1107.3159109786743,1380.0672341657835,4.911395020350993,163.71316734503307,3.2742633469006615,2.9468370122105956,26.19410677520529,9.822790040701985,6.548526693801323,0.009980526756135024,0.0009335546844120205,0.0006861393541757248,0.0003528199168541993,0.008008012800693081,0.0009335546844120205,0.0006861393541757248,0.0003528199168541993,0.008008012800693081,0.00800801280069308,0.10247209379286693,0.10247209379286693,1.65,1984.4020284246435,0.1,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,30423.363598285316,0.0,0.0,15.019122060042264,10288.810339510186,31990.166823597014,10742.118457124638,94.0,40.70924131134258,0.004070924131134258,30.47,0.9,0.9,15.019122060042264,2.988086255,30423.363598285316,1.0515,0.0149,18438.40218077898,453.3081176144512,453.3081176144512,10288.810339510186,12823.124717457076,45.63504539742797,1521.168179914266,30.423363598285317,27.381027238456788,243.38690878628253,91.27009079485595,60.84672719657063,0.009980526756135026,0.0009335546844120204,0.0006861393541757251,0.0003528199168541993,0.008008012800693081,0.0009335546844120204,0.0006861393541757251,0.0003528199168541993,0.008008012800693081,0.008008012800693081,0.10247209379286694,0.10247209379286694,1.65,18438.40218077898,0.9291666666666666,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,57572.463849669955,0.0,0.0,28.421836364743644,19470.30476804169,60537.44573792796,20328.13447940177,94.0,77.03721898379627,0.007703721898379629,30.47,0.9,0.9,28.421836364743644,2.988086255,57572.463849669955,1.0515,0.0149,34892.40233313331,857.8297113600823,857.8297113600823,19470.30476804169,24266.182200748357,86.35869577450494,2878.623192483498,57.57246384966996,51.81521746470297,460.57971079735967,172.71739154900988,115.14492769933992,0.009980526756135023,0.0009335546844120203,0.0006861393541757247,0.00035281991685419926,0.008008012800693078,0.0009335546844120203,0.0006861393541757247,0.00035281991685419926,0.008008012800693078,0.008008012800693078,0.10247209379286691,0.10247209379286691,1.65,34892.40233313331,1.7583333333333333,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,84721.56410105461,0.0,0.0,41.82455066944504,28651.799196573204,89084.72465225893,29914.150501678916,94.0,113.36519665624996,0.011336519665624998,30.47,0.9,0.9,41.82455066944504,2.988086255,84721.56410105461,1.0515,0.0149,51346.40248548765,1262.3513051057137,1262.3513051057137,28651.799196573204,35709.239684039654,127.08234615158192,4236.0782050527305,84.72156410105461,76.24940769094916,677.7725128084369,254.16469230316383,169.44312820210922,0.009980526756135024,0.0009335546844120204,0.0006861393541757247,0.0003528199168541992,0.00800801280069308,0.0009335546844120204,0.0006861393541757247,0.0003528199168541992,0.00800801280069308,0.00800801280069308,0.10247209379286691,0.10247209379286691,1.65,51346.40248548765,2.5875,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,111870.66435243924,0.0,0.0,55.22726497414642,37833.29362510471,117632.00356658988,39500.16652395605,94.0,149.69317432870363,0.014969317432870366,30.47,0.9,0.9,55.22726497414642,2.988086255,111870.66435243924,1.0515,0.0149,67800.40263784197,1666.8728988513446,1666.8728988513446,37833.29362510471,47152.29716733094,167.80599652865888,5593.533217621963,111.87066435243925,100.68359791719533,894.965314819514,335.61199305731776,223.7413287048785,0.009980526756135026,0.0009335546844120204,0.000686139354175725,0.00035281991685419926,0.008008012800693081,0.0009335546844120204,0.000686139354175725,0.00035281991685419926,0.008008012800693081,0.008008012800693081,0.10247209379286694,0.10247209379286694,1.65,67800.40263784197,3.4166666666666665,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,139019.76460382392,0.0,0.0,68.62997927884781,47014.78805363622,146179.28248092087,49086.1825462332,94.0,186.02115200115733,0.018602115200115732,30.47,0.9,0.9,68.62997927884781,2.988086255,139019.76460382392,1.0515,0.0149,84254.40279019631,2071.3944925969763,2071.3944925969763,47014.78805363622,58595.354650622234,208.5296469057359,6950.988230191197,139.01976460382392,125.11778814344154,1112.1581168305913,417.0592938114718,278.03952920764783,0.009980526756135026,0.0009335546844120205,0.000686139354175725,0.0003528199168541993,0.008008012800693081,0.0009335546844120205,0.000686139354175725,0.0003528199168541993,0.008008012800693081,0.008008012800693081,0.10247209379286693,0.10247209379286693,1.65,84254.40279019631,4.245833333333333,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,166168.86485520852,0.0,0.0,82.03269358354918,56196.28248216771,174726.56139525177,58672.19856851032,94.0,222.349129673611,0.022234912967361103,30.47,0.9,0.9,82.03269358354918,2.988086255,166168.86485520852,1.0515,0.0149,100708.40294255063,2475.916086342607,2475.916086342607,56196.28248216771,70038.4121339135,249.25329728281278,8308.443242760426,166.1688648552085,149.55197836968767,1329.350918841668,498.50659456562556,332.337729710417,0.009980526756135023,0.0009335546844120204,0.0006861393541757247,0.0003528199168541992,0.008008012800693078,0.0009335546844120204,0.0006861393541757247,0.0003528199168541992,0.008008012800693078,0.008008012800693078,0.10247209379286691,0.10247209379286691,1.65,100708.40294255063,5.074999999999999,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,193317.96510659318,0.0,0.0,95.4354078882506,65377.77691069924,203273.84030958274,68258.21459078748,94.0,258.6771073460647,0.025867710734606475,30.47,0.9,0.9,95.4354078882506,2.988086255,193317.96510659318,1.0515,0.0149,117162.40309490496,2880.4376800882383,2880.4376800882383,65377.77691069924,81481.46961720481,289.9769476598898,9665.89825532966,193.3179651065932,173.9861685959339,1546.5437208527455,579.9538953197796,386.6359302131864,0.009980526756135026,0.0009335546844120205,0.0006861393541757247,0.00035281991685419926,0.008008012800693083,0.0009335546844120205,0.0006861393541757247,0.00035281991685419926,0.008008012800693083,0.008008012800693081,0.10247209379286694,0.10247209379286694,1.65,117162.40309490496,5.904166666666666,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,220467.0653579778,0.0,0.0,108.83812219295194,74559.27133923072,231821.11922391367,77844.23061306459,94.0,295.00508501851834,0.029500508501851843,30.47,0.9,0.9,108.83812219295194,2.988086255,220467.0653579778,1.0515,0.0149,133616.40324725927,3284.9592738338692,3284.9592738338692,74559.27133923072,92924.52710049607,330.7005980369667,11023.35326789889,220.4670653579778,198.42035882218002,1763.7365228638223,661.4011960739334,440.9341307159556,0.009980526756135024,0.0009335546844120203,0.000686139354175725,0.0003528199168541993,0.008008012800693081,0.0009335546844120203,0.000686139354175725,0.0003528199168541993,0.008008012800693081,0.00800801280069308,0.10247209379286691,0.10247209379286691,1.65,133616.40324725927,6.7333333333333325,default,PumpElectricityZO,pump_electricity
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,247616.1656093625,0.0,0.0,122.24083649765338,83740.76576776226,260368.3981382447,87430.24663534177,94.0,331.3330626909721,0.03313330626909721,30.47,0.9,0.9,122.24083649765338,2.988086255,247616.1656093625,1.0515,0.0149,150070.40339961366,3689.480867579501,3689.480867579501,83740.76576776226,104367.5845837874,371.42424841404375,12380.808280468125,247.61616560936253,222.85454904842626,1980.9293248749002,742.8484968280875,495.23233121872505,0.009980526756135026,0.0009335546844120206,0.0006861393541757247,0.00035281991685419926,0.008008012800693081,0.0009335546844120206,0.0006861393541757247,0.00035281991685419926,0.008008012800693081,0.008008012800693081,0.10247209379286694,0.10247209379286694,1.65,150070.40339961366,7.562499999999999,default,PumpElectricityZO,pump_electricity
