fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.pump.capital_a_parameter[default],fs.costing.pump.capital_b_parameter[default],fs.costing.pump.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[PumpZO],fs.costing.LCOW_aggregate_indirect_capex[PumpZO],fs.costing.LCOW_aggregate_fixed_opex[PumpZO],fs.costing.LCOW_aggregate_variable_opex[PumpZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.pump.capital_a_parameter[abmet],fs.costing.pump.capital_b_parameter[abmet],fs.costing.pump.reference_state[abmet],fs.costing.pump.capital_a_parameter[gac_feed],fs.costing.pump.capital_b_parameter[gac_feed],fs.costing.pump.reference_state[gac_feed],fs.costing.pump.capital_a_parameter[raw_water],fs.costing.pump.capital_b_parameter[raw_water],fs.costing.pump.reference_state[raw_water],fs.costing.pump.capital_a_parameter[recharge_well],fs.costing.pump.capital_b_parameter[recharge_well],fs.costing.pump.reference_state[recharge_well],fs.costing.pump.capital_a_parameter[ultrafiltration_feed],fs.costing.pump.capital_b_parameter[ultrafiltration_feed],fs.costing.pump.reference_state[ultrafiltration_feed]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8338.544697807929,0.0,0.0,0.8044804441004096,551.1072270472479,8767.979749745038,675.351543044586,40299.0,0.8657,1.0,4.381263638888887,0.0004381263638888888,0.8044804441004096,0.051,8338.544697807929,1.0515,0.014900000000000002,8338.544697807929,124.24431599733816,124.24431599733816,551.1072270472479,1245.721208520305,12.507817046711894,416.92723489039645,8.33854469780793,7.504690228027137,66.70835758246344,25.015634093423788,16.67708939561586,0.009008947929871818,0.003922837888851322,0.00020202615127584348,0.0008985241366582346,0.003985559753086419,0.003922837888851322,0.00020202615127584348,0.0008985241366582346,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,8338.544697807929,0.1,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,57433.979532821744,0.0,0.0,7.474964126432974,5120.704651314013,60391.82947876207,5976.470946353057,40299.0,0.8657,1.0,40.70924131134258,0.004070924131134258,7.474964126432974,0.051,57433.979532821744,1.0515,0.014900000000000002,57433.979532821744,855.766295039044,855.766295039044,5120.704651314013,9905.046121069881,86.15096929923261,2871.6989766410875,57.433979532821745,51.690581579539575,459.47183626257396,172.30193859846523,114.86795906564349,0.007709320466758559,0.0029079396420359795,0.00014975889156485306,0.0006660621800713067,0.003985559753086419,0.0029079396420359795,0.00014975889156485306,0.0006660621800713067,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,57433.979532821744,0.9291666666666666,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,99764.12042604317,0.0,0.0,14.145447808765537,9690.302075580776,104901.9726279844,11176.787469928819,40299.0,0.8657,1.0,77.03721898379627,0.007703721898379629,14.145447808765537,0.051,99764.12042604317,1.0515,0.014900000000000002,99764.12042604317,1486.4853943480434,1486.4853943480434,9690.302075580776,18000.811332131096,149.64618063906477,4988.206021302159,99.76412042604318,89.78770838343885,798.1129634083454,299.29236127812953,199.52824085208636,0.007403619475293166,0.002669213230742145,0.00013746448138322092,0.0006113820100813813,0.00398555975308642,0.002669213230742145,0.00013746448138322092,0.0006113820100813813,0.00398555975308642,0.003985559753086419,0.051,0.051,1.0,99764.12042604317,1.7583333333333333,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,139386.52385668983,0.0,0.0,20.8159314910981,14259.899499847541,146564.92983530936,16336.758705312219,40299.0,0.8657,1.0,113.36519665624996,0.011336519665624998,20.8159314910981,0.051,139386.52385668983,1.0515,0.014900000000000002,139386.52385668983,2076.859205464679,2076.859205464679,14259.899499847541,25871.01772353914,209.07978578503474,6969.326192834492,139.38652385668985,125.44787147102086,1115.0921908535188,418.1595715700695,278.7730477133797,0.0072308004002009565,0.0025342562670695114,0.0001305141977540802,0.0005804701822909453,0.003985559753086418,0.0025342562670695114,0.0001305141977540802,0.0005804701822909453,0.003985559753086418,0.003985559753086418,0.051,0.051,1.0,139386.52385668983,2.5875,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,177308.6981662336,0.0,0.0,27.486415173430657,18829.4969241143,186440.09612179466,21471.39652679118,40299.0,0.8657,1.0,149.69317432870363,0.014969317432870366,27.486415173430657,0.051,177308.6981662336,1.0515,0.014900000000000002,177308.6981662336,2641.899602676881,2641.899602676881,18829.4969241143,33599.59233601863,265.96304724935044,8865.434908311681,177.3086981662336,159.57782834961026,1418.4695853298688,531.9260944987009,354.6173963324672,0.007111883205071117,0.0024413920761540923,0.00012573169192193613,0.0005591996839086693,0.003985559753086419,0.0024413920761540923,0.00012573169192193613,0.0005591996839086693,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,177308.6981662336,3.4166666666666665,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,214001.9744127987,0.0,0.0,34.156898855763224,23399.094348381066,225023.07609505786,26587.723767131767,40299.0,0.8657,1.0,186.02115200115733,0.018602115200115732,34.156898855763224,0.051,214001.9744127987,1.0515,0.014900000000000002,214001.9744127987,3188.629418750701,3188.629418750701,23399.094348381066,41225.79779329356,321.00296161919806,10700.098720639937,214.00197441279872,192.60177697151886,1712.0157953023897,642.0059232383961,428.00394882559743,0.007021976065718878,0.002371182265500978,0.00012211588667330043,0.0005431181604581806,0.003985559753086419,0.002371182265500978,0.00012211588667330043,0.0005431181604581806,0.003985559753086419,0.003985559753086419,0.05099999999999999,0.05099999999999999,1.0,214001.9744127987,4.245833333333333,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,249738.92997293433,0.0,0.0,40.82738253809578,27968.691772647828,262600.4848665405,31689.80182924455,40299.0,0.8657,1.0,222.349129673611,0.022234912967361103,40.82738253809578,0.051,249738.92997293433,1.0515,0.014900000000000002,249738.92997293433,3721.110056596722,3721.110056596722,27968.691772647828,48772.34022258945,374.6083949594015,12486.946498646717,249.73892997293433,224.76503697564092,1997.9114397834746,749.216789918803,499.47785994586866,0.006950095407933618,0.0023150496000743505,0.00011922505440382956,0.0005302610003690202,0.003985559753086419,0.0023150496000743505,0.00011922505440382956,0.0005302610003690202,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,249738.92997293433,5.074999999999999,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,284696.5920653503,0.0,0.0,47.49786622042835,32538.289196914593,299358.4665567159,36780.26841868831,40299.0,0.8657,1.0,258.6771073460647,0.025867710734606475,47.49786622042835,0.051,284696.5920653503,1.0515,0.014900000000000002,284696.5920653503,4241.97922177372,4241.97922177372,32538.289196914593,56253.96627163366,427.0448880980255,14234.829603267517,284.69659206535033,256.2269328588153,2277.5727365228026,854.089776196051,569.3931841307007,0.0068904527391367544,0.002268473760677787,0.00011682639867490617,0.0005195928266976417,0.003985559753086419,0.002268473760677787,0.00011682639867490617,0.0005195928266976417,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,284696.5920653503,5.904166666666666,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,318998.8162040491,0.0,0.0,54.1683499027609,37107.88662118135,335427.25523855764,41860.968982621685,40299.0,0.8657,1.0,295.00508501851834,0.029500508501851843,54.1683499027609,0.051,318998.8162040491,1.0515,0.014900000000000002,318998.8162040491,4753.0823614403325,4753.0823614403325,37107.88662118135,63680.99330092808,478.49822430607367,15949.940810202455,318.9988162040491,287.0989345836442,2551.9905296323927,956.9964486121473,637.9976324080982,0.006839635103117732,0.0022287895194880395,0.00011478266025363426,0.0005105031702896387,0.003985559753086419,0.0022287895194880395,0.00011478266025363426,0.0005105031702896387,0.003985559753086419,0.003985559753086419,0.051,0.051,1.0,318998.8162040491,6.7333333333333325,default,PumpZO,pump,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,352736.8946041055,0.0,0.0,60.838833585093475,41677.48404544812,370902.84467621695,46933.26377504929,40299.0,0.8657,1.0,331.3330626909721,0.03313330626909721,60.838833585093475,0.051,352736.8946041055,1.0515,0.014900000000000002,352736.8946041055,5255.779729601172,5255.779729601172,41677.48404544812,71061.02609659411,529.1053419061583,17636.844730205277,352.7368946041055,317.463205143695,2821.895156832844,1058.2106838123166,705.473789208211,0.006795466955605285,0.0021942979619088547,0.00011300634503830588,0.0005026028955717072,0.003985559753086419,0.0021942979619088547,0.00011300634503830588,0.0005026028955717072,0.003985559753086419,0.003985559753086418,0.051,0.051,1.0,352736.8946041055,7.562499999999999,default,PumpZO,pump,,,,,,,,,,,,,,,
