fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.screen.capital_a_parameter[default],fs.costing.screen.capital_b_parameter[default],fs.costing.screen.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ScreenZO],fs.costing.LCOW_aggregate_indirect_capex[ScreenZO],fs.costing.LCOW_aggregate_fixed_opex[ScreenZO],fs.costing.LCOW_aggregate_variable_opex[ScreenZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.screen.capital_a_parameter[drum],fs.costing.screen.capital_b_parameter[drum],fs.costing.screen.reference_state[drum],fs.costing.screen.capital_a_parameter[band],fs.costing.screen.capital_b_parameter[band],fs.costing.screen.reference_state[band],fs.costing.screen.capital_a_parameter[micro],fs.costing.screen.capital_b_parameter[micro],fs.costing.screen.reference_state[micro]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3278.123751866967,0.0,0.0,0.0,0.0,3446.9471250881156,48.844043902817816,6.545,1.0,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.0003943137275,0.00043812636388914023,4.381263638888892e-05,0.9999,0.1,3.769483525243404e-21,0.0,3278.123751866967,1.0515,0.0149,3278.123751866967,48.84404390281781,48.84404390281781,0.0,273.0729010356333,4.917185627800451,163.90618759334836,3.278123751866967,2.95031137668027,26.224990014935734,9.834371255600901,6.556247503733934,0.001974839578601396,0.0015421813426925394,7.942233914866587e-05,0.00035323589676019093,1.8674788104926634e-23,0.0015421813426925394,7.942233914866587e-05,0.00035323589676019093,1.8674788104926634e-23,0.0,0.0,2.3896623118338856e-22,1.0,3278.123751866967,0.1,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,30459.23319443041,0.0,0.0,0.0,0.0,32027.88370394358,453.84257459701314,6.545,1.0,1.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180256617,0.004070924131186039,0.0004070924131182723,0.9999,0.1,5.218206108982621e-17,0.0,30459.23319443057,1.0515,0.0149,30459.23319443057,453.8425745970131,453.8425745970131,0.0,2537.3023721227464,45.688849791645616,1522.9616597215206,30.45923319443041,27.41330987498737,243.67386555544329,91.37769958329123,60.91846638886082,0.0019748395786013855,0.0015421813426925392,7.942233914866582e-05,0.0003532358967601909,2.782283887855299e-20,0.0015421813426925392,7.942233914866582e-05,0.0003532358967601909,2.782283887855299e-20,0.0,0.0,3.560264732469147e-19,1.0,30459.23319443057,0.9291666666666666,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,57640.34263699386,0.0,0.0,7.326059691971474e-40,5.0187026386702186e-37,60608.820282799046,858.8411052912086,6.545,1.0,1.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708550804,0.00770372189846856,0.0007703721898471343,0.9999,0.1,5.218206108982621e-17,0.0,57640.34263699416,1.0515,0.0149,57640.34263699416,858.8411052912086,858.8411052912086,5.0187026386702186e-37,4801.53184320986,86.4605139554908,2882.017131849693,57.640342636993864,51.87630837329448,461.1227410959509,172.9210279109816,115.28068527398773,0.0019748395786013855,0.001542181342692539,7.942233914866609e-05,0.0003532358967601909,1.470259021307421e-20,0.001542181342692539,7.942233914866609e-05,0.0003532358967601909,1.470259021307421e-20,2.064160548699285e-43,2.641337689281337e-42,1.8813721216602368e-19,1.0,57640.34263699416,1.7583333333333333,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,84821.45207955733,0.0,0.0,0.0,0.0,89189.75686165455,1263.8396359854044,6.545,1.0,1.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699075946,0.011336519665751414,0.001133651966575996,0.9999,0.1,5.218206108982621e-17,0.0,84821.45207955777,1.0515,0.0149,84821.45207955777,1263.8396359854044,1263.8396359854044,0.0,7065.761314296977,127.232178119336,4241.0726039778665,84.82145207955733,76.33930687160161,678.5716166364587,254.464356238672,169.64290415911466,0.0019748395786013855,0.001542181342692539,7.942233914866579e-05,0.0003532358967601908,9.991132157676837e-21,0.001542181342692539,7.942233914866579e-05,0.0003532358967601908,9.991132157676837e-21,0.0,0.0,1.2784847590026084e-19,1.0,84821.45207955777,2.5875,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,112002.56152212076,0.0,0.0,8.077920766362818e-28,5.533758522664535e-25,117770.69344050997,1668.8381666795995,6.545,1.0,1.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689601088,0.014969317433066651,0.001496931743304858,0.9999,0.1,5.218206108982621e-17,0.0,112002.56152212134,1.0515,0.0149,112002.56152212134,1668.8381666795992,1668.8381666795992,5.533758522664535e-25,9329.990785384089,168.00384228318114,5600.128076106038,112.00256152212076,100.8023053699087,896.0204921769661,336.0076845663623,224.00512304424151,0.0019748395786013855,0.001542181342692539,7.942233914866595e-05,0.0003532358967601908,7.566454963313802e-21,0.001542181342692539,7.942233914866595e-05,0.0003532358967601908,7.566454963313802e-21,1.171307196369409e-31,1.4988275352936249e-30,9.68218335781244e-20,1.0,112002.56152212134,3.4166666666666665,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,139183.67096468425,0.0,0.0,0.0,0.0,146351.63001936552,2073.8366973737957,6.545,1.0,1.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680126225,0.018602115200323174,0.0018602115200337195,0.9999,0.1,5.218206108982621e-17,0.0,139183.67096468498,1.0515,0.0149,139183.67096468498,2073.8366973737952,2073.8366973737952,0.0,11594.220256471208,208.77550644702637,6959.183548234213,139.18367096468424,125.26530386821584,1113.469367717474,417.55101289405275,278.3673419293685,0.0019748395786013864,0.0015421813426925394,7.942233914866603e-05,0.00035323589676019093,6.0888057604684174e-21,0.0015421813426925394,7.942233914866603e-05,0.00035323589676019093,6.0888057604684174e-21,0.0,0.0,7.791354615707752e-20,1.0,139183.67096468498,4.245833333333333,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,166364.78040724766,0.0,0.0,0.0,0.0,174932.56659822093,2478.83522806799,6.545,1.0,1.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670651373,0.02223491296760905,0.0022234912967625813,0.9999,0.1,5.218206108982621e-17,0.0,166364.78040724853,1.0515,0.0149,166364.78040724853,2478.83522806799,2478.83522806799,0.0,13858.449727558316,249.5471706108715,8318.239020362384,166.36478040724765,149.7283023665229,1330.9182432579812,499.094341221743,332.7295608144953,0.0019748395786013855,0.001542181342692539,7.942233914866571e-05,0.0003532358967601909,5.0940008784214426e-21,0.001542181342692539,7.942233914866571e-05,0.0003532358967601909,5.0940008784214426e-21,0.0,0.0,6.518382884569951e-20,1.0,166364.78040724853,5.074999999999999,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,193545.88984981112,0.0,0.0,0.0,0.0,203513.50317707643,2883.8337587621863,6.545,1.0,1.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.023280939661176517,0.02586771073489493,0.0025867710734914437,0.9999,0.1,5.218206108982621e-17,0.0,193545.88984981214,1.0515,0.0149,193545.88984981214,2883.833758762186,2883.833758762186,0.0,16122.679198645434,290.31883477471666,9677.294492490557,193.54588984981112,174.19130086483003,1548.367118798489,580.6376695494333,387.09177969962224,0.001974839578601386,0.0015421813426925392,7.942233914866591e-05,0.0003532358967601909,4.378611905375665e-21,0.0015421813426925392,7.942233914866591e-05,0.0003532358967601909,4.378611905375665e-21,0.0,0.0,5.602957200710092e-20,1.0,193545.88984981214,5.904166666666666,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,220726.9992923757,0.0,0.0,0.0,0.0,232094.43975593307,3288.8322894563985,6.545,1.0,1.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.026550457651666654,0.02950050850185052,0.0029500508501851845,0.9999,0.1,3.7694835252461893e-23,0.0,220726.9992923757,1.0515,0.0149,220726.9992923757,3288.832289456398,3288.832289456398,0.0,18386.90866973264,331.09049893856354,11036.349964618785,220.7269992923757,198.65429936313814,1765.8159943390056,662.1809978771271,441.4539985847514,0.001974839578601396,0.0015421813426925392,7.942233914866588e-05,0.0003532358967601909,2.7734833819218474e-27,0.0015421813426925392,7.942233914866588e-05,0.0003532358967601909,2.7734833819218474e-27,0.0,0.0,3.549003433419285e-26,1.0,220726.9992923757,6.7333333333333325,default,ScreenZO,screen,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,247908.10873493936,0.0,0.0,0.0,0.0,260675.37633478877,3693.8308201505965,6.545,1.0,1.0,331.3330626909721,0.03313330626909721,331.299929384703,0.02981997564218749,0.033133306269147796,0.003313330626909721,0.9999,0.1,3.7694835252461893e-23,0.0,247908.10873493936,1.0515,0.0149,247908.10873493936,3693.8308201505965,3693.8308201505965,0.0,20651.13814081977,371.86216310240906,12395.405436746969,247.90810873493936,223.11729786144545,1983.264869879515,743.7243262048181,495.8162174698787,0.001974839578601396,0.0015421813426925392,7.942233914866584e-05,0.0003532358967601909,2.4693934684218756e-27,0.0015421813426925392,7.942233914866584e-05,0.0003532358967601909,2.4693934684218756e-27,0.0,0.0,3.1598840487082994e-26,1.0,247908.10873493936,7.562499999999999,default,ScreenZO,screen,,,,,,,,,
