fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.secondary_treatment_wwtp.capital_a_parameter[default],fs.costing.secondary_treatment_wwtp.capital_b_parameter[default],fs.costing.secondary_treatment_wwtp.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SecondaryTreatmentWWTPZO],fs.costing.LCOW_aggregate_indirect_capex[SecondaryTreatmentWWTPZO],fs.costing.LCOW_aggregate_fixed_opex[SecondaryTreatmentWWTPZO],fs.costing.LCOW_aggregate_variable_opex[SecondaryTreatmentWWTPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,367382.28762097424,0.0,0.0,2.208377689687399,1512.8433683649944,386302.47543345444,6986.839453917511,1000000.0,0.7,100000.0,4.381263638888887,0.0004381263638888888,4.381263638888887,0.000356612953887372,3.769483603971546e-21,8.151341000153883e-05,1.0,0.18605,2.2083776896873992,0.14,367382.2876209743,1.0515,0.014900000000000002,367382.2876209743,5473.996085552517,5473.996085552517,1512.8433683649944,32116.369855927005,551.0734314314614,18369.114381048712,367.38228762097424,330.64405885887686,2939.058300967794,1102.1468628629227,734.7645752419485,0.23226280627607632,0.17283365500832484,0.008900933232928732,0.03958746577144831,0.010940752263374487,0.17283365500832484,0.008900933232928732,0.03958746577144831,0.010940752263374487,0.010940752263374485,0.13999999999999999,0.14,1.0,367382.2876209743,0.1,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1748975.593418683,0.0,0.0,20.519509366678754,14056.836297724743,1839047.8364797453,40116.57263966312,1000000.0,0.7,100000.0,40.70924131134258,0.004070924131134258,40.70924131134258,0.0033135286965368317,3.502478523946542e-20,0.0007573954345976317,1.0,0.18605,20.519509366678758,0.14,1748975.5934186832,1.0515,0.014900000000000002,1748975.5934186832,26059.73634193838,26059.73634193838,14056.836297724743,159749.27358394835,2623.4633901280245,87448.77967093415,1748.975593418683,1574.0780340768147,13991.804747349464,5246.926780256049,3497.951186837366,0.124336457330652,0.08855237792027186,0.004560447462894005,0.02028287968411167,0.010940752263374485,0.08855237792027186,0.004560447462894005,0.02028287968411167,0.010940752263374485,0.010940752263374485,0.13999999999999999,0.14,1.0,1748975.5934186832,0.9291666666666666,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2733311.07192234,0.0,0.0,38.8306410436701,26600.829227084483,2874076.592126341,67327.16419872736,1000000.0,0.7,100000.0,77.03721898379627,0.007703721898379629,77.03721898379627,0.0062704444391862915,6.628008670316635e-20,0.0014332774591937247,1.0,0.18605,38.830641043670106,0.14,2733311.0719223404,1.0515,0.014900000000000002,2733311.0719223404,40726.33497164287,40726.33497164287,26600.829227084483,254289.97104717657,4099.96660788351,136665.553596117,2733.31107192234,2459.979964730106,21866.48857537872,8199.93321576702,5466.62214384468,0.10458785147401048,0.07313040044609624,0.003766215622973964,0.01675048314156579,0.010940752263374483,0.07313040044609624,0.003766215622973964,0.01675048314156579,0.010940752263374483,0.010940752263374483,0.13999999999999999,0.14,1.0,2733311.0719223404,1.7583333333333333,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3582073.2707025926,0.0,0.0,57.14177272066146,39144.82215644423,3766550.0441437764,92517.71388991286,1000000.0,0.7,100000.0,113.36519665624996,0.011336519665624998,113.36519665624996,0.009227360181835724,1.3502108306384988e-15,0.0021091594837897897,1.0,0.18605,57.141772720661464,0.14,3582073.270702593,1.0515,0.014900000000000002,3582073.270702593,53372.891733468634,53372.891733468634,39144.82215644423,337537.1995631446,5373.109906053889,179103.66353512963,3582.0732707025927,3223.8659436323337,28656.58616562074,10746.219812107778,7164.146541405185,0.0943397025878584,0.06512746988879398,0.003354064699272893,0.014917415736417057,0.010940752263374485,0.06512746988879398,0.003354064699272893,0.014917415736417057,0.010940752263374485,0.010940752263374482,0.13999999999999999,0.14,1.0,3582073.270702593,2.5875,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4351510.557876432,0.0,0.0,75.45290439765279,51688.815085803966,4575613.351607069,116526.3223981628,1000000.0,0.7,100000.0,149.69317432870363,0.014969317432870366,149.69317432870363,0.012184275924485174,1.782887087136217e-15,0.0027850415083858736,1.0,0.18605,75.4529043976528,0.14,4351510.557876432,1.0515,0.014900000000000002,4351510.557876432,64837.50731235885,64837.50731235885,51688.815085803966,414176.53729267674,6527.2658368146485,217575.52789382162,4351.510557876432,3916.3595020887897,34812.08446301146,13054.531673629297,8703.021115752865,0.08766699101728845,0.05991665104517453,0.003085707528826493,0.013723880179912936,0.010940752263374485,0.05991665104517453,0.003085707528826493,0.013723880179912936,0.010940752263374485,0.010940752263374485,0.13999999999999999,0.14,1.0,4351510.557876432,3.4166666666666665,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5066315.99148012,0.0,0.0,93.76403607464415,64232.80801516372,5327231.265041348,139720.91628821753,1000000.0,0.7,100000.0,186.02115200115733,0.018602115200115732,186.02115200115733,0.015141191667134622,2.2155633436725122e-15,0.003460923532981957,1.0,0.18605,93.76403607464417,0.14,5066315.991480121,1.0515,0.014900000000000002,5066315.991480121,75488.1082730538,75488.1082730538,64232.80801516372,486264.95508367434,7599.473987220181,253315.79957400603,5066.315991480121,4559.6843923321085,40530.52793184097,15198.947974440362,10132.631982960242,0.08282534381301628,0.056135737361230634,0.002890990474103383,0.012857863714307784,0.010940752263374487,0.056135737361230634,0.002890990474103383,0.012857863714307784,0.010940752263374487,0.010940752263374485,0.13999999999999999,0.14,1.0,5066315.991480121,4.245833333333333,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5740152.713482891,0.0,0.0,112.07516775163549,76776.80094452345,6035770.578227261,162305.07637541855,1000000.0,0.7,100000.0,222.349129673611,0.022234912967361103,222.349129673611,0.018098107409784077,2.6482396002323762e-15,0.004136805557578041,1.0,0.18605,112.0751677516355,0.14,5740152.713482892,1.0515,0.014900000000000002,5740152.713482892,85528.27543089508,85528.27543089508,76776.80094452345,554940.6143044126,8610.229070224337,287007.63567414455,5740.152713482891,5166.137442134603,45921.22170786313,17220.458140448674,11480.305426965782,0.07907945769160771,0.05321051966209051,0.002740341762597668,0.012187844003545046,0.010940752263374485,0.05321051966209051,0.002740341762597668,0.012187844003545046,0.010940752263374485,0.010940752263374483,0.13999999999999999,0.14,1.0,5740152.713482892,5.074999999999999,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6381595.019123328,0.0,0.0,130.38629942862684,89320.79387388319,6710247.16260818,184406.5596588208,1000000.0,0.7,100000.0,258.6771073460647,0.025867710734606475,258.6771073460647,0.02105502315243353,3.0809158566220893e-15,0.004812687582174125,1.0,0.18605,130.38629942862684,0.14,6381595.019123329,1.0515,0.014900000000000002,6381595.019123329,95085.7657849376,95085.7657849376,89320.79387388319,620917.7673298368,9572.392528684992,319079.7509561664,6381.595019123328,5743.435517210995,51052.76015298662,19144.785057369983,12763.190038246656,0.07605516222656035,0.05084880274517071,0.002618713341376301,0.011646893876638862,0.010940752263374483,0.05084880274517071,0.002618713341376301,0.011646893876638862,0.010940752263374483,0.010940752263374483,0.14,0.14,1.0,6381595.019123329,5.904166666666666,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6996475.125165033,0.0,0.0,148.69743110561816,101864.78680324294,7356793.594111033,206112.26616820192,1000000.0,0.7,100000.0,295.00508501851834,0.029500508501851843,295.00508501851834,0.024011938895082977,3.5135921132160837e-15,0.005488569606770209,1.0,0.18605,148.6974311056182,0.14,6996475.125165034,1.0515,0.014900000000000002,6996475.125165034,104247.479364959,104247.479364959,101864.78680324294,684682.2470545103,10494.71268774755,349823.75625825167,6996.475125165033,6296.827612648531,55971.801001320266,20989.4253754951,13992.950250330066,0.07353806039591576,0.04888316081509229,0.002517482781977254,0.011196664535471744,0.010940752263374485,0.04888316081509229,0.002517482781977254,0.011196664535471744,0.010940752263374485,0.010940752263374485,0.13999999999999999,0.14,1.0,6996475.125165034,6.7333333333333325,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7588990.085680394,0.0,0.0,167.00856278260954,114408.77973260269,7979823.075092936,227484.73200924057,1000000.0,0.7,100000.0,331.3330626909721,0.03313330626909721,331.3330626909721,0.026968854637732426,3.94626836974054e-15,0.006164451631366293,1.0,0.18605,167.00856278260957,0.14,7588990.085680395,1.0515,0.014900000000000002,7588990.085680395,113075.9522766379,113075.9522766379,114408.77973260269,746583.6747307417,11383.485128520591,379449.50428401976,7588.990085680394,6830.091077112355,60711.920685443154,22766.970257041183,15177.980171360789,0.07139475701252619,0.04720942360351883,0.002431285315581228,0.010813295830051658,0.010940752263374485,0.04720942360351883,0.002431285315581228,0.010813295830051658,0.010940752263374485,0.010940752263374483,0.13999999999999999,0.14,1.0,7588990.085680395,7.562499999999999,default,SecondaryTreatmentWWTPZO,secondary_treatment_wwtp
