fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.sedimentation.capital_a_parameter[default],fs.costing.sedimentation.capital_b_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tss],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tss],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tss],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tss]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.basin_surface_area[0.0],fs.unit.settling_velocity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SedimentationZO],fs.costing.LCOW_aggregate_indirect_capex[SedimentationZO],fs.costing.LCOW_aggregate_fixed_opex[SedimentationZO],fs.costing.LCOW_aggregate_variable_opex[SedimentationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.sedimentation.unit_capex[phosphorus_capture],fs.costing.sedimentation.unit_opex[phosphorus_capture],fs.unit.phosphorus_solids_ratio[0.0],fs.unit.final_phosphate_mass[0.0],fs.unit.costing.fixed_operating_cost
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,143124.02152172037,0.0,0.0,0.0,0.0,150494.908630089,2132.5479206736336,13572.0,0.3182,4.381263638888887,0.0004381263638888888,4.380825512524998,4.019371263316632e-06,0.00043812636389932625,0.00043410699262756773,0.9999,0.990826,1.0000000000000171e-16,0.0,9.432849054783949,0.005,143124.0215217218,1.0515,0.0149,42095.300447565234,2132.5479206736336,2132.5479206736336,0.0,11922.45769933602,214.68603228258056,7156.2010760860185,143.12402152172038,128.81161936954834,1144.992172173763,429.3720645651611,286.24804304344076,0.08622218187727582,0.019803580303610985,0.05099619963982864,0.015422401933837043,4.95420340210164e-19,0.019803580303610985,0.05099619963982864,0.015422401933837043,4.95420340210164e-19,0.0,0.0,6.3394953070649665e-18,3.4,42095.300447565234,0.1,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,290910.85109714075,0.0,0.0,0.0,0.0,305892.7599286435,4334.571681347397,13572.0,0.3182,40.70924131134258,0.004070924131134258,40.705170387211446,3.734665798831704e-05,0.0040709241312312395,0.004033577473164483,0.9999,0.990826,1.0000000000000171e-16,0.0,87.6468891340342,0.005,290910.85109714366,1.0515,0.0149,85562.01502857167,4334.571681347397,4334.571681347397,0.0,24233.334695372178,436.36627664571114,14545.542554857038,290.9108510971408,261.8197659874267,2327.286808777126,872.7325532914223,581.8217021942816,0.01886135015034777,0.004332090121177743,0.011155565271044809,0.00337369475812541,5.331878100916562e-20,0.004332090121177743,0.011155565271044809,0.00337369475812541,5.331878100916562e-20,0.0,0.0,6.822775218365882e-19,3.4,85562.01502857167,0.9291666666666666,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,356372.1321309028,0.0,0.0,0.0,0.0,374725.2969356443,5309.944768750453,13572.0,0.3182,77.03721898379627,0.007703721898379629,77.02951526189788,7.067394471331747e-05,0.007703721898554098,0.0076330479537013995,0.9999,0.990826,1.0000000000000171e-16,0.0,165.8609292132844,0.005,356372.13213090634,1.0515,0.0149,104815.33297967834,5309.944768750452,5309.944768750452,0.0,29686.363095296874,534.5581981963542,17818.60660654514,356.3721321309028,320.73491891781254,2850.9770570472224,1069.1163963927083,712.7442642618056,0.012209812763864127,0.0028043596473283448,0.007221506527835223,0.002183946588700683,2.8175564372142024e-20,0.0028043596473283448,0.007221506527835223,0.002183946588700683,2.8175564372142024e-20,0.0,0.0,3.605400174634104e-19,3.4,104815.33297967834,1.7583333333333333,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,402987.02250614855,0.0,0.0,0.0,0.0,423740.8541652152,6004.506635341614,13572.0,0.3182,113.36519665624996,0.011336519665624998,113.35386013658434,0.00010400123143831786,0.011336519665877287,0.011232518434238316,0.9999,0.990826,1.0000000000000171e-16,0.0,244.07496929253466,0.005,402987.02250615257,1.0515,0.0149,118525.59485475076,6004.506635341613,6004.506635341613,0.0,33569.457300931055,604.4805337592228,20149.35112530743,402.98702250614855,362.6883202555337,3223.8961800491884,1208.9610675184456,805.9740450122971,0.0093824699082188,0.002154973258947354,0.005549271639115332,0.0016782250101562064,1.914667981488556e-20,0.002154973258947354,0.005549271639115332,0.0016782250101562064,1.914667981488556e-20,0.0,0.0,2.450046495484045e-19,3.4,118525.59485475076,2.5875,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,440255.5923696218,0.0,0.0,1.8183428239282258e-40,1.2457126354949003e-37,462928.75537665735,6559.808326307366,13572.0,0.3182,149.69317432870363,0.014969317432870366,149.67820501127076,0.00013732851816331825,0.014969317433232862,0.014831988914775229,0.9999,0.990826,1.0000000000000171e-16,0.0,322.2890093717848,0.005,440255.5923696262,1.0515,0.0149,129486.938932243,6559.808326307365,6559.808326307365,1.2457126354949003e-37,36673.98820348523,660.3833885544327,22012.77961848109,440.2555923696218,396.2300331326596,3522.0447389569745,1320.7667771088654,880.5111847392436,0.007762627539017598,0.0017829265565880168,0.004591214175869804,0.0013884868065598551,1.4500107518346265e-20,0.0017829265565880168,0.004591214175869804,0.0013884868065598551,1.4500107518346265e-20,2.636747101608092e-44,3.3738660874911367e-43,1.8554620410921854e-19,3.4,129486.938932243,3.4166666666666665,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,471770.0199199741,0.0,0.0,0.0,0.0,496066.17594585277,7029.373296807615,13572.0,0.3182,186.02115200115733,0.018602115200115732,186.00254988595722,0.00017065580488831867,0.01860211520052972,0.01843145939531214,0.9999,0.990826,1.0000000000000171e-16,0.0,400.5030494510351,0.005,471770.0199199788,1.0515,0.0149,138755.8882117585,7029.373296807614,7029.373296807614,0.0,39299.18993687031,707.6550298799611,23588.500995998707,471.7700199199741,424.59301792797675,3774.160159359793,1415.3100597599223,943.5400398399482,0.006693817607181278,0.0015374414290538463,0.00395906542395656,0.0011973107541709393,1.1668388778257052e-20,0.0015374414290538463,0.00395906542395656,0.0011973107541709393,1.1668388778257052e-20,0.0,0.0,1.4931097877287458e-19,3.4,138755.8882117585,4.245833333333333,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,499323.8157159421,0.0,0.0,0.0,0.0,525038.9922253132,7439.924854167539,13572.0,0.3182,222.349129673611,0.022234912967361103,222.32689476064365,0.0002039830916133191,0.022234912967855933,0.02203092987584906,0.9999,0.990826,1.0000000000000171e-16,0.0,478.7170895302853,0.005,499323.81571594713,1.0515,0.0149,146859.94579880798,7439.924854167538,7439.924854167538,0.0,41594.464771526335,748.9857235739132,24966.19078579711,499.32381571594215,449.39143414434795,3994.590525727537,1497.9714471478264,998.6476314318843,0.005927242721688156,0.0013613738908279847,0.0035056739062711436,0.001060194924589087,9.761977146998305e-21,0.0013613738908279847,0.0035056739062711436,0.001060194924589087,9.761977146998305e-21,0.0,0.0,1.249161636860092e-19,3.4,146859.94579880798,5.074999999999999,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,523956.46070358873,0.0,0.0,0.0,0.0,550940.2184298235,7806.951264483472,13572.0,0.3182,258.6771073460647,0.025867710734606475,258.6512396353301,0.0002373103783383195,0.02586771073518215,0.025630400356385977,0.9999,0.990826,1.0000000000000171e-16,0.0,556.9311296095356,0.005,523956.46070359397,1.0515,0.0149,154104.84138341,7806.951264483472,7806.951264483472,0.0,43646.403116784524,785.9346910553832,26197.823035179437,523.9564607035887,471.5608146332299,4191.65168562871,1571.8693821107663,1047.9129214071775,0.005346173751683821,0.001227913500950631,0.00316200005629797,0.0009562601944352753,8.39102905084258e-21,0.001227913500950631,0.00316200005629797,0.0009562601944352753,8.39102905084258e-21,0.0,0.0,1.0737324443864447e-19,3.4,154104.84138341,5.904166666666666,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,546330.3824522784,0.0,0.0,0.0,0.0,574466.3971485707,8140.322698538949,13572.0,0.3182,295.00508501851834,0.029500508501851843,294.9755845100165,0.0002706376650633199,0.029500508502508363,0.029229870836922894,0.9999,0.990826,1.0000000000000171e-16,0.0,635.1451696887857,0.005,546330.3824522839,1.0515,0.0149,160685.4066036129,8140.322698538948,8140.322698538948,0.0,45510.186238449576,819.4955736784176,27316.51912261392,546.3303824522784,491.6973442070506,4370.643059618227,1638.9911473568352,1092.6607649045568,0.004888005843046246,0.0011226811260130968,0.0028910161675963254,0.0008743085494368723,7.357727824903426e-21,0.0011226811260130968,0.0028910161675963254,0.0008743085494368723,7.357727824903426e-21,0.0,0.0,9.415092040195496e-20,3.4,160685.4066036129,6.7333333333333325,default,SedimentationZO,sedimentation,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,566896.6060979458,0.0,0.0,0.0,0.0,596091.7813119902,8446.759430859394,13572.0,0.3182,331.3330626909721,0.03313330626909721,331.299929384703,0.00030396495178832035,0.03313330626988665,0.032829341317459806,0.9999,0.990826,1.0000000000000171e-16,0.0,713.3592097680361,0.005,566896.6060979515,1.0515,0.0149,166734.29591116222,8446.759430859393,8446.759430859393,0.0,47223.38524476274,850.3449091469188,28344.830304897292,566.8966060979459,510.2069454881513,4535.172848783567,1700.6898182938376,1133.7932121958918,0.004515906560741093,0.0010372170626177328,0.002670937657946924,0.0008077518401764818,6.551012763109606e-21,0.0010372170626177328,0.002670937657946924,0.0008077518401764818,6.551012763109606e-21,0.0,0.0,8.382803711821444e-20,3.4,166734.29591116222,7.562499999999999,default,SedimentationZO,sedimentation,,,,,
