fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.settling_pond.capital_a_parameter[default],fs.costing.settling_pond.capital_b_parameter[default],fs.costing.settling_pond.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SettlingPondZO],fs.costing.LCOW_aggregate_indirect_capex[SettlingPondZO],fs.costing.LCOW_aggregate_fixed_opex[SettlingPondZO],fs.costing.LCOW_aggregate_variable_opex[SettlingPondZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,142705.15094778998,0.0,0.0,0.0,0.0,150054.46622160118,2126.3067491220713,177516.0,0.3182,5450.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.0003943137275005197,0.00043812636389446155,4.3812636389410475e-05,0.9999,0.1,5.218206108982621e-17,0.0,142705.15094779074,1.0515,0.014900000000000002,41972.10321993846,2126.306749122071,2126.306749122071,0.0,11887.565117042113,214.05772642168498,7135.257547389499,142.70515094778997,128.434635853011,1141.6412075823198,428.11545284336995,285.41030189557995,0.08596984174300294,0.019745622617965572,0.05084695280352313,0.015377266321514685,2.5852054457988823e-19,0.019745622617965572,0.05084695280352313,0.015377266321514685,2.5852054457988823e-19,0.0,0.0,3.3080793139192497e-18,3.4,41972.10321993846,0.1,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,290059.4636510234,0.0,0.0,0.0,0.0,304997.5260290511,4321.886008400249,177516.0,0.3182,5450.0,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208322,0.0040709241311404605,0.0004070924131134258,0.9999,0.1,3.7694835252461893e-23,0.0,290059.4636510234,1.0515,0.014900000000000002,85311.60695618336,4321.886008400249,4321.886008400249,0.0,24162.41277252403,435.0891954765351,14502.97318255117,290.0594636510234,261.0535172859211,2320.4757092081873,870.1783909530702,580.1189273020468,0.01880615002056826,0.004319411710830648,0.01112291709656,0.0033638212131776126,2.0098426660025575e-26,0.004319411710830648,0.01112291709656,0.0033638212131776126,2.0098426660025575e-26,0.0,0.0,2.5718338782087724e-25,3.4,85311.60695618336,0.9291666666666666,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,355329.16395595134,0.0,0.0,0.0,0.0,373628.61589968286,5294.404542943676,177516.0,0.3182,5450.0,77.03721898379627,0.007703721898379629,77.02951526189788,0.0069333497085416656,0.007703721898370111,0.0007703721898379629,0.9999,0.1,3.7694835252461893e-23,0.0,355329.16395595134,1.0515,0.014900000000000002,104508.57763410333,5294.404542943676,5294.404542943676,0.0,29599.482194275486,532.993745933927,17766.45819779757,355.32916395595134,319.7962475603562,2842.6333116476108,1065.987491867854,710.6583279119027,0.012174079200583852,0.0027961523336817854,0.007200371874463966,0.002177554992438101,1.0620732571530105e-26,0.0027961523336817854,0.007200371874463966,0.002177554992438101,1.0620732571530105e-26,0.0,0.0,1.3590496560202756e-25,3.4,104508.57763410333,1.7583333333333333,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,401807.6299512954,0.0,0.0,0.0,0.0,422500.72289378714,5986.933686274302,177516.0,0.3182,5450.0,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062498,0.011336519665624491,0.0011336519665624998,0.9999,0.1,3.7694835252461893e-23,0.0,401807.6299512954,1.0515,0.014900000000000002,118178.71469155747,5986.933686274302,5986.933686274302,0.0,33471.212032969415,602.711444926943,20090.38149756477,401.8076299512954,361.6268669561659,3214.461039610363,1205.422889853886,803.6152599025908,0.009355010921854744,0.0021486664568034215,0.0055330309929144915,0.0016733134721368325,7.217309412537365e-27,0.0021486664568034215,0.0055330309929144915,0.0016733134721368325,7.217309412537365e-27,0.0,0.0,9.23540990081411e-26,3.4,118178.71469155747,2.5875,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,438967.12862544437,0.0,0.0,0.0,0.0,461573.9357496548,6540.610216519122,177516.0,0.3182,5450.0,149.69317432870363,0.014969317432870366,149.67820501127076,0.01347238568958333,0.014969317432875353,0.0014969317432870367,0.9999,0.1,3.7694835252461893e-23,0.0,438967.12862544437,1.0515,0.014900000000000002,129107.97900748363,6540.610216519122,6540.610216519122,0.0,36566.657132685534,658.4506929381665,21948.35643127222,438.9671286254444,395.0704157629,3511.737029003555,1316.901385876333,877.9342572508888,0.007739909226480682,0.00177770859623381,0.004577777406161684,0.0013844232240851886,5.465791640470372e-27,0.00177770859623381,0.004577777406161684,0.0013844232240851886,5.465791640470372e-27,0.0,0.0,6.994133595616542e-26,3.4,129107.97900748363,3.4166666666666665,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,470389.32521264505,0.0,0.0,9.860761290552513e-32,6.755088767245361e-29,494614.3754610963,7008.800945668412,177516.0,0.3182,5450.0,186.02115200115733,0.018602115200115732,186.00254988595722,0.01674190368010416,0.018602115200114903,0.0018602115200115736,0.9999,0.1,3.7694835252461893e-23,0.0,470389.32521264505,1.0515,0.014900000000000002,138349.8015331309,7008.800945668412,7008.800945668412,6.755088767245361e-29,39184.175880747454,705.5839878189676,23519.466260632253,470.3893252126451,423.3503926913806,3763.1146017011606,1411.1679756379351,940.7786504252902,0.006674227302261883,0.001532941912013127,0.0039474787176250045,0.0011938066726237526,4.398379926580671e-27,0.001532941912013127,0.0039474787176250045,0.0011938066726237526,4.398379926580671e-27,1.1505919638775248e-35,1.4723199197380443e-34,5.628252746227246e-26,3.4,138349.8015331309,4.245833333333333,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,497862.48133585736,0.0,0.0,0.0,0.0,523502.39912465407,7418.150971904275,177516.0,0.3182,5450.0,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967360108,0.0022234912967361103,0.9999,0.1,3.7694835252461893e-23,0.0,497862.48133585736,1.0515,0.014900000000000002,146430.14156936982,7418.150971904275,7418.150971904275,0.0,41472.73330293074,746.793722003786,24893.12406679287,497.86248133585735,448.0762332022717,3982.899850686859,1493.587444007572,995.7249626717147,0.0059098958952487025,0.0013573896577347342,0.003495414107632715,0.0010570921298812535,3.679761202943928e-27,0.0013573896577347342,0.003495414107632715,0.0010570921298812535,3.679761202943928e-27,0.0,0.0,4.7086942105135994e-26,3.4,146430.14156936982,5.074999999999999,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,522423.0357685176,0.0,0.0,0.0,0.0,549327.8221105962,7784.1032329509135,177516.0,0.3182,5450.0,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.025867710734605316,0.002586771073460648,0.9999,0.1,3.7694835252461893e-23,0.0,522423.0357685176,1.0515,0.014900000000000002,153653.834049564,7784.103232950913,7784.103232950913,0.0,43518.66639076808,783.6345536527764,26121.15178842588,522.4230357685176,470.18073219166587,4179.384286148141,1567.2691073055528,1044.8460715370352,0.005330527497170525,0.0012243198565895209,0.0031527460627036757,0.0009534615778773291,3.1629845767012737e-27,0.0012243198565895209,0.0031527460627036757,0.0009534615778773291,3.1629845767012737e-27,0.0,0.0,4.0474167596369543e-26,3.4,153653.834049564,5.904166666666666,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,544731.47740182,0.0,0.0,0.0,0.0,572785.1484880139,8116.499013287119,177516.0,0.3182,5450.0,295.00508501851834,0.029500508501851843,294.9755845100165,0.026550457651666654,0.02950050850185052,0.0029500508501851845,0.9999,0.1,3.7694835252461893e-23,0.0,544731.47740182,1.0515,0.014900000000000002,160215.1404123,8116.499013287119,8116.499013287119,0.0,45376.99491510173,817.09721610273,27236.573870091,544.73147740182,490.2583296616381,4357.85181921456,1634.19443220546,1089.46295480364,0.004873700474939065,0.0011193954575236646,0.002882555242669189,0.0008717497747462109,2.7734833819218474e-27,0.0011193954575236646,0.002882555242669189,0.0008717497747462109,2.7734833819218474e-27,0.0,0.0,3.549003433419285e-26,3.4,160215.1404123,6.7333333333333325,default,SettlingPondZO,settling_pond
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,565237.511389522,0.0,0.0,9.86076129055246e-32,6.755088767245325e-29,594347.2432260824,8422.038919703878,177516.0,0.3182,5450.0,331.3330626909721,0.03313330626909721,331.299929384703,0.02981997564218749,0.033133306269147796,0.003313330626909721,0.9999,0.1,3.7694835252461893e-23,0.0,565237.511389522,1.0515,0.014900000000000002,166246.3268792712,8422.038919703878,8422.038919703878,6.755088767245325e-29,47085.18002756672,847.856267084283,28261.875569476102,565.237511389522,508.71376025056986,4521.900091116176,1695.712534168566,1130.475022779044,0.004502690188305503,0.0010341815155328299,0.0026631208206485905,0.000805387852124083,2.4693934684218756e-27,0.0010341815155328299,0.0026631208206485905,0.000805387852124083,2.4693934684218756e-27,6.459797306838521e-36,8.266082634782695e-35,3.1598840487082994e-26,3.4,166246.3268792712,7.562499999999999,default,SettlingPondZO,settling_pond
