fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.smp.capital_a_parameter[default],fs.costing.smp.capital_b_parameter[default],fs.costing.smp.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SMPZO],fs.costing.LCOW_aggregate_indirect_capex[SMPZO],fs.costing.LCOW_aggregate_fixed_opex[SMPZO],fs.costing.LCOW_aggregate_variable_opex[SMPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2918.2212399493683,0.0,0.0,0.0,0.0,3068.509633806761,43.48149647524559,1000000.0,0.7,100000000.0,4.381263638888887,0.0004381263638888888,3.769483525243404e-21,0.0,2918.2212399493683,1.0515,0.014900000000000002,2918.2212399493683,43.48149647524559,43.48149647524559,0.0,243.09245171202934,4.377331859924053,145.9110619974684,2.9182212399493683,2.6263991159544315,23.345769919594947,8.754663719848105,5.836442479898737,0.0017580235646946162,0.0013728665208370817,7.070262582310985e-05,0.00031445441803442455,1.8674788104926634e-23,0.0013728665208370817,7.070262582310985e-05,0.00031445441803442455,1.8674788104926634e-23,0.0,0.0,2.3896623118338856e-22,1.0,2918.2212399493683,0.1,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13892.606956961155,0.0,0.0,0.0,0.0,14608.076215244657,206.99984365872123,1000000.0,0.7,100000000.0,40.70924131134258,0.004070924131134258,3.769483525243404e-21,0.0,13892.606956961155,1.0515,0.014900000000000002,13892.606956961155,206.99984365872123,206.99984365872123,0.0,1157.2761652224413,20.838910435441733,694.6303478480578,13.892606956961156,12.50334626126504,111.14085565568925,41.677820870883465,27.785213913922313,0.0009007341023140584,0.00070339654034047,3.622492182753428e-05,0.00016111264014605418,2.0098426660010725e-24,0.00070339654034047,3.622492182753428e-05,0.00016111264014605418,2.0098426660010725e-24,0.0,0.0,2.5718338782068718e-23,1.0,13892.606956961155,0.9291666666666666,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21711.461587124068,0.0,0.0,0.0,0.0,22829.60185886096,323.50077764814864,1000000.0,0.7,100000000.0,77.03721898379627,0.007703721898379629,3.769483525243404e-21,0.0,21711.461587124068,1.0515,0.014900000000000002,21711.461587124068,323.50077764814864,323.50077764814864,0.0,1808.5991408784037,32.5671923806861,1085.5730793562034,21.711461587124067,19.540315428411663,173.69169269699253,65.1343847613722,43.42292317424813,0.0007438653500303416,0.0005808954189102745,2.991611407387922e-05,0.00013305381704618795,1.0620732571522256e-24,0.0005808954189102745,2.991611407387922e-05,0.00013305381704618795,1.0620732571522256e-24,0.0,0.0,1.3590496560192714e-23,1.0,21711.461587124068,1.7583333333333333,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,28453.4193777021,0.0,0.0,0.0,0.0,29918.77047565376,423.9559487277613,1000000.0,0.7,100000000.0,113.36519665624996,0.011336519665624998,5.218206108982621e-17,0.0,28453.41937770225,1.0515,0.014900000000000002,28453.41937770225,423.9559487277613,423.9559487277613,0.0,2370.214904006447,42.68012906655315,1422.6709688851051,28.4534193777021,25.608077439931893,227.6273550216168,85.3602581331063,56.9068387554042,0.0006624614098910503,0.0005173258818882453,2.664228291724464e-05,0.00011849324508556383,9.991132157676837e-21,0.0005173258818882453,2.664228291724464e-05,0.00011849324508556383,9.991132157676837e-21,0.0,0.0,1.2784847590026084e-19,1.0,28453.41937770225,2.5875,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,34565.27699822043,0.0,0.0,0.0,0.0,36345.38876362879,515.0226272734845,1000000.0,0.7,100000000.0,149.69317432870363,0.014969317432870366,5.218206108982621e-17,0.0,34565.276998220615,1.0515,0.014900000000000002,34565.276998220615,515.0226272734845,515.0226272734845,0.0,2879.342324898096,51.84791549733065,1728.2638499110217,34.56527699822043,31.108749298398394,276.52221598576347,103.6958309946613,69.13055399644087,0.0006094581778642994,0.00047593487655304284,2.4510646142481734e-05,0.00010901265516877803,7.566454963313802e-21,0.00047593487655304284,2.4510646142481734e-05,0.00010901265516877803,7.566454963313802e-21,0.0,0.0,9.68218335781244e-20,1.0,34565.276998220615,3.4166666666666665,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,40243.17838067783,0.0,0.0,8.077920766362812e-28,5.533758522664532e-25,42315.70206728274,599.6233578720997,1000000.0,0.7,100000000.0,186.02115200115733,0.018602115200115732,5.218206108982621e-17,0.0,40243.178380678044,1.0515,0.014900000000000002,40243.178380678044,599.6233578720997,599.6233578720997,5.533758522664532e-25,3352.320503778268,60.36476757101675,2012.1589190338918,40.24317838067783,36.21886054261005,321.94542704542266,120.7295351420335,80.48635676135567,0.0005709996070950269,0.00044590201163092244,2.296395359899253e-05,0.00010213364186511499,6.0888057604684174e-21,0.00044590201163092244,2.296395359899253e-05,0.00010213364186511499,6.0888057604684174e-21,9.425632002187583e-32,1.2061222560753399e-30,7.791354615707752e-20,1.0,40243.178380678044,4.245833333333333,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,45595.65371948638,0.0,0.0,8.077920766362823e-28,5.533758522664539e-25,47943.82988603993,679.3752404203472,1000000.0,0.7,100000000.0,222.349129673611,0.022234912967361103,5.218206108982621e-17,0.0,45595.65371948662,1.0515,0.014900000000000002,45595.65371948662,679.3752404203472,679.3752404203472,5.533758522664539e-25,3798.190177751897,68.39348057922957,2279.782685974319,45.59565371948638,41.03608834753774,364.765229755891,136.78696115845915,91.19130743897276,0.0005412449759920605,0.00042266618151950037,2.176730834825432e-05,9.68114861243086e-05,5.0940008784214426e-21,0.00042266618151950037,2.176730834825432e-05,9.68114861243086e-05,5.0940008784214426e-21,7.885647791649556e-32,1.009062872693574e-30,6.518382884569951e-20,1.0,45595.65371948662,5.074999999999999,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,50690.811062654764,0.0,0.0,0.0,0.0,53301.387832381486,755.293084833556,1000000.0,0.7,100000000.0,258.6771073460647,0.025867710734606475,5.218206108982621e-17,0.0,50690.811062655026,1.0515,0.014900000000000002,50690.811062655026,755.2930848335561,755.2930848335561,0.0,4222.624855100364,76.03621659398215,2534.5405531327383,50.69081106265477,45.621729956389295,405.52648850123813,152.0724331879643,101.38162212530953,0.0005172221432117035,0.0004039063972241466,2.0801179457043575e-05,9.251456653051594e-05,4.378611905375665e-21,0.0004039063972241466,2.0801179457043575e-05,9.251456653051594e-05,4.378611905375665e-21,0.0,0.0,5.602957200710092e-20,1.0,50690.811062655026,5.904166666666666,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55574.9773546466,0.0,0.0,0.0,0.0,58437.088688410906,828.0671625842344,1000000.0,0.7,100000000.0,295.00508501851834,0.029500508501851843,5.218206108982621e-17,0.0,55574.97735464689,1.0515,0.014900000000000002,55574.97735464689,828.0671625842344,828.0671625842344,0.0,4629.483643678761,83.3624660319699,2778.7488677323304,55.574977354646606,50.01747961918195,444.59981883717285,166.7249320639398,111.14995470929321,0.0004972280926741319,0.00038829274837995435,1.9997076541567713e-05,8.89382677526124e-05,3.839414028414182e-21,0.00038829274837995435,1.9997076541567713e-05,8.89382677526124e-05,3.839414028414182e-21,0.0,0.0,4.9129890800780946e-20,1.0,55574.97735464689,6.7333333333333325,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,60281.49098098554,0.0,0.0,0.0,0.0,63385.987766506296,898.1942156166846,1000000.0,0.7,100000000.0,331.3330626909721,0.03313330626909721,5.218206108982621e-17,0.0,60281.49098098585,1.0515,0.014900000000000002,60281.49098098585,898.1942156166846,898.1942156166846,0.0,5021.5436838087735,90.42223647147831,3014.0745490492773,60.28149098098554,54.25334188288699,482.2519278478843,180.84447294295663,120.56298196197108,0.0004802032287440678,0.0003749977811333396,1.9312385728367074e-05,8.589306188236371e-05,3.4184534820481084e-21,0.0003749977811333396,1.9312385728367074e-05,8.589306188236371e-05,3.4184534820481084e-21,0.0,0.0,4.3743197539428096e-20,1.0,60281.49098098585,7.562499999999999,default,SMPZO,smp
