fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.static_mixer.capital_a_parameter[default],fs.costing.static_mixer.capital_b_parameter[default],fs.costing.static_mixer.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[StaticMixerZO],fs.costing.LCOW_aggregate_indirect_capex[StaticMixerZO],fs.costing.LCOW_aggregate_fixed_opex[StaticMixerZO],fs.costing.LCOW_aggregate_variable_opex[StaticMixerZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3974.2869195833614,0.0,0.0,0.0,0.0,4178.962695941905,59.21687510179209,1698.1,0.3247,1.0,4.381263638888887,0.0004381263638888888,3.769483525243404e-21,0.0,3974.2869195833614,1.0515,0.014900000000000002,3974.2869195833614,59.21687510179209,59.21687510179209,0.0,331.06439561975446,5.9614303793750425,198.7143459791681,3.9742869195833617,3.5768582276250256,31.794295356666893,11.922860758750085,7.948573839166723,0.002394229046734767,0.0018696887615660689,9.628897122065267e-05,0.0004282513139480456,1.8674788104926634e-23,0.0018696887615660689,9.628897122065267e-05,0.0004282513139480456,1.8674788104926634e-23,0.0,0.0,2.3896623118338856e-22,1.0,3974.2869195833614,0.1,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8195.94841303387,0.0,0.0,0.0,0.0,8618.039756305116,122.11963135420467,1698.1,0.3247,1.0,40.70924131134258,0.004070924131134258,3.769483525243404e-21,0.0,8195.94841303387,1.0515,0.014900000000000002,8195.94841303387,122.11963135420467,122.11963135420467,0.0,682.7354850807294,12.293922619550806,409.7974206516935,8.19594841303387,7.376353571730483,65.56758730427096,24.58784523910161,16.39189682606774,0.000531388403868096,0.00041496903902894376,2.1370905509990683e-05,9.504845932916158e-05,2.0098426660010725e-24,0.00041496903902894376,2.1370905509990683e-05,9.504845932916158e-05,2.0098426660010725e-24,0.0,0.0,2.5718338782068718e-23,1.0,8195.94841303387,0.9291666666666666,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10081.927730537638,0.0,0.0,0.0,0.0,10601.147008660328,150.22072318501083,1698.1,0.3247,1.0,77.03721898379627,0.007703721898379629,3.769483525243404e-21,0.0,10081.927730537638,1.0515,0.014900000000000002,10081.927730537638,150.22072318501083,150.22072318501083,0.0,839.8405495953463,15.122891595806458,504.09638652688193,10.081927730537638,9.073734957483875,80.6554218443011,30.245783191612915,20.163855461075276,0.00034542108877205237,0.0002697444208881352,1.3891837675739024e-05,6.178483020817821e-05,1.0620732571522256e-24,0.0002697444208881352,1.3891837675739024e-05,6.178483020817821e-05,1.0620732571522256e-24,0.0,0.0,1.3590496560192714e-23,1.0,10081.927730537638,1.7583333333333333,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,11429.348354238005,0.0,0.0,0.0,0.0,12017.959794481263,170.2972904781463,1698.1,0.3247,1.0,113.36519665624996,0.011336519665624998,3.769483525243404e-21,0.0,11429.348354238005,1.0515,0.014900000000000002,11429.348354238005,170.2972904781463,170.2972904781463,0.0,952.0828218462182,17.14402253135701,571.4674177119003,11.429348354238005,10.286413518814205,91.43478683390404,34.28804506271402,22.85869670847601,0.0002661016633669686,0.00020780271215478847,1.0701839675971626e-05,4.759711153620848e-05,7.217309412532031e-25,0.00020780271215478847,1.0701839675971626e-05,4.759711153620848e-05,7.217309412532031e-25,0.0,0.0,9.235409900807285e-24,1.0,11429.348354238005,2.5875,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12508.924896805593,0.0,0.0,0.0,0.0,13153.134528991082,186.38298096240337,1698.1,0.3247,1.0,149.69317432870363,0.014969317432870366,3.769483525243404e-21,0.0,12508.924896805593,1.0515,0.014900000000000002,12508.924896805593,186.38298096240337,186.38298096240337,0.0,1042.013257877211,18.76338734520839,625.4462448402796,12.508924896805594,11.258032407125034,100.07139917444475,37.52677469041678,25.017849793611187,0.0002205585268430224,0.00017223740538456934,8.87022637730534e-06,3.9450895081147727e-05,5.465791640466333e-25,0.00017223740538456934,8.87022637730534e-06,3.9450895081147727e-05,5.465791640466333e-25,0.0,0.0,6.994133595611373e-24,1.0,12508.924896805593,3.4166666666666665,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,13423.284183783018,0.0,0.0,0.0,0.0,14114.583319247846,200.006934338367,1698.1,0.3247,1.0,186.02115200115733,0.018602115200115732,3.769483525243404e-21,0.0,13423.284183783018,1.0515,0.014900000000000002,13423.284183783018,200.006934338367,200.006934338367,0.0,1118.1808348155728,20.134926275674527,671.1642091891509,13.423284183783018,12.080955765404717,107.38627347026414,40.269852551349054,26.846568367566036,0.00019045935990346827,0.0001487325221587417,7.659724891175225e-06,3.406711285355136e-05,4.398379926577421e-25,0.0001487325221587417,7.659724891175225e-06,3.406711285355136e-05,4.398379926577421e-25,0.0,0.0,5.628252746223086e-24,1.0,13423.284183783018,4.245833333333333,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,14223.756263630621,0.0,0.0,1.4895864413620027e-36,1.020437301076125e-33,14956.279711207599,211.93396832809628,1698.1,0.3247,1.0,222.349129673611,0.022234912967361103,3.769483525243404e-21,0.0,14223.756263630621,1.0515,0.014900000000000002,14223.756263630621,211.93396832809628,211.93396832809628,1.020437301076125e-33,1184.8614270041749,21.335634395445933,711.187813181531,14.223756263630621,12.80138063726756,113.79005010904497,42.671268790891865,28.447512527261242,0.00016884365042309994,0.00013185249593742466,6.790403540777375e-06,3.020075094489791e-05,3.679761202941209e-25,0.00013185249593742466,6.790403540777375e-06,3.020075094489791e-05,3.679761202941209e-25,1.4541308799056867e-40,1.860734237336327e-39,4.70869421051012e-24,1.0,14223.756263630621,5.074999999999999,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,14940.131413159823,0.0,0.0,0.0,0.0,15709.548180937554,222.6079580560814,1698.1,0.3247,1.0,258.6771073460647,0.025867710734606475,3.769483525243404e-21,0.0,14940.131413159823,1.0515,0.014900000000000002,14940.131413159823,222.6079580560814,222.6079580560814,0.0,1244.5366116888176,22.410197119739735,747.0065706579912,14.940131413159824,13.446118271843842,119.52105130527859,44.82039423947947,29.880262826319647,0.00015244117478861906,0.00011904356088692297,6.130743385676554e-06,2.7266870516019545e-05,3.1629845766989364e-25,0.00011904356088692297,6.130743385676554e-06,2.7266870516019545e-05,3.1629845766989364e-25,0.0,0.0,4.047416759633963e-24,1.0,14940.131413159823,5.904166666666666,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,15591.415150750972,0.0,0.0,0.0,0.0,16394.37303101465,232.31208574618952,1698.1,0.3247,1.0,295.00508501851834,0.029500508501851843,3.769483525243404e-21,0.0,15591.415150750972,1.0515,0.014900000000000002,15591.415150750972,232.31208574618952,232.31208574618952,0.0,1298.789578655076,23.38712272612646,779.5707575375486,15.591415150750972,14.032273635675876,124.73132120600778,46.77424545225292,31.182830301501944,0.00013949604635961737,0.00010893451924208024,5.610127740967144e-06,2.4951399376569988e-05,2.773483381919798e-25,0.00010893451924208024,5.610127740967144e-06,2.4951399376569988e-05,2.773483381919798e-25,0.0,0.0,3.549003433416663e-24,1.0,15591.415150750972,6.7333333333333325,default,StaticMixerZO,static_mixer
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,16190.559937005206,0.0,0.0,0.0,0.0,17024.373773760974,241.2393430613776,1698.1,0.3247,1.0,331.3330626909721,0.03313330626909721,3.769483525243404e-21,0.0,16190.559937005206,1.0515,0.014900000000000002,16190.559937005206,241.2393430613776,241.2393430613776,0.0,1348.6992883875525,24.28583990550781,809.5279968502604,16.190559937005208,14.571503943304688,129.52447949604166,48.57167981101562,32.381119874010416,0.00012897423455197261,0.00010071788127467451,5.186970885645743e-06,2.3069382391652382e-05,2.469393468420051e-25,0.00010071788127467451,5.186970885645743e-06,2.3069382391652382e-05,2.469393468420051e-25,0.0,0.0,3.1598840487059646e-24,1.0,16190.559937005206,7.562499999999999,default,StaticMixerZO,static_mixer
