fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.storage_tank.capital_a_parameter[default],fs.costing.storage_tank.capital_b_parameter[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.storage_time[0.0],fs.unit.surge_capacity[0.0],fs.unit.tank_volume[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[StorageTankZO],fs.costing.LCOW_aggregate_indirect_capex[StorageTankZO],fs.costing.LCOW_aggregate_fixed_opex[StorageTankZO],fs.costing.LCOW_aggregate_variable_opex[StorageTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.storage_tank.capital_a_parameter[treated_storage],fs.costing.storage_tank.capital_b_parameter[treated_storage]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,92779.88325504705,0.0,0.0,0.0,0.0,97558.04724268199,1382.4202605002013,148.2075293096916,1.0143391604819805,4.381263638888887,0.0004381263638888888,1.0000000000000171e-16,0.0,24.0,0.0,378.57903251783983,92779.88325504799,1.0515,0.0149,92779.88325504799,1382.420260500201,1382.420260500201,0.0,7728.711237266083,139.1698248825706,4638.994162752353,92.77988325504705,83.50189492954236,742.2390660403764,278.3396497651412,185.5597665100941,0.055893370543358155,0.04364795711316196,0.0022478697913278474,0.009997543638868914,4.95420340210164e-19,0.04364795711316196,0.0022478697913278474,0.009997543638868914,4.95420340210164e-19,0.0,0.0,6.3394953070649665e-18,1.0,92779.88325504799,0.1,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,890080.1029824137,0.0,0.0,0.0,0.0,935919.228286008,13262.193534437965,148.2075293096916,1.0143391604819805,40.70924131134258,0.004070924131134258,1.0000000000000171e-16,0.0,24.0,0.0,3517.6301771449293,890080.1029824226,1.0515,0.0149,890080.1029824226,13262.193534437965,13262.193534437965,0.0,74145.08245366775,1335.1201544736207,44504.00514912069,890.0801029824138,801.0720926841724,7120.64082385931,2670.2403089472414,1780.1602059648276,0.057708787488999616,0.04506564297135149,0.0023208806130246024,0.010322263904624106,5.331878100916562e-20,0.04506564297135149,0.0023208806130246024,0.010322263904624106,5.331878100916562e-20,0.0,0.0,6.822775218365882e-19,1.0,890080.1029824226,0.9291666666666666,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1699842.709824087,0.0,0.0,0.0,0.0,1787384.6093800277,25327.6563763789,148.2075293096916,1.0143391604819805,77.03721898379627,0.007703721898379629,1.000000000000018e-18,0.0,24.0,0.0,6656.681321772017,1699842.7098240873,1.0515,0.0149,1699842.7098240873,25327.656376378898,25327.656376378898,0.0,141599.59025694928,2549.764064736131,84992.13549120436,1699.842709824087,1529.8584388416784,13598.741678592696,5099.528129472262,3399.685419648174,0.05823901294096666,0.04547970384409463,0.002342204747970882,0.010417104348901153,2.817556437214205e-22,0.04547970384409463,0.002342204747970882,0.010417104348901153,2.817556437214205e-22,0.0,0.0,3.605400174634107e-21,1.0,1699842.7098240873,1.7583333333333333,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2515322.6315091536,0.0,0.0,-3.6366856478564515e-40,-2.4913013752609653e-37,2644861.7470318754,37478.3072094864,148.2075293096916,1.0143391604819805,113.36519665624996,0.011336519665624998,1.000000000000018e-18,0.0,24.0,0.0,9795.732466399108,2515322.631509154,1.0515,0.0149,2515322.631509154,37478.30720948639,37478.30720948639,-2.4913013752609653e-37,209530.3594428373,3772.9839472637304,125766.1315754577,2515.322631509154,2263.7903683582385,20122.58105207323,7545.967894527461,5030.645263018308,0.05856252827406193,0.04573234173741043,0.0023552155994766375,0.010474970937174876,1.9146679814885575e-22,0.04573234173741043,0.0023552155994766375,0.010474970937174876,1.9146679814885575e-22,-6.963043809779379e-44,-8.910048926707669e-43,2.450046495484047e-21,1.0,2515322.631509154,2.5875,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3334625.0348428837,0.0,0.0,0.0,0.0,3506358.2241372927,49685.91301915897,148.2075293096916,1.0143391604819805,149.69317432870363,0.014969317432870366,1.000000000000018e-18,0.0,24.0,0.0,12934.783611026192,3334625.034842884,1.0515,0.0149,3334625.034842884,49685.913019158965,49685.913019158965,0.0,277779.5474048199,5001.937552264326,166731.2517421442,3334.625034842884,3001.1625313585955,26677.00027874307,10003.875104528652,6669.250069685768,0.058796418663176114,0.04591499019059893,0.0023646219948158503,0.010516806477761341,1.4500107518346275e-22,0.04591499019059893,0.0023646219948158503,0.010516806477761341,1.4500107518346275e-22,0.0,0.0,1.855462041092187e-21,1.0,3334625.034842884,3.4166666666666665,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4156812.026467285,0.0,0.0,0.0,0.0,4370887.84583035,61936.49919436256,148.2075293096916,1.0143391604819805,186.02115200115733,0.018602115200115732,1.000000000000018e-18,0.0,24.0,0.0,16073.834755653284,4156812.0264672856,1.0515,0.0149,4156812.0264672856,61936.49919436255,61936.49919436255,0.0,346269.02614056546,6235.218039700928,207840.60132336427,4156.812026467285,3741.130823820557,33254.49621173828,12470.436079401856,8313.62405293457,0.05897988502370184,0.04605826177644332,0.002372000481486828,0.0105496227657717,1.166838877825706e-22,0.04605826177644332,0.002372000481486828,0.0105496227657717,1.166838877825706e-22,0.0,0.0,1.493109787728747e-21,1.0,4156812.0264672856,4.245833333333333,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4981319.400730054,0.0,0.0,0.0,0.0,5237857.349867652,74221.65907087782,148.2075293096916,1.0143391604819805,222.349129673611,0.022234912967361103,1.000000000000018e-18,0.0,24.0,0.0,19212.88590028037,4981319.400730055,1.0515,0.0149,4981319.400730055,74221.65907087781,74221.65907087781,0.0,414951.79642554285,7471.979101095081,249065.9700365027,4981.319400730054,4483.187460657049,39850.555205840436,14943.958202190162,9962.638801460109,0.05913094515639492,0.04617622686119664,0.0023780756833516256,0.010576642611846663,9.761977146998313e-23,0.04617622686119664,0.0023780756833516256,0.010576642611846663,9.761977146998313e-23,0.0,0.0,1.2491616368600931e-21,1.0,4981319.400730055,5.074999999999999,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5807769.314267662,0.0,0.0,0.0,0.0,6106869.433952448,86535.7627825882,148.2075293096916,1.0143391604819805,258.6771073460647,0.025867710734606475,1.000000000000018e-18,0.0,24.0,0.0,22351.93704490746,5807769.314267663,1.0515,0.0149,5807769.314267663,86535.76278258816,86535.76278258816,0.0,483796.3833090712,8711.653971401494,290388.4657133831,5807.769314267663,5226.992382840896,46462.1545141413,17423.30794280299,11615.538628535325,0.059259396901182,0.04627653672251065,0.0023832416412093056,0.01059961853746205,8.391029050842587e-23,0.04627653672251065,0.0023832416412093056,0.01059961853746205,8.391029050842587e-23,0.0,0.0,1.0737324443864456e-21,1.0,5807769.314267663,5.904166666666666,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6635890.65904134,0.0,0.0,0.0,0.0,6977639.02798197,98874.770819716,148.2075293096916,1.0143391604819805,295.00508501851834,0.029500508501851843,1.000000000000018e-18,0.0,24.0,0.0,25490.988189534546,6635890.659041341,1.0515,0.0149,6635890.659041341,98874.77081971597,98874.77081971597,0.0,552780.2030620893,9953.83598856201,331794.53295206703,6635.890659041341,5972.301593137207,53087.125272330726,19907.67197712402,13271.781318082682,0.05937116689285236,0.04636381955687079,0.0023877367071788486,0.010619610628802715,7.357727824903433e-23,0.04636381955687079,0.0023877367071788486,0.010619610628802715,7.357727824903433e-23,0.0,0.0,9.415092040195504e-22,1.0,6635890.659041341,6.7333333333333325,default,StorageTankZO,storage_tank,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7465479.2699240595,0.0,0.0,0.0,0.0,7849951.452325149,111235.64112186851,148.2075293096916,1.0143391604819805,331.3330626909721,0.03313330626909721,1.000000000000018e-18,0.0,24.0,0.0,28630.039334161636,7465479.26992406,1.0515,0.0149,7465479.26992406,111235.64112186848,111235.64112186848,0.0,621886.2484061208,11198.21890488609,373273.963496203,7465.47926992406,6718.931342931654,59723.83415939248,22396.43780977218,14930.95853984812,0.05947011580503596,0.04644109022123399,0.0023917161463935586,0.01063730943740841,6.551012763109611e-23,0.04644109022123399,0.0023917161463935586,0.01063730943740841,6.551012763109611e-23,0.0,0.0,8.38280371182145e-22,1.0,7465479.26992406,7.562499999999999,default,StorageTankZO,storage_tank,,
