fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.supercritical_salt_precipitation.installation_factor[default],fs.costing.supercritical_salt_precipitation.equipment_cost[default],fs.costing.supercritical_salt_precipitation.base_flowrate[default],fs.costing.supercritical_salt_precipitation.scaling_exponent[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.flow_mass_in[0.0],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_mass,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SaltPrecipitationZO],fs.costing.LCOW_aggregate_indirect_capex[SaltPrecipitationZO],fs.costing.LCOW_aggregate_fixed_opex[SaltPrecipitationZO],fs.costing.LCOW_aggregate_variable_opex[SaltPrecipitationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8923169.11155761,0.0,0.0,134.55329780738222,92175.38522966714,9382712.320802828,225130.60499187556,2.1,3218170.0,69401.0,0.77,4.381263638888887,0.0004381263638888888,4.34840416159722,0.00039431372749999994,0.032859477291666925,4.3812636388888886e-05,0.9925,0.1,15.774126354909994,134.55329780738222,8.53,8923169.11155761,1.0515,0.0149,5407981.2797318855,132955.2197622084,132955.2197622084,92175.38522966714,835489.5064054918,13384.753667336416,446158.45557788055,8923.16911155761,8030.8522004018505,71385.35289246088,26769.50733467283,17846.33822311522,6.042187776590862,2.544165035405745,1.8698976968973375,0.9615206385264624,0.6666044057613167,2.544165035405745,1.8698976968973375,0.9615206385264624,0.6666044057613167,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,5407981.2797318855,0.1,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,49653653.83942712,0.0,0.0,1250.2243921269267,856462.9544256573,52210817.01215763,1596302.3966331214,2.1,3218170.0,69401.0,0.77,40.70924131134258,0.004070924131134258,40.40392200150751,0.0036638317180208305,0.3053193098350739,0.00040709241311342586,0.9925,0.1,146.56792404770536,1250.2243921269267,8.53,49653653.83942712,1.0515,0.0149,30093123.539046742,739839.4422074641,739839.4422074641,856462.9544256573,4992690.969987692,74480.48075914069,2482682.691971356,49653.65383942712,44688.28845548441,397229.23071541695,148960.96151828137,99307.30767885424,3.885923821924545,1.5236448458507286,1.1198408705791394,0.5758336997333603,0.6666044057613167,1.5236448458507286,1.1198408705791394,0.5758336997333603,0.6666044057613167,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,30093123.539046742,0.9291666666666666,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,81142251.64357314,0.0,0.0,2365.895486446471,1620750.5236216472,85321077.60321715,2829770.073110887,2.1,3218170.0,69401.0,0.77,77.03721898379627,0.007703721898379629,76.45943984141779,0.0069333497085416656,0.5777791423784768,0.0007703721898379629,0.9925,0.1,277.3617217405007,2365.895486446471,8.53,81142251.64357314,1.0515,0.0149,49177122.208226144,1209019.5494892397,1209019.5494892397,1620750.5236216472,8380028.613795807,121713.3774653597,4057112.582178657,81142.25164357314,73028.02647921583,649138.0131485851,243426.7549307194,162284.50328714628,3.4466525927010805,1.3157458281339633,0.9670402900327597,0.4972620687730408,0.6666044057613166,1.3157458281339633,0.9670402900327597,0.4972620687730408,0.6666044057613166,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,49177122.208226144,1.7583333333333333,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,109253912.83743621,0.0,0.0,3481.566580766015,2385038.092817637,114880489.3485642,4012921.3940954367,2.1,3218170.0,69401.0,0.77,113.36519665624996,0.011336519665624998,112.5149576813281,0.010202867699062496,0.8502389749218651,0.0011336519665625,0.9925,0.1,408.15551943329604,3481.566580766015,8.53,109253912.83743621,1.0515,0.0149,66214492.62874922,1627883.3012777995,1627883.3012777995,2385038.092817637,11486062.088943964,163880.8692561543,5462695.641871811,109253.91283743622,98328.5215536926,874031.3026994898,327761.7385123086,218507.82567487244,3.2102881779521812,1.2038788849326911,0.8848208834534049,0.45498400380476856,0.6666044057613165,1.2038788849326911,0.8848208834534049,0.45498400380476856,0.6666044057613165,0.6666044057613165,8.529999999999996,8.529999999999996,1.65,66214492.62874922,2.5875,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,135329704.65635753,0.0,0.0,4597.237675085559,3149325.662013627,142299184.44615996,5165738.261393354,2.1,3218170.0,69401.0,0.77,149.69317432870363,0.014969317432870366,148.57047552123836,0.013472385689583335,1.1226988074652633,0.0014969317432870367,0.9925,0.1,538.9493171260914,4597.237675085559,8.53,135329704.65635753,1.0515,0.0149,82018002.82203487,2016412.5993797272,2016412.5993797272,3149325.662013627,14422504.420369029,202994.5569845363,6766485.232817877,135329.70465635753,121796.73419072179,1082637.6372508602,405989.1139690726,270659.40931271506,3.052750341031089,1.1293191155459792,0.8300213169484063,0.42680550277538715,0.6666044057613167,1.1293191155459792,0.8300213169484063,0.42680550277538715,0.6666044057613167,0.6666044057613167,8.53,8.53,1.65,82018002.82203487,3.4166666666666665,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,159974436.6085843,0.0,0.0,5712.908769405103,3913613.2312096166,168213120.09392643,6297232.336677523,2.1,3218170.0,69401.0,0.77,186.02115200115733,0.018602115200115732,184.62599336114866,0.016741903680104163,1.3951586400086624,0.0018602115200115736,0.9925,0.1,669.7431148188867,5712.908769405103,8.53,159974436.6085843,1.0515,0.0149,96954204.00520262,2383619.105467906,2383619.105467906,3913613.2312096166,17239737.198118344,239961.6549128765,7998721.830429216,159974.4366085843,143976.9929477259,1279795.4928686745,479923.309825753,319948.8732171686,2.9364385521767513,1.074270878732374,0.7895622390963267,0.40600102858673365,0.6666044057613166,1.074270878732374,0.7895622390963267,0.40600102858673365,0.6666044057613166,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,96954204.00520262,4.245833333333333,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,183529076.6608007,0.0,0.0,6828.579863724647,4677900.800405607,192980824.10883194,7412484.042651538,2.1,3218170.0,69401.0,0.77,222.349129673611,0.022234912967361103,220.68151120105892,0.020011421670624994,1.6676184725520613,0.0022234912967361176,0.9925,0.1,800.536912511682,6828.579863724647,8.53,183529076.6608007,1.0515,0.0149,111229743.43078831,2734583.2422459302,2734583.2422459302,4677900.800405607,19966163.59390549,275293.61499120103,9176453.833040034,183529.0766608007,165176.16899472065,1468232.6132864056,550587.2299824021,367058.1533216014,2.8451934287906604,1.03108623502842,0.7578226055900129,0.3896801824109109,0.6666044057613166,1.03108623502842,0.7578226055900129,0.3896801824109109,0.6666044057613166,0.6666044057613166,8.53,8.53,1.65,111229743.43078831,5.074999999999999,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,206210726.5287761,0.0,0.0,7944.250958044191,5442188.369601596,216830578.9450081,8514728.19488036,2.1,3218170.0,69401.0,0.77,258.6771073460647,0.025867710734606475,256.7370290409692,0.02328093966114583,1.9400783050954606,0.002586771073460648,0.9925,0.1,931.3307102044773,7944.250958044191,8.53,206210726.5287761,1.0515,0.0149,124976197.89622796,3072539.825278764,3072539.825278764,5442188.369601596,22619868.52454034,309316.08979316417,10310536.326438807,206210.7265287761,185589.6538758985,1649685.812230209,618632.1795863283,412421.4530575522,2.7706692587901305,0.9958153119437085,0.7318993588958271,0.3763501821892779,0.6666044057613166,0.9958153119437085,0.7318993588958271,0.3763501821892779,0.6666044057613166,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,124976197.89622796,5.904166666666666,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,228168828.26475173,0.0,0.0,9059.922052363734,6206475.938797586,239919522.92038646,9606191.479942387,2.1,3218170.0,69401.0,0.77,295.00508501851834,0.029500508501851843,292.79254688087946,0.02655045765166665,2.2125381376388598,0.0029500508501851754,0.9925,0.1,1062.1245078972725,9059.922052363734,8.53,228168828.26475173,1.0515,0.0149,138284138.34227377,3399715.541144801,3399715.541144801,6206475.938797586,25213300.749688834,342253.2423971276,11408441.413237587,228168.82826475173,205351.94543827657,1825350.6261180139,684506.4847942552,456337.65652950347,2.708025863511823,0.9661673416729809,0.7101088419460996,0.36514527413142583,0.6666044057613166,0.9661673416729809,0.7101088419460996,0.36514527413142583,0.6666044057613166,0.6666044057613166,8.529999999999998,8.529999999999998,1.65,138284138.34227377,6.7333333333333325,default,SaltPrecipitationZO,supercritical_salt_precipitation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,249512020.06626052,0.0,0.0,10175.59314668328,6970763.507993577,262361889.09967297,10688492.60698086,2.1,3218170.0,69401.0,0.77,331.3330626909721,0.03313330626909721,328.8480647207898,0.02981997564218749,2.4849979701823113,0.003313330626909721,0.9925,0.1,1192.9183055900683,10175.59314668328,8.53,249512020.06626052,1.0515,0.0149,151219406.10076395,3717729.098987282,3717729.098987282,6970763.507993577,27755510.003286958,374268.0300993908,12475601.003313027,249512.02006626053,224560.81805963448,1996096.1605300843,748536.0601987815,499024.04013252107,2.6542207652184246,0.9407023752941768,0.6913927282818378,0.3555212558810933,0.6666044057613167,0.9407023752941768,0.6913927282818378,0.3555212558810933,0.6666044057613167,0.6666044057613166,8.53,8.53,1.65,151219406.10076395,7.562499999999999,default,SaltPrecipitationZO,supercritical_salt_precipitation
