fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.surface_discharge.capital_a_parameter[default],fs.costing.surface_discharge.capital_b_parameter[default],fs.costing.surface_discharge.pipe_cost_basis[default],fs.costing.surface_discharge.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.pipe_distance[0.0],fs.unit.pipe_diameter[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SurfaceDischargeZO],fs.costing.LCOW_aggregate_indirect_capex[SurfaceDischargeZO],fs.costing.LCOW_aggregate_fixed_opex[SurfaceDischargeZO],fs.costing.LCOW_aggregate_variable_opex[SurfaceDischargeZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.pipe_cost,fs.unit.costing.near_shore_discharge,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit,fs.costing.surface_discharge.capital_a_parameter[emwd],fs.costing.surface_discharge.capital_b_parameter[emwd],fs.costing.surface_discharge.pipe_cost_basis[emwd],fs.costing.surface_discharge.reference_state[emwd]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,157105.48828975338,0.0,0.0,1.6145994443089773,1106.0771322293162,165196.42093667568,3446.948907746642,647.78,0.8759,35000.0,1.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,0.0,8.0,157105.48828975338,1.0515,0.0149,157105.48828975338,2340.871775517325,2340.871775517325,1106.0771322293162,14193.21315980284,235.65823243463007,7855.27441448767,157.1054882897534,141.39493946077806,1256.8439063180272,471.31646486926013,314.2109765795068,0.10264408877337587,0.07390970299308314,0.0038063497041437794,0.016928982016122134,0.007999054060026815,0.07390970299308314,0.0038063497041437794,0.016928982016122134,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,0.0,157105.48828975338,1.0,157105.48828975338,100,0.9,0.9,0.1,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1106992.1974164362,0.0,0.0,15.002319836704247,10277.300020297396,1164002.2955833827,26771.483761802298,647.78,0.8759,35000.0,1.0,40.70924131134258,0.004070924131134258,15.002319836704247,0.0,8.0,1106992.1974164362,1.0515,0.0149,1106992.1974164362,16494.183741504898,16494.183741504898,10277.300020297396,102491.50352623762,1660.4882961246542,55349.60987082181,1106.9921974164363,996.2929776747926,8855.93757933149,3320.9765922493084,2213.9843948328726,0.07977144539720071,0.05604811856110678,0.0028864781058970056,0.012837794670170103,0.007999054060026814,0.05604811856110678,0.0028864781058970056,0.012837794670170103,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.04071331223547372,0.0,1106992.1974164362,1.0,1106992.1974164362,100,0.9,0.9,0.9291666666666666,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1935421.2542437986,0.0,0.0,28.390040229099515,19448.522908365474,2035095.4488373543,48286.29959659808,647.78,0.8759,35000.0,1.0,77.03721898379627,0.007703721898379629,28.390040229099515,0.0,8.0,1935421.2542437986,1.0515,0.0149,1935421.2542437986,28837.7766882326,28837.7766882326,19448.522908365474,180672.17906880754,2903.131881365698,96771.06271218993,1935.4212542437986,1741.8791288194188,15483.370033950388,5806.263762731396,3870.842508487597,0.0743093207809938,0.05178266491826374,0.0026668072432905884,0.011860794559412654,0.007999054060026815,0.05178266491826374,0.0026668072432905884,0.011860794559412654,0.007999054060026815,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.07704492270569464,0.0,1935421.2542437986,1.0,1935421.2542437986,100,0.9,0.9,1.7583333333333333,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2714771.3847837793,0.0,0.0,41.77776062149479,28619.74579643356,2854582.111100144,69069.83942971188,647.78,0.8759,35000.0,1.0,113.36519665624996,0.011336519665624998,41.77776062149479,0.0,8.0,2714771.3847837793,1.0515,0.0149,2714771.3847837793,40450.09363327831,40450.09363327831,28619.74579643356,254764.50231126172,4072.157077175669,135738.56923918898,2714.7713847837795,2443.2942463054014,21718.171078270236,8144.314154351338,5429.542769567559,0.07120521059336446,0.04935861950774281,0.002541968904648759,0.011305568120946073,0.007999054060026815,0.04935861950774281,0.002541968904648759,0.011305568120946073,0.007999054060026815,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.11337653317591559,0.0,2714771.3847837793,1.0,2714771.3847837793,100,0.9,0.9,2.5875,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3463170.580802161,0.0,0.0,55.16548101389004,37790.968684501626,3641523.8657134725,89392.21033845382,647.78,0.8759,35000.0,1.0,149.69317432870363,0.014969317432870366,55.16548101389004,0.0,8.0,3463170.580802161,1.0515,0.0149,3463170.580802161,51601.241653952195,51601.241653952195,37790.968684501626,326278.56368219154,5194.755871203241,173158.52904010806,3463.1705808021607,3116.853522721945,27705.364646417285,10389.511742406483,6926.341161604321,0.06906199974154408,0.04768495455543596,0.0024557751596049546,0.01092221596647634,0.007999054060026814,0.04768495455543596,0.0024557751596049546,0.01092221596647634,0.007999054060026814,0.007999054060026814,0.10235745599986286,0.10235745599986286,0.1497081436461365,0.0,3463170.580802161,1.0,3463170.580802161,100,0.9,0.9,3.4166666666666665,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,4189132.5090059103,0.0,0.0,68.55320140628531,46962.1915725697,4404872.833219715,109380.26595675776,647.78,0.8759,35000.0,1.0,186.02115200115733,0.018602115200115732,68.55320140628531,0.0,8.0,4189132.5090059103,1.0515,0.0149,4189132.5090059103,62418.07438418806,62418.07438418806,46962.1915725697,395923.565103824,6283.698763508865,209456.6254502955,4189.13250900591,3770.2192581053196,33513.06007204728,12567.39752701773,8378.26501801182,0.06743752569575277,0.04641637882287856,0.00239044350937826,0.010631649303469142,0.007999054060026814,0.04641637882287856,0.00239044350937826,0.010631649303469142,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.18603975411635745,0.0,4189132.5090059103,1.0,4189132.5090059103,100,0.9,0.9,4.245833333333333,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,4897594.111158597,0.0,0.0,81.94092179868058,56133.41446063778,5149820.207883266,129107.5667169009,647.78,0.8759,35000.0,1.0,222.349129673611,0.022234912967361103,81.94092179868058,0.0,8.0,4897594.111158597,1.0515,0.0149,4897594.111158597,72974.1522562631,72974.1522562631,56133.41446063778,464110.76164511556,7346.391166737896,244879.70555792988,4897.594111158597,4407.834700042738,39180.75288926878,14692.782333475792,9795.188222317194,0.0661361349191178,0.045400103578536945,0.0023381053342946645,0.010398871946259368,0.007999054060026814,0.045400103578536945,0.0023381053342946645,0.010398871946259368,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.22237136458657836,0.0,4897594.111158597,1.0,4897594.111158597,100,0.9,0.9,5.074999999999999,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,5591768.484747097,0.0,0.0,95.32864219107586,65304.63734870587,5879744.561711573,148621.98777143762,647.78,0.8759,35000.0,1.0,258.6771073460647,0.025867710734606475,95.32864219107586,0.0,8.0,5591768.484747097,1.0515,0.0149,5591768.484747097,83317.35042273175,83317.35042273175,65304.63734870587,531107.8094162273,8387.652727120645,279588.42423735483,5591.768484747097,5032.591636272387,44734.14787797678,16775.30545424129,11183.536969494195,0.0650544930911711,0.044555433528062974,0.0022946048266952465,0.01020540067638606,0.007999054060026815,0.044555433528062974,0.0022946048266952465,0.01020540067638606,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.2587029750567993,0.0,5591768.484747097,1.0,5591768.484747097,100,0.9,0.9,5.904166666666666,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,6273907.543366001,0.0,0.0,108.7163625834711,74475.86023677394,6597013.781849351,167957.08263292734,647.78,0.8759,35000.0,1.0,295.00508501851834,0.029500508501851843,108.7163625834711,0.0,8.0,6273907.543366001,1.0515,0.0149,6273907.543366001,93481.22239615342,93481.22239615342,74475.86023677394,597102.2963865902,9410.861315049002,313695.37716830004,6273.907543366001,5646.5167890294015,50191.26034692801,18821.722630098004,12547.815086732002,0.06413156602659983,0.04383470617629711,0.0022574873680793065,0.0100403184221966,0.007999054060026814,0.04383470617629711,0.0022574873680793065,0.0100403184221966,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.29503458552702017,0.0,6273907.543366001,1.0,6273907.543366001,100,0.9,0.9,6.7333333333333325,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,6945673.590034914,0.0,0.0,122.10408297586639,83647.08312484203,7303375.779921713,187137.61961636227,647.78,0.8759,35000.0,1.0,331.3330626909721,0.03313330626909721,122.10408297586639,0.0,8.0,6945673.590034914,1.0515,0.0149,6945673.590034914,103490.53649152022,103490.53649152022,83647.08312484203,662232.6950308038,10418.510385052372,347283.67950174573,6945.673590034914,6251.106231031424,55565.38872027931,20837.020770104744,13891.347180069828,0.06332839030337263,0.043207494412523466,0.002225185962244967,0.009896655868577383,0.007999054060026814,0.043207494412523466,0.002225185962244967,0.009896655868577383,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.3313661959972412,0.0,6945673.590034914,1.0,6945673.590034914,100,0.9,0.9,7.562499999999999,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,7608341.833726895,0.0,0.0,135.49180336826169,92818.30601291012,8000171.438163831,206182.59933544087,647.78,0.8759,35000.0,1.0,367.6610403634258,0.036766104036342576,135.49180336826169,0.0,8.0,7608341.833726895,1.0515,0.0149,7608341.833726895,113364.29332253074,113364.29332253074,92818.30601291012,726605.2322762382,11412.512750590342,380417.09168634476,7608.341833726895,6847.507650354206,60866.73466981516,22825.025501180684,15216.68366745379,0.06261862323222701,0.04265322684231733,0.0021966411823793443,0.009769701147503512,0.007999054060026815,0.04265322684231733,0.0021966411823793443,0.009769701147503512,0.007999054060026815,0.007999054060026815,0.1023574559998629,0.1023574559998629,0.36769780646746214,0.0,7608341.833726895,1.0,7608341.833726895,100,0.9,0.9,8.391666666666666,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,8262920.050962688,0.0,0.0,148.87952376065692,101989.52890097818,8688460.433587268,225107.03766032227,647.78,0.8759,35000.0,1.0,403.9890180358795,0.040398901803587954,148.87952376065692,0.0,8.0,8262920.050962688,1.0515,0.0149,8262920.050962688,123117.50875934405,123117.50875934405,101989.52890097818,790303.8575033761,12394.380076444033,413146.0025481344,8262.920050962688,7436.6280458664205,66103.3604077015,24788.760152888066,16525.840101925376,0.06198365016623389,0.042157367013449416,0.0021711044011926543,0.009656124691565002,0.007999054060026814,0.042157367013449416,0.0021711044011926543,0.009656124691565002,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.4040294169376831,0.0,8262920.050962688,1.0,8262920.050962688,100,0.9,0.9,9.220833333333333,default,SurfaceDischargeZO,surface_discharge,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,8910223.757064339,0.0,0.0,162.26724415305216,111160.75178904625,9369100.280553153,243923.0857693049,647.78,0.8759,35000.0,1.0,440.3169957083331,0.04403169957083332,162.26724415305216,0.0,8.0,8910223.757064339,1.0515,0.0149,8910223.757064339,132762.33398025864,132762.33398025864,111160.75178904625,853396.5044303093,13365.335635596508,445511.18785321695,8910.22375706434,8019.201381357906,71281.79005651471,26730.671271193016,17820.44751412868,0.06140984712419536,0.04170927575813909,0.002148027701544162,0.009553489604485297,0.007999054060026814,0.04170927575813909,0.002148027701544162,0.009553489604485297,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.4403610274079039,0.0,8910223.757064339,1.0,8910223.757064339,100,0.9,0.9,10.049999999999999,default,SurfaceDischargeZO,surface_discharge,,,,
