fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.sw_onshore_intake.capital_a_parameter[default],fs.costing.sw_onshore_intake.capital_b_parameter[default],fs.costing.sw_onshore_intake.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SWOnshoreIntakeZO],fs.costing.LCOW_aggregate_indirect_capex[SWOnshoreIntakeZO],fs.costing.LCOW_aggregate_fixed_opex[SWOnshoreIntakeZO],fs.costing.LCOW_aggregate_variable_opex[SWOnshoreIntakeZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55652.504790013045,0.0,0.0,1.6145994443089773,1106.0771322293162,58518.60878669872,1935.2994536005108,3624.0,0.888803,1.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,55652.504790013045,1.0515,0.014900000000000002,55652.504790013045,829.2223213711944,829.2223213711944,1106.0771322293162,5742.018934076545,83.47875718501957,2782.6252395006522,55.65250479001305,50.08725431101175,445.2200383201044,166.95751437003915,111.3050095800261,0.04152578380750149,0.026181517556311065,0.0013483481541500205,0.005996864037013591,0.007999054060026815,0.026181517556311065,0.0013483481541500205,0.005996864037013591,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,1.0,55652.504790013045,100,0.9,0.9,0.1,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,403579.6232941527,0.0,0.0,15.002319836704247,10277.300020297396,424363.9738938016,16290.636407380272,3624.0,0.888803,1.0,40.70924131134258,0.004070924131134258,15.002319836704247,403579.6232941527,1.0515,0.014900000000000002,403579.6232941527,6013.336387082876,6013.336387082876,10277.300020297396,43896.12190554109,605.3694349412291,20178.98116470764,403.5796232941527,363.2216609647375,3228.636986353222,1210.7388698824582,807.1592465883055,0.03416534026003746,0.020433638672457757,0.0010523323916315764,0.004680315135921306,0.007999054060026814,0.020433638672457757,0.0010523323916315764,0.004680315135921306,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.04071331223547372,1.0,403579.6232941527,100,0.9,0.9,0.9291666666666666,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,711433.6546077192,0.0,0.0,28.390040229099515,19448.522908365474,748072.4878200168,30048.884362020493,3624.0,0.888803,1.0,77.03721898379627,0.007703721898379629,28.390040229099515,711433.6546077192,1.0515,0.014900000000000002,711433.6546077192,10600.361453655018,10600.361453655018,19448.522908365474,78712.07323878529,1067.1504819115787,35571.68273038596,711.4336546077192,640.2902891469473,5691.469236861753,2134.3009638231574,1422.8673092154384,0.03237377624924983,0.019034579922767914,0.0009802808660225486,0.004359861400432554,0.007999054060026815,0.019034579922767914,0.0009802808660225486,0.004359861400432554,0.007999054060026815,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.07704492270569464,1.0,711433.6546077192,100,0.9,0.9,1.7583333333333333,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1002898.5812577454,0.0,0.0,41.77776062149479,28619.74579643356,1054547.8581925193,43562.934657173966,3624.0,0.888803,1.0,113.36519665624996,0.011336519665624998,41.77776062149479,1002898.5812577454,1.0515,0.014900000000000002,1002898.5812577454,14943.188860740409,14943.188860740409,28619.74579643356,112162.78619342935,1504.3478718866181,50144.92906288727,1002.8985812577454,902.6087231319709,8023.188650061963,3008.6957437732362,2005.7971625154908,0.03134885252531748,0.01823420187593393,0.0009390613966105987,0.004176535192746135,0.007999054060026815,0.01823420187593393,0.0009390613966105987,0.004176535192746135,0.007999054060026815,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.11337653317591559,1.0,1002898.5812577454,100,0.9,0.9,2.5875,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1283971.3017937893,0.0,0.0,55.16548101389004,37790.968684501626,1350095.8238361694,56922.141081229085,3624.0,0.888803,1.0,149.69317432870363,0.014969317432870366,55.16548101389004,1283971.3017937893,1.0515,0.014900000000000002,1283971.3017937893,19131.172396727463,19131.172396727463,37790.968684501626,144747.81191766018,1925.956952690684,64198.565089689466,1283.9713017937893,1155.5741716144105,10271.770414350314,3851.913905381368,2567.9426035875786,0.03063815543513175,0.017679208040147776,0.0009104792140676106,0.004049414120889551,0.007999054060026814,0.017679208040147776,0.0009104792140676106,0.004049414120889551,0.007999054060026814,0.007999054060026814,0.10235745599986286,0.10235745599986286,0.1497081436461365,1.0,1283971.3017937893,100,0.9,0.9,3.4166666666666665,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1557482.0951381929,0.0,0.0,68.55320140628531,46962.1915725697,1637692.42303781,70168.67479012877,3624.0,0.888803,1.0,186.02115200115733,0.018602115200115732,68.55320140628531,1557482.0951381929,1.0515,0.014900000000000002,1557482.0951381929,23206.48321755908,23206.48321755908,46962.1915725697,176702.9171288337,2336.2231427072893,77874.10475690964,1557.482095138193,1401.7338856243737,12459.856761105544,4672.446285414579,3114.964190276386,0.030097747557070332,0.017257195560743947,0.0008887455713783158,0.003952752364921258,0.007999054060026814,0.017257195560743947,0.0008887455713783158,0.003952752364921258,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.18603975411635745,1.0,1557482.0951381929,100,0.9,0.9,4.245833333333333,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1825077.8326894832,0.0,0.0,81.94092179868058,56133.41446063778,1919069.3410729917,83327.07416771108,3624.0,0.888803,1.0,222.349129673611,0.022234912967361103,81.94092179868058,1825077.8326894832,1.0515,0.014900000000000002,1825077.8326894832,27193.659707073304,27193.659707073304,56133.41446063778,208165.28882306995,2737.616749034225,91253.89163447416,1825.0778326894833,1642.570049420535,14600.622661515867,5475.23349806845,3650.1556653789667,0.02966371126211218,0.01691825021885957,0.0008712898862712686,0.003875117096954533,0.007999054060026814,0.01691825021885957,0.0008712898862712686,0.003875117096954533,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.22237136458657836,1.0,1825077.8326894832,100,0.9,0.9,5.074999999999999,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2087833.2054541714,0.0,0.0,95.32864219107586,65304.63734870587,2195356.6155350613,96413.35210997303,3624.0,0.888803,1.0,258.6771073460647,0.025867710734606475,95.32864219107586,2087833.2054541714,1.0515,0.014900000000000002,2087833.2054541714,31108.714761267158,31108.714761267158,65304.63734870587,239224.45046350776,3131.7498081812573,104391.66027270857,2087.8332054541715,1879.0498849087544,16702.665643633372,6263.499616362515,4175.666410908343,0.029302196435453082,0.01663593796077973,0.0008567508049801564,0.0038104536096663796,0.007999054060026815,0.01663593796077973,0.0008567508049801564,0.0038104536096663796,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.2587029750567993,1.0,2087833.2054541714,100,0.9,0.9,5.904166666666666,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2346503.0678773834,0.0,0.0,108.7163625834711,74475.86023677394,2467347.975873069,109438.75594814695,3624.0,0.888803,1.0,295.00508501851834,0.029500508501851843,108.7163625834711,2346503.0678773834,1.0515,0.014900000000000002,2346503.0678773834,34962.895711373014,34962.895711373014,74475.86023677394,269943.28262110567,3519.754601816075,117325.15339386917,2346.5030678773833,2111.8527610896454,18772.024543019066,7039.50920363215,4693.006135754767,0.028993165086814644,0.016394610824468824,0.0008443224574601478,0.00375517774485886,0.007999054060026814,0.016394610824468824,0.0008443224574601478,0.00375517774485886,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.29503458552702017,1.0,2346503.0678773834,100,0.9,0.9,6.7333333333333325,default,SWOnshoreIntakeZO,sw_onshore_intake
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2601645.673238272,0.0,0.0,122.10408297586639,83647.08312484203,2735630.425410043,122411.6036560923,3624.0,0.888803,1.0,331.3330626909721,0.03313330626909721,122.10408297586639,2601645.673238272,1.0515,0.014900000000000002,2601645.673238272,38764.52053125026,38764.52053125026,83647.08312484203,300368.2886782831,3902.4685098574078,130082.28366191359,2601.6456732382717,2341.481105914445,20813.165385906173,7804.9370197148155,5203.291346476543,0.028723801109351164,0.016184260523138608,0.0008334894169416413,0.0037069971092440978,0.007999054060026814,0.016184260523138608,0.0008334894169416413,0.0037069971092440978,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.3313661959972412,1.0,2601645.673238272,100,0.9,0.9,7.562499999999999,default,SWOnshoreIntakeZO,sw_onshore_intake
