fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.tramp_oil_tank.capital_a_parameter[default],fs.costing.tramp_oil_tank.capital_b_parameter[default],fs.costing.tramp_oil_tank.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[TrampOilTankZO],fs.costing.LCOW_aggregate_indirect_capex[TrampOilTankZO],fs.costing.LCOW_aggregate_fixed_opex[TrampOilTankZO],fs.costing.LCOW_aggregate_variable_opex[TrampOilTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,367382.2876209743,0.0,0.0,0.0,0.0,386302.4754334545,5473.996085552517,1000000.0,0.7,100000.0,4.381263638888887,0.0004381263638888888,3.7694835252461893e-23,0.0,367382.2876209743,1.0515,0.014900000000000002,367382.2876209743,5473.996085552518,5473.996085552518,0.0,30603.526487562016,551.0734314314615,18369.114381048716,367.3822876209743,330.6440588588769,2939.0583009677944,1102.146862862923,734.7645752419486,0.22132205401270186,0.17283365500832484,0.008900933232928732,0.03958746577144831,1.8674788104940434e-25,0.17283365500832484,0.008900933232928732,0.03958746577144831,1.8674788104940434e-25,0.0,0.0,2.3896623118356515e-24,1.0,367382.2876209743,0.1,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1748975.5934186832,0.0,0.0,0.0,0.0,1839047.8364797456,26059.736341938384,1000000.0,0.7,100000.0,40.70924131134258,0.004070924131134258,3.7694835252461893e-23,0.0,1748975.5934186832,1.0515,0.014900000000000002,1748975.5934186832,26059.736341938384,26059.736341938384,0.0,145692.43728622363,2623.463390128025,87448.77967093416,1748.9755934186833,1574.078034076815,13991.804747349466,5246.92678025605,3497.9511868373665,0.11339570506727754,0.08855237792027186,0.004560447462894005,0.02028287968411167,2.0098426660025575e-26,0.08855237792027186,0.004560447462894005,0.02028287968411167,2.0098426660025575e-26,0.0,0.0,2.5718338782087724e-25,1.0,1748975.5934186832,0.9291666666666666,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2733311.0719223404,0.0,0.0,0.0,0.0,2874076.5921263415,40726.33497164288,1000000.0,0.7,100000.0,77.03721898379627,0.007703721898379629,3.7694835252461893e-23,0.0,2733311.0719223404,1.0515,0.014900000000000002,2733311.0719223404,40726.33497164288,40726.33497164288,0.0,227689.1418200921,4099.966607883511,136665.55359611704,2733.3110719223405,2459.9799647301065,21866.488575378724,8199.933215767021,5466.622143844681,0.093647099210636,0.07313040044609624,0.003766215622973964,0.01675048314156579,1.0620732571530105e-26,0.07313040044609624,0.003766215622973964,0.01675048314156579,1.0620732571530105e-26,0.0,0.0,1.3590496560202756e-25,1.0,2733311.0719223404,1.7583333333333333,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3582073.270702593,0.0,0.0,0.0,0.0,3766550.044143777,53372.89173346864,1000000.0,0.7,100000.0,113.36519665624996,0.011336519665624998,5.218206108668607e-19,0.0,3582073.270702593,1.0515,0.014900000000000002,3582073.270702593,53372.89173346864,53372.89173346864,0.0,298392.3774067004,5373.10990605389,179103.66353512966,3582.073270702593,3223.865943632334,28656.586165620745,10746.21981210778,7164.146541405186,0.08339895032448393,0.06512746988879398,0.003354064699272893,0.014917415736417057,9.991132157075604e-23,0.06512746988879398,0.003354064699272893,0.014917415736417057,9.991132157075604e-23,0.0,0.0,1.2784847589256736e-21,1.0,3582073.270702593,2.5875,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4351510.557876432,0.0,0.0,0.0,0.0,4575613.351607069,64837.50731235885,1000000.0,0.7,100000.0,149.69317432870363,0.014969317432870366,5.218206108668607e-19,0.0,4351510.557876432,1.0515,0.014900000000000002,4351510.557876432,64837.50731235885,64837.50731235885,0.0,362487.7222068728,6527.2658368146485,217575.52789382162,4351.510557876432,3916.3595020887897,34812.08446301146,13054.531673629297,8703.021115752865,0.07672623875391396,0.05991665104517453,0.003085707528826493,0.013723880179912936,7.566454962858478e-23,0.05991665104517453,0.003085707528826493,0.013723880179912936,7.566454962858478e-23,0.0,0.0,9.682183357229798e-22,1.0,4351510.557876432,3.4166666666666665,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5066315.991480121,0.0,0.0,5.723484134352714e-42,3.9208614364611076e-39,5327231.2650413485,75488.1082730538,1000000.0,0.7,100000.0,186.02115200115733,0.018602115200115732,5.218206108668607e-19,0.0,5066315.991480121,1.0515,0.014900000000000002,5066315.991480121,75488.10827305382,75488.10827305382,3.9208614364611076e-39,422032.14706851065,7599.473987220183,253315.7995740061,5066.315991480122,4559.684392332109,40530.527931840974,15198.947974440365,10132.631982960243,0.07188459154964179,0.056135737361230634,0.002890990474103383,0.012857863714307784,6.088805760102013e-23,0.056135737361230634,0.002890990474103383,0.012857863714307784,6.088805760102013e-23,6.678389900876305e-46,8.545790180912078e-45,7.791354615238894e-22,1.0,5066315.991480121,4.245833333333333,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5740152.713482892,0.0,0.0,6.3108755987209535e-30,4.3232488458316696e-27,6035770.578227262,85528.2754308951,1000000.0,0.7,100000.0,222.349129673611,0.022234912967361103,5.218206108668607e-19,0.0,5740152.713482892,1.0515,0.014900000000000002,5740152.713482892,85528.2754308951,85528.2754308951,4.3232488458316696e-27,478163.8133598892,8610.229070224339,287007.6356741446,5740.152713482892,5166.137442134604,45921.22170786314,17220.458140448678,11480.305426965784,0.06813870542823322,0.05321051966209051,0.002740341762597668,0.012187844003545046,5.0940008781149025e-23,0.05321051966209051,0.002740341762597668,0.012187844003545046,5.0940008781149025e-23,6.160662337226214e-34,7.883303692918544e-33,6.518382884177697e-22,1.0,5740152.713482892,5.074999999999999,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6381595.019123329,0.0,0.0,6.310875598720956e-30,4.323248845831671e-27,6710247.162608181,95085.76578493761,1000000.0,0.7,100000.0,258.6771073460647,0.025867710734606475,5.218206108668607e-19,0.0,6381595.019123329,1.0515,0.014900000000000002,6381595.019123329,95085.76578493761,95085.76578493761,4.323248845831671e-27,531596.9734559538,9572.392528684994,319079.7509561665,6381.595019123329,5743.435517210996,51052.76015298663,19144.785057369987,12763.190038246657,0.06511440996318588,0.05084880274517071,0.002618713341376301,0.011646893876638862,4.3786119051121746e-23,0.05084880274517071,0.002618713341376301,0.011646893876638862,4.3786119051121746e-23,5.295474048512019e-34,6.776191882833304e-33,5.602957200372925e-22,1.0,6381595.019123329,5.904166666666666,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6996475.125165034,0.0,0.0,0.0,0.0,7356793.594111033,104247.47936495901,1000000.0,0.7,100000.0,295.00508501851834,0.029500508501851843,5.218206108668607e-19,0.0,6996475.125165034,1.0515,0.014900000000000002,6996475.125165034,104247.47936495901,104247.47936495901,0.0,582817.4602512674,10494.712687747551,349823.7562582517,6996.475125165034,6296.827612648532,55971.80100132027,20989.425375495102,13992.950250330068,0.06259730813254129,0.04888316081509229,0.002517482781977254,0.011196664535471744,3.839414028183139e-23,0.04888316081509229,0.002517482781977254,0.011196664535471744,3.839414028183139e-23,0.0,0.0,4.912989079782448e-22,1.0,6996475.125165034,6.7333333333333325,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7588990.085680395,0.0,0.0,0.0,0.0,7979823.075092936,113075.9522766379,1000000.0,0.7,100000.0,331.3330626909721,0.03313330626909721,5.218206108668607e-19,0.0,7588990.085680395,1.0515,0.014900000000000002,7588990.085680395,113075.95227663791,113075.95227663791,0.0,632174.894998139,11383.485128520593,379449.5042840198,7588.990085680395,6830.091077112356,60711.92068544316,22766.970257041186,15177.98017136079,0.06045400474915172,0.04720942360351883,0.002431285315581228,0.010813295830051658,3.418453481842397e-23,0.04720942360351883,0.002431285315581228,0.010813295830051658,3.418453481842397e-23,0.0,0.0,4.374319753679578e-22,1.0,7588990.085680395,7.562499999999999,default,TrampOilTankZO,tramp_oil_tank
