fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_hydrogen_peroxide,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[hydrogen_peroxide],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.uv_aop.reactor_cost[default],fs.costing.uv_aop.lamp_cost[default],fs.costing.uv_aop.aop_capital_a_parameter[default],fs.costing.uv_aop.aop_capital_b_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.uv_reduced_equivalent_dose[0.0],fs.unit.uv_transmittance_in[0.0],fs.unit.oxidant_dose[0.0],fs.unit.chemical_flow_mass[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[UVAOPZO],fs.costing.LCOW_aggregate_indirect_capex[UVAOPZO],fs.costing.LCOW_aggregate_fixed_opex[UVAOPZO],fs.costing.LCOW_aggregate_variable_opex[UVAOPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[hydrogen_peroxide],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,sec,oxidant_dose,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2800440.052003368,0.0,0.0,1.5774126354909996,4.381701765252776e-05,1080.6024059749961,2831.3574805522067,2944662.7146815415,45638.51666137739,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,1.5774126354909996,0.01,100.0,0.9,1.0,4.381701765252776e-05,2800440.052003368,1.0515,0.014900000000000002,2800440.052003368,41726.556774850185,41726.556774850185,3911.959886527203,237193.05207879466,4200.660078005052,140022.0026001684,2800.440052003368,2520.3960468030314,22403.520416026942,8401.320156010104,5600.880104006736,0.17153596172962682,0.13174567912724067,0.006784902475052909,0.030176284605765234,0.0028290955215680095,0.13174567912724067,0.006784902475052909,0.030176284605765234,0.0028290955215680095,0.0007814823045267489,0.0020476132170412606,0.01,0.01,0.04381701765252777,1.0,2800440.052003368,1000.0,1.0,0.01,1,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4700923.417839814,0.0,0.0,1.5774126354909996,0.00043817017652527756,1080.6024059749961,28313.574805522065,4943020.973858565,99437.9361373103,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,1.5774126354909996,0.01,100.0,0.9,10.0,0.00043817017652527756,4700923.417839814,1.0515,0.014900000000000002,4700923.417839814,70043.75892581324,70043.75892581324,29394.17721149706,420988.5441187162,7051.385126759721,235046.1708919907,4700.923417839814,4230.831076055833,37607.38734271851,14102.770253519442,9401.846835679627,0.3044552703363755,0.22115322474601962,0.011389391074420056,0.05065504004099648,0.02125761447493935,0.22115322474601962,0.011389391074420056,0.05065504004099648,0.02125761447493935,0.0007814823045267489,0.020476132170412602,0.01,0.01,0.04381701765252777,1.0,4700923.417839814,1000.0,1.0,0.01,10,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2801185.786063518,0.0,0.0,3.943531588727499,4.381701765252776e-05,2701.50601493749,2831.3574805522067,2945446.854045789,47270.53170783612,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,3.943531588727499,0.025,100.0,0.9,1.0,4.381701765252776e-05,2801185.786063518,1.0515,0.014900000000000002,2801185.786063518,41737.66821234642,41737.66821234642,5532.863495489697,238876.0765162006,4201.778679095277,140059.2893031759,2801.1857860635178,2521.067207457166,22409.486288508142,8403.557358190554,5602.3715721270355,0.17275311043172706,0.13178076191365223,0.00678670923855309,0.030184320301163605,0.004001318978358133,0.13178076191365223,0.00678670923855309,0.030184320301163605,0.004001318978358133,0.001953705761316872,0.0020476132170412606,0.025,0.025,0.04381701765252777,1.0,2801185.786063518,1000.0,1.0,0.025,1,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4701669.151899965,0.0,0.0,3.943531588727499,0.00043817017652527756,2701.50601493749,28313.574805522065,4943805.113222813,101069.95118376902,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,3.943531588727499,0.025,100.0,0.9,10.0,0.00043817017652527756,4701669.151899965,1.0515,0.014900000000000002,4701669.151899965,70054.87036330948,70054.87036330948,31015.080820459556,422671.5685561222,7052.503727849947,235083.45759499824,4701.669151899965,4231.502236709968,37613.35321519972,14105.007455699893,9403.33830379993,0.30567241903847575,0.2211883075324312,0.011391197837920192,0.050663075736394864,0.022429837931729472,0.2211883075324312,0.011391197837920192,0.050663075736394864,0.022429837931729472,0.001953705761316872,0.020476132170412602,0.025,0.025,0.04381701765252777,1.0,4701669.151899965,1000.0,1.0,0.025,10,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2802428.676163768,0.0,0.0,7.887063177454998,4.381701765252776e-05,5403.01202987498,2831.3574805522067,2946753.752986202,49990.556785267334,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,7.887063177454998,0.05,100.0,0.9,1.0,4.381701765252776e-05,2802428.676163768,1.0515,0.014900000000000002,2802428.676163768,41756.187274840144,41756.187274840144,8234.369510427186,241681.1172452106,4203.643014245652,140121.4338081884,2802.428676163768,2522.1858085473914,22419.429409310145,8407.286028491304,5604.857352327536,0.17478169160189413,0.13183923322433813,0.006789720511053431,0.030197713126827556,0.005955024739675005,0.13183923322433813,0.006789720511053431,0.030197713126827556,0.005955024739675005,0.003907411522633744,0.0020476132170412606,0.05,0.05,0.04381701765252777,1.0,2802428.676163768,1000.0,1.0,0.05,1,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4702912.042000215,0.0,0.0,7.887063177454998,0.00043817017652527756,5403.01202987498,28313.574805522065,4945112.012163226,103789.97626120024,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,7.887063177454998,0.05,100.0,0.9,10.0,0.00043817017652527756,4702912.042000215,1.0515,0.014900000000000002,4702912.042000215,70073.38942580321,70073.38942580321,33716.58683539704,425476.60928513214,7054.368063000322,235145.60210001073,4702.912042000215,4232.620837800194,37623.29633600172,14108.736126000644,9405.82408400043,0.30770100020864277,0.22124677884311708,0.011394209110420576,0.05067646856205881,0.024383543693046347,0.22124677884311708,0.011394209110420576,0.05067646856205881,0.024383543693046347,0.003907411522633744,0.020476132170412602,0.05,0.05,0.04381701765252777,1.0,4702912.042000215,1000.0,1.0,0.05,10,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2804914.456364268,0.0,0.0,15.774126354909995,4.381701765252776e-05,10806.02405974996,2831.3574805522067,2949367.550867028,55430.606940129765,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,15.774126354909995,0.1,100.0,0.9,1.0,4.381701765252776e-05,2804914.456364268,1.0515,0.014900000000000002,2804914.456364268,41793.2253998276,41793.2253998276,13637.381540302165,247291.19870323053,4207.371684546402,140245.7228182134,2804.914456364268,2524.4230107278413,22439.315650914144,8414.743369092805,5609.828912728536,0.17883885394222826,0.13195617584570996,0.006795743056054073,0.030224498778155466,0.00986243626230875,0.13195617584570996,0.006795743056054073,0.030224498778155466,0.00986243626230875,0.007814823045267488,0.0020476132170412606,0.1,0.1,0.04381701765252777,1.0,2804914.456364268,1000.0,1.0,0.1,1,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4705397.822200715,0.0,0.0,15.774126354909995,0.00043817017652527756,10806.02405974996,28313.574805522065,4947725.810044051,109230.02641606267,202.346,235.5,1228000.0,0.2277,43.812636388888876,0.004381263638888888,43.812636388888876,0.0039431372749999995,1,0.1,15.774126354909995,0.1,100.0,0.9,10.0,0.00043817017652527756,4705397.822200715,1.0515,0.014900000000000002,4705397.822200715,70110.42755079066,70110.42755079066,39119.598865272026,431086.69074315205,7058.096733301072,235269.89111003574,4705.3978222007145,4234.858039980643,37643.182577605716,14116.193466602144,9410.795644401429,0.31175816254897687,0.22136372146448893,0.01140023165542122,0.05070325421338672,0.02829095521568009,0.22136372146448893,0.01140023165542122,0.05070325421338672,0.02829095521568009,0.007814823045267488,0.020476132170412602,0.1,0.1,0.04381701765252777,1.0,4705397.822200715,1000.0,1.0,0.1,10,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3418586.251732405,0.0,0.0,3.5699338592691037,9.916482942414176e-05,2445.573866153938,6407.809034933941,3594643.443696624,59790.318051900715,202.346,235.5,1228000.0,0.2277,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947366,1,0.1,3.5699338592691037,0.01,100.0,0.9,1.0,9.916482942414176e-05,3418586.251732405,1.0515,0.014900000000000002,3418586.251732405,50936.93515081284,50936.93515081284,8853.38290108788,293627.0326662734,5127.879377598607,170929.31258662025,3418.586251732405,3076.7276265591645,27348.69001385924,10255.758755197214,6837.17250346481,0.09382841930685995,0.07106271357934969,0.0036597297493365147,0.01627688045660574,0.0028290955215680095,0.07106271357934969,0.0036597297493365147,0.01627688045660574,0.0028290955215680095,0.0007814823045267488,0.0020476132170412606,0.01,0.01,0.09916482942414177,1.0,3418586.251732405,1000.0,2.263157894736842,0.01,1,default,UVAOPZO,uv_aop
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5707516.957211401,0.0,0.0,3.5699338592691037,0.0009916482942414176,2445.573866153938,64078.09034933941,6001454.08050779,151565.66687794324,202.346,235.5,1228000.0,0.2277,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947366,1,0.1,3.5699338592691037,0.01,100.0,0.9,10.0,0.0009916482942414176,5707516.957211401,1.0515,0.014900000000000002,5707516.957211401,85042.00266244989,85042.00266244989,66523.66421549335,541968.8673833567,8561.275435817102,285375.84786057007,5707.516957211402,5136.765261490262,45660.135657691215,17122.550871634205,11415.033914422804,0.17318596887469256,0.11864309188456412,0.006110119232055058,0.027175143283134,0.021257614474939356,0.11864309188456412,0.006110119232055058,0.027175143283134,0.021257614474939356,0.0007814823045267488,0.020476132170412605,0.01,0.01,0.09916482942414177,1.0,5707516.957211401,1000.0,2.263157894736842,0.01,10,default,UVAOPZO,uv_aop
