fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.uv.reactor_cost[default],fs.costing.uv.lamp_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.uv_reduced_equivalent_dose[0.0],fs.unit.uv_transmittance_in[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[UVZO],fs.costing.LCOW_aggregate_indirect_capex[UVZO],fs.costing.LCOW_aggregate_fixed_opex[UVZO],fs.costing.LCOW_aggregate_variable_opex[UVZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,sec,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,43213.7318745269,0.0,0.0,1.5774126354909996,1080.602405974996,45439.23906606504,1724.487010905447,202.346,235.5,43.812636388888876,0.004381263638888888,43.812636388888876,0.003943137275,1,0.1,1.5774126354909996,0.01,100.0,0.9,43213.7318745269,1.0515,0.014900000000000002,43213.7318745269,643.8846049304509,643.8846049304509,1080.602405974996,4680.374721108744,64.82059781179035,2160.686593726345,43.2137318745269,38.892358687074214,345.7098549962152,129.6411956235807,86.4274637490538,0.0033848064772728573,0.0020329742282321804,0.00010469817275395766,0.00046565177175997063,0.0007814823045267489,0.0020329742282321804,0.00010469817275395766,0.00046565177175997063,0.0007814823045267489,0.0007814823045267488,0.01,0.01,0.04381701765252777,1.0,43213.7318745269,1000.0,1.0,0.01,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,43959.465934676904,0.0,0.0,3.943531588727499,2701.5060149374904,46223.37843031277,3356.502057364176,202.346,235.5,43.812636388888876,0.004381263638888888,43.812636388888876,0.003943137275,1,0.1,3.943531588727499,0.025,100.0,0.9,43959.465934676904,1.0515,0.014900000000000002,43959.465934676904,654.9960424266859,654.9960424266859,2701.5060149374904,6363.399158514723,65.93919890201536,2197.9732967338455,43.959465934676906,39.563519341209215,351.67572747741525,131.87839780403073,87.91893186935381,0.004601955179373094,0.0020680570146437275,0.00010650493625415234,0.0004736874671583423,0.0019537057613168724,0.0020680570146437275,0.00010650493625415234,0.0004736874671583423,0.0019537057613168724,0.0019537057613168724,0.025,0.025,0.04381701765252777,1.0,43959.465934676904,1000.0,1.0,0.025,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,45202.35603492692,0.0,0.0,7.887063177454998,5403.012029874981,47530.27737072566,6076.527134795391,202.346,235.5,43.812636388888876,0.004381263638888888,43.812636388888876,0.003943137275,1,0.1,7.887063177454998,0.05,100.0,0.9,45202.35603492692,1.0515,0.014900000000000002,45202.35603492692,673.5151049204112,673.5151049204112,5403.012029874981,9168.43988752469,67.80353405239038,2260.117801746346,45.20235603492692,40.68212043143423,361.6188482794154,135.60706810478075,90.40471206985384,0.006630536349540157,0.0021265283253296403,0.00010951620875447649,0.00048708029282229536,0.003907411522633745,0.0021265283253296403,0.00010951620875447649,0.00048708029282229536,0.003907411522633745,0.003907411522633745,0.05,0.05,0.04381701765252777,1.0,45202.35603492692,1000.0,1.0,0.05,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,47688.13623542694,0.0,0.0,15.774126354909995,10806.024059749961,50144.07525155143,11516.577289657822,202.346,235.5,43.812636388888876,0.004381263638888888,43.812636388888876,0.003943137275,1,0.1,15.774126354909995,0.1,100.0,0.9,47688.13623542694,1.0515,0.014900000000000002,47688.13623542694,710.5532299078615,710.5532299078615,10806.024059749961,14778.521345544623,71.5322043531404,2384.406811771347,47.68813623542694,42.91932261188425,381.5050898834155,143.0644087062808,95.37627247085388,0.01068769868987428,0.0022434709467014655,0.00011553875375512577,0.0005138659441502012,0.00781482304526749,0.0022434709467014655,0.00011553875375512577,0.0005138659441502012,0.00781482304526749,0.00781482304526749,0.1,0.1,0.04381701765252777,1.0,47688.13623542694,1000.0,1.0,0.1,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,97799.49845287665,0.0,0.0,3.5699338592691037,2445.573866153938,102836.1726231998,3902.7863931018005,202.346,235.5,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947364,1,0.1,3.5699338592691037,0.01,100.0,0.9,97799.49845287665,1.0515,0.014900000000000002,97799.49845287665,1457.2125269478622,1457.2125269478622,2445.573866153938,10592.427000403997,146.699247679315,4889.9749226438325,97.79949845287665,88.01954860758899,782.3959876230132,293.39849535863,195.5989969057533,0.0033848064772728573,0.0020329742282321804,0.00010469817275395729,0.0004656517717599706,0.0007814823045267488,0.0020329742282321804,0.00010469817275395729,0.0004656517717599706,0.0007814823045267488,0.0007814823045267488,0.01,0.01,0.09916482942414177,1.0,97799.49845287665,1000.0,2.263157894736842,0.01,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,99487.2123784793,0.0,0.0,8.92483464817276,6113.934665384846,104610.803815971,7596.294129824188,202.346,235.5,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947364,1,0.1,8.92483464817276,0.025,100.0,0.9,99487.2123784793,1.0515,0.014900000000000002,99487.2123784793,1482.3594644393415,1482.3594644393415,6113.934665384846,14401.377042954373,149.23081856771896,4974.360618923965,99.4872123784793,89.53849114063138,795.8976990278344,298.4616371354379,198.9744247569586,0.004601955179373095,0.0020680570146437275,0.00010650493625415193,0.0004736874671583423,0.0019537057613168724,0.0020680570146437275,0.00010650493625415193,0.0004736874671583423,0.0019537057613168724,0.0019537057613168724,0.025,0.025,0.09916482942414177,1.0,99487.2123784793,1000.0,2.263157894736842,0.025,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,102300.06892115036,0.0,0.0,17.84966929634552,12227.869330769692,107568.52247058961,13752.14035769483,202.346,235.5,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947364,1,0.1,17.84966929634552,0.05,100.0,0.9,102300.06892115036,1.0515,0.014900000000000002,102300.06892115036,1524.2710269251406,1524.2710269251406,12227.869330769692,20749.627113871662,153.45010338172554,5115.003446057519,102.30006892115037,92.07006202903534,818.400551369203,306.9002067634511,204.60013784230074,0.006630536349540156,0.00212652832532964,0.00010951620875447654,0.00048708029282229525,0.003907411522633745,0.00212652832532964,0.00010951620875447654,0.00048708029282229525,0.003907411522633745,0.003907411522633745,0.05,0.05,0.09916482942414177,1.0,102300.06892115036,1000.0,2.263157894736842,0.05,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,107925.78200649252,0.0,0.0,35.69933859269104,24455.738661539384,113483.95977982688,26063.83281343612,202.346,235.5,99.1549139327485,0.00991549139327485,99.1549139327485,0.008923942253947364,1,0.1,35.69933859269104,0.1,100.0,0.9,107925.78200649252,1.0515,0.014900000000000002,107925.78200649252,1608.0941518967388,1608.0941518967388,24455.738661539384,33446.12725570625,161.88867300973877,5396.289100324626,107.92578200649253,97.13320380584328,863.4062560519402,323.77734601947753,215.85156401298505,0.01068769868987428,0.002243470946701465,0.00011553875375512576,0.0005138659441502011,0.00781482304526749,0.002243470946701465,0.00011553875375512576,0.0005138659441502011,0.00781482304526749,0.00781482304526749,0.1,0.1,0.09916482942414177,1.0,107925.78200649252,1000.0,2.263157894736842,0.1,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,152385.26503122642,0.0,0.0,5.562455083047208,3810.54532633288,160233.10618033458,6081.085775298154,202.346,235.5,154.49719147660812,0.015449719147660813,154.49719147660812,0.013904747232894733,1,0.1,5.562455083047208,0.01,100.0,0.9,152385.26503122642,1.0515,0.014900000000000002,152385.26503122642,2270.5404489652738,2270.5404489652738,3810.54532633288,16504.47927969925,228.57789754683964,7619.263251561321,152.38526503122642,137.14673852810378,1219.0821202498114,457.1557950936793,304.77053006245285,0.0033848064772728577,0.0020329742282321804,0.00010469817275395748,0.00046565177175997063,0.0007814823045267489,0.0020329742282321804,0.00010469817275395748,0.00046565177175997063,0.0007814823045267489,0.0007814823045267489,0.01,0.01,0.15451264119575578,1.0,152385.26503122642,1000.0,3.526315789473684,0.01,default,UVZO,uv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,155014.9588222817,0.0,0.0,13.906137707618022,9526.3633158322,162998.22920162923,11836.0862022842,202.346,235.5,154.49719147660812,0.015449719147660813,154.49719147660812,0.013904747232894733,1,0.1,13.906137707618022,0.025,100.0,0.9,155014.9588222817,1.0515,0.014900000000000002,155014.9588222817,2309.722886451998,2309.722886451998,9526.3633158322,22439.354927394023,232.52243823342258,7750.747941114086,155.01495882228173,139.51346294005356,1240.1196705782538,465.04487646684515,310.02991764456345,0.004601955179373095,0.0020680570146437284,0.0001065049362541522,0.00047368746715834253,0.001953705761316873,0.0020680570146437284,0.0001065049362541522,0.00047368746715834253,0.001953705761316873,0.0019537057613168724,0.025,0.025,0.15451264119575578,1.0,155014.9588222817,1000.0,3.526315789473684,0.025,default,UVZO,uv
