fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_heat,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[heat],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.vfa_recovery.unit_capex[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[cod],fs.unit.properties_in[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[cod],fs.unit.properties_treated[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[nonbiodegradable_cod],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,cod]","fs.unit.removal_frac_mass_comp[0.0,nonbiodegradable_cod]",fs.unit.electricity[0.0],fs.unit.heat_required_per_vfa_mass[0.0],fs.unit.heat_consumption[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[VFARecoveryZO],fs.costing.LCOW_aggregate_indirect_capex[VFARecoveryZO],fs.costing.LCOW_aggregate_fixed_opex[VFARecoveryZO],fs.costing.LCOW_aggregate_variable_opex[VFARecoveryZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[heat],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21344757.856560674,0.0,0.0,1.6147608881090283,0.00011970976937442683,1106.187728882874,0.030840392002230956,22444012.88617355,319143.11063202895,25.53,4.381263638888887,0.0004381263638888888,0.0004381263638888888,3.769483525246234e-23,0.00039431372749999994,0.00021906318194444443,4.381263638888887,4.3812636388888886e-05,0.00021906318194444443,0.0,0.1,0.5,1.6147608881090283,0.273231148,0.00011970976937442683,21344757.856560674,1.0515,0.0149,12936216.882764045,318036.892062754,318036.892062754,1106.218569274876,1779158.3578378384,32017.136784841012,1067237.8928280338,21344.757856560675,19210.282070904606,170758.0628524854,64034.273569682024,42689.51571312135,12.86543279599179,6.085187513116307,4.472460692452659,2.2997853133500517,0.007999277072772678,6.085187513116307,4.472460692452659,2.2997853133500517,0.007999277072772678,0.007999054060026814,2.230127458631252e-07,0.10235745599986289,0.10235745599986289,0.004382139891616665,1.65,12936216.882764045,100,0.9,0.9,0.1,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,198328375.08387628,0.0,0.0,15.003819918679719,0.0011123032737707158,10278.327647536702,0.28655864235406253,208542286.40069592,2965371.4029559363,25.53,40.70924131134258,0.004070924131134258,0.004070924131134258,3.502478442207959e-22,0.0036638317180208322,0.002035462065567129,40.70924131134259,0.0004070924131134258,0.002035462065567129,0.0,0.1,0.5,15.003819918679719,0.273231148,0.0011123032737707158,198328375.08387628,1.0515,0.0149,120199015.20234928,2955092.7887497568,2955092.7887497568,10278.614206179056,16531346.40824325,297492.5626258144,9916418.754193814,198328.37508387628,178495.53757548868,1586627.0006710102,594985.1252516288,396656.75016775256,12.86543279599179,6.085187513116308,4.472460692452657,2.299785313350052,0.007999277072772676,6.085187513116308,4.472460692452657,2.299785313350052,0.007999277072772676,0.007999054060026812,2.230127458631251e-07,0.10235745599986286,0.10235745599986286,0.04071738315960485,1.65,120199015.20234928,100,0.9,0.9,0.9291666666666666,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,375311992.31119186,0.0,0.0,28.392878949250413,0.002104896778167005,19450.46756619053,0.5422768927058943,394640559.9152183,5611599.695279842,25.53,77.03721898379627,0.007703721898379629,0.007703721898379629,9.175345740523594e-18,0.006933349708541666,0.003851860949189815,77.03721898379627,0.0007703721898379639,0.003851860949189815,0.0,0.1,0.5,28.392878949250413,0.273231148,0.002104896778167005,375311992.31119186,1.0515,0.0149,227461813.52193448,5592148.685436759,5592148.685436759,19451.009843083237,31283534.45864866,562967.9884667879,18765599.615559593,375311.99231119186,337780.7930800727,3002495.938489535,1125935.9769335757,750623.9846223837,12.865432795991792,6.085187513116308,4.4724606924526595,2.299785313350052,0.007999277072772678,6.085187513116308,4.4724606924526595,2.299785313350052,0.007999277072772678,0.007999054060026814,2.2301274586312524e-07,0.10235745599986287,0.10235745599986287,0.07705262642759303,1.65,227461813.52193448,100,0.9,0.9,1.7583333333333333,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,552295609.5385075,0.0,0.0,41.781937979821095,0.003097490282563294,28622.607484844353,0.7979951430577259,580738833.4297407,8257827.987603749,25.53,113.36519665624996,0.011336519665624998,0.011336519665624998,3.383498175300924e-26,0.010202867699062498,0.005668259832812499,113.36519665624996,0.0011336519665624998,0.005668259832812499,0.0,0.1,0.5,41.781937979821095,0.273231148,0.003097490282563294,552295609.5385075,1.0515,0.0149,334724611.8415197,8229204.582123761,8229204.582123761,28623.40547998741,46035722.50905407,828443.4143077612,27614780.476925373,552295.6095385074,497066.0485846568,4418364.876308059,1656886.8286155225,1104591.2190770148,12.865432795991792,6.085187513116308,4.4724606924526595,2.299785313350052,0.007999277072772676,6.085187513116308,4.4724606924526595,2.299785313350052,0.007999277072772676,0.007999054060026812,2.230127458631252e-07,0.10235745599986285,0.10235745599986285,0.11338786969558122,1.65,334724611.8415197,100,0.9,0.9,2.5875,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,729279226.765823,0.0,0.0,55.17099701039179,0.004090083786959583,37794.74740349818,1.0537133934095575,766837106.944263,10904056.279927656,25.53,149.69317432870363,0.014969317432870366,0.014969317432870366,1.7828870871559297e-17,0.013472385689583333,0.0074846587164351846,149.69317432870363,0.0014969317432870384,0.0074846587164351846,0.0,0.1,0.5,55.17099701039179,0.273231148,0.004090083786959583,729279226.765823,1.0515,0.0149,441987410.16110486,10866260.478810763,10866260.478810763,37795.80111689159,60787910.55945948,1093918.8401487346,36463961.33829115,729279.226765823,656351.3040892407,5834233.814126584,2187837.6802974693,1458558.453531646,12.865432795991792,6.085187513116307,4.472460692452659,2.299785313350052,0.007999277072772676,6.085187513116307,4.472460692452659,2.299785313350052,0.007999277072772676,0.007999054060026812,2.230127458631252e-07,0.10235745599986287,0.10235745599986287,0.14972311296356938,1.65,441987410.16110486,100,0.9,0.9,3.4166666666666665,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,906262843.9931387,0.0,0.0,68.56005604096248,0.005082677291355871,46966.887322152004,1.309431643761389,952935380.4587854,13550284.572251564,25.53,186.02115200115733,0.018602115200115732,0.018602115200115732,2.2155633435055788e-17,0.016741903680104163,0.009301057600057868,186.02115200115733,0.0018602115200115758,0.009301057600057868,0.0,0.1,0.5,68.56005604096248,0.273231148,0.005082677291355871,906262843.9931387,1.0515,0.0149,549250208.4806901,13503316.375497766,13503316.375497766,46968.19675379577,75540098.60986489,1359394.265989708,45313142.19965693,906262.8439931386,815636.5595938249,7250102.751945109,2718788.531979416,1812525.6879862773,12.865432795991794,6.085187513116309,4.47246069245266,2.2997853133500525,0.00799927707277268,6.085187513116309,4.47246069245266,2.2997853133500525,0.00799927707277268,0.007999054060026814,2.2301274586312524e-07,0.10235745599986287,0.10235745599986287,0.18605835623155756,1.65,549250208.4806901,100,0.9,0.9,4.245833333333333,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1083246461.220454,0.0,0.0,81.94911507153317,0.00607527079575216,56139.02724080584,1.5651498941132207,1139033653.9733074,16196512.864575466,25.53,222.349129673611,0.022234912967361103,0.022234912967361103,2.648239600149306e-17,0.020011421670624998,0.011117456483680555,222.349129673611,0.002223491296736113,0.011117456483680555,0.0,0.1,0.5,81.94911507153317,0.273231148,0.00607527079575216,1083246461.220454,1.0515,0.0149,656513006.8002752,16140372.272184765,16140372.272184765,56140.59239069995,90292286.66027027,1624869.691830681,54162323.0610227,1083246.461220454,974921.8150984087,8665971.689763632,3249739.383661362,2166492.922440908,12.86543279599179,6.085187513116308,4.472460692452658,2.299785313350052,0.007999277072772678,6.085187513116308,4.472460692452658,2.299785313350052,0.007999277072772678,0.007999054060026814,2.230127458631252e-07,0.10235745599986289,0.10235745599986289,0.22239359949954574,1.65,656513006.8002752,100,0.9,0.9,5.074999999999999,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1260230078.4477696,0.0,0.0,95.33817410210385,0.00706786430014845,65311.167159459656,1.8208681444650525,1325131927.48783,18842741.156899378,25.53,258.6771073460647,0.025867710734606475,0.025867710734606475,3.080915856659758e-17,0.023280939661145833,0.012933855367303241,258.6771073460647,0.0025867710734606506,0.012933855367303241,0.0,0.1,0.5,95.33817410210385,0.273231148,0.00706786430014845,1260230078.4477696,1.0515,0.0149,763775805.1198604,18777428.168871768,18777428.168871768,65312.98802760412,105044474.7106757,1890345.1176716546,63011503.92238849,1260230.0784477696,1134207.0706029928,10081840.627582157,3780690.235343309,2520460.1568955393,12.86543279599179,6.085187513116306,4.472460692452659,2.2997853133500517,0.007999277072772678,6.085187513116306,4.472460692452659,2.2997853133500517,0.007999277072772678,0.007999054060026812,2.230127458631252e-07,0.10235745599986286,0.10235745599986286,0.25872884276753394,1.65,763775805.1198604,100,0.9,0.9,5.904166666666666,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1437213695.6750848,0.0,0.0,108.72723313267451,0.008060457804544738,74483.30707811347,2.076586394816884,1511230201.0023518,21488969.449223273,25.53,295.00508501851834,0.029500508501851843,0.029500508501851843,8.804723500307545e-26,0.026550457651666654,0.014750254250925923,295.00508501851834,0.0029500508501851845,0.014750254250925923,0.0,0.1,0.5,108.72723313267451,0.273231148,0.008060457804544738,1437213695.6750848,1.0515,0.0149,871038603.4394454,21414484.065558765,21414484.065558765,74485.38366450829,119796662.76108107,2155820.5435126275,71860684.78375424,1437213.6956750848,1293492.3261075765,11497709.565400679,4311641.087025255,2874427.3913501697,12.86543279599179,6.085187513116307,4.472460692452658,2.299785313350052,0.007999277072772678,6.085187513116307,4.472460692452658,2.299785313350052,0.007999277072772678,0.007999054060026814,2.2301274586312526e-07,0.10235745599986287,0.10235745599986287,0.29506408603552203,1.65,871038603.4394454,100,0.9,0.9,6.7333333333333325,default,VFARecoveryZO,vfa_recovery
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1614197312.9024012,0.0,0.0,122.11629216324528,0.009053051308941027,83655.44699676734,2.3323046451687155,1697328474.516875,24135197.741547193,25.53,331.3330626909721,0.03313330626909721,0.03313330626909721,3.946268369443175e-17,0.029819975642187496,0.016566653134548612,331.3330626909721,0.003313330626909725,0.016566653134548612,0.0,0.1,0.5,122.11629216324528,0.273231148,0.009053051308941027,1614197312.9024012,1.0515,0.0149,978301401.759031,24051539.962245777,24051539.962245777,83657.7793014125,134548850.81148654,2421295.969353602,80709865.64512007,1614197.3129024012,1452777.5816121611,12913578.50321921,4842591.938707204,3228394.6258048024,12.865432795991792,6.085187513116309,4.4724606924526595,2.2997853133500525,0.00799927707277268,6.085187513116309,4.4724606924526595,2.2997853133500525,0.00799927707277268,0.007999054060026815,2.2301274586312518e-07,0.1023574559998629,0.1023574559998629,0.3313993293035103,1.65,978301401.759031,100,0.9,0.9,7.562499999999999,default,VFARecoveryZO,vfa_recovery
