fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.waiv.capital_a_parameter[default],fs.costing.waiv.capital_b_parameter[default],fs.costing.waiv.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[WAIVZO],fs.costing.LCOW_aggregate_indirect_capex[WAIVZO],fs.costing.LCOW_aggregate_fixed_opex[WAIVZO],fs.costing.LCOW_aggregate_variable_opex[WAIVZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,36283946.663349524,0.0,0.0,10.253182130691496,7023.915638837473,38152569.91651203,547654.7209227455,110000.0,1.0,64.0,4.381263638888887,0.0004381263638888888,0.00043812636388888875,0.00043812636388888886,4.380825512524999,3.769483525246183e-24,0.0001,0,10.253182130691496,0.65,36283946.663349524,1.0515,0.014900000000000002,36283946.663349524,540630.8052839079,540630.8052839079,7023.915638837473,3029534.14599244,54425.919995024284,1814197.3331674763,36283.946663349525,32655.551997014576,290271.5733067962,108851.83999004857,72567.89332669905,21.9093286574399,17.069650147161276,0.8790869825788076,3.9097951779055773,0.05079634979423867,17.069650147161276,0.8790869825788076,3.9097951779055773,0.05079634979423867,0.05079634979423867,0.65,0.65,1.0,36283946.663349524,0.1,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,337138337.746956,0.0,0.0,95.2691506310085,65263.88281086487,354500962.1409243,5088625.11524051,110000.0,1.0,64.0,40.70924131134258,0.004070924131134258,0.004070896488762363,0.004070923854681277,40.70517041485106,5.18493561435906e-17,0.0001,0,95.2691506310085,0.65,337138337.746956,1.0515,0.014900000000000002,337138337.746956,5023361.232429645,5023361.232429645,65263.88281086487,28149421.439846426,505707.506620434,16856916.8873478,337138.337746956,303424.5039722604,2697106.701975648,1011415.013240868,674276.675493912,21.909328657439897,17.069650147161273,0.8790869825788077,3.909795177905577,0.05079634979423867,17.069650147161273,0.8790869825788077,3.909795177905577,0.05079634979423867,0.05079634979423867,0.65,0.65,1.0,337138337.746956,0.9291666666666666,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,637992728.8305624,0.0,0.0,180.2851191313255,123503.84998289226,670849354.3653364,9629595.509558273,110000.0,1.0,64.0,77.03721898379627,0.007703721898379629,0.007703721898379636,0.0077037218983796295,77.02951526189788,9.175345741217133e-19,0.0001,0,180.2851191313255,0.65,637992728.8305624,1.0515,0.014900000000000002,637992728.8305624,9506091.65957538,9506091.65957538,123503.84998289226,53269308.73370041,956989.0932458435,31899636.44152812,637992.7288305623,574193.4559475061,5103941.830644499,1913978.186491687,1275985.4576611246,21.9093286574399,17.069650147161273,0.8790869825788107,3.909795177905577,0.050796349794238686,17.069650147161273,0.8790869825788107,3.909795177905577,0.050796349794238686,0.050796349794238686,0.65,0.65,1.0,637992728.8305624,1.7583333333333333,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,938847119.914169,0.0,0.0,265.30108763164253,181743.81715491967,987197746.5897487,14170565.903876038,110000.0,1.0,64.0,113.36519665624996,0.011336519665624998,0.01133651966562501,0.011336519665625,113.35386013658433,1.350210830618024e-18,0.0001,0,265.30108763164253,0.65,938847119.914169,1.0515,0.014900000000000002,938847119.914169,13988822.086721119,13988822.086721119,181743.81715491967,78389196.0275544,1408270.6798712534,46942355.99570845,938847.119914169,844962.4079227521,7510776.959313352,2816541.359742507,1877694.239828338,21.909328657439897,17.069650147161273,0.8790869825788064,3.909795177905577,0.050796349794238686,17.069650147161273,0.8790869825788064,3.909795177905577,0.050796349794238686,0.05079634979423868,0.6500000000000001,0.6500000000000001,1.0,938847119.914169,2.5875,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1239701510.997775,0.0,0.0,350.3170561319594,239983.784326947,1303546138.8141606,18711536.298193797,110000.0,1.0,64.0,149.69317432870363,0.014969317432870366,0.014969317432870381,0.014969317432870367,149.67820501127076,1.782887087128439e-18,0.0001,0,350.3170561319594,0.65,1239701510.997775,1.0515,0.014900000000000002,1239701510.997775,18471552.51386685,18471552.51386685,239983.784326947,103509083.32140835,1859552.2664966627,61985075.54988876,1239701.510997775,1115731.3598979977,9917612.0879822,3719104.5329933255,2479403.02199555,21.909328657439897,17.069650147161273,0.8790869825788061,3.909795177905577,0.05079634979423867,17.069650147161273,0.8790869825788061,3.909795177905577,0.05079634979423867,0.05079634979423868,0.65,0.65,1.0,1239701510.997775,3.4166666666666665,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1540555902.0813816,0.0,0.0,435.3330246322765,298223.75149897445,1619894531.0385728,23252506.692511562,110000.0,1.0,64.0,186.02115200115733,0.018602115200115732,0.018602115200115756,0.018602115200115735,186.0025498859572,2.215563343673026e-18,0.0001,0,435.3330246322765,0.65,1540555902.0813816,1.0515,0.014900000000000002,1540555902.0813816,22954282.941012587,22954282.941012587,298223.75149897445,128628970.61526233,2310833.8531220723,77027795.10406908,1540555.9020813815,1386500.3118732434,12324447.216651052,4621667.706244145,3081111.804162763,21.909328657439893,17.069650147161273,0.8790869825788069,3.909795177905577,0.050796349794238686,17.069650147161273,0.8790869825788069,3.909795177905577,0.050796349794238686,0.050796349794238686,0.65,0.65,1.0,1540555902.0813816,4.245833333333333,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1841410293.1649878,0.0,0.0,520.3489931325934,356463.7186710017,1936242923.2629848,27793477.086829323,110000.0,1.0,64.0,222.349129673611,0.022234912967361103,0.0222349129673611,0.022234912967361103,222.3268947606436,6.636233136394579e-27,0.0001,0,520.3489931325934,0.65,1841410293.1649878,1.0515,0.014900000000000002,1841410293.1649878,27437013.36815832,27437013.36815832,356463.7186710017,153748857.9091163,2762115.4397474816,92070514.6582494,1841410.2931649878,1657269.2638484892,14731282.345319903,5524230.879494963,3682820.5863299756,21.909328657439893,17.069650147161273,0.8790869825788055,3.909795177905577,0.05079634979423868,17.069650147161273,0.8790869825788055,3.909795177905577,0.05079634979423868,0.05079634979423867,0.65,0.65,1.0,1841410293.1649878,5.074999999999999,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2142264684.2485945,0.0,0.0,605.3649616329103,414703.6858430291,2252591315.487397,32334447.48114709,110000.0,1.0,64.0,258.6771073460647,0.025867710734606475,0.02586771073460647,0.025867710734606475,258.6512396353301,0.0,0.0001,0,605.3649616329103,0.65,2142264684.2485945,1.0515,0.014900000000000002,2142264684.2485945,31919743.795304064,31919743.795304064,414703.6858430291,178868745.2029703,3213397.026372892,107113234.21242973,2142264.6842485946,1928038.2158237353,17138117.473988757,6426794.052745784,4284529.368497189,21.909328657439897,17.069650147161276,0.8790869825788062,3.9097951779055777,0.05079634979423867,17.069650147161276,0.8790869825788062,3.9097951779055777,0.05079634979423867,0.05079634979423867,0.65,0.65,1.0,2142264684.2485945,5.904166666666666,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2443119075.3322005,0.0,0.0,690.3809301332273,472943.65301505645,2568939707.711809,36875417.87546485,110000.0,1.0,64.0,295.00508501851834,0.029500508501851843,0.029500508501851833,0.029500508501851846,294.97558451001646,2.5381189069991267e-24,0.0001,0,690.3809301332273,0.65,2443119075.3322005,1.0515,0.014900000000000002,2443119075.3322005,36402474.222449794,36402474.222449794,472943.65301505645,203988632.49682426,3664678.6129983007,122155953.76661003,2443119.0753322006,2198807.1677989806,19544952.602657605,7329357.225996601,4886238.150664401,21.9093286574399,17.069650147161273,0.8790869825788085,3.9097951779055777,0.05079634979423868,17.069650147161273,0.8790869825788085,3.9097951779055777,0.05079634979423868,0.05079634979423868,0.65,0.65,1.0,2443119075.3322005,6.7333333333333325,default,WAIVZO,waiv
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2743973466.4158077,0.0,0.0,775.3968986335444,531183.620187084,2885288099.936222,41416388.269782625,110000.0,1.0,64.0,331.3330626909721,0.03313330626909721,0.03313330626909721,0.03313330626909722,331.299929384703,2.8506719159683328e-24,0.0001,0,775.3968986335444,0.65,2743973466.4158077,1.0515,0.014900000000000002,2743973466.4158077,40885204.64959554,40885204.64959554,531183.620187084,229108519.79067832,4115960.199623712,137198673.32079038,2743973.4664158076,2469576.119774227,21951787.73132646,8231920.399247424,5487946.932831615,21.9093286574399,17.069650147161276,0.8790869825788071,3.9097951779055773,0.05079634979423868,17.069650147161276,0.8790869825788071,3.9097951779055773,0.05079634979423868,0.05079634979423868,0.65,0.65,1.0,2743973466.4158077,7.562499999999999,default,WAIVZO,waiv
