fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.water_pumping_station.capital_a_parameter[default],fs.costing.water_pumping_station.capital_b_parameter[default],fs.costing.water_pumping_station.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.lift_height[0.0],fs.unit.eta_pump[0.0],fs.unit.eta_motor[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[WaterPumpingStationZO],fs.costing.LCOW_aggregate_indirect_capex[WaterPumpingStationZO],fs.costing.LCOW_aggregate_fixed_opex[WaterPumpingStationZO],fs.costing.LCOW_aggregate_variable_opex[WaterPumpingStationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.water_pumping_station.capital_a_parameter[raw],fs.costing.water_pumping_station.capital_b_parameter[raw],fs.costing.water_pumping_station.reference_state[raw],fs.costing.water_pumping_station.capital_a_parameter[treated],fs.costing.water_pumping_station.capital_b_parameter[treated],fs.costing.water_pumping_station.reference_state[treated]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17074.117371486678,0.0,0.0,93.21,63853.26704928888,17953.434416118245,64107.67139812403,24348.0,0.8671,1.0,4.381263638888887,0.0004381263638888888,93.21,5772.948846758237,0.9,0.9,17074.117371486678,1.0515,0.014900000000000002,5021.799226907847,254.40434883515152,254.40434883515152,63853.26704928888,65275.56807151215,25.61117605723002,853.705868574334,17.07411737148668,15.366705634338011,136.59293897189343,51.22235211446004,34.14823474297336,0.4720672569648003,0.0023624870995411365,0.006083640530028382,0.001839830225344894,0.4617812991098859,0.0023624870995411365,0.006083640530028382,0.001839830225344894,0.4617812991098859,0.46178129910988586,5.909043575715153,5.909043575715153,3.4,5021.799226907847,0.1,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,117970.17987263619,0.0,0.0,93.21,63853.26704928888,124045.64413607697,65611.02272939116,24348.0,0.8671,1.0,40.70924131134258,0.004070924131134258,93.21,621.3039117587339,0.9,0.9,117970.17987263619,1.0515,0.014900000000000002,34697.11172724594,1757.7556801022795,1757.7556801022795,63853.26704928888,73680.36989590026,176.95526980895428,5898.50899363181,117.9701798726362,106.17316188537258,943.7614389810896,353.91053961790857,235.9403597452724,0.057347091239535845,0.0017567493577238602,0.004523805271074713,0.0013681008320948543,0.04969843577864242,0.0017567493577238602,0.004523805271074713,0.0013681008320948543,0.04969843577864242,0.049698435778642414,0.635950878103873,0.635950878103873,3.4,34697.11172724594,0.9291666666666666,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,205099.9342190728,0.0,0.0,93.21,63853.26704928888,215662.58083135507,66909.25606915307,24348.0,0.8671,1.0,77.03721898379627,0.007703721898379629,93.21,328.3193656924116,0.9,0.9,205099.9342190728,1.0515,0.014900000000000002,60323.51006443318,3055.989019864185,3055.989019864185,63853.26704928888,80938.41644534886,307.6499013286092,10254.996710953641,205.09993421907282,184.58994079716555,1640.7994737525826,615.2998026572184,410.19986843814564,0.033289457082667534,0.0016139701377726888,0.004156134501778451,0.0012569088918432635,0.02626244355127313,0.0016139701377726888,0.004156134501778451,0.0012569088918432635,0.02626244355127313,0.026262443551273128,0.33605935027763906,0.33605935027763906,3.4,60323.51006443318,1.7583333333333333,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,286712.62792418565,0.0,0.0,93.21,63853.26704928888,301478.32826228125,68125.28520535925,24348.0,0.8671,1.0,113.36519665624996,0.011336519665624998,93.21,223.10913417423137,0.9,0.9,286712.62792418565,1.0515,0.014900000000000002,84327.24350711342,4272.018156070367,4272.018156070367,63853.26704928888,87736.88310442335,430.0689418862785,14335.631396209283,286.71262792418565,258.0413651317671,2293.7010233934852,860.137883772557,573.4252558483713,0.0245219533395713,0.0015331958888817798,0.003948132733459472,0.0011940044617755228,0.017846620255454526,0.0015331958888817798,0.003948132733459472,0.0011940044617755228,0.017846620255454526,0.017846620255454523,0.22836883384406387,0.22836883384406387,3.4,84327.24350711342,2.5875,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,364859.01912243426,0.0,0.0,93.21,63853.26704928888,383649.25860723964,69289.66643421316,24348.0,0.8671,1.0,149.69317432870363,0.014969317432870366,93.21,168.964356490485,0.9,0.9,364859.01912243426,1.0515,0.014900000000000002,107311.47621248067,5436.399384924271,5436.399384924271,63853.26704928888,94246.60127409824,547.2885286836514,18242.950956121713,364.8590191224343,328.37311721019086,2918.8721529794743,1094.5770573673028,729.7180382448686,0.019948778367104344,0.001477589032095446,0.0038049395165489826,0.0011506996006095957,0.01351555021785032,0.001477589032095446,0.0038049395165489826,0.0011506996006095957,0.01351555021785032,0.01351555021785032,0.17294761685019963,0.17294761685019963,3.4,107311.47621248067,3.4166666666666665,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,440499.0030098701,0.0,0.0,93.21,63853.26704928888,463184.70166487846,70416.70219413594,24348.0,0.8671,1.0,186.02115200115733,0.018602115200115732,93.21,135.96739187654336,0.9,0.9,440499.0030098701,1.0515,0.014900000000000002,129558.53029702062,6563.435144847065,6563.435144847065,63853.26704928888,100547.53174466605,660.7485045148052,22024.950150493507,440.49900300987014,396.4491027088832,3523.992024078961,1321.4970090296104,880.9980060197403,0.017126226760201355,0.0014355329675233757,0.003696640944669444,0.0011179476677953255,0.010876105180213211,0.0014355329675233757,0.003696640944669444,0.0011179476677953255,0.010876105180213211,0.01087610518021321,0.139172763314194,0.139172763314194,3.4,129558.53029702062,4.245833333333333,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,514187.9071426517,0.0,0.0,93.21,63853.26704928888,540668.5843604982,71514.66686571439,24348.0,0.8671,1.0,222.349129673611,0.022234912967361103,93.21,113.7526866356303,0.9,0.9,514187.9071426517,1.0515,0.014900000000000002,151231.73739489756,7661.399816425511,7661.399816425511,63853.26704928888,106685.93418118637,771.2818607139775,25709.395357132584,514.1879071426517,462.76911642838655,4113.503257141214,1542.563721427955,1028.3758142853035,0.015202826394218175,0.0014018998688452382,0.003610032352263373,0.0010917552743926005,0.009099138898716965,0.0014018998688452382,0.003610032352263373,0.0010917552743926005,0.009099138898716965,0.009099138898716963,0.11643435617172718,0.11643435617172718,3.4,151231.73739489756,5.074999999999999,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,586286.4971488813,0.0,0.0,93.21,63853.26704928888,616480.2517520487,72588.9358568072,24348.0,0.8671,1.0,258.6771073460647,0.025867710734606475,93.21,97.77753868891864,0.9,0.9,586286.4971488813,1.0515,0.014900000000000002,172437.20504378862,8735.668807518332,8735.668807518332,63853.26704928888,112691.86093192815,879.429745723322,29314.324857444066,586.2864971488814,527.6578474339932,4690.291977191051,1758.859491446644,1172.5729942977628,0.013803434554060509,0.001373986503205698,0.003538152644404994,0.0010700172281595843,0.007821278178290236,0.001373986503205698,0.003538152644404994,0.0010700172281595843,0.007821278178290236,0.007821278178290234,0.10008260114125879,0.10008260114125879,3.4,172437.20504378862,5.904166666666666,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,657047.2395213054,0.0,0.0,93.21,63853.26704928888,690885.1723566527,73643.27091815633,24348.0,0.8671,1.0,295.00508501851834,0.029500508501851843,93.21,85.73686406076592,0.9,0.9,657047.2395213054,1.0515,0.014900000000000002,193249.1880945016,9790.003868867452,9790.003868867452,63853.26704928888,118586.3428556408,985.5708592819582,32852.36197606527,657.0472395213054,591.3425155691749,5256.377916170443,1971.1417185639164,1314.0944790426108,0.012736725218982645,0.0013501986314553946,0.0034768964958607866,0.0010514919860740986,0.006858138105592367,0.0013501986314553946,0.0034768964958607866,0.0010514919860740986,0.006858138105592367,0.006858138105592366,0.08775807290666073,0.08775807290666073,3.4,193249.1880945016,6.7333333333333325,default,WaterPumpingStationZO,water_pumping_station,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,726656.2615278957,0.0,0.0,93.21,63853.26704928888,764079.0589965824,74680.44534605453,24348.0,0.8671,1.0,331.3330626909721,0.03313330626909721,93.21,76.33651367614196,0.9,0.9,726656.2615278957,1.0515,0.014900000000000002,213722.4298611458,10827.178296765647,10827.178296765647,63853.26704928888,124384.88464856952,1089.9843922918435,36332.813076394785,726.6562615278957,653.9906353751062,5813.250092223166,2179.968784583687,1453.3125230557914,0.011894753282300852,0.001329519818971219,0.003423646485832787,0.0010353879810024878,0.006106198996494359,0.001329519818971219,0.003423646485832787,0.0010353879810024878,0.006106198996494359,0.0061061989964943586,0.07813611339788633,0.07813611339788633,3.4,213722.4298611458,7.562499999999999,default,WaterPumpingStationZO,water_pumping_station,,,,,,
